科目,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收回投资收到的现金,"135,896,932,741.90","195,121,708,820.97","270,588,953,781.86","180,311,227,510.57","421,494,533,982.16","727,871,218,684.59","1,106,630,559,444.85","228,514,953,530.38","433,433,447,365.31","695,648,255,547.71","839,571,436,151.32","129,779,580,584.34","343,541,673,525.69","626,222,720,510.47","872,872,209,000.00","146,982,268,791.87","291,591,296,000.00","388,676,796,557.24","490,757,473,000.00","51,705,805,348.98","188,545,567,000.00","372,478,346,067.48","549,638,323,000.00","234,537,891,194.40","426,704,917,000.00","489,430,412,201.92","567,038,242,000.00","129,009,256,843.44","303,749,826,000.00","398,402,975,339.30","549,947,513,000.00","108,799,227,000.00","432,987,992,000.00","1,011,287,978,000.00","1,449,143,160,000.00","396,439,586,000.00","923,399,905,000.00","1,224,631,464,000.00","1,530,893,954,000.00","197,677,400,000.00","483,216,282,000.00","797,619,095,000.00","1,217,215,243,000.00","350,986,226,000.00"
客户存款和同业存放款项净增加额,"6,358,584,201.85","7,589,386,260.14","5,041,956,237.37","1,842,660,170.80","9,630,726,815.72","10,198,839,809.47","16,745,037,788.64","22,539,953,797.64","34,074,332,330.91","38,521,224,127.64","41,572,058,128.35","22,225,641,563.32","36,816,012,022.79","49,651,574,373.55","59,376,185,000.00","12,429,883,051.06","27,432,275,000.00","22,572,573,373.07","36,750,179,000.00","19,338,417,569.89","39,649,791,000.00","53,779,220,440.69","47,491,936,000.00","52,368,076,701.38","64,429,097,000.00","76,762,264,391.30","97,058,449,000.00","69,594,534,145.86","73,978,296,000.00","80,364,275,858.91","98,372,764,000.00","52,462,216,000.00","116,276,304,000.00","126,838,246,000.00","149,700,703,000.00","143,114,472,000.00","124,120,764,000.00","122,563,446,000.00","114,072,501,000.00","53,745,392,000.00","38,747,152,000.00","27,256,933,000.00","49,151,841,000.00","16,311,451,000.00"
取得投资收益收到的现金,"19,010,234.21","8,383,009.39","7,973,742.71",,,,"84,529,773.97","157,804,753.02","210,662,386.89","165,391,240.53","143,449,710.71","46,553,718.31","130,580,248.91","162,259,873.95","35,350,000.00",,,"22,500,000.00","26,471,000.00",,"280,000.00","37,840,000.00","37,840,000.00",,"150,990,000.00","151,310,000.00","151,471,000.00",,"105,387,000.00","175,955,217.20","173,819,000.00","6,536,000.00","60,446,000.00","87,306,000.00","94,522,000.00","6,006,000.00","32,866,000.00","44,116,000.00","57,385,000.00",,"55,205,000.00","55,205,000.00","62,565,000.00",
向中央银行借款净增加额,,,,,,,,,,,,,,,"80,000,000.00",,,"100,000,000.00","100,000,000.00","-100,000,000.00",,,,,,,,,"1,380,000,000.00","1,530,000,000.00","1,730,000,000.00","1,370,000,000.00","520,000,000.00","570,000,000.00","2,420,000,000.00","4,680,000,000.00","11,280,000,000.00","16,370,000,000.00","26,870,000,000.00","21,150,842,000.00","1,430,000,000.00",,,"9,000,000,000.00"
收到其他与投资活动有关的现金,,,"39,953.72",,,,"201,332.66","8,015.50","42,140.00","75,106.00","1,577,171.40","23,880.00","26,560.00","81,680.00",,"36,380.00","196,000.00","148,561.20",,"8,198.00",,,"927,000.00","20,365.00",,,"216,000.00","598,746.49","705,000.00","708,282.59","782,000.00","95,000.00","389,000.00","398,000.00",,"13,000.00",,,"499,621,000.00",,,"2,105,689,000.00",,
向其他金融机构拆入资金净增加额,"4,680,986,541.41","981,670,182.07","3,241,004,597.34","6,672,983,285.09","-1,670,228,142.31","3,450,172,500.56","-2,441,368,103.78","-4,641,607,036.41","-1,723,170,938.83","602,465,253.45","2,403,669,443.31","1,089,206,299.34",,,,,"3,825,813,000.00","11,010,466,344.07","8,280,704,000.00",,,,,,,,,,"15,455,882,000.00","33,833,051,122.20","44,387,097,000.00","12,373,587,000.00",,"2,906,050,000.00","2,741,512,000.00",,"44,795,575,000.00","7,163,742,000.00","26,977,369,000.00",,,"8,468,958,000.00",,
投资活动现金流入小计,"135,915,942,976.11","195,130,091,830.36","270,596,967,478.29","180,311,227,510.57","421,494,533,982.16","727,871,218,684.59","1,106,715,290,551.48","228,672,766,298.90","433,644,151,892.20","695,813,721,894.24","839,716,463,033.43","129,826,158,182.65","343,672,280,334.60","626,385,062,064.42","872,907,559,000.00","146,982,305,171.87","291,591,492,000.00","388,699,445,118.44","490,783,944,000.00","51,705,813,546.98","188,545,847,000.00","372,516,186,067.48","549,677,090,000.00","234,537,911,559.40","426,855,907,000.00","489,581,722,201.92","567,189,929,000.00","129,009,855,589.93","303,855,918,000.00","398,579,638,839.09","550,122,114,000.00","108,805,858,000.00","433,048,827,000.00","1,011,375,682,000.00","1,449,237,682,000.00","396,445,605,000.00","923,432,771,000.00","1,224,675,580,000.00","1,531,450,960,000.00","197,677,400,000.00","483,271,487,000.00","799,779,989,000.00","1,217,277,808,000.00","350,986,226,000.00"
收取利息、手续费及佣金的现金,"734,162,486.79","1,226,072,564.87","1,807,709,700.18","516,586,202.31","1,168,303,610.93","1,907,716,941.80","2,789,712,159.84","526,692,042.03","1,461,095,052.11","2,334,485,489.16","3,540,667,312.75","1,093,562,177.27","3,490,217,953.84","5,520,456,431.97","7,679,560,000.00","2,661,710,608.62","5,790,574,000.00","8,955,149,002.23","13,101,237,000.00","3,650,856,118.20","8,400,489,000.00","12,710,881,969.45","17,305,096,000.00","4,299,271,414.25","9,576,058,000.00","14,582,036,587.86","20,956,702,000.00","6,761,391,089.53","14,206,415,000.00","21,793,276,097.32","30,199,006,000.00","9,299,565,000.00","19,051,802,000.00","29,789,563,000.00","39,931,466,000.00","12,451,617,000.00","25,309,733,000.00","37,918,034,000.00","48,590,415,000.00","12,703,221,000.00","25,543,684,000.00","38,386,155,000.00","51,953,046,000.00","13,185,682,000.00"
投资支付的现金,"139,700,516,071.09","201,437,169,280.43","276,660,041,501.92","184,241,931,031.24","422,690,502,184.82","732,829,386,838.00","1,110,980,629,878.76","232,913,018,710.59","437,867,964,606.00","702,280,346,864.71","849,029,053,455.90","145,653,813,881.80","355,010,863,595.30","641,159,042,104.33","894,975,552,000.00","149,617,156,082.69","298,362,976,000.00","397,629,890,880.68","499,554,281,000.00","56,339,088,753.42","199,501,816,000.00","383,082,590,251.36","568,780,123,000.00","269,409,931,966.35","464,329,074,000.00","541,030,826,444.00","629,033,142,000.00","167,571,526,253.78","365,693,705,000.00","496,210,213,049.94","673,365,259,000.00","164,137,124,000.00","530,128,305,000.00","1,139,805,356,000.00","1,595,142,527,000.00","471,300,146,000.00","1,044,321,052,000.00","1,329,024,910,000.00","1,631,844,251,000.00","205,149,118,000.00","509,555,647,000.00","855,538,828,000.00","1,252,812,324,000.00","367,921,679,000.00"
