科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"163,933,411.49","259,676,963.58","134,187,532.15","364,399,272.84","223,459,375.99","380,020,138.85","524,201,146.48","237,639,702.31","647,395,840.48","1,098,832,203.20","1,526,021,238.48","407,522,741.93","961,642,839.58","1,459,303,292.44","2,234,623,152.98","655,682,698.38","1,509,892,379.64","2,279,929,133.76","3,192,701,967.08","1,221,227,187.02","2,424,211,203.87","3,652,588,157.74","5,208,091,770.62","1,500,354,327.09","3,301,126,126.96","5,214,917,067.61","7,459,376,626.12","2,007,598,833.65","4,499,173,734.39","7,156,918,837.80","9,232,749,388.88","2,700,241,153.00","6,050,755,584.71","9,450,631,221.38","11,789,073,516.69","3,550,359,888.69","7,240,583,096.52"
二、营业利润,"18,488,356.01","32,824,586.67","14,700,612.10","51,631,079.15","36,634,579.54","66,291,614.14","78,457,463.40","19,328,889.31","72,623,975.89","129,166,237.88","164,222,212.74","61,728,907.78","213,096,827.94","346,619,573.18","489,114,147.03","154,309,874.02","341,276,280.43","540,286,002.01","729,448,788.63","259,569,596.98","529,477,270.93","820,592,280.71","1,174,515,358.01","342,850,400.22","779,350,513.83","1,212,656,515.49","1,635,829,228.95","476,587,123.89","1,065,450,302.73","1,646,521,228.87","2,267,479,200.06","667,886,181.84","1,517,961,974.79","2,259,036,623.89","2,892,951,007.88","857,283,441.45","1,776,982,891.00"
减:营业成本,"128,316,202.27","199,359,707.38","105,400,729.06","274,436,681.07","161,860,298.44","275,652,349.02","386,934,282.25","200,625,460.35","530,225,147.60","891,749,062.62","1,229,967,250.82","295,686,297.69","653,401,720.63","968,960,651.47","1,515,737,569.80","433,342,685.78","986,327,119.16","1,431,678,641.14","2,032,945,307.53","773,688,343.23","1,508,397,409.07","2,262,121,253.70","3,171,705,053.96","932,009,375.06","2,046,150,402.33","3,206,565,234.98","4,674,042,318.31","1,228,341,627.64","2,820,743,132.86","4,486,393,024.54","5,498,091,650.56","1,685,339,422.66","3,760,335,260.76","5,867,004,503.18","7,082,433,228.97","2,173,617,313.76","4,481,291,237.70"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"70,000.00","70,000.00","39,583.33","70,000.00","38,125.00","163,679.24","383,156.72","126,479.66","1,193,724.88","2,210,431.50","3,353,912.79","2,911,324.51","6,410,557.42","9,665,778.09","13,336,172.28","3,769,022.05","8,678,637.17","12,594,479.88","17,120,043.03","6,826,486.51","13,935,854.97","18,739,175.54","21,959,269.19","6,493,513.25","12,676,136.92","24,014,504.90","36,895,751.24","10,225,822.73","19,761,763.64","31,009,864.26","82,211,800.38","19,412,909.55","43,900,756.21","71,892,695.63","100,268,329.19","22,247,984.08","43,080,148.43"
营业外收入,"156,115.00","1,337,819.57",,"2,830,033.33","224,071.25","980,568.92","4,308,996.89","486,158.66","774,325.87","829,812.38","3,364,117.87","143,497.67","327,985.52","9,558,163.19","13,764,390.75","373,872.67","1,108,570.54","7,719,595.21","10,072,419.79","3,038,872.15","9,649,964.73","10,189,115.41","15,735,626.61","818,631.97","3,972,604.43","6,910,580.94","12,528,656.32","815,712.73","2,919,367.04","25,344,097.96","37,095,809.29","5,813,969.18","4,774,580.49","19,825,786.99","21,510,185.38","354,137.61","6,382,057.32"
销售费用,"5,025,537.62","9,445,406.28","3,153,390.14","10,127,758.24","7,820,526.92","12,087,930.18","16,105,280.19","4,694,530.93","10,865,803.09","17,757,420.54","24,868,725.66","9,093,100.94","15,763,913.14","23,995,136.38","41,348,603.90","9,120,554.38","20,653,168.32","43,221,231.14","54,142,695.11","20,531,440.43","33,359,104.34","55,933,899.46","98,523,376.54","26,202,237.87","59,753,480.03","106,216,784.86","163,772,435.83","49,076,483.28","103,318,327.74","165,889,017.03","240,027,139.17","62,716,184.32","136,774,629.74","216,761,710.46","336,178,911.96","96,370,680.81","181,082,640.61"
减:营业外支出,"11,272.84","22,579.80","17,000.86","19,503.86",,,,,"180,000.00","233,927.98","284,725.50",,"330,000.00","459,615.39","1,715,346.58","170,000.00","130,000.00","171,815.90","175,498.31","28,979.95","62,176.18","267,679.88","2,855,510.94","28,603.79","62,739.82","97,398.80","1,963,680.85","48,649.61","102,547.84","3,601,431.81","2,272,851.84","18,443.05","517,880.12","701,457.82","2,063,740.74","252,190.55","386,333.75"
管理费用,"5,128,016.94","7,973,823.16","5,300,378.41","15,234,670.18","8,595,455.20","13,215,030.96","28,842,589.41","9,027,430.60","21,493,699.54","33,300,997.69","64,800,429.97","22,326,863.97","43,108,593.02","64,909,456.66","111,782,174.24","38,629,243.08","88,810,181.09","147,046,704.65","216,663,155.29","101,043,686.04","215,498,347.09","296,797,842.15","399,825,261.04","111,896,340.84","240,493,510.53","401,645,141.58","570,279,932.18","149,319,545.39","323,161,162.77","545,472,048.75","775,920,767.92","210,178,031.82","395,468,876.65","647,843,606.34","864,322,891.36","198,274,463.37","417,380,626.13"
其中:非流动资产处置净损失,,,,,,,,,,,"104,725.50",,,,"1,065,346.58",,,,"3,325.85",,"28,979.95",,"2,700,504.90",,"37,302.72","37,302.72","112,541.84",,375.95,"175,087.32","647,707.86","10,315.22","199,013.61","182,251.56",,,
