科目,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
现金及存放同业款项,,,,,,,,,,,,,,,,,,,,,,,,,,,
短期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,
货币资金,"7,019,244,644.89","6,117,974,243.30","5,333,624,651.24","5,860,229,766.75","5,622,747,969.81","5,423,583,509.60","5,961,411,054.41","6,216,333,551.87","5,936,066,586.19","5,657,596,425.24","6,090,631,863.82","6,089,386,313.19","6,322,645,039.83","8,212,131,009.07","9,670,875,775.13","15,676,598,531.16","27,327,001,661.30","19,369,764,265.76","18,756,096,230.98","18,423,983,890.28","13,602,813,266.86","11,908,598,434.99","13,074,115,949.39","16,865,836,290.35","12,153,581,834.96","10,811,290,701.63","10,817,252,030.66"
其中：质押借款,,,,,,,,,,,,,,,,,,,,,,,,,,,
其中：客户资金存款,"6,255,718,319.38","5,568,164,928.06","4,817,985,258.84","5,153,917,117.14","4,940,206,806.50","4,719,477,054.33","5,227,810,134.97","5,370,427,263.84","5,233,629,565.98","5,116,599,659.03","4,761,988,873.34","5,100,918,272.21","5,679,532,314.31","7,341,606,696.72","9,087,312,951.21","13,468,212,145.25","25,220,586,321.83","13,711,702,706.94","13,526,595,668.21","13,038,266,633.31","12,160,856,117.90","9,552,509,836.67","8,798,456,058.74","9,956,541,475.91","9,039,426,905.05","8,863,720,160.55","8,362,625,946.78"
拆入资金,,,,,,,"100,000,000.00","300,000,000.00","470,000,000.00","620,000,000.00","720,000,000.00","1,300,000,000.00",,"1,943,000,000.00","1,773,000,000.00","1,740,000,000.00","2,300,000,000.00","3,600,000,000.00","2,410,000,000.00","1,430,000,000.00","3,800,000,000.00","2,700,000,000.00","1,500,000,000.00","3,000,000,000.00","1,700,000,000.00","3,000,000,000.00","3,800,000,000.00"
存放中央银行款项,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,"244,719,500.00","292,132,800.00","99,179,450.00",,"238,717,203.57"
结算备付金,"572,363,294.21","615,166,697.85","781,698,640.55","1,041,239,435.15","753,579,865.70","679,307,815.68","480,421,775.11","509,373,320.25","559,336,778.22","567,926,279.53","752,020,454.10","745,438,753.39","611,082,292.64","784,164,899.03","1,562,707,546.46","1,341,933,182.23","2,773,620,973.29","2,800,412,601.75","1,680,061,651.58","876,913,559.73","779,226,180.88","2,121,286,513.41","2,524,163,695.47","1,951,754,464.75","2,075,123,306.92","2,741,860,759.75","1,883,518,547.14"
衍生金融负债,,,,,,,,,,,,,,,,,,,"23,641,330.94",,,,,,,,
