科目,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"421,489,294.45","593,891,072.12","1,500,167,011.42","914,454,550.13","1,149,918,414.08","1,931,067,145.65","2,074,996,994.75","895,469,968.13","1,657,862,538.20","2,115,194,792.30","761,630,559.59","3,466,955,434.95","3,897,240,711.39","1,951,581,481.00","1,569,001,361.31","1,639,281,861.61","1,108,209,737.73","496,623,713.79","2,138,074,468.35","1,396,980,534.89","1,554,991,712.30","2,974,076,537.05","3,817,819,971.14","4,076,544,511.99","2,033,363,210.10","1,043,856,050.29","1,911,568,746.06","1,266,949,436.59","1,877,209,236.82","1,344,633,697.15","3,062,701,690.49","3,969,191,895.28","3,575,247,517.07","9,338,833,424.31","7,099,441,699.64","8,836,317,994.62","8,990,615,859.41","8,251,232,502.33","9,147,211,606.15","8,762,410,828.42"
短期借款,,,,,,,,,,,,"200,000,000.00","200,000,000.00","200,000,000.00","250,000,000.00","150,000,000.00","620,000,000.00","670,000,000.00","950,000,000.00","950,000,000.00",,"50,000,000.00","50,000,000.00","50,000,000.00",,,,,,,,,,,,,"400,000,000.00","400,000,000.00",,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"491,857,604.88","169,182,900.00","697,233,239.57","651,070,014.62",
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"3,440,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,"15,200,000.00","14,000,000.00","8,400,000.00","7,000,000.00",,,,,"2,000,000.00","9,579,553.55",,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"30,014,281.88","22,568,150.10","25,506,999.07","23,488,546.61","22,066,040.32","18,953,334.60","30,374,464.47","32,066,415.83","17,057,052.36","7,789,427.11","9,557,791.61","7,934,569.35","4,193,615.55","1,476,322.62","3,878,474.44","2,323,066.10","2,529,935.81","2,895,892.68","3,160,943.16","4,015,401.72","3,432,679.05","4,337,159.50","33,849,183.72","36,083,619.52","51,142,413.73","40,034,186.48","41,767,144.44","45,958,369.69","73,458,069.00","49,147,405.02","113,671,447.29","121,929,404.08","77,692,822.95","67,072,096.36","129,345,200.33","194,554,187.91","129,825,700.56","190,989,694.54","175,915,428.25","291,290,948.17"
应付账款,"671,509,807.79","376,313,724.57","611,928,929.06","545,013,993.60","531,525,697.28","493,902,898.22","494,465,085.73","502,731,813.13","516,242,658.27","464,787,666.56","546,581,576.92","597,444,018.05","439,899,983.77","286,401,826.62","218,971,959.96","218,554,188.02","443,405,256.71","367,656,257.48","313,641,688.85","593,400,306.61","1,142,312,719.52","840,160,180.49","1,769,412,681.16","1,181,840,808.56","1,702,442,765.25","1,371,019,736.43","1,791,559,570.99","1,617,156,107.10","1,661,262,705.48","1,217,005,217.90","1,143,366,167.18","1,303,247,394.65","1,345,396,318.30","1,491,052,887.53","1,107,094,253.07","1,139,367,036.72","2,077,276,066.42","1,817,715,222.69","1,507,574,397.23","1,411,264,876.14"
预付款项,"1,163,777,120.93","3,171,459,433.98","5,336,673,199.05","5,892,733,416.69","6,373,218,311.23","6,708,780,351.70","6,763,518,933.39","8,867,331,913.88","5,396,655,260.40","4,901,805,021.01","9,138,596,071.48","8,143,318,157.01","10,120,893,033.40","10,293,224,604.49","6,044,289,767.63","6,947,268,165.06","4,865,583,199.98","4,391,218,949.13","941,129,891.77","982,993,685.02","1,050,665,172.70","1,432,048,238.08","1,074,941,438.93","1,411,822,590.76","3,266,638,765.34","4,460,266,350.58","3,126,432,020.61","1,582,363,712.02","42,092,549.37","691,281,491.00","757,215,270.00","679,659,017.40","244,883,945.00","265,436,120.80","36,717,520.00","199,992,000.00","36,500,000.00","36,500,000.00","36,500,000.00","36,500,000.00"
预收款项,"3,898,848,668.16","4,241,532,120.45","3,829,822,908.23","3,024,209,592.90","4,260,141,077.34","5,218,984,809.59","7,550,855,347.05","6,430,562,761.38","7,159,646,169.68","8,190,238,973.01","8,230,984,700.03","12,624,461,789.80","12,443,831,890.83","14,109,414,901.89","16,545,278,806.98","16,944,472,395.49","14,713,517,741.69","15,128,113,547.13","18,299,558,317.17","18,737,523,129.03","17,282,755,583.02","19,677,811,670.59","18,132,332,590.88","19,024,006,594.77","16,842,791,485.23","15,061,694,100.67","15,728,750,948.73","14,679,520,378.64","13,469,925,226.64","12,950,164,106.18","14,447,669,694.99","18,012,447,320.54","17,599,349,003.50","18,857,691,154.84","21,317,238,533.17","21,233,643,294.18","19,862,996,417.82","23,310,450,617.17","23,365,537,343.17","28,080,687,195.66"
