科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"254,451,820.45","511,043,718.25","403,965,352.39","1,393,436,606.48","1,155,195,826.61","1,495,558,937.09","1,214,958,220.19","1,219,265,177.65","1,153,124,441.40","1,449,663,654.75","980,220,465.28","833,124,193.72","664,420,561.39","764,900,847.97","762,003,959.39","633,862,056.39","822,809,583.88","786,642,579.79","1,289,593,208.58","1,361,197,718.50","768,456,276.71","779,495,889.78","560,271,190.44","3,372,466,148.40","2,830,234,762.17","3,053,193,624.49","2,720,050,467.42","2,089,132,839.83","1,882,154,023.84","1,582,766,549.21","1,426,544,202.71","2,237,751,681.50"
短期借款,,"30,000,000.00","40,000,000.00","190,500,000.00",,,,,,,,,"40,000.00","40,000.00","233,940,000.00","488,593,000.00","598,754,600.00","569,046,220.00","711,141,217.50","350,000,000.00","250,000,000.00","319,519,482.04","930,778,790.60","470,793,896.01","79,832,364.47","151,711,307.09","136,670,574.60","144,456,224.27","149,052,099.13","245,980,688.16","656,454,237.62","1,365,449,050.65"
交易性金融资产,,,,,,,,,,,,,"97,200,000.00",,,,,,,,,,,"4,347,500.00","2,373,600.00","43,050.00","1,378,350.00","2,950,000.00","40,950,000.00","181,000.00","181,000.00",
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,"336,100.00","336,100.00",,,"527,800.00","666,900.00",,,,,
应收票据,"6,779,600.00","26,149,768.45","42,628,520.00","78,403,685.41","61,645,760.00","152,216,512.78","56,353,429.58","74,032,307.87","62,732,223.93","69,391,057.85","24,645,844.00","39,286,552.81","34,253,977.57","47,386,161.99","34,229,081.00","67,375,728.74","17,709,569.21","47,473,307.84","27,720,267.47","27,119,993.00","44,845,818.34","34,072,067.95","41,582,786.50","45,505,244.11","103,611,565.22","113,134,922.47","109,674,642.65","93,656,686.65","23,756,188.48","91,235,700.84","104,038,750.98","65,212,709.56"
应付票据,"75,125,000.00","203,620,000.00","169,044,680.00","241,550,000.00","261,370,000.00","144,829,000.00","229,480,000.00","243,220,000.00","274,868,000.00","370,651,900.00","423,542,517.07","402,097,513.07","336,517,660.55","462,541,496.29","464,593,650.00","308,757,200.00","310,057,600.00","385,715,560.00","517,188,560.00","514,579,000.00","428,019,000.00","385,220,635.50","547,399,859.70","612,070,000.00","485,780,000.00","645,190,000.00","801,570,000.00","719,925,000.00","554,390,000.00","532,487,278.33","682,909,209.68","656,659,599.68"
应收账款,"243,104,990.98","174,865,071.63","387,871,873.26","544,190,957.23","669,695,053.30","612,485,398.45","719,073,918.97","745,142,161.92","768,957,411.63","624,334,737.04","684,312,406.89","676,559,436.57","732,076,764.04","582,704,010.28","667,854,332.91","722,140,429.80","905,682,820.55","826,025,219.48","775,524,447.26","992,919,196.33","1,142,197,293.78","1,199,568,299.39","1,285,177,805.99","1,352,941,381.97","1,342,906,727.72","1,449,261,389.00","1,314,909,783.24","1,264,457,362.97","1,432,153,062.88","1,495,282,947.19","1,603,484,270.04","1,800,236,664.60"
应付账款,"344,577,040.73","387,319,881.77","603,530,364.67","698,593,548.24","804,780,774.63","755,433,246.51","441,472,936.12","658,241,051.28","662,258,625.48","671,833,468.89","500,466,678.83","531,101,777.21","640,326,484.83","628,629,057.52","515,349,035.57","717,194,998.45","849,310,271.01","769,481,271.29","517,341,103.14","767,243,892.77","1,027,404,454.50","914,394,574.44","1,042,423,791.63","1,028,108,329.85","1,138,657,912.88","1,064,176,414.66","853,360,600.27","994,105,699.57","1,166,385,575.90","1,106,883,059.73","970,947,245.14","1,249,360,635.18"
预付款项,"8,698,290.24","10,343,620.52","34,806,883.35","33,494,245.66","47,928,618.35","36,905,333.98","56,991,530.12","63,401,525.86","49,644,223.44","130,470,185.92","240,515,538.13","61,290,008.73","59,846,782.86","44,353,809.62","52,621,910.24","85,234,987.94","100,345,257.74","37,025,497.69","67,575,873.17","92,848,450.25","141,619,947.42","43,817,770.29","90,829,209.31","123,175,251.70","91,685,837.92","77,830,250.06","116,796,210.47","138,325,828.91","204,049,611.71","47,355,697.34","108,058,986.45","95,445,556.85"
预收款项,"107,802,115.46","106,692,989.87","144,038,641.17","217,318,954.37","246,313,520.48","189,198,065.76","158,723,664.14","171,389,423.28","155,766,310.06","140,634,091.26","95,192,030.96","63,808,438.66","76,761,561.23","80,165,664.58","86,347,793.37","80,706,292.60","88,257,630.74","88,314,590.43","100,750,486.16","72,317,861.98","86,922,286.34","69,260,839.19","68,960,989.64","97,467,465.23","109,310,091.67","79,562,555.06","98,079,665.10","135,316,467.91","153,905,566.60","100,605,754.98","152,423,746.51","148,245,739.88"
