科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"445,582,626.63","547,401,226.95","459,462,849.50","129,197,586.80","243,230,535.96","370,605,891.12","480,060,426.39","115,025,360.32","240,166,599.66","378,209,757.49","511,417,482.36","150,757,556.75","305,338,066.95"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,
收到的税费返还,"24,922,997.02","28,231,034.75","26,643,417.46","5,854,276.42","9,274,602.49","17,575,816.37","24,134,425.37","13,081,088.83","20,922,339.61","30,075,796.45","39,809,386.15","11,511,179.74","20,519,764.45"
支付其他与投资活动有关的现金,,"520,760.00",,"59,906.90",,,,,,,"1,267,567.48",,
收到其他与经营活动有关的现金,"1,373,061.13","2,419,192.16","778,581.83","1,843,307.62","649,861.17","948,419.79","1,528,692.32","737,755.25","993,387.28","1,425,459.48","6,179,704.78","178,646.85","8,916,969.42"
投资活动现金流出小计,"58,405,144.78","20,022,210.80","9,897,514.28","2,022,147.06","3,272,952.57","4,761,705.57","348,806,191.97","3,234,269.31","320,131,042.23","458,751,151.07","536,958,597.85","212,268,631.00","487,282,437.46"
经营活动现金流入小计,"471,878,684.78","578,051,453.86","486,884,848.79","136,895,170.84","253,154,999.62","389,130,127.28","505,723,544.08","128,844,204.40","262,082,326.55","409,711,013.42","557,406,573.29","162,447,383.34","334,774,800.82"
投资活动产生的现金流量净额,"-57,272,551.23","-14,898,105.78","-8,614,087.44","-2,022,147.06","-2,760,477.58","-3,669,738.55","-219,565,220.92","-2,236,345.52","64,059,434.97","40,850,715.58","25,330,122.77","-29,866,121.97","3,756,802.34"
购买商品、接受劳务支付的现金,"320,374,392.99","363,998,145.80","318,981,692.42","58,002,928.75","137,633,389.51","232,370,656.88","323,577,908.44","74,791,275.24","182,649,666.06","292,499,969.13","399,248,596.02","93,761,099.94","227,676,819.56"
吸收投资收到的现金,,,,,"349,466,200.00","349,466,200.00","350,631,060.60",,,,,,
支付给职工以及为职工支付的现金,"48,410,789.70","58,142,102.63","58,365,021.25","18,975,036.85","33,200,264.96","47,189,868.71","63,116,748.66","22,567,765.13","38,816,655.34","54,024,427.10","75,864,583.63","21,797,333.58","41,777,015.08"
取得借款收到的现金,"452,400,390.27","435,646,572.81","320,814,175.51","27,010,932.03","62,010,932.03","62,010,932.03","62,000,000.00",,,,"114,180,548.78",,
支付的各项税费,"15,692,928.51","25,092,125.39","16,567,605.34","8,244,101.82","12,401,023.66","18,766,309.49","21,198,702.44","7,314,635.69","12,096,623.30","17,954,945.36","16,785,154.54","6,204,491.55","10,668,911.75"
收到其他与筹资活动有关的现金,"262,700.00","90,900.00","90,900.00",,"1,535,700.00","1,535,700.00","1,535,700.00",,,,"70,405,000.00","41,167,214.32","41,165,460.00"
支付其他与经营活动有关的现金,"28,291,800.62","27,985,865.66","26,961,532.03","7,535,086.65","11,127,758.56","21,438,237.53","29,994,433.81","8,427,047.16","16,652,859.75","24,643,687.56","41,623,159.67","18,300,977.40","21,221,163.58"
筹资活动现金流入小计,"452,663,090.27","435,737,472.81","320,905,075.51","27,010,932.03","413,012,832.03","413,012,832.03","414,166,760.60",,,,"184,585,548.78","41,167,214.32","41,165,460.00"
