科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"848,484,334.82","812,748,433.91","797,852,618.28","198,499,401.21","460,146,243.60","698,942,658.12","823,327,915.80","180,357,439.01","418,426,136.68","568,321,103.04","903,170,771.35","280,687,868.47","576,667,547.09","942,538,052.47","1,389,061,981.35","381,806,343.96","598,415,264.00","991,699,021.98","1,402,669,935.32","247,129,486.91"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"123,554,674.03","123,554,674.03","225,559,218.17",,,,,
收到的税费返还,,,"136,993.34",,,,,,,,,,"32,179.44","32,179.44","49,179.95",,"8,871.36","3,826,771.87","7,394,687.09",
支付其他与投资活动有关的现金,,"1,608,614.20",,,,,,,"350,000.00","350,000.00",,,,"37,014,000.00",,"40,230,000.00",,,"50,360,000.00","10,000,000.00"
收到其他与经营活动有关的现金,"5,027,404.53","13,337,612.14","5,221,221.21","1,420,318.56","2,681,287.07","2,898,126.66","5,083,812.35","1,228,753.16","6,955,134.04","7,952,092.92","12,308,106.84","824,326.90","3,061,754.97","3,804,250.09","12,825,117.20","874,169.11","31,201,227.98","230,235,490.70","734,943,700.13","11,180,896.31"
投资活动现金流出小计,"66,050,054.89","75,010,587.66","106,495,863.12","15,067,917.21","37,993,055.26","45,880,778.74","224,063,017.85","40,951,512.98","59,359,834.39","79,354,956.32","115,399,942.70","221,037,792.35","242,511,275.73","328,825,485.16","394,974,745.89","48,488,945.06","362,326,386.71","430,859,217.63","65,160,282.59","10,771,363.12"
经营活动现金流入小计,"853,511,739.35","826,086,046.05","803,210,832.83","199,919,719.77","462,827,530.67","701,840,784.78","828,411,728.15","181,586,192.17","425,381,270.72","576,273,195.96","915,478,878.19","281,512,195.37","579,761,481.50","946,374,482.00","1,401,936,278.50","382,680,513.07","629,625,363.34","1,225,761,284.55","2,145,008,322.54","258,310,383.22"
投资活动产生的现金流量净额,"-63,865,054.89","-73,965,587.66","-106,355,863.12","-15,067,917.21","-37,993,055.26","-45,880,778.74","-224,063,017.85","-40,951,512.98","-8,606,800.20","-28,601,922.13","-63,030,641.88","-220,837,792.35","-188,822,848.18","-222,706,376.17","-271,639,692.98","-7,478,945.06","-311,002,783.61","-349,298,203.40","16,210,117.41","-18,804,650.81"
购买商品、接受劳务支付的现金,"591,379,704.44","557,889,704.50","557,437,568.49","113,322,513.55","301,558,135.80","506,002,115.07","506,406,295.63","205,011,413.99","437,055,689.17","466,202,183.72","678,866,183.37","275,649,335.35","497,774,933.49","785,112,019.17","956,726,225.29","400,605,739.88","569,824,932.23","1,275,520,904.79","1,965,585,747.35","169,310,116.67"
吸收投资收到的现金,,,,,"325,874,000.00","325,874,000.00","325,874,000.00","2,450,000.00","6,450,000.00","6,450,000.00","6,450,000.00","234,247,465.50","229,999,970.50","227,299,970.50","228,049,971.24",,,,,
支付给职工以及为职工支付的现金,"99,078,563.87","90,717,701.82","97,582,666.05","25,550,763.92","56,593,462.82","78,541,223.34","110,068,028.75","25,623,486.60","66,446,002.30","102,604,762.54","140,899,746.50","35,158,668.60","76,733,911.97","112,432,433.08","167,391,899.97","55,937,810.96","105,712,380.13","153,513,833.04","199,263,961.95","39,697,091.20"
取得借款收到的现金,"150,025,433.37","381,363,301.84","279,763,049.00","134,966,909.85","204,196,909.85","286,599,962.36","321,286,909.85","206,729,700.00","383,000,000.00","484,558,900.00","558,571,372.00","250,600,000.00","322,600,000.00","452,600,000.00","454,362,200.00","261,210,000.00","438,310,000.00","456,310,000.00","656,310,000.00",
支付的各项税费,"33,949,514.58","22,384,153.05","31,694,447.50","4,444,741.09","15,044,712.51","23,662,941.32","28,682,860.11","4,531,684.94","16,975,692.49","25,157,660.68","36,359,337.77","9,564,947.50","22,833,943.28","32,503,743.76","46,993,786.66","22,787,822.04","39,865,258.93","52,077,390.67","59,413,866.05","13,111,928.96"
收到其他与筹资活动有关的现金,"853,696.53",,"36,312,753.71",,,,"12,240,261.24",,"7,442,781.49",,"3,000,612.79","4,075,321.98","28,450,197.29","17,532,278.67","19,521,094.97","15,365,943.79","4,392,905.52","9,016,061.10","48,564,481.88","1,330,503.89"
支付其他与经营活动有关的现金,"52,544,181.08","56,795,281.60","55,268,660.10","17,656,862.23","28,249,720.65","42,321,976.47","66,110,824.93","18,384,974.76","52,553,022.90","66,990,987.50","110,805,351.95","22,094,992.48","48,591,692.18","84,395,127.77","132,817,721.84","51,820,268.81","93,419,787.79","117,540,653.00","941,719,058.49","25,818,538.44"
筹资活动现金流入小计,"150,879,129.90","381,363,301.84","316,075,802.71","134,966,909.85","530,070,909.85","612,473,962.36","659,401,171.09","209,179,700.00","396,892,781.49","491,008,900.00","568,021,984.79","488,922,787.48","581,050,167.79","697,432,249.17","1,195,933,266.21","276,575,943.79","442,702,905.52","465,326,061.10","704,874,481.88","1,330,503.89"
经营活动现金流出小计,"776,951,963.97","727,786,840.97","741,983,342.14","160,974,880.79","401,446,031.78","650,528,256.20","711,268,009.42","253,551,560.29","573,030,406.86","660,955,594.44","966,930,619.59","342,467,943.93","645,934,480.92","1,014,443,323.78","1,303,929,633.76","531,151,641.69","808,822,359.08","1,598,652,781.50","3,165,982,633.84","247,937,675.27"
偿还债务支付的现金,"159,196,681.71","282,796,880.16","244,064,041.00","100,611,909.85","209,206,667.69","302,588,041.57","415,420,313.85","33,220,000.00","144,530,600.00","267,078,400.00","318,908,588.00","143,427,264.00","205,664,528.00","318,770,512.00","467,560,284.00","215,810,000.00","303,800,000.00","323,000,000.00","334,923,168.66","290,891.27"
经营活动产生的现金流量净额,"76,559,775.38","98,299,205.08","61,227,490.69","38,944,838.98","61,381,498.89","51,312,528.58","117,143,718.73","-71,965,368.12","-147,649,136.14","-84,682,398.48","-51,451,741.40","-60,955,748.56","-66,172,999.42","-68,068,841.78","98,006,644.74","-148,471,128.62","-179,196,995.74","-372,891,496.95","-1,020,974,311.30","10,372,707.95"
分配股利、利润或偿还利息支付的现金,"19,308,170.64","20,451,826.71","16,889,312.45","6,290,116.11","10,043,621.51","15,288,409.24","18,061,606.84","4,372,929.85","11,877,554.92","29,071,740.85","43,310,930.25","5,768,178.65","13,081,420.36","42,400,510.90","48,231,392.28","4,917,953.09","15,488,466.89","35,670,040.60","82,175,363.08",
收回投资收到的现金,,,,,,,,,"50,000,000.00","50,000,000.00","50,000,000.00",,"53,456,194.36","105,622,868.70","121,022,868.70",,"50,360,000.00","79,297,411.13","28,937,411.13",
支付其他与筹资活动有关的现金,"4,685,000.00","75,573,036.02","1,600,000.00","33,176,455.31","1,960,441.83","15,661,699.42","6,230,389.34","6,538,972.85","1,750,000.00","15,476,903.78","943,396.23","9,749,999.26","11,367,923.83","21,658,136.08","22,823,112.03","4,780,394.16","75,722,990.64","27,057,185.02",,
取得投资收益收到的现金,,,,,,,,,,,,,"14,733.19","278,740.29","297,363.00",,"183,603.10","183,603.10","183,603.10",
筹资活动现金流出小计,"183,189,852.35","378,821,742.89","262,553,353.45","140,078,481.27","221,210,731.03","333,538,150.23","439,712,310.03","44,131,902.70","158,158,154.92","311,627,044.63","363,162,914.48","158,945,441.91","230,113,872.19","382,829,158.98","538,614,788.31","225,508,347.25","395,011,457.53","385,727,225.62","417,098,531.74","290,891.27"
处置固定资产、无形资产和其他长期资产收回的现金净额,"2,185,000.00","245,000.00","140,000.00",,,,,,"753,034.19","753,034.19","2,369,300.82","200,000.00","217,500.00","217,500.00","2,014,821.21","780,000.00","780,000.00","2,080,000.00","1,889,385.77","-8,033,287.69"
筹资活动产生的现金流量净额,"-32,310,722.45","2,541,558.95","53,522,449.26","-5,111,571.42","308,860,178.82","278,935,812.13","219,688,861.06","165,047,797.30","238,734,626.57","179,381,855.37","204,859,070.31","329,977,345.57","350,936,295.60","314,603,090.19","657,318,477.90","51,067,596.54","47,691,447.99","79,598,835.48","287,775,950.14","1,039,612.62"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-138,512.40","632,821.59","287,145.01","772,679.86","687,685.08","636,108.70","1,537,378.19","749,303.30","773,209.61","2,797,076.03","-5,421,782.41","-1,053,834.07","-2,220,176.08","894,699.83","-5,141,837.98","-6,051,065.26","-4,262,362.97","-2,657,329.80","3,525,475.61","-736,280.50"
收到其他与投资活动有关的现金,,"800,000.00",,,,,,,,,,,,,,"40,230,000.00",,,"50,360,000.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"2,185,000.00","1,045,000.00","140,000.00",,,,,,"50,753,034.19","50,753,034.19","52,369,300.82","200,000.00","53,688,427.55","106,119,108.99","123,335,052.91","41,010,000.00","51,323,603.10","81,561,014.23","81,370,400.00","-8,033,287.69"
五、现金及现金等价物净增加额,"-19,754,514.36","27,507,997.96","8,681,221.84","19,538,030.21","332,936,307.53","285,003,670.67","114,306,940.13","52,880,219.50","83,251,899.84","68,894,610.79","84,954,904.62","47,129,970.59","93,720,271.92","24,722,572.07","478,543,591.68","-110,933,542.40","-446,770,694.33","-645,248,194.67","-713,462,768.14","-8,128,610.74"
购建固定资产、无形资产和其他长期资产支付的现金,"66,050,054.89","73,401,973.46","106,495,863.12","15,067,917.21","37,993,055.26","45,880,778.74","99,083,017.85","40,951,512.98","59,009,834.39","75,901,956.32","105,316,942.70","4,397,922.35","41,676,601.70","58,660,136.79","44,418,853.38","5,658,945.06","288,366,386.71","360,399,217.63","11,200,282.59","771,363.12"
期初现金及现金等价物余额,"124,292,771.71","104,538,257.35","132,046,255.31","140,727,477.15","140,727,477.15","140,727,477.15","140,727,477.15","255,034,417.28","255,034,417.28","255,034,417.28","255,034,417.28","339,989,321.90","339,989,321.90","323,929,028.07","339,989,321.90","818,532,913.58","818,532,913.58","818,532,913.58","818,533,661.66","105,070,893.52"
投资支付的现金,,,,,,,"124,980,000.00",,,"3,103,000.00","10,083,000.00","216,639,870.00","77,280,000.00","109,596,674.34","124,996,674.34","2,600,000.00","73,960,000.00","70,460,000.00","3,600,000.00",
期末现金及现金等价物余额,"104,538,257.35","132,046,255.31","140,727,477.15","160,265,507.36","473,663,784.68","425,731,147.82","255,034,417.28","307,914,636.78","338,286,317.12","323,929,028.07","339,989,321.90","387,119,292.49","433,709,593.82","348,651,600.14","818,532,913.58","707,599,371.18","371,762,219.25","173,284,718.91","105,070,893.52","96,942,282.78"
