科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"687,903,255.96","921,140,896.46","1,017,448,257.43","224,725,789.49","476,392,987.32","746,700,968.22","1,300,774,555.52","202,355,718.59","559,341,353.46","830,044,996.55","1,399,251,367.13","228,043,179.23","527,264,103.79","954,897,221.79","1,620,536,078.90","327,938,710.46","710,064,945.20","1,117,572,043.99","1,832,724,516.25","321,019,205.54","852,911,519.45","1,243,612,402.32","1,896,866,297.47","397,463,943.61","848,402,367.58","1,330,001,534.68","2,192,615,218.23","338,502,077.49","975,127,734.44","1,665,824,167.12","2,870,588,232.49"
二、营业利润,"42,443,506.46","54,645,262.28","79,994,825.27","15,929,742.21","28,600,571.48","42,540,834.26","100,455,113.13","14,327,918.88","34,397,765.94","54,224,503.13","117,713,335.83","12,962,627.28","27,294,971.70","61,515,746.00","137,235,440.21","20,920,208.40","43,894,165.53","72,351,383.21","144,266,624.45","12,545,844.24","22,418,260.36","29,797,063.15","85,154,930.81","4,824,295.61","21,147,333.59","39,007,067.67","118,963,296.99","551,089.58","34,977,809.80","90,127,161.96","306,180,059.66"
减:营业成本,"594,960,227.22","804,194,626.97","861,179,028.84","190,691,037.35","404,775,409.42","639,581,812.04","1,088,618,801.56","168,135,256.64","470,440,585.39","694,988,538.29","1,153,341,474.05","186,839,054.11","436,641,718.22","789,223,194.23","1,314,746,075.96","267,778,612.04","588,290,846.34","929,835,130.22","1,504,664,397.94","274,669,527.81","740,836,684.14","1,079,036,823.84","1,602,428,691.69","344,834,542.91","754,690,155.83","1,178,573,446.31","1,903,688,976.12","304,907,585.71","861,700,452.51","1,456,508,927.06","2,380,829,908.47"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"22,243,530.03","30,505,615.46","33,659,108.94","7,579,455.98","15,931,064.79","25,014,446.03","43,109,450.05","6,544,200.05","19,392,926.41","29,089,568.98","48,255,191.58","7,416,811.25","17,606,284.86","31,185,514.73","53,454,243.21","10,990,152.10","22,059,104.43","34,798,014.59","59,561,752.81","10,344,326.50","27,920,731.48","41,983,844.09","60,585,149.41","12,766,587.23","9,860,363.77","10,712,988.48","17,367,998.62","1,213,016.51","7,827,969.64","10,461,749.48","15,373,763.89"
营业外收入,"1,927,165.98","4,498,322.51","1,344,343.43","313,000.00","313,000.00","521,095.54","4,180,095.54","3,717,635.35","3,724,783.35","4,309,783.35","5,604,631.44","1,365,900.00","1,515,900.00","1,867,161.54","2,719,136.98","377,345.80","474,415.48","5,763,465.61","7,076,711.77","79,000.00","2,883,969.28","9,581,147.09","8,909,536.54","204,439.50","1,023,115.04","7,002,868.08","10,558,509.72","974,943.01","221,680.44","381,615.36","136,274.99"
销售费用,,,,,,,,,,,,,,,,,,,,,"106,975.86","138,507.39",,,,,,,,,
减:营业外支出,"1,278,310.71","863,919.41","1,351,903.13","206,134.27","453,830.15","768,254.20","1,309,145.64","189,473.95","562,270.32","861,195.58","1,452,440.82","231,049.84","536,600.47","991,640.01","1,807,459.32","419,222.62","769,797.11","1,327,934.82","2,044,393.86","305,153.72","855,765.79","1,419,477.08","2,126,613.13","461,302.75","738,071.32","921,304.33","1,166,287.70","165,651.09","181,332.82","228,158.07","333,126.71"
管理费用,"21,304,548.75","23,802,726.33","26,897,909.93","6,207,375.96","14,067,160.96","22,343,623.57","36,378,726.29","11,420,843.91","23,306,845.63","33,755,633.90","50,498,267.46","14,908,644.45","29,612,160.38","47,479,790.15","67,035,100.61","18,447,555.55","36,139,991.64","55,409,360.64","78,237,619.94","18,031,601.06","36,800,248.43","56,314,802.85","87,042,721.66","18,214,663.91","35,529,792.93","54,296,083.16","84,649,372.88","20,435,020.93","53,167,626.30","67,905,851.91","100,089,266.90"
其中:非流动资产处置净损失,"528,360.86","16,463.69","313,354.23",,,,,,"3,280.41",,"19,663.02",993.60,993.60,993.60,"120,775.81",,,,,,,,"43,507.78","1,302.40","1,302.40","1,302.40","5,561.89","33,507.68","7,312.29","7,457.92",
