科目,2011-12-31,2012-12-31,2013-12-31,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"180,982,005.09","104,126,040.55","76,691,134.56","227,064,436.39","75,458,888.23","1,155,149,163.89","275,439,946.83","328,388,629.83","424,717,640.58","549,804,879.30","888,362,274.77","964,597,136.72","285,271,467.38","580,132,139.99","383,202,990.79","544,767,417.71","820,090,270.19","549,172,871.13"
短期借款,"346,793,005.30","498,467,061.00","527,592,317.73","671,039,504.26","504,898,599.94","1,131,163,588.39","946,999,435.13","659,218,076.79","607,796,865.44","599,949,974.26","956,271,005.89","1,188,580,788.06","915,468,719.67","965,577,203.67","779,400,286.65","690,565,798.94","675,374,819.90","685,389,728.97"
交易性金融资产,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,
应收票据,"326,666,093.33","467,890,976.25","414,014,930.83","531,594,313.69","364,760,550.78","680,407,622.09","808,158,645.26","726,767,481.74","676,028,980.68","238,027,367.41","350,973,666.12","321,096,812.91","337,130,826.75","408,493,828.19","348,414,327.90","439,377,213.35","878,730,013.95","484,063,345.04"
应付票据,"317,156,061.80","171,961,259.31","84,215,185.42","93,002,529.02","95,427,764.61","96,564,745.79","97,470,999.22","92,809,663.61","95,907,315.87","99,260,970.73","93,520,382.57","118,008,343.96","186,951,593.95","295,480,486.86","345,794,655.09","366,805,215.71","421,112,951.58","368,155,895.35"
应收账款,"1,048,428,776.75","1,159,183,350.45","1,268,461,743.21","1,224,046,723.29","1,451,822,767.11","1,406,523,452.60","1,462,830,117.63","1,364,065,568.65","1,458,118,857.96","1,415,147,044.04","1,294,413,766.86","1,624,128,530.22","1,376,367,003.98","1,483,669,387.85","1,341,772,111.48","1,450,790,377.53","1,266,417,530.46","1,297,781,790.22"
应付账款,"1,008,593,199.65","1,218,439,018.32","1,158,931,256.77","1,287,746,500.39","1,299,169,255.03","1,209,713,459.14","1,377,230,319.29","1,288,793,073.30","1,248,393,432.60","1,171,815,027.96","1,024,056,606.78","1,384,637,896.07","1,228,417,406.74","1,292,048,002.04","1,166,157,025.26","1,482,026,854.01","1,588,753,231.36","1,505,086,184.57"
预付款项,"9,556,197.23","3,132,558.70","30,892,017.66","21,116,957.04","20,041,983.97","23,023,712.85","7,259,371.13","20,698,406.81","21,759,637.79","28,377,174.42","11,707,720.96","31,043,661.59","27,371,938.31","17,577,419.53","62,092,460.37","68,900,912.31","30,913,300.38","56,976,254.56"
预收款项,"10,671,974.80","17,125,292.14","21,043,158.01","59,330,771.43","47,784,249.58","68,414,166.44","31,628,154.17","27,620,697.05","20,570,572.73","34,624,645.30","44,212,881.70","24,435,577.80","14,220,882.11","31,387,463.53","23,795,425.57","16,716,223.63","13,323,325.75","20,077,588.52"
其他应收款,"8,497,288.45","9,331,402.54","9,733,950.44","10,362,294.01","9,051,163.57","937,566.57","7,424,237.55","12,278,727.76","12,415,207.12","19,185,168.14","23,415,649.21","30,610,588.40","13,006,536.17","26,053,309.36","18,785,172.42","21,389,572.98","13,997,644.97","17,062,854.95"
应付职工薪酬,"33,413,272.00","54,351,655.88","75,287,055.66","41,310,475.89","105,883,120.77","50,970,035.09","56,332,865.51","70,623,331.16","112,158,100.32","61,371,507.56","57,937,353.69","60,265,484.11","115,874,086.07","71,291,337.73","48,568,065.41","51,363,029.96","76,397,304.24","45,772,244.40"
应收关联公司款,,,,,,,,,,,,,,,,,,
应交税费,"16,246,360.78","25,887,106.41","14,475,120.74","36,403,001.48","18,246,391.31","25,542,350.48","29,104,124.88","27,965,053.70","24,060,017.24","23,717,518.91","25,925,042.92","43,939,882.06","34,303,254.28","32,095,553.19","15,862,064.47","23,763,731.09","14,782,776.81","6,135,525.98"
应收利息,,,,,,,,,,"217,623.10","1,670,197.63","3,718,093.60","6,916,918.80","18,417,129.79","5,307,306.61","13,481,127.86","6,747,767.68","11,428,503.66"
应付利息,"1,711,654.03","2,902,582.15","4,574,790.47","5,050,439.46","7,543,571.66","11,694,901.92","5,545,419.63","1,596,220.20","2,388,334.00","3,816,288.13","3,955,257.73","3,478,677.82","5,354,348.64","3,659,420.25",,"878,417.28","579,126.93",
应收股利,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,"2,297,610.00","2,297,610.00","2,228,765.00","1,337,259.00","3,139,869.00","3,139,869.00","2,871,108.00","2,871,108.00"
存货,"446,966,465.29","512,317,016.59","496,621,125.75","708,024,496.94","613,748,645.42","594,790,730.68","671,607,159.17","738,355,386.32","674,808,624.84","675,461,418.90","646,025,184.73","600,690,616.23","760,319,410.42","734,411,209.79","688,355,445.59","853,437,694.11","786,851,476.57","890,024,289.79"
其他应付款,"2,984,338.97","7,492,467.17","5,071,992.37","3,925,322.71","3,960,682.81","1,165,621.48","3,892,235.50","4,219,847.22","160,684,382.64","160,599,517.98","168,804,922.32","174,800,997.35","119,974,232.07","134,963,365.24","122,514,577.11","133,403,997.12","61,265,629.08","63,564,782.28"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,
其他流动资产,"37,466,327.16","82,103,938.03","51,720,063.14","45,186,605.12","57,700,058.45","92,586,726.13","596,952,056.99","112,047,758.36","101,409,339.71","255,293,335.02","1,762,120,670.93","2,059,701,586.32","2,536,117,694.27","2,299,079,635.60","2,182,828,041.01","1,855,215,330.13","1,468,163,816.05","1,695,605,230.34"
其他流动负债,,,,,,,,,,,,,,,,,,
