科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月
销售商品、提供劳务收到的现金,"10,002,027,616.79","22,009,003,216.67","33,231,229,684.82","50,302,427,676.37","13,444,388,216.60","34,944,537,993.66","49,918,466,315.93","73,197,121,636.54","7,134,009,083.30","18,757,911,569.71","25,593,331,034.98","53,510,680,694.75","9,730,693,328.94","17,518,506,137.46","26,369,125,262.78","66,195,222,145.51","9,065,580,853.24","24,879,521,817.06","34,120,409,971.94","94,957,241,154.52","6,813,729,299.79","19,301,645,918.14","27,723,701,344.36","95,250,642,839.09","9,374,513,414.58","17,400,020,880.40","27,285,298,675.56","92,071,943,040.59","8,490,836,019.94","17,533,658,194.88","28,623,776,114.98","103,782,117,946.00","18,160,244,953.58","32,097,823,848.94","48,388,145,869.97","64,395,413,643.99","12,414,966,480.69","34,961,687,057.25","54,848,789,819.52"
取得子公司及其他营业单位支付的现金净额,,,,"4,432,636,647.84",,,,"4,217,086,114.21",,,,"53,717,112.69",,,,,,"5,928,645,880.08","5,928,645,880.08",,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,"354,603,380.94",,"24,559.15","584,549,636.44","1,272,825,586.79","72,787,232.62","72,787,232.62","72,824,232.62","72,824,232.62","1,201,852,064.19","1,201,852,064.19","1,202,526,263.21","1,502,526,263.21","669,200.00","902,034.88","1,862,457.25","29,491,767.54","874,500.00","30,614,386.95","31,253,005.44","60,851,338.41",,"4,319,983.83","5,001,139.15","5,792,378.10","3,084,696.63","3,828,352.02","4,445,618.70","418,699,593.89","147,634,845.26","241,455,072.97","310,285,120.57","405,099,673.91","46,735,680.81","100,161,161.55","153,911,508.15"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,"147,950.92",,"2,767,340.49",,,,,,,,,,,"440,652,233.93",,,,,,,
收到其他与经营活动有关的现金,"5,200,877.14","9,493,789.42","13,185,670.38","41,512,022.91","44,913,076.19","70,537,389.76","100,592,669.26","41,013,825.10","4,922,836.72","12,789,208.64","17,061,429.78","56,325,204.18","6,792,921.92","20,419,415.44","28,054,036.66","25,960,275.63","5,272,833.77","22,674,981.74","80,642,560.42","98,535,791.00","217,027,439.73","49,347,388.51","72,262,839.23","102,215,543.16","34,228,043.44","58,403,164.41","105,359,482.38","157,158,516.57","140,599,815.96","86,789,110.82","161,980,880.50","333,435,388.55","41,405,926.58","93,546,256.20","143,431,796.05","225,743,756.48","36,777,611.59","103,845,227.76","216,063,837.23"
投资活动现金流出小计,"1,768,882,788.98","4,449,221,963.33","7,508,317,827.46","14,823,800,128.77","2,953,684,882.22","6,088,019,729.04","10,413,166,423.53","15,933,992,930.85","1,484,441,684.04","2,954,995,938.78","3,619,004,952.99","3,568,237,511.75","579,789,557.91","1,826,327,248.03","2,364,479,498.27","3,761,721,293.42","687,157,639.21","7,593,066,031.53","7,939,540,508.06","11,211,681,881.23","287,786,531.08","481,252,919.25","862,005,886.53","4,997,566,322.87","84,828,135.25","119,138,364.03","175,259,420.96","2,665,473,454.00","109,935,712.57","284,527,619.97","490,645,872.97","3,329,630,087.79","579,889,561.49","912,994,847.35","1,131,037,653.84","1,397,336,673.86","275,699,880.01","2,311,313,505.35","2,558,585,172.42"
经营活动现金流入小计,"10,007,228,493.93","22,018,497,006.09","33,244,415,355.20","50,698,543,080.22","13,489,301,292.79","35,015,099,942.57","50,603,608,621.63","74,510,961,048.43","7,211,719,152.64","18,843,488,010.97","25,683,216,697.38","53,639,830,131.55","10,939,338,315.05","18,740,777,617.09","27,599,705,562.65","67,723,708,684.35","9,071,522,887.01","24,903,098,833.68","34,202,914,989.61","95,085,268,713.06","7,031,631,239.52","19,381,607,693.60","27,827,217,189.03","95,413,709,720.66","9,408,741,458.02","17,462,744,028.64","27,395,659,297.09","92,234,893,935.26","8,634,520,532.53","17,624,275,657.72","28,790,202,614.18","104,534,252,928.44","18,349,285,725.42","32,432,825,178.11","48,841,862,786.59","65,026,257,074.38","12,498,479,773.09","35,165,693,446.56","55,218,765,164.90"
投资活动产生的现金流量净额,"-1,756,737,861.57","-4,435,365,820.03","-7,445,191,192.41","-14,754,265,019.57","-2,944,341,339.24","-6,053,130,422.13","-8,893,727,557.68","-15,839,213,697.76","-1,484,441,684.04","-2,707,089,248.60","-3,101,062,617.17","-2,795,286,638.06","-579,786,657.91","-1,777,023,203.96","-2,258,174,454.20","-3,654,876,249.35","-687,157,639.21","-7,542,152,258.53","-7,830,250,226.59","-11,101,850,899.76","-287,741,819.33","-480,978,849.25","-804,128,640.29","-4,154,000,324.44","-84,828,135.25","-115,718,364.03","-127,608,154.96","-2,391,910,684.90","-89,817,492.57","-264,409,399.97","-446,072,368.87","-3,058,269,595.72","-511,129,561.49","-838,134,749.85","-1,014,527,856.49","-1,247,347,134.06","-176,239,035.12","-2,208,888,806.71","-2,324,508,481.28"
购买商品、接受劳务支付的现金,"6,218,433,616.04","13,738,763,367.25","21,061,827,492.07","30,955,051,081.51","10,051,165,300.13","25,004,920,676.15","37,698,585,656.35","53,118,721,104.81","4,981,018,386.13","11,672,062,955.66","16,474,971,475.69","39,197,564,362.06","8,531,774,606.62","15,128,221,807.07","20,323,584,700.25","56,563,832,207.69","7,319,941,420.02","20,133,484,899.23","27,841,464,141.57","85,722,539,030.59","3,757,046,893.64","15,047,672,237.93","21,261,538,996.62","84,117,428,423.93","5,965,723,394.76","11,062,690,846.80","18,765,838,371.85","79,495,917,713.82","6,400,031,136.39","12,142,390,046.75","19,868,859,632.15","87,160,327,217.50","15,810,673,549.89","26,278,053,665.63","43,291,642,793.48","59,794,398,666.98","10,599,894,005.46","29,099,530,629.78","47,353,963,982.69"
吸收投资收到的现金,"7,342,500,000.00","7,342,500,000.00","7,342,500,000.00","7,483,859,862.00",,,,,,"1,459,350.14","28,238,438.14","28,238,438.14",,,,,,"8,338,188,953.29","8,338,188,953.29","8,338,188,953.29",,,"33,000,000.00","33,000,000.00","2,500,000.00",,"3,402,896.00","3,402,896.00",,"19,800,000.00","19,800,000.00","69,800,000.00",,,,,,,
支付给职工以及为职工支付的现金,"402,128,626.95","749,938,434.71","1,151,481,788.29","2,423,044,422.74","626,845,005.59","1,284,147,605.38","1,947,922,742.77","2,603,165,783.28","828,873,578.41","1,269,252,683.79","1,935,598,186.54","2,622,562,625.53","758,564,055.87","1,374,668,240.21","2,134,155,856.58","2,946,640,919.60","826,169,023.34","2,091,362,735.90","3,154,794,527.84","4,656,709,834.45","1,132,260,253.62","2,292,600,221.74","3,403,710,256.38","4,444,902,373.17","1,289,791,572.90","2,409,788,160.74","3,553,121,040.30","4,787,150,221.48","1,167,162,168.72","2,213,686,806.56","3,346,529,698.34","5,209,140,430.00","1,087,672,900.52","2,080,346,694.50","3,082,523,361.16","4,118,546,553.39","988,719,491.68","1,931,936,467.41","2,807,700,835.92"
