科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"1,565,958,346.02","1,599,321,990.67","1,734,928,075.06","1,693,033,980.39","1,956,042,974.62","2,082,415,831.21","2,199,056,011.34","1,632,497,161.62","2,536,051,111.30","2,858,580,365.91","2,610,291,615.33","1,506,561,639.88","2,173,219,200.12","2,310,590,326.59","1,854,245,606.26","1,756,969,490.59","1,974,289,359.64","2,230,238,664.83","2,003,733,385.17","1,122,432,543.47","1,922,492,503.58","2,703,671,560.74","2,215,300,321.94","1,700,709,885.40","1,678,092,667.31","1,642,490,441.46","1,148,385,879.13","964,887,876.26","969,558,997.66","2,305,537,391.57","1,529,028,185.60","919,025,034.78","916,441,628.02","1,543,123,837.28","1,523,406,962.51","890,124,762.01","1,066,243,887.11","1,034,288,647.98","778,899,718.66","672,584,787.58","705,017,351.06","860,841,485.23","922,524,952.85","615,801,374.33","1,331,614,221.16","981,789,961.53","798,686,634.30","973,193,131.73","735,285,654.51"
短期借款,"1,221,750,000.00","1,189,880,000.00","1,226,250,000.00","1,363,150,000.00","1,462,790,000.00","1,423,250,000.00","1,538,250,000.00","1,472,550,000.00","1,627,050,000.00","2,092,850,000.00","2,100,650,000.00","1,896,150,000.00","2,170,159,955.97","2,091,750,000.00","1,985,950,000.00","2,247,750,000.00","2,443,250,000.00","2,261,250,000.00","2,472,750,000.00","2,059,050,000.00","2,539,250,000.00","2,655,750,000.00","2,581,250,000.00","2,567,750,000.00","2,522,750,000.00","2,242,750,000.00","2,117,416,010.04","2,067,750,000.00","1,814,750,000.00","2,474,560,000.00","2,324,760,000.00","1,888,000,000.00","2,117,750,000.00","2,580,250,000.00","2,552,750,000.00","2,088,000,000.00","2,286,250,000.00","2,097,250,000.00","1,833,250,000.00","1,887,250,000.00","2,103,750,000.00","2,263,750,000.00","2,504,750,000.00","1,858,150,000.00","2,642,950,000.00","2,768,450,000.00","2,273,750,000.00","2,453,750,000.00","2,113,750,000.00"
交易性金融资产,"800,723.77",,,,,,,,,,,,,,,,,,,"17,139,260.32",,,,,"10,000,000.00","15,000,000.00","30,000,000.00","8,900,000.00","5,000,000.00","98,000,000.00","188,000,000.00","148,000,000.00","98,000,000.00","99,360,000.00","98,000,000.00","163,379,900.00","104,312,408.51","80,403,880.41","100,204,428.36",,,,,,,,,,"241,588,494.64"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"6,811,359.69","8,134,712.66","45,248,944.80","4,217,948.56","12,830,387.90","18,738,876.52","17,969,562.57","14,494,331.30","11,736,833.88","22,064,627.07","18,397,517.28","49,075,636.57","28,050,614.78","48,131,248.33","53,015,417.59","26,725,897.23","26,201,862.27","19,018,640.60","49,480,850.58","77,077,302.25","57,367,274.76","61,446,715.43","76,756,505.56","89,430,740.66","88,347,143.18","79,646,576.59","84,165,663.66","48,199,604.49","39,140,698.95","33,734,977.98","31,380,538.43","39,771,555.51","35,346,529.36","30,843,471.44","41,404,745.57","52,962,423.35","41,865,645.35","57,814,083.65","26,284,693.51","47,112,416.61","26,068,470.99","22,744,785.54","39,192,938.37","25,969,521.75","32,532,728.37","20,223,663.11","21,476,969.34","14,728,595.02",
应付票据,"1,287,500,000.00","1,308,500,000.00","1,490,500,000.00","1,184,500,000.00","1,490,731,378.00","1,886,031,378.00","1,987,930,177.55","1,502,210,023.28","2,176,274,825.15","2,101,024,270.00","1,539,923,900.00","905,029,197.90","1,312,937,127.50","1,285,900,000.00","651,400,000.00","781,900,000.00","751,320,000.00","754,320,000.00","411,986,576.38","79,900,000.00","520,663,423.62","830,000,000.00","490,000,000.00","145,000,000.00","435,000,000.00","470,000,000.00","110,000,000.00","70,000,000.00","550,670,000.00","910,000,000.00","499,250,000.00","204,140,000.00","135,592,711.47","380,025,942.10","386,933,230.63","473,250,000.00","468,250,000.00","357,850,000.00","352,850,000.00","164,500,000.00","137,300,000.00","7,300,000.00","71,460,000.00","69,296,400.00","50,816,400.00","35,530,000.00",,"78,610,800.00",
应收账款,"127,897,644.05","124,254,297.26","142,181,046.63","169,824,939.79","169,797,956.00","205,589,097.29","184,268,867.93","118,111,511.75","112,571,223.63","144,042,220.30","189,903,028.66","48,574,424.53","62,834,773.03","55,855,928.82","38,977,526.64","36,426,167.81","43,963,597.01","54,378,508.12","63,946,818.50","48,744,138.81","68,343,422.49","85,881,452.25","82,794,685.75","73,660,874.30","98,430,684.86","80,165,565.83","90,877,807.36","74,099,014.78","71,776,716.75","114,707,325.02","123,340,361.70","127,028,728.16","119,870,636.32","130,577,989.59","147,559,968.57","107,788,178.03","130,298,654.58","126,174,401.42","118,829,651.75","90,534,312.47","127,510,061.45","103,739,223.36","255,588,915.79","194,175,778.83","282,402,132.41","243,771,335.34","250,309,019.06","246,602,818.18",
应付账款,"199,079,728.00","232,897,416.67","272,178,447.35","269,203,943.96","253,645,547.63","343,764,211.50","327,936,524.02","387,353,923.25","206,310,179.03","193,189,585.99","279,752,509.07","233,681,649.31","143,115,285.96","211,030,017.35","259,145,388.44","191,770,949.80","157,569,157.63","164,786,972.08","141,078,050.75","137,457,216.63","128,210,599.42","121,856,293.72","128,740,082.45","229,230,806.90","202,892,616.55","254,796,944.58","231,549,600.48","174,799,105.55","173,693,220.54","183,076,450.86","163,548,613.23","327,329,045.59","338,444,050.40","276,139,603.26","252,748,213.29","189,815,535.54","168,950,446.78","170,733,668.33","164,321,163.86","151,471,662.74","140,052,654.72","153,048,672.38","310,989,531.17","318,806,523.51","347,751,690.53","277,084,944.91",,"316,523,959.84",
预付款项,"144,676,601.90","168,145,279.34","382,835,406.60","369,390,061.07","400,149,161.20","573,430,153.02","556,363,042.35","28,113,871.15","41,636,218.91","60,400,668.10","93,278,503.27","48,471,097.77","101,544,471.54","167,079,188.35","124,764,513.24","75,500,191.18","72,315,415.05","98,956,935.29","105,654,836.45","36,431,401.08","87,594,635.09","82,216,271.34","141,135,436.78","66,112,037.78","103,485,788.23","115,141,027.45","104,992,923.37","88,530,098.22","181,966,400.78","177,448,202.76","168,452,422.25","101,199,009.16","77,290,785.88","112,846,768.45","71,420,751.25","55,359,831.30","60,369,700.49","58,393,728.53","58,596,215.17","41,074,899.14","47,395,944.30","45,696,995.23","63,090,015.56","43,317,973.85","56,715,147.88","54,688,466.41","47,083,416.87","64,917,421.28","76,434,576.71"
预收款项,"37,465,219.08","59,627,467.43","71,601,866.92","24,464,116.11","35,851,486.92","57,691,257.05","56,705,561.18","37,618,962.17","61,847,759.27","121,053,552.94","159,097,579.99","52,106,677.99","66,704,145.35","57,655,797.78","52,631,290.33","24,526,923.14","25,641,647.87","44,009,214.38","49,662,737.45","26,153,577.10","34,216,052.29","29,013,892.51","25,632,965.27","28,957,410.67","35,973,174.38","56,821,334.18","31,761,972.95","35,694,780.18","22,546,011.75","46,275,732.13","22,157,621.27","16,578,186.06","20,217,047.00","15,356,110.45","13,530,930.63","17,241,944.06","21,368,601.09","12,048,950.51","17,202,443.27","12,000,026.88","9,984,128.10","10,699,519.55","36,065,511.98","29,630,863.59","44,197,241.73","30,606,566.16","27,325,789.98","53,506,312.34","40,680,032.71"
