科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"464,071,726.99","894,708,303.91","1,426,335,247.33","1,897,662,548.84","476,939,928.05","891,620,141.38","1,344,923,167.50","1,631,592,578.23","225,048,985.06","480,336,846.78","739,575,025.27","962,113,697.14","211,864,346.19","476,243,748.22","711,363,325.19","959,711,165.91","296,853,928.87","509,357,493.49","773,155,389.99","1,130,848,840.24","203,755,333.97","324,696,063.17","606,068,049.92","793,333,079.49","169,727,651.37","291,077,437.43",,"737,477,183.18","137,018,607.19","280,957,191.78","480,675,505.80","732,670,083.94","88,673,246.00","313,558,799.80","442,347,414.43","561,449,028.00","123,673,016.45","264,631,666.91","433,430,399.70","662,020,373.61","236,562,250.19","820,674,181.97","1,171,003,101.15"
取得子公司及其他营业单位支付的现金净额,,,,,,,,"8,378,197.99",,,,,,,,"12,325,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"19,685,893.85","51,252,788.42","75,520,604.04","88,439,346.52","13,206,487.39","30,542,870.19","45,363,519.31","53,232,726.99","8,188,865.03","26,535,214.31","49,233,648.52","67,312,393.09","9,738,376.26","34,667,569.38","55,476,904.66","67,724,139.59","15,088,282.37","25,096,649.31","49,169,407.86","62,506,495.27","8,125,415.21","11,608,752.90","34,168,055.25","46,950,350.65","14,060.32","24,452,690.74","34,828,340.46","34,115,755.79","23,915,987.70","41,806,682.82","54,738,623.61","55,176,176.49","24,710,316.13","28,174,568.56","41,044,426.05","47,413,354.66","8,685,720.73","11,936,202.97","19,058,928.76","31,542,072.35","8,292,018.55","18,125,650.09","29,457,890.07"
支付其他与投资活动有关的现金,,,,,"813,004.72","30,908,886.39",,,"98,474,205.66","51,390,301.83",,"8,800,000.00","2,212,733.53","2,241,768.31","2,288,663.34","2,385,000.00","213,057.22",,"2,687,952.83","31,034,803.00","7,641.03",,"750,000.00","608,576.92","-5,969.15",,,"78,798,787.20","30,001,388.00","76,591,579.99","77,219,041.91","46,591,579.99","20,000,000.00","20,000,000.00","20,002,522.86","2,232,887.99","1,798,998.27","1,829,033.27","41,085,740.47",,,,"993,742.37"
收到其他与经营活动有关的现金,"10,636,175.65","98,886,206.32","69,927,571.11","97,352,985.03","35,082,370.06","89,954,716.21","201,299,814.48","7,819,404.21","15,077,692.88","26,463,618.76","22,938,889.08","6,556,860.68","45,369,884.62","79,828,979.54","118,714,802.48","6,648,312.18","34,161,401.77","27,211,417.15","113,954,130.76","23,338,035.31","27,252,807.54","46,340,983.41","61,193,663.80","14,948,079.51","9,157,380.10","57,599,595.32","509,902,417.33","36,334,651.05","87,911,576.41","20,380,428.56","98,547,406.31","145,997,917.66","3,187,446.77","26,361,680.41","34,500,300.72","22,542,709.16","30,184,237.61","13,943,913.00","16,719,831.93","31,902,183.33","10,024,867.38","12,015,425.37","33,378,550.39"
投资活动现金流出小计,"7,789,504.80","12,834,952.41","27,415,908.80","33,810,812.53","82,301,554.73","91,912,643.10","119,651,688.23","509,400,755.74","111,025,435.17","76,943,904.44","89,254,493.64","367,470,063.41","105,801,360.15","80,098,151.32","122,153,574.19","1,526,577,153.87","479,428,624.60","667,226,034.53","1,924,773,657.67","2,519,335,162.33","66,917,509.64","137,510,844.33","91,163,931.57","223,867,284.54","33,975,685.78","74,301,862.93","74,638,119.64","329,815,200.44","65,471,597.25","117,172,765.62","128,560,548.35","108,597,671.79","30,126,768.60","35,687,351.48","37,921,006.00","41,224,218.72","18,727,882.09","48,393,069.69","64,006,378.35","114,869,820.87","34,852,741.62","29,571,441.73","35,003,116.31"
经营活动现金流入小计,"494,393,796.49","1,044,847,298.65","1,571,783,422.48","2,083,454,880.39","525,228,785.50","1,012,117,727.78","1,591,586,501.29","1,692,644,709.43","248,315,542.97","533,335,679.85","811,747,562.87","1,035,982,950.91","266,972,607.07","590,740,297.14","885,555,032.33","1,034,083,617.68","346,103,613.01","561,665,559.95","936,278,928.61","1,216,693,370.82","239,133,556.72","382,645,799.48","701,429,768.97","855,231,509.65","178,899,091.79","373,129,723.49","544,730,757.79","807,927,590.02","248,846,171.30","343,144,303.16","633,961,535.72","933,844,178.09","116,571,008.90","368,095,048.77","517,892,141.20","631,405,091.82","162,542,974.79","290,511,782.88","469,209,160.39","725,464,629.29","254,879,136.12","850,815,257.43","1,233,839,541.61"
投资活动产生的现金流量净额,"1,767,903.25","2,038,852.39","41,948,094.77","195,570,143.28","-32,059,723.02","-81,843,116.93","-98,130,120.36","39,694,017.47","-84,626,891.40","-74,859,794.67","-85,336,831.75","-130,279,901.77","-45,338,258.33","-56,363,128.87","-96,629,373.79","-522,925.23","-26,637,341.58","-104,330,389.22","-104,023,694.51","-66,138,464.96","-20,484,856.50","-27,250,991.13","-31,733,093.73","22,395,056.03","68,713,842.29","45,940,996.85","121,805,239.52","31,928,052.80","-39,843,846.68","-80,168,891.76","-86,844,091.27","-102,683,435.57","-27,606,496.90","-9,448,557.48","-11,534,856.70","23,513,177.69","-12,132,882.09","-18,603,382.47","-32,509,948.49","11,692.77","-11,303,784.34","23,185,851.79","25,886,825.86"
购买商品、接受劳务支付的现金,"427,159,171.93","834,942,439.87","1,311,004,763.27","1,719,384,430.30","456,447,039.24","836,467,785.43","1,259,701,744.42","1,486,405,060.39","182,154,432.97","409,369,505.94","659,132,145.17","865,400,025.48","186,330,389.99","448,951,325.47","687,083,538.57","874,628,898.10","284,643,769.29","484,302,282.43","708,610,245.21","1,019,234,262.98","181,352,705.32","307,603,203.42","538,829,123.31","711,845,747.51","134,032,187.01","279,837,713.30","432,250,233.18","656,958,716.36","116,445,542.94","289,457,949.84","454,116,461.02","663,598,195.36","96,240,291.41","289,259,963.37","397,556,916.24","457,158,759.58","93,310,150.19","214,551,599.13","357,998,989.91","526,521,102.87","226,211,699.37","705,909,096.92","1,037,568,166.41"
吸收投资收到的现金,,,,,,,,"9,000,000.00",,,,,,"33,915,500.00","33,915,500.00","44,265,500.00","32,000,000.00",,,,,,,,,,,"19,200,000.00",,,,,"8,400,000.00","8,400,000.00","8,400,000.00","8,400,000.00",,,,,,,
