科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"46,336,415.07","46,797,168.01","12,695,145.89",,"13,200,199.94","377,633,534.59","224,009,829.31","203,093,791.85","156,472,076.41","79,325,989.78","130,517,772.13","259,203,144.64"
短期借款,"113,500,000.00","201,000,000.00","159,000,000.00",,"186,000,000.00","246,000,000.00","128,000,000.00","208,000,000.00","155,000,000.00","256,500,000.00","96,500,000.00","228,500,000.00"
交易性金融资产,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,
应收票据,"100,000.00","1,000,000.00","1,360,000.00",,"710,000.00","4,645,525.00","3,150,000.00",,,"100,000.00","600,000.00","500,000.00"
应付票据,,"41,483,347.09","650,000.00",,"6,600,000.00","16,600,000.00","10,000,000.00","17,460,000.00","26,560,000.00","22,700,000.00","34,471,766.29","155,170,331.15"
应收账款,"123,536,447.49","165,553,974.99","154,030,446.76",,"162,055,960.68","165,830,355.44","177,940,878.17","145,568,294.82","152,253,504.27","153,823,725.26","299,378,566.80","307,489,996.00"
应付账款,"235,752,322.92","244,311,281.75","309,025,242.06",,"386,501,413.37","367,759,666.68","375,218,836.39","229,456,647.49","321,795,909.81","416,998,307.85","711,288,013.17","520,602,891.75"
预付款项,"8,751,040.43","3,909,387.89","3,704,815.94",,"4,021,327.92","2,723,944.41","1,920,465.15","6,619,617.71","8,830,847.12","3,230,701.90","5,614,960.07","12,618,303.39"
预收款项,"27,052,665.17","591,680.50","14,701,629.58",,"25,124,676.53","38,800,254.95","84,154,287.74","99,014,790.74","69,883,301.07","77,586,934.48","59,761,953.09","89,559,401.68"
其他应收款,"26,102,358.56","24,915,762.70","17,612,868.66",,"14,158,776.15","18,273,723.97","9,186,036.91","142,198,501.41","142,438,921.36","143,598,239.43","45,760,574.30","113,234,359.82"
应付职工薪酬,"4,374,125.91","4,909,183.16","6,007,941.24",,"2,793,779.56","2,625,256.71","7,297,083.06","2,944,123.92","3,816,029.51","3,656,546.55","13,874,698.21","2,915,713.22"
