科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"2,132,664,781.03","2,655,334,215.69","3,756,050,660.13",,"4,017,875,521.27","7,887,775,966.16","7,457,312,878.94","8,519,772,795.13","8,163,797,481.69","7,338,748,267.11"
短期借款,,"300,000,000.00","320,000,000.00",,"150,000,000.00","150,000,000.00",,,,
交易性金融资产,,,,,,,,,,
交易性金融负债,,,,,,,,,,
应收票据,"7,220,000.00","10,785,550.84","7,400,000.00",,"1,000,000.00",,"3,269,998.70","3,869,998.70","1,500,000.00",
应付票据,,,,,,,,,,
应收账款,"1,085,144,842.29","1,362,327,198.60","1,366,672,961.46",,"1,514,750,751.13","936,637,350.66","1,220,923,638.06","1,052,244,516.57","1,338,254,090.30","1,170,196,408.27"
应付账款,"2,163,756,288.88","2,461,215,507.95","2,999,038,150.05",,"2,659,925,423.84","1,633,601,082.82","1,668,797,622.48","2,579,191,460.75","2,217,208,297.59","3,849,161,280.93"
预付款项,"95,244,436.22","150,882,983.42","164,190,753.60",,"215,179,398.35","256,230,279.66","214,139,756.72","271,251,048.00","305,660,935.90","344,498,893.70"
预收款项,"518,210,193.56","538,121,069.97","813,706,150.35",,"760,034,020.94","872,289,617.26","890,748,773.03","994,592,035.50","934,842,231.61","1,028,468,665.63"
其他应收款,"205,535,938.58","206,976,104.59","217,832,671.14",,"312,830,361.43","306,189,977.76","158,969,052.01","311,328,026.49","305,913,824.23","301,008,521.67"
应付职工薪酬,"48,530,775.98","52,271,311.83","67,433,875.08",,"20,658,011.76","18,143,945.23","78,842,064.97","21,432,433.88","25,256,803.93","21,108,389.47"
应收关联公司款,,,,,,,,,,
应交税费,"86,825,140.65","139,218,104.35","141,075,652.96",,"178,485,360.03","91,537,488.10","125,461,856.39","147,899,637.21","147,455,893.53","100,229,867.36"
应收利息,,,,,,,,,,
应付利息,,,,,"956,250.00","956,250.00",,,,
应收股利,"608,922.00",,,,,,,"136,669,365.54","137,308,233.18","415,238.24"
应付股利,"5,387,353.16","2,271,990.53","4,695,419.74",,"51,086,139.47","25,399,232.90","4,807,635.13","4,105,630.69","422,821,321.76","15,900,131.86"
存货,"832,795,063.59","907,446,116.95","1,262,204,128.71",,"1,043,962,864.69","1,018,230,467.75","1,218,599,761.25","1,454,092,440.63","1,313,508,320.50","1,296,513,116.61"
其他应付款,"303,999,769.29","377,434,827.81","433,885,514.27",,"588,787,565.20","614,844,652.86","612,582,642.98","602,890,275.40","643,515,638.12","630,534,335.09"
其中:消耗性生物资产,,,,,,,,,,
应付关联公司款,,,,,,,,,,
一年内到期的非流动资产,,,"1,985,866.33",,,,,,,
一年内到期的非流动负债,"513,668,371.41","15,000,000.00","15,000,000.00",,"15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00"
其他流动资产,"12,618,778.58","35,493,680.21","218,235,889.32",,"34,305,653.20","34,226,943.75","73,988,316.07","20,136,749.11","85,062,825.20","2,548,489,248.05"
其他流动负债,,,,,,,,,,
流动资产合计,"4,371,832,762.29","5,329,245,850.30","6,994,572,930.69",,"7,139,904,550.07","10,439,290,985.74","10,347,203,401.75","11,769,364,940.17","11,651,005,711.00","12,999,869,693.65"
流动负债合计,"3,640,377,892.93","3,885,532,812.44","4,794,834,762.45",,"4,424,932,771.24","3,421,772,269.17","3,396,240,594.98","4,365,111,473.43","4,406,100,186.54","5,660,402,670.34"
可供出售金融资产,"50,000,431.40","50,200,431.40","341,737,322.73",,"306,158,449.21","387,376,763.81","357,293,985.41","343,339,698.33","311,848,313.37","463,907,980.31"
长期借款,,,,,,,,,,
持有至到期投资,,,,,,,,,,
应付债券,,,,,,,,,,
长期应收款,"20,353,589.72","16,904,108.14","10,880,000.00",,"10,880,000.00","10,880,000.00","6,800,000.00","6,800,000.00","6,800,000.00","6,800,000.00"
长期应付款,"90,000,000.00","75,000,000.00","60,000,000.00",,"60,000,000.00","60,000,000.00","45,000,000.00","45,000,000.00","45,000,000.00","45,000,000.00"
长期股权投资,"199,606,273.92","217,736,722.71","301,816,627.99",,"337,114,911.06","352,868,930.86","405,939,074.57","324,600,080.27","358,999,359.92","379,713,720.70"
专项应付款,,,,,,,,,,
投资性房地产,,,,,,,,,,
预计负债,,,,,,,,,,
固定资产,"2,647,251,368.20","2,728,842,632.31","2,577,166,904.39",,"2,571,931,709.28","2,543,685,783.65","2,592,583,506.58","2,605,319,407.62","2,496,641,770.70","2,447,077,067.28"
递延所得税负债,"102,424.45","34,141.47","22,884,224.09",,"1,489,505.71","20,969,084.37","14,273,389.76","10,784,818.00","2,911,971.75","3,426,888.48"
在建工程,"49,474,373.07","46,865,553.29","74,334,500.97",,"88,611,912.90","47,748,170.60","99,491,765.84","63,734,981.53","188,906,511.68","147,122,371.60"
其他非流动负债,,,,,,,,,,
工程物资,,,,,,,,,,
非流动负债合计,"346,223,261.34","658,266,332.34","652,959,050.33",,"569,661,592.61","587,355,292.25","520,028,063.83","500,191,968.44","487,795,705.93","495,338,975.20"
固定资产清理,,,,,,,,,,
负债合计,"3,986,601,154.27","4,543,799,144.78","5,447,793,812.78","7,970,875,200.00","4,994,594,363.85","4,009,127,561.42","3,916,268,658.81","4,865,303,441.87","4,893,895,892.47","6,155,741,645.54"
生产性生物资产,,,,,,,,,,
实收资本(或股本),"1,400,000,000.00","1,400,000,000.00","1,400,000,000.00",,"1,400,000,000.00","1,867,000,000.00","1,867,000,000.00","1,867,000,000.00","1,867,000,000.00","1,867,000,000.00"
油气资产,,,,,,,,,,
资本公积,"599,765,138.21","597,250,307.50","598,750,307.50",,"598,591,468.53","4,224,534,368.53","4,224,534,368.53","4,224,534,368.53","4,224,534,368.53","4,271,534,368.53"
无形资产,"120,706,486.47","120,250,871.09","105,867,440.62",,"105,383,112.59","106,373,267.24","111,878,120.31","110,136,543.77","108,854,300.96","107,595,137.41"
盈余公积,"134,628,737.62","179,153,095.10","234,451,172.05",,"269,412,785.43","270,494,790.31","301,760,031.90","323,254,240.59","342,710,055.78","344,472,361.48"
开发支出,"1,491,286.16",,,,,,,,,
减:库存股,,,,,,,,,,
商誉,,,,,,,,,,
未分配利润,"1,312,311,078.78","1,724,089,898.77","2,492,309,637.60",,"3,062,575,458.65","3,146,858,497.32","3,342,454,967.62","3,609,176,417.39","3,504,654,070.78","3,610,144,009.52"
