科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"161,337,934.75","175,755,804.43","228,348,503.57","41,536,127.67","98,482,282.67","157,450,002.55","269,483,562.88","49,598,575.06","125,082,739.08","200,294,221.36","295,520,414.03","75,085,800.72","144,479,811.30","229,415,469.20","423,612,905.62","89,155,106.18","202,836,179.36","307,680,961.69","596,670,281.59","148,839,435.95","268,117,228.63","440,403,571.84","839,780,976.59","130,416,606.58","279,894,123.91","445,754,539.68","1,063,636,950.08","425,362,211.91","763,429,857.49","1,013,549,529.94"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"24,622,916.08","24,622,916.08","36,717,633.64",,,,,,,,,,"43,315,837.19","21,107,148.81","43,315,837.19",,,,,,,
收到的税费返还,,"69,744.21",,,,,,,,,,,,,,"9,265,886.62","9,265,141.62","9,265,886.62",,,,"1,315,348.99","1,315,348.99","727,239.62",,,"2,371,214.46","483,846.54",,"4,313,633.35"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,"330,000.00",,,,"40,960,041.50",,"25,300,000.00","154,927,200.00","26,252,800.00",,,
收到其他与经营活动有关的现金,"2,376,296.19","6,429,239.67","9,895,680.98","157,388.76","1,579,091.52","3,484,320.22","1,847,443.47","196,737.06","2,782,557.92","4,181,646.36","7,958,316.36","1,320,266.70","2,061,604.31","2,310,007.26","10,341,518.86","255,113.03","3,468,209.52","2,947,007.49","18,148,857.74","698,095.71","9,596,092.69","6,366,700.67","31,799,935.81","20,797,808.82","32,015,719.58","59,045,007.75","61,569,513.80","5,776,947.73","17,506,166.12","21,000,091.57"
投资活动现金流出小计,"44,959,978.34","38,009,454.66","97,292,536.31","24,798,994.71","41,739,395.16","69,688,266.12","91,600,592.24","39,622,665.48","125,467,031.68","106,468,450.58","141,632,327.36","18,709,141.87","25,016,263.38","28,463,796.89","28,635,572.02","2,246,428.50","9,714,673.97","11,810,483.60","97,002,133.08","50,536,608.13","54,165,819.90","36,048,202.49","104,564,510.88","36,126,517.33","68,787,340.09","240,470,031.24","121,796,731.02","9,395,028.16","32,903,486.33","56,217,487.61"
经营活动现金流入小计,"163,714,230.94","182,254,788.31","238,244,184.55","41,693,516.43","100,061,374.19","160,934,322.77","271,331,006.35","49,795,312.12","127,865,297.00","204,475,867.72","303,478,730.39","76,406,067.42","146,541,415.61","231,725,476.46","433,954,424.48","98,676,105.83","215,569,530.50","319,893,855.80","614,819,139.33","149,537,531.66","277,713,321.32","448,085,621.50","872,896,261.39","151,941,655.02","311,909,843.49","504,799,547.43","1,127,577,678.34","431,623,006.18","780,936,023.61","1,038,863,254.86"
投资活动产生的现金流量净额,"-44,294,188.68","-38,009,454.66","-97,292,536.31","-24,798,994.71","-41,739,395.16","-69,688,266.12","-91,540,592.24","-39,622,665.48","-125,467,031.68","-106,468,450.58","-61,512,379.28","-18,709,141.87","-24,948,886.95","-18,337,909.56","-18,009,345.50","-2,151,428.50","-9,478,082.25","-11,504,530.60","-90,508,466.88","-50,536,608.13","-54,087,388.53","-35,969,771.12","-60,078,996.25","-36,126,517.33","-66,686,815.41","-240,005,031.24","-118,398,277.37","-9,394,074.16","-32,902,532.33","-56,216,533.61"
购买商品、接受劳务支付的现金,"137,288,188.14","119,184,053.75","168,470,389.58","43,174,424.54","93,618,407.93","132,522,546.96","192,379,188.43","77,100,444.19","126,285,771.51","187,351,876.31","230,336,598.30","82,876,385.96","144,730,504.31","206,907,370.44","331,881,600.22","106,847,863.21","177,019,512.62","256,406,476.27","401,311,111.32","128,896,551.67","226,086,861.10","378,945,371.04","539,855,864.40","131,998,556.49","297,185,395.18","430,456,102.45","840,856,384.84","346,235,132.70","631,172,975.80","890,338,649.48"
吸收投资收到的现金,"29,350,000.00","49,500,000.00",,"383,549,515.75","383,549,515.75","384,349,515.75","384,349,515.75","300,000.00","300,000.00","700,000.00","700,000.00",,,,,,,,,"22,799,995.80","22,981,995.80","22,981,995.80","22,981,995.80",,"157,689,991.55","157,689,991.55","207,772,192.58",,"900,000.00","1,150,000.00"
