科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"149,260,602.50","157,442,905.67","94,641,988.90","139,909,232.91","189,748,592.93","42,216,789.33","122,295,110.90","162,049,565.86","212,285,197.81","59,301,182.50","102,833,230.81","154,867,641.88","215,542,212.64","70,075,495.29","129,400,603.40","280,047,968.39","476,496,994.50","138,489,749.30","288,196,910.59","452,461,655.55","593,578,988.96","123,487,922.10","239,311,516.81","394,517,659.79","558,229,470.47","78,098,887.39","104,860,342.03","180,146,539.12","248,379,772.55","52,864,673.39","89,881,408.51","143,741,305.68","143,450,239.21","1,208,824.57","4,880,147.24","14,747,804.75"
二、营业利润,"34,584,530.57","30,435,037.23","12,585,821.74","24,843,346.47","34,630,231.75","5,734,258.16","34,195,890.36","35,095,235.48","54,512,377.33","8,518,700.05","25,756,531.43","36,518,530.74","42,372,856.20","10,557,507.96","28,876,775.65","32,281,106.52","27,899,674.00","11,534,292.98","3,540,867.93","7,680,909.04","-132,772,054.58","3,846,114.60","11,749,575.28","22,017,997.45","8,527,577.63","2,849,682.88","-86,227,824.14","-93,707,423.82","5,889,192.88","-4,449,981.04","-1,392,085.98","-1,276,491.51","-37,627,719.57","-11,969,429.13","-24,369,241.67","-32,857,771.97"
减:营业成本,"83,097,102.99","83,233,460.20","59,595,671.67","88,966,456.59","119,000,979.48","26,491,220.19","75,853,280.07","106,287,003.69","136,740,833.38","37,923,154.22","63,961,148.35","93,542,252.14","137,395,553.92","47,074,149.69","82,351,646.77","187,378,488.64","340,024,860.48","101,160,957.34","217,902,136.33","336,890,680.81","483,530,664.61","91,936,148.63","180,976,839.78","302,122,559.97","422,349,036.51","60,452,291.43","88,089,271.74","146,884,950.30","206,896,885.85","37,322,777.08","62,557,158.28","94,689,075.84","115,384,784.75","2,889,368.32","7,828,106.41","18,576,303.18"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,458,886.42","2,864,199.27","1,419,726.80","1,772,831.35","2,363,707.27","293,337.54","1,386,143.18","1,715,891.83","4,101,508.89","804,904.15","1,244,147.03","1,877,822.02","3,911,324.40","960,625.09","1,653,910.67","1,939,239.12","4,110,292.27","217,696.23","845,307.35","857,067.30","1,689,730.50","366,809.39","759,219.89","1,038,375.03","2,870,096.26","387,293.72","536,046.88","587,234.37","835,964.20","325,612.30","137,692.46","137,692.46","493,543.02",314.18,"4,152.14","38,925.76"
营业外收入,"1,900,966.00","14,096,390.15","8,434,223.29","12,153,225.27","15,824,687.00","717,085.47","2,019,546.75","6,638,968.31","9,414,553.31","5,010.00","10,133.94","970,033.77","3,939,607.94","178,840.32","7,107.89","5,213,251.17","6,013,663.24","895,860.06","1,017,626.78","2,447,126.65","6,586,930.44","872,430.94","1,240,297.54","2,116,849.59","16,282,986.12","4,882,842.49","5,968,620.52","6,184,381.36","29,495,143.00","7,824,424.33","10,091,296.81","11,079,517.83","14,994,575.67","965,533.61","2,234,355.66","3,116,049.88"
销售费用,"5,236,527.82","7,550,225.50","6,958,122.15","7,915,490.50","9,158,876.90","5,580,685.14","7,395,492.87","9,251,619.06","12,751,015.41","6,060,123.87","7,861,746.81","9,629,189.64","19,788,166.60","4,211,456.58","7,622,439.34","20,843,144.99","22,317,791.81","9,415,650.01","24,858,683.62","37,895,741.43","53,211,416.46","8,266,348.20","14,337,874.67","22,106,216.03","37,514,106.17","5,966,984.00","13,056,916.20","19,618,563.47","30,583,757.14","4,741,139.21","10,493,325.60","15,758,568.92","18,313,305.60","425,623.73","1,239,086.26","2,106,996.61"
减:营业外支出,"1,956,565.89","1,062,301.21","101,724.87","154,042.72","136,973.12","42,746.44","60,936.71","69,413.33","28,446.49",,"48,881.49","167,153.69","219,609.04","68,970.49","60,103.94","1,404,041.10","62,143.54","7,763.09","650,434.56","748,444.59","866,010.32","14,294.51","75,253.63","238,813.64","791,749.75","6,904.00","81,698.19","1,858,561.26","4,242,597.40","14,324.24","12,690.44","28,032.84","45,806.23","105,826.23","204,699.67","205,643.42"
管理费用,"24,027,245.55","27,357,183.06","12,350,461.96","17,348,582.20","25,736,364.50","4,288,519.30","9,980,692.14","17,348,877.24","25,262,343.42","5,476,817.82","12,954,626.00","21,351,568.10","31,800,135.00","6,383,725.11","14,173,048.44","40,773,884.77","78,909,532.31","16,533,673.12","40,182,576.79","62,997,158.51","76,494,731.06","15,108,997.65","22,495,946.80","35,788,099.49","61,119,153.39","12,556,832.26","37,160,194.53","50,844,445.56","66,391,032.47","9,455,108.83","23,498,512.39","32,611,135.06","46,604,613.68","4,870,667.74","12,269,633.73","16,789,540.85"
其中:非流动资产处置净损失,,,,,"93,558.16",,,,"24,515.37",,,,,,,,,,,,,,"9,391.74",,"146,325.32",,,,"623,662.08",,,"11,745.46","38,305.91",,"95,808.88","95,808.88"
