科目,2007年度,2008年度,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"67,928,251.89","231,829,999.69","124,119,017.04","205,973,400.44","44,450,130.94","71,888,919.21","124,933,771.19","206,625,061.71","147,099,316.06","214,391,835.03","270,499,713.17","445,966,559.75","61,067,352.56","175,485,688.63","346,989,003.91","386,565,385.90","55,421,251.17","121,331,401.28","131,135,276.48","193,308,668.96","86,137,988.64","183,454,606.36","359,430,338.04","484,320,064.76","161,644,101.75","341,324,310.53","497,965,884.24","947,814,348.77","144,890,379.91","417,704,214.02","639,327,282.88","1,075,228,100.36","152,385,151.33","1,077,615,268.77","1,794,439,874.63","3,240,978,340.47","1,038,806,441.63","2,176,116,901.39"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43,538,956.99",,,,"86,000,000.00","-422,537,130.57","-177,592,622.95","1,922,407,377.05","1,913,377,275.67","20,225,190.25","28,042,486.58"
收到的税费返还,,,,,,,,"119,400.00",,,"538,747.65","271,400.00",,,"596,445.48","596,445.48",,"2,804,610.43","2,862,444.05","4,112,683.83","1,913,453.16","3,852,181.41","3,084,486.48","6,432,143.33","1,075,997.37","1,551,890.17","1,551,890.17","1,693,238.66","15,814.67","188,095.60","420,928.19","2,876,027.32","225,370.18","339,361.82","425,732.27","425,753.90","127,118.45","289,915.85"
支付其他与投资活动有关的现金,,"2,000,000.00",,,,,,,,,,"625,385.22",,,"391,431.80",,"5,746,269.54",,"6,197,579.54",,"1,300.00",,,,,,,,"616,600.00",,,"3,259,500.00","5,172,852.19","559,000.00","9,681,426.01","3,259,500.00","4,594,356.89","6,923,704.73"
收到其他与经营活动有关的现金,"755,170.01","2,748,953.21","4,899,677.45","5,750,462.02","979,713.83","2,629,321.47","5,196,403.51","6,429,777.46","9,788,630.34","7,162,012.43","6,922,890.24","14,948,055.48","6,126,785.79","5,996,066.87","62,790,002.01","25,317,277.64","8,501,924.84","6,751,004.15","149,414,715.86","59,052,466.21","25,675,879.53","5,199,611.23","85,999,526.42","52,624,000.23","101,539,623.79","149,696,726.68","180,654,560.63","57,632,057.01","18,247,164.66","49,504,763.83","93,249,114.61","136,705,883.63","268,110,171.90","82,930,375.20","282,190,542.20","151,660,980.92","308,422,165.03","60,836,488.99"
投资活动现金流出小计,"2,104,147.62","10,796,590.08","20,898,994.66","23,904,462.09","7,906,861.87","53,175,508.19","63,342,926.31","106,875,121.25","31,768,884.03","52,647,658.06","38,220,571.46","39,063,095.71","269,282.05","44,613,974.98","72,923,919.56","181,378,292.35","12,386,455.29","4,178,736.74","14,484,224.29","114,659,407.24","2,671,578.58","22,812,107.91","29,782,706.86","59,189,659.21","40,895,290.06","211,785,074.50","248,107,268.82","334,475,721.77","38,635,909.89","137,327,010.51","166,016,727.19","267,855,392.05","-394,133,204.17","81,116,046.13","2,223,392,589.13","2,551,420,642.77","231,584,169.98","297,602,863.15"
经营活动现金流入小计,"68,683,421.90","234,578,952.90","129,018,694.49","211,723,862.46","45,429,844.77","74,518,240.68","130,130,174.70","213,174,239.17","156,887,946.40","221,553,847.46","277,961,351.06","461,186,015.23","67,194,138.35","181,481,755.50","410,375,451.40","412,479,109.02","63,923,176.01","130,887,015.86","283,412,436.39","256,473,819.00","113,727,321.33","192,506,399.00","448,514,350.94","543,376,208.32","264,259,722.91","492,572,927.38","680,172,335.04","1,007,139,644.44","163,153,359.24","467,397,073.45","732,997,325.68","1,214,810,011.31","420,720,693.41","1,160,885,005.79","2,077,056,149.10","3,393,065,075.29","1,347,355,725.11","2,237,243,306.23"
投资活动产生的现金流量净额,"-2,104,147.62","-7,516,700.18","-20,795,994.66","-23,801,462.09","-7,824,861.87","-53,093,508.19","-63,260,926.31","-105,283,246.84","-31,768,884.03","-52,647,658.06","-38,220,571.46","-39,063,095.71","-264,282.05","-26,958,515.58","-66,903,617.65","-69,681,245.63","-12,376,060.29","5,416,001.50","-4,889,486.05","-25,673,308.45","-2,671,578.58","-22,701,821.85","-29,672,420.80","-56,792,232.19","-40,895,290.06","-211,785,074.50","-248,107,268.82","-334,472,409.77","-38,585,909.89","-137,276,104.51","-165,965,821.19","-181,045,886.05","394,483,204.17","-80,607,690.65","-2,197,436,233.65","-2,501,694,331.16","-231,237,902.72","-257,152,734.45"
购买商品、接受劳务支付的现金,"52,855,165.98","234,201,826.19","172,045,202.28","209,560,204.62","51,664,144.57","110,930,052.41","181,363,214.34","257,069,251.10","122,997,057.82","193,887,276.48","251,845,273.99","457,625,884.32","85,159,683.56","164,174,237.94","354,136,317.88","423,523,870.46","71,442,509.78","147,596,913.39","213,512,378.34","247,290,159.62","140,298,510.38","243,858,251.24","412,522,946.01","577,518,946.31","108,015,293.84","361,016,960.28","426,308,581.00","673,358,501.29","154,170,614.29","297,569,770.62","396,223,383.46","676,991,671.15","335,587,802.10","768,942,371.15","1,435,261,560.50","2,576,043,899.82","821,059,349.39","1,739,492,602.68"
吸收投资收到的现金,,"40,000,000.00","30,000,000.00","593,500,000.00",,,"5,390,000.00","2,940,000.00",,,,,,,"102,100,000.00",,"1,125,000.00","2,500,000.00","16,077,000.00","17,225,000.00",,,"3,375,000.00","3,375,000.00",,"220,500,000.00","220,500,000.00","515,924,991.48","8,963,000.00","9,012,900.00","14,447,900.00","4,300,000.00",,,"3,357,749,960.00","3,361,749,960.00",,"4,000,000.00"
