科目,2006年度
销售商品、提供劳务收到的现金,"5,862,559,632.72"
取得子公司及其他营业单位支付的现金净额,
收到的税费返还,
支付其他与投资活动有关的现金,
收到其他与经营活动有关的现金,"36,974,953.27"
投资活动现金流出小计,"503,223,090.83"
经营活动现金流入小计,"5,899,534,585.99"
投资活动产生的现金流量净额,"-503,120,890.83"
购买商品、接受劳务支付的现金,"3,947,338,793.98"
吸收投资收到的现金,
支付给职工以及为职工支付的现金,"302,369,005.21"
取得借款收到的现金,"110,000,000.00"
支付的各项税费,"1,065,675,441.55"
收到其他与筹资活动有关的现金,
支付其他与经营活动有关的现金,"197,868,982.16"
筹资活动现金流入小计,"110,000,000.00"
经营活动现金流出小计,"5,513,252,222.90"
偿还债务支付的现金,"242,000,000.00"
经营活动产生的现金流量净额,"386,282,363.09"
分配股利、利润或偿还利息支付的现金,"267,952,019.99"
收回投资收到的现金,
支付其他与筹资活动有关的现金,
取得投资收益收到的现金,
筹资活动现金流出小计,"509,952,019.99"
处置固定资产、无形资产和其他长期资产收回的现金净额,"102,200.00"
筹资活动产生的现金流量净额,"-399,952,019.99"
处置子公司及其他营业单位收到的现金净额,
四、汇率变动对现金的影响,
收到其他与投资活动有关的现金,
四(2)、其他原因对现金的影响,
投资活动现金流入小计,"102,200.00"
五、现金及现金等价物净增加额,"-516,790,547.73"
购建固定资产、无形资产和其他长期资产支付的现金,"503,223,090.83"
期初现金及现金等价物余额,"806,436,124.43"
投资支付的现金,
期末现金及现金等价物余额,"289,645,576.70"
