科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"314,913,853.56","328,115,741.70","166,430,599.20","358,971,536.11","184,630,137.48","307,180,773.88","463,536,277.48","136,496,512.66","288,180,657.25","567,749,048.35","737,672,082.18","144,708,171.13","329,071,263.23","483,323,534.70","625,213,109.89","146,681,533.51","257,698,489.28","377,808,994.80","489,935,212.98","119,009,546.07","306,136,131.16","562,672,306.01","826,882,115.44","180,116,848.26","304,608,166.68","458,301,798.49","582,995,231.00","349,392,319.54","780,716,366.38","1,245,415,271.02","1,583,703,755.27","181,900,510.52","297,019,081.67","461,069,827.49","556,210,200.34","209,381,615.05","474,604,215.75","879,339,203.04","1,441,997,957.61","642,407,239.63"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,481,701.33",,,,"24,264,300.00",
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,"4,888,330.27",,,,,,,,,,,,,,,,,,"1,572.78",,,,,,,,,,,,,,"70,000,000.00","70,000,000.00","40,000,000.00",,"13,370,000.00","63,370,000.00","63,370,000.00",
收到其他与经营活动有关的现金,"48,201,966.21","38,180,824.96","12,971,539.74","14,827,164.08","6,649,452.50","14,819,867.96","26,502,605.53","2,468,757.94","3,640,426.17","3,088,230.14","3,903,668.03","4,083,187.41","15,034,940.72","23,047,390.58","17,829,077.24","5,000,905.35","42,969,571.49","81,181,003.36","54,970,153.83","17,350,809.07","50,857,972.43","138,457,942.96","94,666,011.05","45,407,771.19","20,764,576.05","13,632,854.30","39,350,355.52","3,678,565.98","4,531,715.38","15,045,522.76","14,503,416.41","3,278,466.51","27,628,108.28","31,821,663.31","9,290,518.41","1,342,846.32","7,578,767.86","11,192,654.72","46,173,136.03","2,581,111.03"
投资活动现金流出小计,"85,003,909.24","128,147,511.71","69,446,647.89","171,866,993.54","111,920,980.71","182,975,601.78","258,606,091.56","37,718,028.65","105,792,379.55","171,296,083.78","169,808,699.08","125,735,905.70","181,969,689.29","255,817,205.32","283,019,706.15","70,332,808.57","143,854,071.84","267,058,362.22","300,486,031.80","47,965,421.59","63,332,414.01","141,193,619.57","188,495,017.47","75,090,315.32","98,618,664.02","124,225,057.99","142,836,984.43","39,390,801.78","72,647,844.77","121,558,603.37","199,074,505.42","74,555,787.42","162,291,926.28","196,059,557.88","315,800,643.60","19,142,126.76","77,526,993.63","154,903,419.93","270,737,153.46","25,188,483.18"
经营活动现金流入小计,"363,115,819.77","366,296,566.66","179,402,138.94","373,798,700.19","191,279,589.98","322,000,641.84","490,038,883.01","138,965,270.60","291,821,083.42","570,837,278.49","741,575,750.21","148,791,358.54","344,106,203.95","506,370,925.28","643,042,187.13","151,682,438.86","300,668,060.77","458,989,998.16","544,905,366.81","136,360,355.14","356,994,103.59","701,130,248.97","921,548,126.49","225,524,619.45","325,372,742.73","471,934,652.79","622,345,586.52","353,070,885.52","785,248,081.76","1,260,460,793.78","1,598,207,171.68","185,178,977.03","324,647,189.95","492,891,490.80","565,500,718.75","210,724,461.37","482,182,983.61","890,531,857.76","1,488,171,093.64","644,988,350.66"
投资活动产生的现金流量净额,"-80,632,657.41","-121,314,511.71","-69,444,047.89","-169,569,997.04","-111,920,980.71","-182,975,601.78","-258,605,811.56","-37,718,028.65","-105,732,379.55","-171,170,318.78","-159,612,888.03","-125,735,905.70","-181,969,689.29","-255,817,205.32","-274,749,587.15","-70,327,863.57","-143,849,126.84","-267,053,417.22","-292,500,986.80","-47,965,421.59","-63,332,414.01","-141,193,619.57","-178,313,793.47","-75,089,355.32","-98,591,488.02","-124,196,710.39","-139,554,620.83","-37,950,762.60","-68,194,207.37","-116,194,543.86","-173,043,571.81","-27,875,288.53","-115,061,522.49","-78,598,275.89","-194,470,028.54","-18,873,036.02","-73,914,424.02","-110,443,060.76","-228,889,997.17","-24,998,359.68"
购买商品、接受劳务支付的现金,"197,131,922.34","163,711,445.36","77,920,278.44","178,337,767.44","104,302,864.88","174,715,326.01","254,516,966.85","89,232,628.44","156,993,440.78","224,378,770.91","345,143,724.49","59,796,490.60","133,412,569.19","245,649,736.78","384,502,322.98","118,214,820.70","214,643,813.64","329,621,889.06","451,927,233.49","116,447,271.83","261,480,650.57","463,203,666.01","626,109,398.71","171,112,381.47","328,432,725.64","494,903,390.45","592,710,400.65","163,868,779.99","419,722,144.62","604,682,283.37","736,314,173.96","114,779,104.49","231,178,046.11","370,132,301.48","410,349,722.39","179,057,688.42","326,056,898.41","534,079,653.55","734,000,904.64","255,185,204.98"
吸收投资收到的现金,"800,000.00",,,,,"610,900,000.00","610,900,000.00",,,,,,,,,,,,"690,000.00",,"15,573,575.92","15,573,575.92","15,573,575.92",,,,,"583,684,103.55","587,784,103.55","587,784,103.55","587,082,788.91",,"38,837,586.74","38,837,586.74","38,837,586.74",,,,,
支付给职工以及为职工支付的现金,"19,482,994.60","39,238,561.75","21,908,417.67","43,105,287.20","28,700,558.75","42,469,345.52","56,577,490.06","19,975,362.92","41,576,584.58","65,775,983.41","98,353,418.48","28,747,206.23","54,843,807.85","82,025,619.18","114,840,251.70","35,286,646.99","64,763,498.91","94,432,771.46","126,237,414.10","37,508,752.28","75,609,058.13","114,793,709.73","153,360,964.07","45,468,459.84","86,685,551.83","127,508,555.21","171,420,816.88","45,215,818.81","86,659,243.35","128,114,034.38","180,639,996.99","50,192,840.96","112,757,482.84","158,810,175.12","204,939,563.94","49,927,095.71","103,137,154.28","155,465,680.35","210,645,613.35","73,603,703.43"
取得借款收到的现金,"68,000,000.00","135,000,000.00","162,000,000.00","282,000,000.00","200,000,000.00","299,880,000.00","299,880,000.00",,"105,000,000.00","105,000,000.00","105,000,000.00","240,000,000.00","295,000,000.00","458,000,000.00","636,450,855.18","60,000,000.00","358,000,000.00","448,000,000.00","696,000,000.00","70,000,000.00","360,000,000.00","528,000,000.00","879,330,000.00","130,000,000.00","591,000,000.00","899,000,000.00","1,533,797,019.00","222,000,000.00","383,000,000.00","413,000,000.00","413,000,000.00","85,000,000.00","380,000,000.00","420,000,000.00","557,600,000.00","92,000,000.00","192,000,000.00","224,390,000.00","224,390,000.00","42,000,000.00"
支付的各项税费,"3,497,323.89","6,775,702.53","2,122,440.67","7,297,612.65","1,373,295.57","2,319,815.67","3,218,628.08","4,268,534.76","8,669,702.87","10,020,175.71","3,173,565.35","6,677,710.35","7,563,698.72","8,082,770.89","2,848,904.17","216,421.47","735,788.05","1,001,520.04","1,214,639.91","343,167.36","1,305,026.71","2,150,180.34","3,077,110.04","1,159,035.32","3,306,217.31","4,419,255.47","5,204,225.50","852,746.49","2,381,247.92","3,656,251.53","4,743,124.67","1,021,156.21","2,626,438.12","3,985,093.75","4,884,108.79","796,436.60","2,354,914.85","3,131,142.45","4,200,492.79","1,017,919.74"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,"79,972,770.91",,,,,,,,,,,,"30,000,000.00",,"165,848,960.50","167,561,417.43","161,693,417.43",
支付其他与经营活动有关的现金,"24,071,210.07","70,132,523.30","24,890,616.90","38,610,778.54","32,234,215.40","37,039,372.07","62,583,322.04","23,164,831.28","37,969,282.81","53,466,022.86","48,745,367.10","19,685,416.94","40,402,534.52","44,568,713.42","68,958,092.36","14,826,417.40","28,589,549.13","47,014,220.52","63,811,583.19","9,750,372.24","16,897,560.00","41,068,675.47","68,966,028.29","15,621,539.13","31,149,170.62","43,399,316.14","114,507,440.46","25,363,405.10","36,296,484.84","90,637,059.26","105,252,282.76","32,714,051.60","60,488,275.01","120,174,093.73","86,315,807.72","16,865,548.71","36,882,850.57","61,454,849.20","110,528,792.72","13,903,447.96"
筹资活动现金流入小计,"68,800,000.00","135,000,000.00","162,000,000.00","282,000,000.00","200,000,000.00","910,780,000.00","910,780,000.00",,"105,000,000.00","105,000,000.00","105,000,000.00","240,000,000.00","295,000,000.00","458,000,000.00","636,450,855.18","60,000,000.00","358,000,000.00","448,000,000.00","696,690,000.00","70,000,000.00","375,573,575.92","543,573,575.92","974,876,346.83","130,000,000.00","591,000,000.00","899,000,000.00","1,533,797,019.00","805,684,103.55","970,784,103.55","1,000,784,103.55","1,000,082,788.91","85,000,000.00","418,837,586.74","458,837,586.74","626,437,586.74","92,000,000.00","357,848,960.50","391,951,417.43","386,083,417.43","42,000,000.00"
经营活动现金流出小计,"244,183,450.90","279,858,232.94","126,841,753.68","267,351,445.83","166,610,934.60","256,543,859.27","376,896,407.03","136,641,357.40","245,209,011.04","353,640,952.89","495,416,075.42","114,906,824.12","236,222,610.28","380,326,840.27","571,149,571.21","168,544,306.56","308,732,649.73","472,070,401.08","643,190,870.69","164,049,563.71","355,292,295.41","621,216,231.55","851,513,501.11","233,361,415.76","449,573,665.40","670,230,517.27","883,842,883.49","235,300,750.39","545,059,120.73","827,089,628.54","1,026,949,578.38","198,707,153.26","407,050,242.08","653,101,664.08","706,489,202.84","246,646,769.44","468,431,818.11","754,131,325.55","1,059,375,803.50","343,710,276.11"
偿还债务支付的现金,"89,166,666.66","75,000,000.00","105,630,000.00","168,940,000.00","80,000,000.00","210,670,000.00","300,670,000.00",,"149,880,000.00","179,880,000.00","277,603,331.51","60,000,000.00","80,000,000.00","220,000,000.00","285,000,000.00","100,000,000.00","258,000,000.00","348,000,000.00","529,450,855.18","30,000,000.00","336,755,065.74","444,755,065.74","759,330,000.00","144,991,421.46","441,982,842.92","616,974,264.38","1,177,000,000.00","667,865,467.00","967,000,000.00","1,151,865,467.00","1,294,400,000.00","90,000,000.00","141,000,000.00","181,000,000.00","151,000,000.00","60,000,000.00","234,411,391.66","285,500,000.00","431,390,000.00","92,000,000.00"
经营活动产生的现金流量净额,"118,932,368.87","86,438,333.72","52,560,385.26","106,447,254.36","24,668,655.38","65,456,782.57","113,142,475.98","2,323,913.20","46,612,072.38","217,196,325.60","246,159,674.79","33,884,534.42","107,883,593.67","126,044,085.01","71,892,615.92","-16,861,867.70","-8,064,588.96","-13,080,402.92","-98,285,503.88","-27,689,208.57","1,701,808.18","79,914,017.42","70,034,625.38","-7,836,796.31","-124,200,922.67","-198,295,864.48","-261,497,296.97","117,770,135.13","240,188,961.03","433,371,165.24","571,257,593.30","-13,528,176.23","-82,403,052.13","-160,210,173.28","-140,988,484.09","-35,922,308.07","13,751,165.50","136,400,532.21","428,795,290.14","301,278,074.55"
分配股利、利润或偿还利息支付的现金,"28,140,114.15","13,297,907.65","5,095,485.50","25,865,745.50","7,625,950.00","12,244,192.00","13,991,129.78","1,477,072.78","34,443,146.84","37,231,102.68","43,431,068.00","2,048,842.22","146,926,744.28","151,539,191.91","156,582,798.07","5,132,166.63","12,600,195.78","20,411,762.41","27,921,715.73","9,934,460.15","19,554,826.79","29,972,410.13","42,795,839.22","10,612,402.48","22,100,357.41","35,281,571.52","50,511,758.65","10,109,036.16","16,025,056.07","19,319,785.23","21,667,735.46","1,950,689.57","4,746,416.67","8,827,059.85","14,442,590.66","6,979,428.20","14,215,722.51","21,203,772.58","27,281,539.24","4,315,832.09"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,170,600.00","46,170,600.00","46,170,600.00","70,000,000.00",,,,,
支付其他与筹资活动有关的现金,"1,194,370.00","350,000.00","255,000.00","255,000.00","255,000.00","5,696,400.00","5,696,400.00",,"120,027.30","120,027.30",,,"235,294.69","235,294.69","14,110,294.69",,,,,,,,,,"4,189,072.40","4,189,072.40","32,154,758.24",,"18,235,805.04","18,235,805.04","51,966,739.04","6,865,467.00","43,730,934.00","20,596,401.00","64,304,982.00","4,576,978.00","13,730,934.00","86,444,048.08","96,712,537.08","7,980,000.00"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,"7,500,000.00",,,,,,,,,,,,"584,931.51",,,,,
