科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"40,892,595.92","38,671,129.70","33,540,972.16","13,947,437.12","37,291,471.94","470,149,328.78","449,702,915.58","431,504,085.31","453,393,017.24","435,394,786.39","421,842,022.59","382,080,328.03","392,011,006.47","351,568,559.49","300,465,245.19","264,903,859.01","298,141,023.61","262,085,689.15","244,447,532.53","204,058,229.77","211,897,316.40","164,536,607.37","171,358,776.40","198,175,628.97","175,913,699.50","102,521,125.52","110,952,017.88","122,831,846.36","181,654,852.69","135,604,204.81","111,748,458.42","70,182,841.24","164,622,236.00","148,084,078.29","123,577,496.98","65,646,469.90","98,488,168.77","318,896,791.07","249,711,673.87","223,563,567.88","239,326,412.74","168,402,558.43"
短期借款,"10,000,000.00",,,,,,,,,,,,,,,,,,,,,"1,500,000.00","2,500,000.00","2,500,000.00","3,000,000.00","3,000,000.00","2,000,000.00",,,,"1,000,000.00","10,000,000.00","10,000,000.00","10,100,000.00","29,100,000.00","26,820,000.00","186,920,000.00","26,920,000.00","26,920,000.00","31,790,000.00","40,850,000.00","40,850,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,"180,000.00","550,000.00","3,456,000.00","2,059,000.00","200,000.00","7,719,400.00","3,582,900.00","8,158,000.00","6,883,278.00","8,404,917.00","5,244,750.00","4,559,060.00","4,949,389.00","8,753,460.00","16,609,948.00","10,036,571.40","6,929,500.00","20,040,334.80","16,043,429.20","7,214,798.00","20,212,998.00","44,462,394.60","34,281,214.60","17,962,600.00","17,904,900.00","47,369,110.40","27,865,160.40","52,827,392.28","46,764,191.69","64,780,015.03","57,281,699.50","60,107,670.64","58,073,918.86","92,564,908.56","111,733,394.44"
应付票据,,,,,,,,,,,,,,,,,"720,000.00",,,,,,,,,,"800,000.00","1,063,750.00",,"1,982,522.00","39,365,768.75","10,328,782.80","8,964,069.27","9,499,069.37","20,605,993.68","4,554,613.00","18,209,530.27","14,479,888.60","13,067,088.60",,"1,128,311.00",
应收账款,"15,177,577.49","19,025,680.77","20,493,990.21","21,069,689.53","31,584,308.10","43,202,512.34","62,276,729.99","53,398,686.87","74,438,255.15","75,786,678.52","79,161,134.05","88,561,691.95","102,633,651.57","124,405,260.91","130,134,522.57","143,451,075.65","135,891,975.59","167,415,111.90","169,108,420.64","161,053,797.63","181,688,958.53","200,236,590.57","219,158,434.97","249,991,379.58","246,270,068.99","292,981,180.08","346,053,523.30","385,658,673.42","371,740,858.67","427,798,840.57","450,975,354.01","469,770,311.09","413,171,577.73","492,267,083.90","607,655,706.90","642,891,454.92","702,047,703.40","684,664,841.34","751,337,793.55","824,885,632.64","925,417,154.77","967,949,146.67"
应付账款,"1,881,055.87","4,166,486.10","2,260,536.22","584,036.32","3,242,090.19","1,585,228.82","2,343,341.41","2,370,953.82","3,863,520.42","7,488,243.11","4,705,682.71","5,246,939.19","6,784,382.74","8,032,051.07","5,624,466.86","5,873,434.80","7,209,700.54","7,134,322.10","8,361,432.55","10,424,717.10","15,609,950.54","12,869,890.90","25,229,445.57","30,969,877.82","52,689,872.00","28,571,092.95","25,318,376.75","39,470,394.08","47,137,838.16","40,033,336.96","41,485,649.90","43,331,511.26","68,229,966.76","52,720,682.22","63,492,636.02","45,388,439.96","70,051,364.66","71,648,101.99","89,515,367.87",,"145,633,206.50",
预付款项,"3,927,136.89","5,165,273.93","18,096,344.72","16,666,825.38","9,782,202.02","19,458,002.26","16,425,002.02","19,283,375.85","12,396,272.95","13,817,374.12","18,838,455.56","40,008,088.51","42,890,807.86","53,804,827.12","86,972,504.66","77,541,204.23","37,123,297.19","37,935,999.12","48,377,422.96","55,481,133.20","48,480,803.11","53,136,120.81","52,978,425.40","61,731,479.33","42,251,847.28","53,015,560.29","54,560,581.28","61,753,751.90","29,414,441.78","30,647,020.18","39,009,098.06","40,555,711.33","29,991,890.87","34,415,379.34","46,136,331.11","34,412,744.44","48,810,156.73","61,394,329.59","66,046,488.71","76,256,915.80","47,908,188.47","58,328,551.99"
预收款项,"10,161,651.19","14,936,151.85","23,133,359.31","12,450,611.92","19,040,704.82","14,750,571.72","16,193,545.70","11,517,548.18","10,147,503.26","15,503,590.30","11,274,981.93","22,003,197.41","14,366,585.40","11,247,080.41","10,068,365.16","10,860,328.58","5,042,785.19","11,897,938.20","11,138,864.09","16,964,546.23","45,754,691.93","49,624,908.16","48,173,742.94","38,725,295.97","37,847,091.82","27,875,832.07","38,148,971.81","36,375,680.16","45,585,425.67","38,431,018.21","43,397,403.66","43,081,730.51","47,267,703.23","50,455,266.31","55,876,835.16","64,608,165.90","30,389,407.36","41,000,366.08","46,933,328.16","34,870,717.44","40,525,193.26","26,084,560.64"
