科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"89,740,493.49","105,679,822.44","263,075,947.54","163,561,759.45","275,811,898.43","42,976,357.12","81,954,783.10","143,236,737.18","258,945,715.76","57,739,007.04","115,401,402.46","293,325,787.07","451,825,743.15","67,984,199.31","176,570,511.11","224,118,647.78","491,844,477.51","172,179,155.28","486,394,711.34","881,015,698.26","1,176,281,194.98","256,064,139.54","807,761,249.52","1,031,539,913.08","1,775,032,002.97","420,115,495.75","649,177,061.93","1,055,450,744.77","1,826,019,009.10","296,399,724.95","839,668,098.82","1,731,792,771.41","2,159,045,661.07","491,285,672.09","773,303,769.36","1,301,778,735.65","1,730,953,021.62","284,096,378.14"
取得子公司及其他营业单位支付的现金净额,,"683,101.08",,,,,,,,,,,,,,,"41,515,066.63",,,,,,,,"114,140,817.09",,,"2,427.86",,"22,478,634.16","8,100,000.00","8,100,000.00",,,,,,
收到的税费返还,,,,,,,,,,,,,,,,"30,416.95","4,466,075.18","2,397,319.32","7,121,478.01","13,528,225.70","16,315,359.01","684,815.58","4,724,732.18","20,549,769.75","23,136,237.10","5,055,540.83","10,213,839.16","13,948,905.15","18,848,736.97","6,174,535.48","9,472,597.23","20,733,433.07","26,880,757.77","9,921,117.92","20,546,830.67","32,298,083.56","51,932,518.47","11,192,891.60"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,"12,032,575.05","12,032,575.05","3,148,111.38","48,077,558.00",,"98,250,000.00","256,000,000.00","81,200,000.00",,"78,000,000.00",,,"8,537,489.63","4,845.00",,,,"100,000.00",,"1,542,922.45"
收到其他与经营活动有关的现金,"13,458,153.42","3,873,357.30","7,293,916.75","19,493,268.26","62,460,762.31","4,729,844.47","19,581,430.90","23,511,653.86","17,669,457.20","12,451,108.59","59,314,024.57","88,081,732.58","55,459,276.59","26,739,172.64","25,743,664.78","55,746,445.29","57,300,948.02","44,759,906.60","60,831,617.87","68,527,487.25","65,579,021.05","39,902,045.31","97,143,690.68","92,847,345.18","139,765,964.94","22,910,397.60","43,625,348.51","50,923,676.69","62,243,920.44","184,470,831.78","58,891,522.88","216,374,555.02","73,641,684.77","524,257,770.73","27,686,890.90","155,474,454.35","69,818,914.24","39,215,598.23"
投资活动现金流出小计,"40,067,139.34","39,949,730.70","86,714,072.26","9,240,848.45","15,403,826.08","3,164,869.03","7,172,380.77","5,736,863.78","8,533,027.80","372,948.00","2,211,173.44","3,911,855.44","12,857,280.40","740,890.00","42,237,012.69","130,942,159.86","126,144,005.97","4,768,858.00","36,042,203.72","64,486,260.84","117,870,380.46","151,528,103.56","229,268,421.83","316,065,178.69","453,971,951.23","111,451,676.62","134,239,635.82","264,304,699.07","651,497,381.23","41,394,000.94","73,502,906.52","111,475,316.60","1,030,283,786.56","72,158,483.21","245,182,976.69","271,850,830.83","556,274,019.01","129,356,687.50"
经营活动现金流入小计,"103,198,646.91","109,553,179.74","270,369,864.29","183,055,027.71","338,272,660.74","47,706,201.59","101,536,214.00","166,748,391.04","276,615,172.96","70,190,115.63","174,715,427.03","381,407,519.65","507,285,019.74","94,723,371.95","202,314,175.89","279,895,510.02","553,611,500.71","219,336,381.20","554,347,807.22","963,071,411.21","1,258,175,575.04","296,651,000.43","909,629,672.38","1,144,937,028.01","1,937,934,205.01","448,081,434.18","703,016,249.60","1,120,323,326.61","1,907,111,666.51","487,045,092.21","908,032,218.93","1,968,900,759.50","2,259,568,103.61","1,025,464,560.74","821,537,490.93","1,489,551,273.56","1,852,704,454.33","334,504,867.97"
投资活动产生的现金流量净额,"-40,067,139.34","-39,949,730.70","-84,025,599.17","5,259,151.55","-853,415.67","-3,164,869.03","-7,172,380.77","-5,541,863.78","-8,338,027.80","-372,948.00","-2,211,173.44","-3,911,855.44","-12,857,280.40","-740,890.00","-42,237,012.69","-130,942,159.86","-126,140,005.97","-4,764,058.00","-36,042,203.72","-64,481,460.84","-117,868,049.46","-151,528,103.56","-215,621,775.76","-316,065,178.69","-447,441,251.82","-110,987,276.59","15,260,364.18","-233,203,724.07","-488,576,453.23","-5,071,021.61","-20,605,646.31","-69,687,995.19","-221,605,459.25","-69,652,214.74","-59,267,064.51","-65,879,685.77","-228,269,656.18","-114,093,629.97"
购买商品、接受劳务支付的现金,"38,330,319.82","58,676,529.22","116,248,887.15","82,370,361.53","171,568,978.74","29,660,985.06","92,905,711.82","124,994,527.89","191,109,047.44","56,098,451.42","113,391,776.71","224,483,927.57","305,519,724.61","72,355,094.12","121,535,933.87","160,272,669.89","380,688,212.74","163,826,055.38","406,965,509.20","756,851,241.25","964,158,689.45","212,931,349.42","649,120,084.41","688,295,031.36","1,322,047,571.91","298,042,486.56","423,592,671.62","604,351,853.47","1,122,585,087.30","183,681,764.16","602,124,545.00","1,454,592,464.63","1,553,426,787.13","559,141,877.14","634,219,665.91","1,080,753,077.75","1,273,520,262.83","290,424,922.44"
吸收投资收到的现金,"10,000,000.00","54,520,000.00","19,048,037.40",,,"884,250,000.00","884,250,000.00","884,250,000.00","884,250,000.00",,"4,000,000.00","4,000,000.00","4,000,000.00",,,,,,,,"34,763,849.00",,"4,082,000.00","4,082,000.00",,,"198,000,000.00","198,000,000.00","231,629,625.00",,,,"359,690,485.22",,,,,"735,000,000.00"
