科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"92,158,081.43","151,583,852.55","253,425,178.99","295,442,246.99","416,132,292.47","144,510,940.58","341,127,547.00","551,424,352.82","825,174,434.10","165,819,826.25","411,573,501.35","745,165,469.24","1,204,261,872.66","221,197,174.63","534,462,668.44","886,464,457.43","1,489,898,501.71","227,773,840.50","821,516,105.51","1,195,912,729.61","2,003,092,732.43","310,280,385.41","1,102,270,793.89","1,633,167,257.48","2,613,273,020.72","398,434,063.15","1,449,335,566.23","2,434,767,525.10","4,573,262,879.25","765,429,664.11","2,794,830,127.79","4,714,234,727.19","8,187,790,259.64"
二、营业利润,"9,495,564.64","22,157,775.85","43,673,344.26","52,580,290.26","72,276,447.52","23,968,724.97","60,225,544.55","101,744,350.09","164,290,984.78","34,297,735.33","85,292,008.92","155,870,625.17","249,837,880.37","42,193,719.46","99,129,196.81","155,137,910.80","267,019,171.51","-7,175,312.12","112,753,277.03","170,483,544.49","294,174,691.21","-4,704,894.28","132,708,434.66","192,143,216.54","328,776,997.56","-4,133,097.17","198,843,415.08","320,451,767.04","566,547,439.53","-8,265,252.86","290,837,267.84","500,161,523.56","879,960,430.60"
减:营业成本,"66,592,836.44","108,023,245.23","177,239,518.95","202,499,806.99","284,726,947.94","98,439,750.05","233,416,287.63","381,631,904.93","567,626,963.94","115,330,049.49","286,921,367.64","519,447,142.83","837,802,141.12","155,108,660.30","375,566,474.41","623,539,362.20","1,039,583,961.63","164,992,816.53","565,258,070.72","814,767,276.76","1,382,978,731.29","231,323,587.86","784,992,929.33","1,168,477,574.74","1,910,478,105.26","279,608,366.06","1,038,392,121.70","1,731,323,853.16","3,348,217,714.24","584,810,206.25","2,082,299,574.45","3,484,773,974.75","6,122,689,873.83"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,602,661.96","4,531,064.62","8,303,645.66","9,629,197.21","13,732,697.22","4,814,024.74","11,404,676.14","18,318,470.11","27,568,092.51","5,525,256.68","12,640,204.67","21,219,134.03","32,489,060.73","6,619,460.86","16,213,317.64","26,812,870.24","42,832,612.10","6,935,332.71","22,292,506.29","32,146,723.01","55,908,270.86","7,732,014.30","27,248,263.98","37,163,626.16","56,802,259.18","9,720,345.56","16,494,452.75","18,809,889.65","33,152,536.87","6,024,771.67","12,402,207.57","20,573,409.47","32,086,434.86"
营业外收入,"1,175,175.00","1,527,712.75","13,853,659.64","720,000.00","3,185,000.00","540,000.00","1,340,000.00","2,244,425.77","1,889,000.00",,"3,158,922.77","3,158,922.77","3,164,922.77",,"2,687,500.00","8,664,400.57","9,538,310.79","48,270.77","648,270.77","711,660.77","4,019,865.61","1,540,620.00","3,712,493.69","6,399,782.63","9,998,222.95","232,296.70","3,450,930.96","10,790,844.13","44,525,205.66","1,177,621.44","4,472,055.20","5,871,708.80","9,030,851.53"
销售费用,,,,,,,,,,,,,,,,,,,,,,,,,,"694,087.04",,,"15,537,998.66","8,108,421.44","21,322,292.29","49,884,765.12","103,551,840.44"
减:营业外支出,"62,246.53","240,887.50","88,000.00","710,000.00","719,000.00","138,000.00","1,338,000.00","1,338,000.00","2,928,000.00",,"200,000.00","2,550,000.00","3,100,000.00",,"2,961,391.34","2,980,891.34","3,109,511.34","21,775.17","803,028.86","866,222.97","2,533,294.10","118,788.22","1,771,688.96","1,936,731.71","2,450,828.53","19,697.83","35,398.06","629,408.61","6,442,551.23","214,494.23","337,466.57","1,608,027.53","3,949,399.37"
管理费用,"13,500,137.27","17,019,334.24","22,167,193.25","29,118,862.98","42,704,500.26","15,842,253.10","36,633,248.65","53,435,634.20","79,725,230.66","23,682,240.81","46,794,529.63","74,664,095.57","113,770,358.54","25,245,028.22","66,501,351.05","120,583,055.14","194,554,265.71","60,848,280.51","121,549,441.49","171,705,030.66","256,469,005.94","63,056,002.86","142,440,361.40","213,548,257.69","295,692,489.27","100,979,738.77","182,813,508.05","319,554,979.27","530,786,358.01","153,006,350.83","331,423,091.02","548,760,077.35","856,068,905.09"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,"11,391.34","11,391.34","40,011.34","21,775.17","21,775.17","34,969.28","35,309.28","13,861.76","46,818.87","51,861.62","51,861.62","13,770.95","15,845.95","46,835.74","90,618.89","34,109.56","126,464.74","147,654.07",
