科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"3,064,930,763.57","3,474,126,233.69","3,909,114,182.13","1,626,318,368.77","2,429,089,707.19","3,371,803,689.46","814,638,545.82","1,753,912,302.67","2,560,821,639.88","3,702,729,911.70","1,091,566,926.01","1,977,276,060.11","2,952,041,162.13","3,651,416,848.20","955,239,539.91","1,553,691,571.02","2,564,040,989.41","3,399,332,196.83","883,483,546.71","5,187,554,237.59"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,"3,381,539.80"
支付其他与投资活动有关的现金,,,,,,,,,,"316,530,000.00",,"167,000,000.00","167,000,000.00","597,119,323.93",,"488,766,147.89","665,766,147.89","361,464,197.52","174,000,000.00","1,163,812,480.82"
收到其他与经营活动有关的现金,"79,102,429.77","96,007,284.92","123,738,226.70","58,415,984.84","103,012,497.20","161,208,104.68","32,030,754.80","74,314,795.22","102,886,056.86","201,854,433.02","92,897,163.11","116,946,557.56","207,598,573.68","296,730,940.06","25,031,269.71","102,602,133.80","134,722,643.80","412,886,912.96","60,056,889.16","378,384,766.78"
投资活动现金流出小计,"46,328,267.75","14,587,602.39","32,606,768.37","30,853,227.70","53,176,549.74","78,754,406.61","14,768,689.58","23,561,330.38","44,558,629.63","419,253,972.31","18,212,821.77","249,002,580.67","252,454,932.26","687,664,807.76","5,237,327.58","503,593,196.69","683,774,055.04","391,745,067.48","176,946,245.28","1,384,274,954.12"
经营活动现金流入小计,"3,144,033,193.34","3,570,133,518.61","4,032,852,408.83","1,684,734,353.61","2,532,102,204.39","3,533,011,794.14","846,669,300.62","1,828,227,097.89","2,663,707,696.74","3,904,584,344.72","1,184,464,089.12","2,094,222,617.67","3,159,639,735.81","3,948,147,788.26","980,270,809.62","1,656,293,704.82","2,698,763,633.21","3,812,219,109.79","943,656,278.51","5,569,320,544.17"
投资活动产生的现金流量净额,"-46,318,267.75","-14,314,582.11","-32,585,601.35","-30,834,047.70","-53,152,983.96","-78,730,840.83","-14,768,689.58","-23,558,610.38","-44,555,909.63","-419,223,033.48","26,792,109.74","-83,948,949.16","-87,339,472.26","-372,204,897.68","219,201,996.35","114,080,647.24","130,332,260.76","240,558,282.61","-135,747,947.37","123,608,055.30"
购买商品、接受劳务支付的现金,"2,448,153,388.11","2,674,111,245.08","2,957,651,750.80","1,258,097,721.74","1,812,272,235.66","2,598,277,620.60","673,925,988.15","1,401,475,686.04","2,173,597,396.50","2,990,951,196.70","897,230,834.32","1,545,524,656.33","2,352,867,265.56","2,972,970,363.76","726,529,540.77","1,312,451,176.79","2,243,864,374.75","2,927,999,033.90","708,249,959.67","4,442,688,025.42"
吸收投资收到的现金,"94,642,596.00",,,,,,"577,120,000.00","596,720,000.00","626,120,000.00","626,120,000.00",,,,,"5,100,000.00","5,100,000.00","5,100,000.00","5,100,000.00",,
支付给职工以及为职工支付的现金,"164,700,368.29","192,136,996.40","212,321,890.72","116,347,780.99","164,429,162.69","217,450,442.81","65,577,061.08","124,556,856.71","181,708,128.98","249,568,604.94","75,476,902.48","133,387,672.49","187,193,821.01","250,561,829.83","71,723,439.30","131,144,229.82","181,905,705.82","241,866,435.11","83,607,055.64","605,632,767.80"
