科目,2007-06-30,2007-09-30,2007-12-31,2008-06-30,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2015-12-31
货币资金,"4,563,766.09","5,509,295.87","6,083,477.58","4,956,525.82","6,455,271.76","6,176,852.99","1,357,703.33","984,690.36","1,309,837.67","1,392,597.44","75,378,080.10"
短期借款,"798,102,044.96","797,982,044.96","798,302,044.96","798,006,044.96","791,315,725.19","714,650,490.49","542,608,016.63","542,608,016.63","542,608,016.63","542,608,016.63",
交易性金融资产,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,
应收票据,,"531,000.00","2,500,000.00","200,000.00","2,500,000.00","2,500,000.00",,,,,
应付票据,,,,,,,,,,,"4,793,389.20"
应收账款,"96,514,885.93","90,634,470.42","85,654,039.85","95,139,866.23","81,763,041.65","76,688,885.14","6,223,603.74","6,107,608.90","6,198,786.95","5,791,207.67","61,564,759.63"
应付账款,"120,015,007.85","117,564,334.00","122,440,408.86","124,065,489.96","117,768,753.57","103,936,607.15","22,283,201.40","28,171,805.35","28,094,174.35","27,925,195.65","10,442,105.39"
预付款项,"49,811,653.30","48,583,344.85","52,012,683.26","48,506,543.22","51,935,205.26","52,425,109.11","9,752,033.43","11,597,150.97","14,337,639.07","7,533,149.36","89,178.70"
预收款项,"26,999,203.10","162,928,299.01","33,542,051.55","61,928,231.61","63,653,381.70","47,664,141.71","213,812,164.07","11,848,166.38","11,793,846.21","310,639,692.75","32,294,529.72"
其他应收款,"115,568,851.02","118,304,978.56","119,270,093.18","118,813,693.24","87,591,111.36","104,010,835.34","21,023,943.21","19,751,287.15","18,867,594.25","18,307,493.51","2,791,230.95"
应付职工薪酬,"73,018,866.34","81,970,318.08","23,027,424.28","92,843,721.67","105,344,956.22","121,067,973.16","127,295,481.60","141,383,302.05","160,876,054.10","179,260,739.86","1,095,187.32"
应收关联公司款,,,,,,,,,,,
应交税费,"6,645,290.07","7,499,804.45","6,780,133.05","7,640,708.91","7,306,655.93","3,865,024.50","-2,194,925.82","-2,138,157.28","-2,144,783.01","-2,081,459.34","5,559,193.65"
应收利息,,,,,,,,,,,
应付利息,,,,"130,426,472.69","147,590,148.97","178,053,959.38",,,,,
应收股利,,,,,,,,,,,
应付股利,"656,602.81","656,602.81","14,644.42","656,602.81","656,602.81","656,602.81","641,958.39","2,347,235.97","641,958.39","641,958.39",
存货,"156,458,032.70","160,592,942.13","161,483,073.61","150,552,797.80","133,454,255.68","120,968,641.21","31,450,181.55","29,304,731.30","28,483,360.73","27,959,835.40","47,032,022.19"
其他应付款,"291,133,598.56","166,588,651.60","263,828,326.22","193,496,062.62","212,359,260.71","251,510,538.93","239,768,835.43","246,533,015.68","258,640,084.42","259,422,296.38","1,920,238.67"
其中:消耗性生物资产,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,
一年内到期的非流动资产,,,,"155,808.77",,,,,,,
一年内到期的非流动负债,"4,205,821.64","4,205,821.64","4,205,821.64","4,205,821.64","4,205,821.64","4,205,821.64",,,,,
其他流动资产,,,"170,248.37",,,,"155,808.77","155,808.77","155,808.77","155,808.77",
其他流动负债,"151,330,000.00","151,330,000.00","292,548,036.75",,,,,"231,879,234.16","266,236,179.14",,"600,000.00"
流动资产合计,"422,917,189.04","424,156,031.83","427,173,615.85","418,325,235.08","363,698,885.71","362,770,323.79","69,963,274.03","67,901,277.45","69,353,027.44","61,140,092.15","186,855,271.57"
流动负债合计,"1,472,106,435.33","1,490,725,876.55","1,544,688,891.73","1,413,269,156.87","1,450,201,306.74","1,425,611,159.77","1,144,214,731.70","1,202,632,618.94","1,266,745,530.23","1,318,416,440.32","56,704,643.95"
可供出售金融资产,,,,,,,,,,,
长期借款,"40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",
持有至到期投资,,,,,,,,,,,
应付债券,,,,,,,,,,,
长期应收款,,,,,,,,,,,
长期应付款,,,,,,,,,,,
长期股权投资,"320,317,688.34","320,397,688.35","316,509,304.37","318,506,993.43","328,866,291.32","326,311,790.64","312,772,914.28","312,772,914.28","312,772,914.28","312,772,914.28",
专项应付款,"750,000.00","750,000.00","750,000.00","750,000.00","750,000.00","750,000.00",,,,,
投资性房地产,,,,,,,,,,,
预计负债,,,,"151,330,000.00","151,330,000.00","150,000,000.00","150,000,000.00",,"150,000,000.00",,
固定资产,"152,936,638.99","150,961,628.07","148,607,224.34","146,680,785.75","146,036,482.21","120,410,814.33","36,917,307.23","33,500,959.26","32,440,400.06","31,573,622.64","3,766,427.93"
递延所得税负债,,,,,,,,,,,
在建工程,"23,039,121.37","23,148,821.37","22,650,821.37","22,351,882.66","22,503,850.97","21,572,400.81","9,712,706.32","9,694,706.32","9,694,706.32","9,694,706.32",
其他非流动负债,,,,,,,,"150,000,000.00",,"150,000,000.00",
工程物资,,,,,,,,,,,
非流动负债合计,"40,750,000.00","40,750,000.00","40,750,000.00","192,080,000.00","192,080,000.00","190,750,000.00","160,000,000.00","160,000,000.00","160,000,000.00","160,000,000.00",
固定资产清理,,,,,,,,,,,
负债合计,"1,512,856,435.33","1,531,475,876.55","1,585,438,891.73","1,605,349,156.87","1,642,281,306.74","1,616,361,159.77","1,304,214,731.70","1,362,632,618.94","1,426,745,530.23","1,478,416,440.32","56,704,643.95"
生产性生物资产,,,,,,,,,,,
实收资本(或股本),"114,000,000.00","114,000,000.00","114,000,000.00","114,000,000.00","114,000,000.00","114,000,000.00","114,000,000.00","114,000,000.00","114,000,000.00","114,000,000.00","113,668,656.00"
油气资产,,,,,,,,,,,
资本公积,"356,205,378.31","356,205,378.31","356,205,378.31","356,231,305.82","356,231,305.82","356,231,305.82","356,231,305.82","356,231,305.82","356,231,305.82","356,231,305.82",
无形资产,"83,269,025.17","82,992,951.72","53,430,848.67","53,352,931.19","53,285,044.21","40,777,502.72","10,361,803.66","10,114,342.18","9,843,124.02","9,790,324.02",
盈余公积,"16,074,092.77","16,074,092.77","16,074,092.77","16,074,092.77","16,074,092.77","16,074,092.77","16,074,092.77","16,074,092.77","16,074,092.77","16,074,092.77",
开发支出,,,,,,,,,,,
减:库存股,,,,,,,,,,,
商誉,,,,,,,,,,,
未分配利润,"-996,982,562.75","-1,015,403,784.60","-1,095,803,179.92","-1,125,588,309.48","-1,217,708,462.59","-1,247,971,986.41","-1,352,178,170.94","-1,415,802,115.41","-1,479,282,390.11","-1,539,438,037.49","20,399,522.27"
长期待摊费用,,,,,,,,,,,
少数股东权益,"326,319.25","-694,441.69","-7,543,368.29","-6,848,417.87","3,512,311.68","17,148,260.34","1,386,046.17","848,297.37","335,633.41","-312,142.01",
递延所得税资产,,,,,,,,,,,"151,122.72"
外币报表折算价差,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,
非正常经营项目收益调整,,,,,,,,,,,
非流动资产合计,"579,562,473.87","577,501,089.51","541,198,198.75","540,892,593.03","550,691,668.71","509,072,508.50","369,764,731.49","366,082,922.04","364,751,144.68","363,831,567.26","3,917,550.65"
所有者权益(或股东权益)合计,"-510,376,772.42","-529,818,755.21","-617,067,077.13","-646,131,328.76","-727,890,752.32","-744,518,327.48","-864,486,726.18","-928,648,419.45","-992,641,358.11","-1,053,444,780.91","134,068,178.27"
资产总计,"1,002,479,662.91","1,001,657,121.34","968,371,814.60","959,217,828.11","914,390,554.42","871,842,832.29","439,728,005.52","433,984,199.49","434,104,172.12","424,971,659.41","190,772,822.22"
负债和所有者(或股东权益)合计,"1,002,479,662.91","1,001,657,121.34","968,371,814.60","959,217,828.11","914,390,554.42","871,842,832.29","439,728,005.52","433,984,199.49","434,104,172.12","424,971,659.41","190,772,822.22"
