科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"265,175,890.04","240,661,359.70","213,645,869.80","265,138,889.79","667,644,983.61","660,169,250.75","679,867,179.73","345,975,149.70","503,513,539.90","561,199,632.87","474,840,040.79","507,901,268.44","411,759,457.70","388,940,104.86","361,477,001.25","468,591,258.25","481,198,140.48"
短期借款,"264,000,000.00","258,000,000.00","290,000,000.00","290,000,000.00","239,781,760.00","270,058,480.00","235,584,640.00","122,000,000.00","144,000,000.00","126,000,000.00","96,000,000.00","140,000,000.00","196,774,400.00","191,910,700.00","141,602,600.00","212,304,800.00","264,932,800.00"
交易性金融资产,,"4,453,165.50",,,,,,,,,,,,,,"909,300.00",
交易性金融负债,,,"751,560.00","203,100.00",,,,,,,,,,,,,"3,911,500.00"
应收票据,"5,354,412.79","37,648,802.29","92,383,450.78","61,265,198.54","37,257,890.18","50,623,575.74","61,506,255.96","70,254,661.37","20,815,200.77","26,708,233.02","60,711,392.53","49,401,892.22","67,794,129.58","99,049,411.61","102,716,487.22","69,468,594.74","116,748,208.78"
应付票据,"76,230,000.00","67,660,000.00","40,000,000.00","86,200,000.00","90,200,000.00","62,200,000.00","69,900,000.00","52,200,000.00","68,300,000.00","81,300,000.00","57,500,000.00","52,500,000.00","31,000,000.00",,,"50,000,000.00","50,000,000.00"
应收账款,"108,126,528.99","125,828,799.42","131,654,195.18","164,215,737.56","189,221,091.24","172,451,012.07","144,836,833.76","163,330,267.63","195,748,310.91","188,154,535.51","179,650,663.05","261,280,048.69","242,511,808.46","219,787,343.63","174,126,095.48","254,893,802.51","234,939,554.21"
应付账款,"119,710,766.34","160,831,551.42","140,328,423.43","116,942,146.80","131,567,525.20","127,870,631.54","121,620,482.62","116,116,948.26","131,478,253.35","128,576,314.46","146,079,888.19","165,885,973.24","146,932,510.11","130,091,755.24","165,902,478.53","152,067,596.92","175,799,621.13"
预付款项,"12,498,088.93","15,590,652.19","13,565,260.51","22,995,067.84","8,170,734.40","11,186,710.08","10,862,577.34","11,165,881.29","11,482,021.25","13,307,426.15","10,664,544.90","10,028,451.06","14,851,354.06","16,111,603.18","19,518,742.20","33,406,240.28","21,864,211.91"
预收款项,"8,680,203.02","8,758,073.38","13,250,133.35","12,879,300.46","6,016,612.45","7,539,316.94","7,151,703.99","11,208,680.80","6,609,427.56","6,511,306.15","8,540,040.21","8,440,784.24","8,531,579.74","16,203,004.78","12,451,209.68","17,136,796.94","16,181,155.31"
其他应收款,"6,695,754.52","4,376,401.07","3,743,266.98","5,636,624.58","2,968,952.16","3,082,054.91","2,216,068.16","3,314,312.28","2,858,471.86","2,676,193.37","1,758,107.60","2,796,997.24","2,463,654.82","2,360,216.19","1,083,156.41","1,328,646.38","1,508,840.06"
应付职工薪酬,"9,791,865.49","12,423,962.41","12,799,752.20","2,501,055.24","7,226,234.69","7,239,583.89","9,616,649.21","2,026,049.02","5,918,431.50","5,839,819.21","16,115,579.58","7,844,870.21","1,950,916.84","1,585,751.12","16,752,761.97","8,669,628.12","2,260,209.56"
