科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"579,333,924.03","801,407,370.80","401,010,695.13","603,337,706.61","926,182,505.46","286,967,808.22","512,502,160.69","816,590,336.07","1,231,605,769.40","367,693,082.56","690,933,705.64","1,073,156,712.58","1,555,776,389.79","482,198,928.61","890,657,035.04","1,394,364,884.02","1,981,355,528.69","502,162,838.74","962,637,882.34","1,438,846,329.28","2,166,869,154.34","527,583,229.41","999,976,976.80","1,533,874,257.04","2,643,125,121.60","526,205,237.23","973,937,859.46","1,484,807,558.68","2,763,998,224.97","588,396,375.11","1,125,864,101.52","1,650,213,898.39","3,011,633,782.31","647,788,754.40","1,278,291,270.85","1,897,387,188.67","3,418,357,779.12"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,"433,804.85","453,014.59","479,404.29",,"62,600.00","62,671.33",,,"38,000.00","117,000.00",,"76,000.00","76,000.00","313,675.94",,"68,000.00","142,775.26","142,775.26",,,"22,929.11","580,047.46",,"5,371.11","20,000.00","1,536,762.31",,"16,103.00","2,395,818.22","2,396,090.63",
支付其他与投资活动有关的现金,,,,,,,,,"3,714,796.82",,,,,,,,,,"80,000,000.00",,,,,,,"10,000,000.00",,,,,,,,,,,
收到其他与经营活动有关的现金,"4,372,100.07","3,823,669.96","4,667,733.91","15,907,201.76","20,376,127.21","5,214,756.01","4,555,037.09","7,787,253.60","17,271,680.07","7,831,544.28","8,633,390.90","18,349,601.07","18,195,986.25","8,201,926.12","9,331,833.37","20,791,411.13","20,901,243.53","7,712,203.65","26,505,605.28","37,813,543.92","27,488,462.65","16,110,420.45","48,748,526.32","48,478,665.11","24,102,201.57","14,459,569.99","27,279,630.34","54,761,448.87","34,313,550.59","5,044,424.48","34,689,786.58","68,628,958.01","36,282,626.29","5,049,809.67","27,725,641.54","76,147,122.80","25,563,339.78"
投资活动现金流出小计,"54,083,534.42","11,804,559.87","1,032,957.57","7,038,785.99","28,289,901.41","21,197,415.70","40,225,546.20","79,843,600.96","147,070,061.31","31,846,414.17","83,802,936.67","170,296,899.63","839,996,805.41","37,019,827.97","52,334,976.21","76,066,228.72","288,733,951.83","69,905,940.45","125,245,213.13","401,462,511.40","723,532,883.28","78,647,344.36","282,178,390.56","533,671,719.76","891,223,161.09","221,612,090.19","636,010,927.32","642,591,897.96","914,715,973.85","226,700,348.21","613,714,531.85","813,505,329.59","1,413,876,151.15","227,951,634.16","441,778,311.11","467,625,663.39","1,080,370,406.19"
经营活动现金流入小计,"583,706,024.10","805,231,040.76","405,678,429.04","619,244,908.37","946,558,632.67","292,182,564.23","517,491,002.63","824,830,604.26","1,249,356,853.76","375,524,626.84","699,629,696.54","1,091,568,984.98","1,573,972,376.04","490,400,854.73","900,026,868.41","1,415,273,295.15","2,002,256,772.22","509,951,042.39","989,219,487.62","1,476,973,549.14","2,194,357,616.99","543,761,649.86","1,048,868,278.38","1,582,495,697.41","2,667,227,323.17","540,664,807.22","1,001,240,418.91","1,540,149,055.01","2,798,311,775.56","593,446,170.70","1,160,573,888.10","1,720,379,618.71","3,047,916,408.60","652,854,667.07","1,308,412,730.61","1,975,930,402.10","3,443,921,118.90"
投资活动产生的现金流量净额,"-45,652,022.42","-11,654,909.87","-974,757.57","-6,941,537.23","-28,178,533.35","-21,073,915.70","-40,102,046.20","-79,720,100.96","-130,738,566.14","-31,791,540.17","-83,748,062.67","-170,132,025.63","-240,551,257.85","-36,972,067.97","-52,287,216.21","-75,986,748.72","-288,443,325.47","-69,782,149.29","-123,503,327.94","-93,623,883.85","-149,483,045.16","-23,058,620.28","-133,381,525.76","-146,032,881.00","-223,724,905.70","-43,616,989.20","-336,360,644.13","-159,398,727.27","-245,462,796.42","-226,228,567.39","-405,726,175.70","-387,379,483.82","-598,719,751.94","-126,707,151.97","-188,454,121.63","-46,716,575.01","-446,235,384.78"
购买商品、接受劳务支付的现金,"304,406,458.88","433,590,063.63","221,096,375.78","316,366,121.66","466,185,129.33","186,354,497.96","397,859,413.17","629,267,399.57","845,266,367.59","164,541,856.28","287,575,333.56","512,634,437.07","749,968,582.16","271,056,078.17","471,582,019.58","628,793,584.21","716,858,301.77","275,066,738.35","577,774,050.89","892,196,851.23","1,126,030,656.16","269,362,962.29","543,631,294.95","803,743,311.58","1,298,903,202.63","317,178,073.33","559,991,911.81","786,136,899.99","1,509,818,757.35","291,294,649.20","494,071,668.22","802,030,508.12","1,595,103,085.83","402,859,027.94","783,769,204.33","1,095,533,069.49","1,835,912,765.29"
吸收投资收到的现金,"10,171,290.00",,,,"780,000,000.00",,,,,,,,,,,,,,,,"11,136,277.50",,"50,753,477.20","50,753,477.20","66,989,014.94","8,787,470.63","8,230,684.93","27,716,121.56","56,334,846.62","1,280,353.83","83,363,300.42","83,883,004.50","83,392,100.00","83,911,171.26","138,395,245.26","151,218,245.26","105,586,399.00"
