科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30
货币资金,"1,028,035,361.37","919,261,117.80","1,107,262,686.13","1,207,750,444.36","1,278,539,464.86","1,249,655,220.27","1,258,557,295.06","1,431,106,865.67","1,465,716,703.60","1,403,471,353.24","1,669,332,464.06","1,752,091,137.46","1,604,559,060.93","1,530,473,454.92","1,788,195,083.62","2,062,640,174.66","2,055,089,880.84","2,029,224,913.46","2,252,690,610.02","2,315,831,504.13","1,887,499,995.84","1,526,123,492.05","1,854,995,314.34","2,722,773,496.33","2,026,531,640.86","2,037,096,461.07","1,797,155,271.65","2,363,855,132.36","1,892,358,150.61","1,834,323,795.04","1,577,760,165.28","1,255,394,363.17","1,159,430,176.24","1,382,919,280.59","992,479,547.01","1,061,580,114.62","2,187,634,020.07","12,681,328,830.56","13,050,572,691.10","13,694,801,086.33","11,578,180,420.15","11,175,308,615.95"
短期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,141,112,399.30","1,753,120,000.00","1,936,200,000.00","3,012,880,000.00","3,166,081,107.43"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,827,366,115.05","5,669,932,945.54","3,853,575,331.53","6,426,018,945.91","6,298,342,679.68"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"935,946,100.00","1,951,446,160.00","2,039,818,060.01","2,375,369,489.97"
应收票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,408,000.00","51,640,800.00","55,704,800.00","77,696,000.00"
应收账款,"282,811.83","228,513.95","2,899,370.26","3,303,709.83","3,195,757.01","6,533,751.63","2,402,178.35","4,087,240.29","2,584,051.32","3,018,457.65","2,927,927.56","5,399,952.26","3,147,680.01","141,192.88","566,346.84","548,547.34","455,959.37","404,739.13","848,895.18","1,537,850.14","550,695.42","384,222.41","619,394.27","1,201,181.99","620,565.60","2,007,758.97","994,657.95","1,237,326.84","1,312,503.43","2,250,643.54","778,527.51","680,272.85","820,524.58","570,791.29","347,307.38","258,790.92","725,611.87","138,202,408.45","150,548,230.55","233,283,149.63","171,412,587.82","116,234,371.96"
应付账款,"210,318,885.18","148,821,384.18","229,561,193.42","263,190,908.19","181,005,937.56","137,636,174.18","176,384,770.99","225,299,079.31","180,924,015.30","187,082,191.24","214,443,554.43","329,621,712.71","305,024,769.58","271,113,240.79","310,976,310.71","513,697,423.82","380,339,635.51","377,046,549.20","437,219,865.38","650,786,328.74","502,161,581.46","415,506,542.83","463,706,018.80","542,104,546.40","413,488,407.85","418,212,247.65","356,983,310.37","499,949,335.50","359,647,590.61","302,600,044.64","323,026,949.86","426,087,998.18","365,561,156.25","333,982,545.91","310,900,166.23","364,111,996.97","236,457,288.11","678,326,750.08","747,119,884.97","877,615,413.38","595,406,798.02","444,143,214.44"
预付款项,"12,166,021.50","7,987,098.18","18,114,756.00","18,717,342.09","7,476,206.56","6,576,022.65","65,874,772.09","65,658,311.31","46,735,714.68","34,294,943.48","32,493,696.74","29,898,332.96","14,944,837.92","18,865,918.80","23,101,562.66","30,295,445.90","12,913,012.14","23,084,742.94","30,973,940.61","16,524,251.62","17,806,834.74","17,101,415.74","36,142,131.84","9,024,952.08","20,891,655.10","22,049,475.93","18,480,956.19","17,770,191.00","38,084,688.72","41,199,929.47","49,164,013.98","11,549,798.44","20,846,720.35","26,266,523.50","30,796,133.55","19,927,800.15","12,763,570.94","43,833,327.06","34,089,198.47","23,567,450.96","26,651,813.40","29,638,359.94"
预收款项,"8,031,787.72","9,585,495.06","16,328,339.03","292,492,661.10","387,606,238.75","340,951,822.94","436,707,473.28","462,894,447.36","477,411,994.67","385,482,327.03","540,236,546.01","475,478,925.18","557,263,765.03","469,586,882.92","622,448,959.62","589,238,747.85","635,142,146.38","527,622,149.05","656,106,623.43","682,158,996.97","719,282,810.70","614,684,320.22","835,231,495.30","811,250,871.00","871,864,573.75","720,215,681.07","861,084,580.56","812,425,545.34","770,799,150.47","698,442,706.80","693,252,979.70","650,226,965.64","597,553,564.73","517,066,995.70","523,583,846.69","497,413,115.34","440,685,215.43","720,437,453.76","650,212,532.10","455,554,002.24","444,524,763.39","487,455,886.52"
其他应收款,"19,293,312.82","20,356,684.69","22,456,849.32","11,397,917.95","16,332,161.21","14,106,509.58","10,675,773.91","7,390,349.88","8,990,011.59","8,517,047.52","8,615,252.32","15,182,779.83","34,430,663.17","34,028,551.13","37,228,822.77","42,006,197.26","42,991,907.20","43,895,213.99","46,263,132.72","44,198,918.87","46,924,874.02","43,848,727.74","46,942,911.04","46,382,317.11","74,746,175.23","50,057,054.52","43,005,401.81","46,400,175.69","50,069,555.14","44,986,704.13","57,534,873.37","59,547,990.08","65,329,842.80","56,055,527.51","63,703,274.64","64,511,127.95","69,400,209.52","183,965,786.18","213,900,432.40","196,138,204.12","4,300,029,401.97","215,189,761.43"
应付职工薪酬,"30,628,270.14","28,938,140.02","26,451,802.31","38,086,918.16","44,239,912.09","29,970,477.85","30,220,849.14","10,893,195.09","11,879,649.08","9,995,364.64","10,887,749.38","9,627,168.23","9,898,645.50","7,530,718.66","7,472,864.65","5,210,985.71","11,800,394.57","10,067,631.32","10,291,354.71","18,102,908.53","4,014,631.48","3,767,507.36","3,930,367.03","10,324,223.30","5,795,122.36","4,050,050.92","4,240,174.34","11,376,035.27","3,830,229.03","3,890,773.44","4,161,090.50","7,561,025.72","7,424,110.28","8,003,498.02","5,069,141.08","7,939,475.93","7,952,850.89","538,884,323.24","651,120,167.77","765,238,140.03","367,049,596.47","399,249,155.33"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"31,324,746.81","21,893,288.15","30,541,953.71","60,032,191.85","19,062,705.05","17,623,475.67","42,736,271.02","59,022,859.26","13,509,238.30","13,409,750.86","55,442,766.60","57,702,803.96","18,133,146.23","8,270,610.33","53,244,135.09","90,511,680.57","8,258,578.88","7,115,052.49","51,133,021.15","126,261,904.91","2,589,956.46","-6,768,371.27","47,245,994.92","90,306,227.50","11,749,462.13","1,522,639.03","21,260,890.86","64,469,999.72","14,400,561.38","9,928,663.11","27,110,033.37","45,976,820.78","10,005,418.63","9,678,028.59","14,741,036.49","53,461,048.34","31,294,117.36","137,472,737.56","165,212,060.99","305,031,339.90","213,849,346.00","137,667,500.65"
