科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"1,429,019,327.32","1,065,078,086.75","1,284,101,497.75","1,270,063,885.22","2,101,283,162.08","1,827,804,098.67","2,114,676,864.17","2,143,013,934.62","2,470,548,159.66","2,159,829,036.82","2,304,150,630.18","2,252,276,228.58","2,964,424,852.53","2,589,001,455.41","2,907,888,074.01","2,639,951,413.36","2,988,910,132.84","4,010,086,447.95","4,442,530,965.69","4,854,251,949.85","4,838,835,306.47","4,413,614,905.78","4,969,360,908.08","5,083,698,148.56","5,452,001,337.81","5,379,999,199.79","5,891,672,197.13","5,696,882,205.73","5,969,092,005.93","5,847,565,516.37","6,131,850,143.89","5,867,281,784.32","6,902,338,456.29","6,902,335,121.96","5,710,159,414.35","5,746,321,941.74","5,858,597,600.09","5,872,194,929.33","5,679,807,551.99","5,066,410,387.68","4,550,565,633.61","3,969,893,647.51","4,279,769,428.86","4,187,186,798.21"
短期借款,,,"150,000,000.00","275,000,000.00","230,000,000.00","405,000,000.00","405,000,000.00","665,000,000.00","1,335,000,000.00","660,000,000.00","660,000,000.00","83,089,295.32","313,089,295.32","970,000,000.00","970,000,000.00","790,000,000.00","790,000,000.00","990,000,000.00","1,190,000,000.00","1,350,000,000.00","1,290,000,000.00","1,040,000,000.00","1,340,000,000.00","1,380,000,000.00","1,630,000,000.00","1,660,000,000.00","1,370,000,000.00","1,170,000,000.00","1,370,000,000.00","970,000,000.00","670,000,000.00","670,000,000.00","670,000,000.00","620,000,000.00","620,000,000.00","620,000,000.00","620,000,000.00","520,000,000.00","520,000,000.00","520,000,000.00","520,000,000.00","470,000,000.00","550,000,000.00","543,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,"600,000,000.00","600,000,000.00","600,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,"770,000.00","410,000.00","150,000.00",,"200,000.00",,,"8,600.00",,"100,000.00",,,,,,,,,,,,"100,000.00",,,,,,,,,,,,,,,,,,,,,
应付票据,,,,"21,750,103.11","16,700,103.11",,,,,,,,,,"6,400,000.00","12,400,000.00","6,000,000.00","26,100,200.43","95,987,746.45","351,836.00","351,836.00",,"90,546,987.25","25,981,037.43","60,981,037.43","35,000,000.00","35,082,243.64","56,431,478.30","21,349,234.66",,"8,757,282.15","30,034,505.74","29,997,123.84",,"24,793,658.43","57,518,139.70","49,460,415.76",,,"69,943,435.05","126,799,203.28","59,796,122.60","65,675,042.17","68,868,778.55"
应收账款,"16,482,710.45","7,808,433.90","16,036,742.35","8,449,989.72","9,884,960.84","13,341,584.43","16,177,770.66","7,642,658.92","11,033,366.10","4,762,795.04","6,489,105.22","5,774,167.34","8,650,356.82","8,892,868.02","7,847,417.95","4,313,586.40","8,660,097.56","7,433,594.06","20,412,350.07","2,839,701.92","7,974,162.23","10,918,439.88","27,387,439.35","29,860,699.21","77,749,161.64","34,257,633.16","60,097,577.51","37,259,548.46","49,246,917.54","28,444,715.62","55,278,977.80","21,699,757.74","16,463,421.48","23,077,603.85","25,086,276.82","36,332,877.03","39,281,924.96","38,506,544.52","40,827,196.75","17,258,273.92","19,060,846.36","14,817,341.95","25,601,703.21","17,777,857.62"
应付账款,"1,389,055,987.48","1,078,054,374.57","1,189,665,953.25","1,265,950,471.47","1,542,824,348.78","1,208,598,456.44","1,530,503,207.51","1,479,196,048.85","1,623,922,422.73","1,473,647,862.51","1,641,495,141.48","1,484,336,360.50","2,073,124,464.17","1,684,611,817.42","2,009,611,472.93","2,020,644,404.78","2,376,312,308.72","1,915,862,215.42","2,270,285,964.37","2,546,850,299.58","2,689,073,752.63","2,514,120,603.23","2,903,087,413.89","3,077,057,235.86","3,184,248,538.85","2,994,280,657.13","3,071,238,996.61","3,335,680,997.53","3,554,268,600.94","3,280,927,365.39","3,554,377,053.61","3,385,387,850.72","3,638,640,358.87","3,423,747,817.99","3,476,175,680.10","3,480,741,367.35","3,649,699,075.31","3,359,063,482.05","3,477,423,308.25","3,069,966,298.34","2,950,653,033.03","2,644,080,846.27","2,845,459,030.31","2,627,908,649.41"
预付款项,"102,730,528.43","155,041,087.32","183,118,663.60","51,198,775.79","125,164,150.72","71,323,890.55","140,460,650.20","140,566,431.71","146,583,614.17","130,183,733.49","166,736,003.64","145,022,336.44","168,346,414.86","209,377,100.36","275,660,276.84","67,695,031.97","125,062,311.50","67,760,652.51","147,033,536.43","71,203,574.49","128,152,559.40","151,653,985.81","141,399,159.44","109,211,497.17","169,885,977.70","134,633,933.43","170,565,491.16","131,821,496.14","134,535,460.22","148,063,748.77","149,836,884.15","121,030,656.83","129,929,175.72","125,139,383.60","134,907,425.53","187,810,425.43","252,670,808.49","189,948,794.07","220,564,904.02","61,439,548.70","56,196,367.83","65,926,841.61","73,903,759.22","64,413,197.75"
预收款项,"205,445,449.04","152,408,353.29","241,662,218.36","259,660,386.68","17,001,694.25","20,144,261.53","18,161,681.87","306,973,929.27","291,862,581.29","234,172,671.99","304,573,083.77","351,314,581.88","357,759,496.81","310,620,419.08","445,426,486.85","424,817,411.56","315,615,372.87","405,010,978.66","549,836,455.68","606,848,668.28","586,856,833.85","536,820,493.48","687,070,987.42","698,761,542.33","746,481,313.19","633,649,397.18","742,409,222.61","682,282,847.16","628,809,455.19","571,059,504.70","571,296,081.12","584,349,689.86","556,085,139.01","388,703,554.94","331,804,023.69","409,827,394.78","436,045,616.27","274,729,261.78","206,816,535.79","452,595,942.14","443,659,357.92","382,367,845.21","363,792,751.02","461,099,305.25"
其他应收款,"91,719,761.64","43,383,738.10","85,917,958.25","130,602,030.93","200,237,233.60","203,470,122.21","249,729,492.87","126,382,614.21","209,218,467.41","152,284,473.89","236,681,581.98","195,641,464.88","258,922,502.88","225,319,063.91","276,362,485.02","126,726,205.80","277,140,160.48","128,050,982.79","219,739,997.72","115,964,954.78","170,695,444.79","160,297,913.22","334,350,024.70","164,749,413.33","481,807,583.57","379,178,470.39","422,730,733.29","210,648,175.62","387,684,144.30","238,351,502.69","251,251,367.78","209,602,887.87","257,684,172.25","199,613,516.00","185,524,184.39","215,933,837.55","267,076,637.87","264,154,678.25","226,845,027.61","171,134,739.22","187,364,864.50","283,194,276.73","169,835,086.10","110,955,368.46"
应付职工薪酬,"31,009,133.88","30,217,407.49","31,619,783.72","28,188,876.35","27,553,053.34","32,788,672.97","34,149,685.32","32,156,507.16","31,644,263.41","33,127,417.15","34,078,829.29","30,233,155.08","35,420,142.79","38,929,256.90","39,569,290.54","13,460,029.02","43,042,300.56","48,667,460.72","53,658,084.28","24,573,024.13","61,191,020.02","64,181,893.18","67,115,504.77","17,513,381.56","53,285,270.61","54,219,968.39","54,012,411.82","4,168,259.51","42,696,364.24","45,358,957.38","44,703,963.16","1,203,492.45","44,990,700.94","45,843,894.61","43,452,676.97","31,916,322.05","45,764,523.01","45,774,301.01","47,145,615.75","45,626,725.24","47,359,443.30","50,816,425.94","44,407,077.06","36,608,512.92"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"14,717,012.86","7,766,445.80","31,279,053.79","47,973,562.01","16,747,799.83","-21,626,921.24","-1,489,899.11","-26,493,491.67","-43,158,083.00","-54,908,981.62","-49,686,776.89","-51,279,493.92","-60,051,008.54","-74,309,896.73","-43,679,598.49","-63,796,711.91","-66,281,312.81","-88,170,640.48","-56,555,891.60","-89,708,567.20","-101,348,293.90","-114,174,177.53","-68,372,180.74","16,030,156.33","26,088,651.07","13,313,053.56","16,507,700.66","20,990,302.18","17,316,589.79","17,610,729.92","37,504,734.94","25,652,933.59","69,384,173.15","102,926,694.26","110,060,351.33","19,403,748.91","16,693,541.45","9,692,730.12","21,789,742.35","10,487,614.96","12,536,074.72","16,751,466.64","8,537,743.58","13,770,761.01"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,"1,125,000.00","1,125,000.00","9,000,000.00","15,750,000.00","23,250,000.00","3,087,500.00","9,462,500.00","15,087,500.00","21,462,500.00","1,799,107.14","6,674,107.14","11,549,107.14","29,482,463.06","7,485,540.97","7,953,489.03","100,624.33","10,243,626.29","9,855,464.67","1,354,313.28","5,768,954.39","6,670,396.06"
应付利息,,,"197,250.00","380,481.25","1,889,750.00","741,618.75","579,181.25","1,214,920.83","2,209,945.83","4,610,570.32","6,505,776.71","15,942,783.09","31,610,070.20","30,984,561.64","38,452,539.13","7,715,992.51","17,867,917.93","30,488,375.35","39,571,009.06","9,697,393.94","20,093,797.15","29,073,786.75","54,594,326.12","18,856,574.47","32,249,545.64","35,741,644.70","64,161,521.49","40,767,319.79","74,756,586.89","91,228,079.00","67,364,966.01","64,120,066.02","104,843,461.31","125,973,349.04","80,271,110.27","36,395,550.13","67,969,556.96","59,516,142.61","57,301,762.47","64,964,922.64","86,835,984.30","56,935,911.18","37,780,911.29","70,666,462.81"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,948,475.08",,,,"66,580,791.80",,,,"199,742,375.40",,,,,,
存货,"380,234,106.48","371,914,374.64","468,258,690.53","538,388,222.42","515,168,429.15","510,766,204.44","592,482,344.03","732,814,237.37","595,094,880.92","613,600,571.99","731,556,020.43","771,943,680.94","775,174,020.65","736,067,340.69","850,460,703.84","1,062,656,947.04","972,841,299.55","973,939,836.03","1,137,688,611.04","1,508,708,154.03","1,278,026,743.32","1,219,180,462.81","1,407,050,566.65","1,545,595,696.96","1,416,800,814.73","1,318,354,470.35","1,366,226,895.55","1,608,773,275.82","1,469,544,516.71","1,324,547,064.49","1,422,191,724.15","1,506,797,878.78","1,496,537,530.00","1,383,544,811.97","1,467,863,125.54","1,526,320,626.97","1,506,543,212.01","1,379,556,577.26","1,410,663,953.58","1,542,516,578.56","1,372,273,884.42","1,327,046,134.33","1,223,971,249.18","1,218,316,010.26"
