科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"65,772,533.27","98,231,841.41","104,145,509.18","87,821,561.40","159,164,754.52","26,380,219.30","65,368,215.97","97,087,261.54","188,369,461.75","58,043,754.93","95,321,249.01","145,461,906.63","233,105,179.62","66,625,749.53","118,195,819.13","259,595,645.30","371,461,482.34","53,101,719.32","127,567,642.84","183,026,216.02","326,055,109.48","69,013,667.62","130,523,511.38"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"8,279,479.44",,"133,896,888.41","155,947,185.61","161,266,888.41","3,500,000.00","1,593,545.31","488,048,554.31","491,135,332.31","94,794,991.00","95,044,991.00","154,644,991.00","95,044,991.00",,
收到的税费返还,"5,955,585.46","12,812,298.23","14,566,190.65","9,418,429.90","18,802,015.88","1,743,208.12","10,336,959.50","15,463,593.19","24,248,617.21","8,638,637.74","14,228,994.49","17,823,684.78","23,469,088.18","8,863,824.47","12,748,049.29","19,128,167.44","32,584,269.68","2,250,019.31","10,149,531.18","20,071,599.33","31,131,920.83","4,355,489.69","7,584,495.73"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"32,445,597.15","19,279,469.88","4,655,054.33","2,173,472.41","9,565,367.54","891,213.06","7,309,885.43","9,143,989.39","12,929,723.50","1,248,741.34","2,537,732.70","5,210,709.16","21,151,535.25","1,123,699.35","9,035,634.31","19,665,275.67","55,429,257.59","7,901,672.11","10,204,694.44","49,006,434.51","29,423,712.21","8,068,039.00","12,941,197.80"
投资活动现金流出小计,"19,183,124.73","7,807,860.28","10,778,240.92","3,937,149.23","6,855,727.74","794,048.90","5,842,138.73","28,901,197.73","14,289,005.53","135,214,600.00","137,860,816.91","163,853,690.67","168,903,761.74","6,510,593.89","5,891,112.20","492,629,287.34","497,117,007.24","134,428,086.00","154,695,110.00","157,284,615.25","157,849,992.00","72,430.00","523,078.40"
经营活动现金流入小计,"104,173,715.88","130,323,609.52","123,366,754.16","99,413,463.71","187,532,137.94","29,014,640.48","83,015,060.90","121,694,844.12","225,547,802.46","67,931,134.01","112,087,976.20","168,496,300.57","277,725,803.05","76,613,273.35","139,979,502.73","298,389,088.41","459,475,009.61","63,253,410.74","147,921,868.46","252,104,249.86","386,610,742.52","81,437,196.31","151,049,204.91"
投资活动产生的现金流量净额,"-19,181,124.73","-7,801,420.28","-10,778,240.92","-3,936,349.23","-6,853,767.74","-794,048.90","-5,838,938.73","-28,897,997.73","-14,218,305.53","-135,214,600.00","-137,860,816.91","-163,812,296.70","-168,006,629.88","-6,510,593.89","8,424,018.50","-478,297,986.64","-482,785,615.54","-134,428,086.00","-154,692,110.00","-157,281,615.25","-157,846,874.00","-72,430.00","-516,578.40"
购买商品、接受劳务支付的现金,"4,122,887.56","7,104,339.72","3,454,494.88","1,498,093.62","2,804,908.42","640,000.00","1,473,323.09","2,166,730.29","4,098,927.30","2,993,017.13","9,434,681.13","15,723,006.33","22,043,243.21","4,457,591.24","13,543,405.61","32,444,199.30","48,601,701.65","23,935,778.87","38,348,790.87","55,806,313.37","60,004,771.91","32,402,849.37","36,713,747.37"
吸收投资收到的现金,,,,,,"111,530,000.00","111,522,727.71","111,530,000.00","248,522,670.21",,,,,,"816,426,760.00","831,426,760.00","845,024,383.00","9,358,946.26","14,833,983.82","14,833,983.82","14,833,983.82",,
