科目,2007年度,2008年1-6月,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"156,169,800.54","111,622,345.11","191,344,139.92","91,785,175.45","230,806,587.12","117,495,480.84","195,754,434.81","283,852,127.65","72,797,935.28","144,760,065.48","225,035,034.59","309,022,308.56","41,901,069.34","142,933,127.15","231,166,774.38","353,446,655.48","95,199,410.58","191,158,645.66","385,390,985.90","490,036,519.55","134,815,531.20","303,855,301.86","608,421,374.38","831,734,961.90","197,487,108.85","475,202,020.42","759,507,315.88","1,012,532,330.84","210,135,261.07","525,525,496.84","781,048,178.15","1,048,354,843.35","184,237,948.44","338,404,355.14","534,680,802.40"
二、营业利润,"21,869,051.16","10,721,013.85","22,300,408.84","8,455,052.83","30,476,408.98","15,640,168.16","30,721,101.95","41,801,076.92","605,905.91","16,704,365.42","34,414,154.77","39,909,203.84","-11,410,497.36","5,310,477.65","3,907,857.34","4,479,233.83","-5,301,254.42","9,502,137.19","23,138,811.20","35,550,446.83","1,862,681.93","24,704,866.70","54,344,652.85","85,971,269.72","-1,468,214.80","23,655,392.68","54,791,773.90","68,126,543.25","-59,846.84","36,851,589.22","64,195,094.40","89,272,308.38","-3,792,308.13","17,943,103.45","49,947,363.02"
减:营业成本,"98,793,103.18","77,030,846.99","121,099,985.43","56,019,859.25","143,086,468.27","70,181,352.51","117,617,116.35","175,222,240.44","49,855,616.75","84,401,688.71","129,766,341.80","188,115,924.22","25,168,188.06","83,513,885.97","143,232,698.27","249,931,706.80","58,638,801.66","111,266,835.09","250,893,218.17","336,614,648.38","95,835,332.23","202,192,498.65","441,182,326.84","583,432,395.51","142,908,628.45","330,110,189.55","536,910,813.47","718,088,396.92","149,668,867.61","368,319,657.12","534,338,475.20","706,121,585.37","116,538,002.97","201,155,126.03","302,333,446.04"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"802,469.85","660,457.02","1,413,349.97","979,989.20","2,320,132.85","715,886.09","1,234,020.27","2,264,911.12","561,830.84","1,285,315.30","2,261,053.78","2,946,453.54","324,957.08","1,173,518.53","1,551,402.03","2,365,762.62","492,482.86","1,357,262.81","2,065,794.90","3,599,132.06","525,126.59","2,176,646.36","3,942,368.72","6,922,279.15","2,636,526.43","4,486,563.51","6,405,715.37","7,833,621.57","1,103,268.67","2,214,717.60","4,109,460.55","7,956,209.21","1,881,914.05","2,795,523.60","3,751,658.50"
营业外收入,"6,317,676.46","5,365,268.53","12,355,943.95","5,824,176.81","11,827,270.18","2,552,735.80","6,580,039.75","13,586,986.34","3,096,340.80","3,233,438.70","3,398,543.98","19,917,482.74","2,314,997.50","4,431,825.03","8,886,145.22","15,245,358.87","2,971,357.61","6,200,077.51","10,299,163.99","22,675,946.96","3,200,458.01","6,825,168.82","11,035,966.03","13,686,775.44","5,780,113.41","11,898,460.79","15,372,802.14","36,977,045.88","5,556,727.56","11,233,809.00","18,244,689.18","35,252,145.32","9,250,408.35","17,739,562.79","17,794,947.98"
销售费用,"10,057,837.01","7,971,082.85","14,317,304.37","7,345,440.82","16,957,211.11","9,963,645.92","14,831,444.03","20,860,492.15","5,429,058.32","11,086,883.41","17,040,169.29","24,568,893.49","6,256,206.51","11,378,464.05","19,470,897.22","27,622,104.43","15,231,154.06","26,302,521.19","39,110,290.67","38,161,158.97","16,565,081.11","28,720,359.04","43,787,817.95","60,119,328.37","21,632,542.54","39,296,140.23","55,905,793.80","79,599,384.63","24,904,069.08","42,878,741.29","63,721,814.84","92,073,436.41","30,245,895.84","48,558,368.44","75,548,849.07"
减:营业外支出,"256,870.94","109,023.70","290,618.72","32,516.46","98,769.65","13,154.95","23,154.95","262,939.30","20,633.19","228,129.52","281,682.42","2,351,675.09",,"155,208.76","371,915.52","590,106.82","23,582.99","25,611.64","27,711.64","104,222.67","11,951.57","178,737.81","599,754.28","932,413.92","8,541.86","13,959.32","17,581.33","325,248.51",,"600,000.00","900,000.00","1,617,474.27","289,010.00","292,064.22","508,071.43"
管理费用,"23,268,134.65","14,765,225.99","30,366,223.10","16,153,137.10","32,366,371.06","19,477,336.59","27,922,230.00","38,140,357.35","13,828,928.61","25,299,541.83","34,470,501.60","50,613,796.12","24,212,995.03","40,847,582.52","60,750,118.64","72,201,881.01","22,362,518.81","41,679,929.68","61,623,317.98","74,423,742.57","18,700,370.90","44,123,963.29","56,899,421.61","83,613,950.09","26,285,017.86","52,236,312.05","73,285,766.38","112,572,963.22","31,603,450.09","60,516,346.19","90,428,479.56","128,693,471.90","36,146,431.18","67,824,554.37","102,649,008.89"
其中:非流动资产处置净损失,"115,055.94","8,558.80","12,394.49",,"24,289.77","1,225.45","1,225.45","8,520.45",,,,"144,178.76",,,,"219,611.76",,,,"26,118.43",,,,"356,867.23",,"13,959.32",,"225,248.51",,,,"27,234.13",,"2,339.63","209,019.23"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"55,673.36","326,105.66","833,159.68","484,598.44","879,145.40","671,186.23","1,656,390.32","2,056,397.67","977,982.60","1,603,515.37","1,660,879.72","-1,877,750.59","-2,201,472.43","-5,149,017.58","-5,160,107.13","-5,664,231.84","-970,713.32","-3,111,977.02","-4,878,744.21","-4,985,969.16","-576,258.60","-1,805,545.10","-4,278,380.12","-5,365,806.28","-501,844.22","-482,020.75","2,564,864.94","7,309,769.78","1,159,255.19","2,271,032.88","2,600,893.31","8,356,732.10","777,890.32","-951,105.63","1,166,984.23"
