科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"689,686,558.98","1,060,175,662.72","164,948,025.42","859,124,299.78","188,541,527.74","431,203,750.61","700,808,621.69","1,003,107,139.69","156,342,191.25","526,461,308.88","912,164,182.99","1,235,644,437.37","283,732,874.48","579,582,128.60","844,798,151.36","1,331,202,184.38","271,225,442.49","675,587,561.64","1,034,807,154.49","1,375,477,673.35","265,923,942.50","625,794,244.06","1,138,779,921.97","1,401,106,478.91","274,097,804.23","568,417,427.11","896,458,697.79","1,087,064,940.19","214,558,924.00","538,702,062.55","839,505,040.85","2,296,483,846.65","586,921,796.21","1,255,426,322.12","2,346,872,201.52","3,314,435,471.41","888,419,147.49","2,377,504,663.73","4,100,484,867.29","5,407,993,361.16","1,310,121,681.80"
取得子公司及其他营业单位支付的现金净额,"83,627,994.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,786,680,669.18",,,"2,649,000,000.00",,,,,"699,324,681.98",
收到的税费返还,"2,949,606.41","2,254,806.20",,"1,066,434.43",,"6,546,723.47","7,133,314.07","7,133,314.07","1,644,424.60","6,294,192.67","9,333,283.31","13,224,726.77","4,853,320.17","10,383,538.64","12,558,709.64","12,458,709.64","3,176,491.17","4,153,456.03","4,153,456.03","4,370,275.24","3,691,545.96","7,120,121.49","7,120,121.49","7,120,121.49","522,979.96","522,979.96","522,979.96","522,979.96","1,732,300.95","1,732,300.95","3,172,902.82","4,517,493.09","3,179,398.41","5,624,714.77","14,737,805.60","21,442,793.04",,"15,334,409.36","20,498,410.76","24,999,060.93","3,161,054.17"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,000,000.00","1,563,049,409.74","1,938,000,000.00",,"5,002,325,889.74","1,340,000,000.00","2,835,200,000.00","3,661,919,430.08","4,534,299,378.82","942,423,890.36"
收到其他与经营活动有关的现金,"128,567,177.40","1,921,530.08","-490,901.94","928,230.90","885,195.34","317,804.04","3,033,395.33","3,749,416.43","2,950,563.39","4,332,164.60","8,092,175.75","8,457,394.98","3,202,837.94","5,390,296.06","5,986,484.58","8,635,139.28","516,060.49","3,425,028.25","3,719,681.15","6,287,723.84","725,359.65","2,644,215.15","3,248,819.13","4,395,295.85","1,098,600.64","2,024,420.46","4,363,893.13","5,712,277.43","27,917.96","1,072,125.22","-4,867,199.34","72,857,305.23","4,265,095.52","14,843,683.97","120,328,252.69","45,563,395.67","10,702,058.09","12,100,081.83","-407,871,942.23","62,267,422.20","62,325,839.46"
投资活动现金流出小计,"223,972,419.31","41,305,573.78","3,158,058.02","19,257,090.64","844,609.00","13,602,978.67","20,490,877.65","13,615,193.48","22,988,146.47","41,806,255.38","68,830,441.70","86,679,168.69","33,779,870.03","87,484,176.69","108,986,322.39","149,420,483.09","83,749,515.97","65,399,533.04","78,088,508.07","118,039,997.66","1,912,499.07","30,833,207.07","50,503,382.36","63,802,655.90","4,851,943.60","50,444,094.45","76,807,379.38","72,144,861.73","14,897,064.95","28,962,575.57","73,336,461.23","2,994,998,151.03","1,582,010,703.06","2,020,948,268.26","2,778,690,484.98","5,126,594,979.59","1,374,790,340.20","2,887,006,852.19","4,462,200,289.22","5,386,627,741.02","975,760,845.87"
经营活动现金流入小计,"821,203,342.79","1,064,351,999.00","164,457,123.48","861,118,965.11","189,426,723.08","438,068,278.12","710,975,331.09","1,013,989,870.19","160,937,179.24","537,087,666.15","929,589,642.05","1,257,326,559.12","291,789,032.59","595,355,963.30","863,343,345.58","1,352,296,033.30","274,917,994.15","683,166,045.92","1,042,680,291.67","1,386,135,672.43","270,340,848.11","635,558,580.70","1,149,148,862.59","1,412,621,896.25","275,719,384.83","570,964,827.53","901,345,570.88","1,093,300,197.58","216,319,142.91","541,506,488.72","837,810,744.33","2,373,858,644.97","594,366,290.14","1,275,894,720.86","2,481,938,259.81","3,381,441,660.12","899,121,205.58","2,404,939,154.92","3,713,111,335.82","5,495,259,844.29","1,375,608,575.43"
投资活动产生的现金流量净额,"-196,715,148.24","-41,285,441.78","-3,158,058.02","-19,255,090.64","-844,609.00","-13,602,978.67","-20,490,877.65","-13,613,193.48","-22,509,006.08","-41,337,394.29","-68,361,580.61","-85,771,675.62","-33,779,870.03","-87,484,176.69","-108,986,322.39","-149,276,193.60","-83,659,954.76","-65,334,844.81","-78,019,118.99","-116,775,638.13","-1,912,499.07","-30,826,551.13","-50,064,110.35","-63,783,128.30","-4,851,943.60","-50,350,074.11","-76,713,359.04","-72,138,978.23","-14,897,064.95","-28,962,575.57","-73,306,191.92","-2,901,784,143.03","-1,280,556,953.36","-1,050,984,810.07","-1,304,723,390.76","-960,869,216.07","-459,949,211.01","-64,038,813.58","-708,615,955.17","-443,427,823.76","-557,157,100.24"
购买商品、接受劳务支付的现金,"695,454,417.14","905,244,637.17","135,759,665.59","717,429,178.96","192,098,208.84","332,834,136.27","567,549,030.51","819,824,055.83","271,494,194.39","553,128,032.02","1,008,393,675.03","1,251,149,220.42","402,951,985.69","557,914,517.34","679,957,658.29","1,043,294,522.08","262,554,078.31","712,295,581.33","963,690,196.26","1,236,767,680.69","308,847,882.36","514,074,131.70","1,057,282,505.71","1,213,587,626.77","316,347,264.56","469,234,116.10","836,260,685.64","911,957,064.63","123,039,255.14","341,128,191.73","530,071,946.79","1,142,578,503.78","372,542,275.29","722,781,100.34","1,381,362,505.49","1,738,572,207.29","38,450,117.89","955,484,351.58","1,686,503,793.60","2,802,620,873.64","724,031,957.34"
吸收投资收到的现金,"110,000,000.00",,,,,"465,511,300.00","465,511,300.00","467,011,300.00",,,,,,,,,,,,,,,,,,,,,,,"326,000,000.00","1,080,999,957.59",,,,,,,"160,100,000.00","20,100,000.00",
支付给职工以及为职工支付的现金,"19,576,803.16","26,008,259.43","6,199,189.39","23,246,394.08","4,672,038.78","10,708,942.74","15,830,939.28","23,233,435.85","9,044,435.54","16,163,824.70","27,653,707.77","42,365,889.61","11,981,440.83","23,985,676.20","36,551,083.80","50,552,894.32","12,458,897.96","25,323,865.56","38,275,785.42","61,034,032.89","12,621,177.50","28,932,457.22","44,304,582.90","75,475,178.17","17,775,821.19","35,425,471.73","54,192,185.51","74,205,878.66","22,962,700.88","41,688,939.04","61,457,284.34","144,777,067.15","44,020,614.36","81,836,696.43","121,191,424.87","160,155,627.29","21,428,728.32","81,809,030.15","151,535,174.39","190,735,757.70","77,788,664.70"
取得借款收到的现金,"350,500,000.00","331,393,732.38","140,000,000.00","255,000,000.00","118,000,000.00","158,000,000.00","108,000,000.00","251,000,000.00","75,000,000.00","92,500,000.00","67,500,000.00","362,000,000.00","157,000,000.00","141,500,000.00","192,000,000.00","318,500,000.00","70,000,000.00","155,000,000.00","220,000,000.00","250,000,000.00","120,000,000.00","150,000,000.00","215,000,000.00","327,000,000.00","181,000,000.00","366,000,000.00","493,075,340.31","625,000,000.00","166,000,000.00","256,000,000.00",,"386,000,000.00","179,166,450.00","449,166,450.00","542,304,750.00","686,584,850.00",,"461,977,850.00","906,990,165.00","1,238,265,417.00","265,000,000.00"
支付的各项税费,"24,491,401.13","32,605,739.91","3,228,293.43","22,287,050.16","3,761,857.87","7,338,088.15","14,144,782.14","28,587,795.68","3,904,296.01","9,328,793.24","16,368,427.12","20,953,957.71","752,685.67","4,932,253.49","16,072,941.87","30,293,369.04","3,854,767.74","10,438,733.29","19,483,216.39","27,439,075.83","4,291,018.55","8,734,252.39","23,070,642.46","34,631,402.61","5,324,087.27","23,888,966.76","39,790,125.25","51,530,867.52","2,184,196.92","15,188,778.33","21,384,800.45","200,580,294.41","58,519,878.79","134,862,858.11","197,518,014.57","254,095,384.65","163,899,491.61","273,418,726.51","428,896,870.43","508,760,487.69","188,437,322.81"
收到其他与筹资活动有关的现金,,,,,,,,"50,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,"2,904,500.00",,,,"35,327,695.00",,,,"12,300,000.00","52,688,416.00"
支付其他与经营活动有关的现金,"61,689,106.27","23,660,243.54","1,732,627.91","24,390,456.05","4,001,518.89","12,686,239.57","23,177,608.52","26,977,788.15","6,946,948.67","15,914,826.22","23,934,039.70","32,846,899.81","7,466,021.45","15,533,326.59","27,400,565.56","39,035,684.79","15,832,366.29","20,537,862.21","32,912,438.41","58,659,966.09","7,737,589.68","21,354,050.02","34,165,543.69","46,903,503.47","7,918,047.37","19,805,243.69","30,907,854.80","45,030,853.51","11,003,045.61","24,660,934.24","39,088,150.30","247,981,015.22","59,314,212.38","146,660,978.94","479,151,689.50","745,553,566.16","525,089,778.51","1,037,246,308.55","1,380,393,776.57","1,706,204,259.88","490,571,504.67"
