科目,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"84,972,101.58","77,632,385.09","321,073,399.24","277,746,988.67","242,759,080.14","247,648,473.64","258,664,851.45","253,058,298.26","253,581,193.47","242,077,462.83","217,882,529.65","232,834,719.89","223,321,652.28","217,678,272.89","185,521,698.20","204,536,115.67","176,089,987.99","184,141,961.85","165,530,763.76","146,200,441.64","110,134,126.90","118,829,683.21","123,671,369.61","107,677,866.44","87,480,049.21","89,434,064.22","116,814,828.10","104,782,872.83","119,182,058.63","134,390,228.11","140,346,920.30","189,303,695.99","188,470,368.19","168,425,713.56","153,985,758.12","129,369,980.71","95,150,635.68","117,422,361.60","113,495,373.59","165,502,738.10","196,209,401.91","165,136,308.47","152,763,547.12","183,475,199.51","206,896,239.99","174,881,155.87","412,663,597.92","952,797,108.69"
短期借款,"97,800,000.00","97,800,000.00","97,800,000.00","66,000,000.00","77,000,000.00","85,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","60,000,000.00","70,000,000.00","70,000,000.00","80,000,000.00","80,000,000.00","70,000,000.00","70,000,000.00","50,000,000.00","50,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","20,000,000.00","40,000,000.00","70,000,000.00","70,000,000.00","70,000,000.00","30,000,000.00",,"30,000,000.00","50,000,000.00","50,000,000.00","190,000,000.00","210,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"60,000.00","160,000.00",,"60,000.00","58,000.00","130,000.00",,"80,000.00","634,980.00","242,500.00","121,200.00","578,050.00","230,000.00","250,000.00","3,183,801.31","2,632,715.00","4,032,215.00","3,214,636.00","6,024,686.00","4,562,290.00","4,042,570.00","906,780.00",,"6,000,000.00","1,755,375.00","5,571,147.16","8,850,000.00","10,853,224.24","7,785,812.00","11,667,461.07","25,961,559.39","20,454,823.84","19,471,770.75","39,977,601.42","72,116,905.99","56,580,659.20","51,011,124.81","53,615,887.81","69,285,577.47","52,880,909.10","37,635,867.53","45,583,562.60","47,969,833.24","52,126,800.52","59,678,800.17","118,565,208.52","97,267,737.57","56,211,316.75"
应付票据,,,,,,,,,,,,,,,,,,"4,997,869.60","4,997,869.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,"350,068,777.51",
应收账款,"81,818,593.27","101,558,873.95","81,124,431.23","86,799,408.79","98,346,530.99","99,985,517.76","88,101,362.39","84,367,919.08","97,562,843.52","113,918,036.57","124,242,095.07","107,115,463.91","147,563,334.04","141,765,268.45","123,851,060.03","127,388,573.23","142,176,095.34","143,122,117.51","128,145,710.81","136,195,657.78","155,519,356.67","159,957,814.05","162,395,579.60","156,685,093.37","203,770,990.49","237,951,392.00","205,079,077.76","210,429,892.45","227,626,961.51","239,140,305.55","199,366,471.78","219,043,265.26","240,700,049.85","261,159,293.98","205,980,765.87","217,146,087.51","252,310,103.71","267,121,448.09","244,732,002.68","259,080,677.40","265,448,110.50","282,582,608.74","252,650,669.05","269,610,990.87","279,485,743.41","260,704,994.21","902,403,962.29","676,288,697.02"
应付账款,"85,335,766.03","78,468,709.22","77,686,990.99","77,171,229.34","89,036,722.28","99,503,442.24","66,787,411.05","58,551,080.43","74,817,424.88","88,423,857.65","64,514,299.91","77,012,119.60","89,243,493.14","89,966,983.35","93,615,169.86","84,763,971.70","87,894,559.85","81,695,045.69","88,888,554.65","90,732,270.53","99,239,026.24","100,981,063.96","94,231,453.90","85,294,579.12","98,762,013.47","127,322,760.15","103,366,765.17","92,929,154.63","113,789,768.09","126,169,844.92","106,018,213.74","118,183,121.60","140,301,522.34","154,344,865.40","136,722,901.65","136,991,395.41","159,501,334.93","157,137,542.30","165,218,938.38","174,236,281.34","187,058,065.47","211,473,860.59","178,287,894.74","176,082,799.46","187,658,240.77",,"608,770,251.29",
预付款项,"2,580,091.54","3,789,695.70","3,985,116.72","14,577,627.45","26,516,585.14","32,549,623.20","4,899,778.78","4,124,198.61","3,476,009.65","4,347,428.64","3,478,901.08","12,321,948.85","16,188,119.43","25,736,701.00","11,806,613.70","11,606,467.57","39,453,884.85","23,238,574.63","27,057,314.80","35,874,402.24","36,036,548.25","10,324,982.37","9,712,695.04","14,275,743.22","11,268,425.56","9,503,713.81","4,621,807.66","4,784,207.61","9,580,200.07","8,506,440.70","7,850,712.31","15,653,732.18","32,286,893.27","31,515,523.42","7,686,068.09","53,098,895.41","48,223,364.21","41,928,449.10","3,198,988.51","18,136,314.07","15,343,094.43","8,927,690.85","1,992,048.93","3,708,198.05","2,587,475.59","26,738,859.70","65,695,379.66","100,828,870.44"
预收款项,"443,325.64","542,861.21","484,214.09","2,279,795.82","1,901,969.16","2,011,523.03","1,364,029.76","1,366,948.54","1,354,252.32","826,026.45","384,907.01","2,002,885.72","2,597,935.63","1,029,982.97","3,383,356.18","5,909,709.71","7,504,210.18","7,798,741.11","886,021.14","1,370,980.75","2,056,015.34","2,582,442.32","1,625,947.58","2,395,400.94","1,718,796.74","1,755,153.55","1,218,071.64","2,103,123.79","2,192,561.06","1,958,193.50","3,036,067.04","2,874,748.11","2,654,089.76","2,715,934.70","2,872,157.42","3,428,817.33","2,464,368.62","2,683,350.42","3,278,689.88","3,148,057.38","4,335,670.64","3,852,951.99","3,277,749.29","5,195,286.45","4,105,656.24","4,139,274.95","128,336,066.00","114,602,104.56"
