科目,2007年度,2008年度,2009年度,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"114,100,889.45","246,408,161.51","387,536,449.96","459,694,399.33","616,313,106.95","143,808,855.56","350,658,822.76","556,704,388.58","759,514,864.86","187,280,632.20","378,088,649.83","577,690,607.69","758,632,282.65","156,135,902.42","334,572,954.57","511,696,861.77","686,119,251.59","193,010,703.64","364,499,607.48","541,201,696.40","681,444,138.75","176,774,011.79","283,678,382.07","453,119,170.66","552,659,572.09","135,160,841.32","265,729,031.51","401,339,948.86","545,276,238.70","162,134,339.40","341,935,170.64","465,825,325.12","648,076,567.49","130,057,913.71","303,700,250.67"
二、营业利润,"13,615,717.61","26,089,605.93","50,999,238.10","77,654,594.36","99,830,369.79","24,671,739.16","56,267,072.60","92,827,785.79","129,538,037.37","28,723,955.02","50,258,076.25","73,345,612.49","91,941,162.93","25,895,276.97","53,670,330.64","84,352,077.14","107,809,661.33","35,533,962.59","68,211,457.51","102,807,530.31","124,210,474.54","36,886,979.33","57,944,766.94","91,118,435.56","92,067,659.58","23,116,599.30","51,202,239.46","77,145,361.63","78,356,670.65","29,519,813.80","57,037,872.84","71,703,847.26","100,753,660.16","13,277,838.96","67,127,832.80"
减:营业成本,"87,773,719.38","185,332,242.03","279,863,500.65","327,522,672.75","442,264,639.74","104,527,131.54","254,949,832.44","402,330,764.22","547,711,515.78","138,290,834.75","279,107,485.59","429,049,230.80","561,399,781.10","113,661,277.54","242,442,019.00","368,238,599.37","491,765,543.33","136,789,356.67","256,100,933.26","381,782,068.44","481,379,339.83","127,081,308.45","202,361,476.13","325,712,920.19","398,856,397.37","98,916,626.48","191,831,567.47","288,756,982.00","388,946,088.04","111,978,158.44","234,067,963.69","319,550,610.89","441,438,642.47","87,192,842.19","209,407,805.16"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"24,422.92","74,668.85","792,405.99","1,151,171.89","1,683,590.55","232,549.00","1,457,792.76","2,454,564.48","3,355,549.64","34,976.44","1,105,336.24","2,509,056.73","4,479,681.01","1,004,562.27","2,676,635.34","3,838,720.52","4,972,576.32","1,278,491.71","2,616,578.93","2,780,718.83","4,187,708.56","1,203,731.85","2,231,312.61","3,351,113.92","4,350,907.03","1,404,460.99","2,131,611.36","3,054,169.28","5,373,249.62","1,262,528.45","2,532,925.62","3,951,301.89","6,292,253.15","1,811,684.18","3,561,743.50"
营业外收入,"305,232.38","187,500.00","844,118.93","609,698.56","2,432,039.30","1,104,493.46","2,819,556.69","4,011,201.16","5,794,493.75","126,679.15","2,523,433.85","2,737,283.55","4,590,887.75","110,490.84","1,267,696.60","1,897,185.55","2,521,171.16","648,319.97","4,042,776.09","5,456,664.56","6,890,648.65","376,997.95","1,545,371.88","2,084,771.57","3,780,828.40","474,962.61","1,529,613.64","7,286,681.69","4,915,208.31","3,594,884.83","7,166,384.06","7,604,342.27","29,042.48","3,500.00","12,811.38"
销售费用,"5,588,022.30","15,573,473.39","24,698,619.81","23,591,308.68","31,596,343.70","8,330,453.30","23,838,912.87","37,340,690.59","50,654,048.25","13,114,644.54","33,918,968.53","51,557,289.13","69,094,786.09","8,945,206.57","20,716,720.37","32,863,818.17","42,000,825.16","10,867,657.83","18,865,874.29","26,473,251.89","35,398,413.76","6,651,393.47","13,086,852.88","21,848,552.42","30,586,922.55","5,134,428.11","12,362,808.50","19,169,162.36","31,551,401.15","6,967,383.15","13,361,980.64","19,372,645.07","37,761,054.93","4,918,056.40","12,314,227.74"
减:营业外支出,"574,517.07","258,712.13","124,214.40","168,762.33","261,835.41","4,077.60","57,117.26","159,600.28","471,326.98","7,747.67","18,737.15","120,041.33","154,925.53","33,386.08","209,178.50","248,242.40","252,120.82","25,331.00","25,515.39","200,567.27","280,349.36","17,041.13","95,027.02","830,270.89","1,215,940.97","12,954.00","98,498.99","229,948.06","337,514.80","14,251.40","97,705.20","125,174.77","132,729.42","29,563.80","30,084.40"
管理费用,"5,537,749.48","18,353,182.25","31,253,475.87","29,322,276.61","39,966,527.87","10,690,059.84","25,145,868.58","39,662,729.28","55,566,111.18","13,793,419.13","28,698,055.13","43,727,107.12","61,383,074.73","14,225,807.80","30,717,555.83","45,883,747.54","60,012,556.91","15,018,469.27","32,588,686.42","46,452,760.85","62,167,382.12","13,888,730.88","30,125,260.61","49,213,095.21","70,449,449.19","12,802,703.31","27,392,228.07","42,069,151.87","57,272,017.55","13,890,974.43","28,616,682.35","42,470,992.28","60,242,958.32","16,018,791.69","36,294,987.77"
其中:非流动资产处置净损失,,,,,"93,323.03",,,,"316,326.98","2,747.67","8,737.15","110,024.08","134,383.58","2,293.08","58,085.50","79,149.40","83,027.82",,184.39,"56,619.23","67,018.36","1,810.13","79,796.02","95,039.89","477,774.34",,"85,544.99","85,894.06","96,744.80",329.40,"3,783.20","29,766.48",,,
