科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"102,814,511.92","164,956,591.21","147,737,355.21",,"136,805,991.44","171,227,675.93","521,210,739.67","481,983,215.78","370,035,505.65","315,681,280.70","506,866,182.01","454,838,407.07","360,820,068.99","384,326,275.96","437,367,025.68","400,995,396.14","315,270,859.34"
短期借款,"133,500,000.00","268,922,735.41","267,343,493.22",,"377,913,315.60","394,411,141.05","359,023,496.05","319,576,695.21","337,003,887.08","265,946,279.00","203,690,505.00","101,689,093.00","102,350,982.31","292,054,701.00","434,641,211.97","465,106,202.25","446,822,273.19"
交易性金融资产,,,"106,315.00",,"699,867.55",,"323,895.00",,,,"215,982.24",,,,,,
交易性金融负债,,,,,,,,"25,705.80","111,375.50","60,288.20",,"363,565.14","2,829,896.95","3,821,952.34","2,882,174.83","1,823,673.19","1,511,814.76"
应收票据,"82,759,403.92","101,027,928.72","141,119,459.52",,"217,387,758.93","178,798,433.35","138,595,734.42","230,478,791.03","208,147,508.11","197,466,563.09","173,702,944.90","175,577,345.32","144,458,669.24","134,783,776.13","128,566,614.13","169,356,221.53","141,000,997.56"
应付票据,"70,954,892.99","161,058,380.82","275,941,079.71",,"294,712,634.30","301,944,967.41","403,063,560.31","365,971,981.93","356,609,227.23","352,233,875.47","362,825,485.60","420,159,961.00","434,280,934.73","428,388,335.38","486,840,890.13","523,856,959.92","374,126,396.59"
应收账款,"244,267,462.10","289,462,092.97","346,679,388.73",,"360,232,604.59","424,468,899.62","620,717,320.48","495,664,759.04","548,406,858.34","539,440,734.23","623,673,244.20","571,344,987.57","694,214,955.35","703,814,737.10","833,402,259.09","744,267,032.72","782,346,275.98"
应付账款,"293,503,012.60","389,142,371.71","545,197,568.76",,"532,909,936.41","581,952,245.77","600,962,498.12","596,941,733.18","554,608,668.45","577,067,433.58","686,064,137.56","647,559,190.74","691,148,532.28","670,440,942.99","703,977,491.89","548,296,801.90","622,875,701.11"
预付款项,"39,274,271.94","34,147,460.78","29,711,924.20",,"52,761,883.05","32,038,966.83","3,532,909.70","10,411,650.24","9,229,921.66","9,895,256.78","13,141,125.75","17,010,673.56","19,762,642.90","24,150,027.83","32,295,199.68","35,173,102.71","33,720,244.74"
预收款项,"99,594,021.05","81,114,001.62","96,831,945.07",,"114,878,274.23","136,706,146.70","117,977,728.87","92,699,043.18","86,790,315.31","107,016,616.74","98,516,070.82","127,031,935.38","127,100,550.50","153,392,241.00","154,820,494.30","175,356,133.20","188,061,002.63"
