科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"119,419,305.79","141,237,787.90","148,210,482.38","25,666,109.93","66,096,398.82","87,533,728.98","117,087,509.17","12,302,149.12","30,433,741.72","46,613,030.88","76,621,461.76","21,402,969.91","52,514,935.27","98,017,965.18","149,278,220.70","43,719,141.14","86,022,951.31"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,"32,210,500.00"
收到的税费返还,,,,,,,,,,,,,,,,,"348,917.76"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"4,114,933.36","3,102,736.49","1,148,941.46","266,327.62","774,942.40","3,805,945.21","6,693,371.80","2,514,880.18","4,733,068.16","10,072,295.51","9,428,289.68","2,854,524.32","4,909,524.46","9,260,970.55","4,881,287.98","38,820,032.72","2,637,186.09"
投资活动现金流出小计,"14,030,603.13","2,929,518.92","22,596,355.23","1,023,965.41","2,178,599.02","77,584,987.63","175,244,942.88","36,644,869.44","60,153,248.75","79,202,799.64","105,922,843.16","11,041,864.64","33,593,415.43","46,176,759.17","76,903,384.99","46,946,203.77","66,065,851.62"
经营活动现金流入小计,"123,534,239.15","144,340,524.39","149,359,423.84","25,932,437.55","66,871,341.22","91,339,674.19","123,780,880.97","14,817,029.30","35,166,809.88","56,685,326.39","86,049,751.44","24,257,494.23","57,424,459.73","107,278,935.73","154,159,508.68","82,539,173.86","89,009,055.16"
投资活动产生的现金流量净额,"-14,030,603.13","-2,929,518.92","-22,596,355.23","-1,023,965.41","-1,978,599.02","-50,816,724.01","-174,367,706.79","-18,847,306.50","43,832,304.87","30,765,763.87","9,967,724.52","39,028,797.64","-6,459,419.82","13,893,903.11","-31,523,133.08","-42,746,203.77","-54,543,313.25"
购买商品、接受劳务支付的现金,"45,670,679.18","55,704,706.81","71,724,254.87","17,902,818.72","34,599,173.13","52,325,364.56","59,851,486.23","11,601,941.76","22,654,509.06","34,373,553.24","58,602,523.29","12,764,033.30","26,490,468.01","47,988,955.01","53,413,062.51","16,709,428.99","51,677,460.68"
吸收投资收到的现金,,,,,"196,234,039.00","196,234,039.00","196,234,039.00",,,,"1,800,000.00",,"24,978,370.00","24,533,370.00","26,738,370.00",,"800,000.00"
支付给职工以及为职工支付的现金,"16,650,630.88","20,566,702.14","26,181,461.70","6,517,067.37","16,023,087.92","24,621,850.33","34,479,934.13","10,015,912.94","20,605,811.12","32,785,656.58","43,631,977.51","11,401,618.89","23,308,977.10","37,740,674.41","50,892,939.53","12,401,143.42","30,424,497.44"
取得借款收到的现金,,,,,,,,,,,"270,300.00","2,000,000.00","7,000,000.00","7,000,000.00","10,928,497.42","4,470,375.61","6,071,502.58"
支付的各项税费,"9,932,761.80","14,762,003.87","14,066,014.47","7,570,087.95","10,477,712.88","13,627,986.02","15,427,874.50","2,461,420.69","3,876,909.92","4,041,530.30","5,851,464.46","542,824.84","2,525,807.13","3,132,967.42","4,704,514.69","2,310,223.19","3,608,594.22"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,"900,000.00",,
支付其他与经营活动有关的现金,"9,879,581.15","9,826,051.24","11,699,906.32","2,062,643.07","5,025,356.23","7,970,044.96","12,095,599.83","3,106,422.37","7,058,474.91","13,685,278.20","12,201,100.92","5,395,179.95","8,731,673.71","15,555,608.88","18,929,397.24","30,540,913.62","7,531,503.25"
筹资活动现金流入小计,,,,,"196,234,039.00","196,234,039.00","196,234,039.00",,,,"2,070,300.00","2,000,000.00","31,978,370.00","31,533,370.00","38,566,867.42","4,470,375.61","6,871,502.58"
经营活动现金流出小计,"82,133,653.01","100,859,464.06","123,671,637.36","34,052,617.11","66,125,330.16","98,545,245.87","121,854,894.69","27,185,697.76","54,195,705.01","84,886,018.32","120,287,066.18","30,103,656.98","61,056,925.95","104,418,205.72","127,939,913.97","61,961,709.22","93,242,055.59"
偿还债务支付的现金,,,,,,,,,,,,,"270,300.00","270,300.00","270,300.00","2,000,000.00","7,002,537.50"
经营活动产生的现金流量净额,"41,400,586.14","43,481,060.33","25,687,786.48","-8,120,179.56","746,011.06","-7,205,571.68","1,925,986.28","-12,368,668.46","-19,028,895.13","-28,200,691.93","-34,237,314.74","-5,846,162.75","-3,632,466.22","2,860,730.01","26,219,594.71","20,577,464.64","-4,233,000.43"
分配股利、利润或偿还利息支付的现金,,,"25,000,000.00",,,,,,"6,667,000.00","6,667,000.00","6,668,371.77",,"63,123.52","144,831.03","233,924.54","170,433.06","313,808.26"
收回投资收到的现金,,,,,,"26,400,000.00",,"16,700,000.00","101,700,000.00","107,200,000.00","112,800,000.00","50,000,000.00","27,000,000.00","60,000,000.00","44,288,772.00",,"7,065,621.37"
支付其他与筹资活动有关的现金,,,,,"6,953,335.00","6,953,335.00","6,980,892.80",,,,,,,,,,
取得投资收益收到的现金,,,,,,"109,263.62","618,236.09","1,097,562.94","2,285,553.62","2,768,563.51","3,090,567.68","70,662.28","133,995.61","70,662.28","1,091,479.91",,"256,917.00"
筹资活动现金流出小计,,,"25,000,000.00",,"6,953,335.00","6,953,335.00","6,980,892.80",,"6,667,000.00","6,667,000.00","6,668,371.77",,"333,423.52","415,131.03","504,224.54","2,170,433.06","7,316,345.76"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,"59,000.00","59,000.00",,,,,,,,,,
筹资活动产生的现金流量净额,,,"-25,000,000.00",,"189,280,704.00","189,280,704.00","189,253,146.20",,"-6,667,000.00","-6,667,000.00","-4,598,071.77","2,000,000.00","31,644,946.48","31,118,238.97","38,062,642.88","2,299,942.55","-444,843.18"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,"4,200,000.00","4,200,000.00"
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,"200,000.00","200,000.00","200,000.00",,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,,,"200,000.00","26,768,263.62","877,236.09","17,797,562.94","103,985,553.62","109,968,563.51","115,890,567.68","50,070,662.28","27,133,995.61","60,070,662.28","45,380,251.91","4,200,000.00","11,522,538.37"
五、现金及现金等价物净增加额,"27,369,983.01","40,551,541.41","-21,908,568.75","-9,144,144.97","188,048,116.04","131,258,408.31","16,811,425.69","-31,215,974.96","18,136,409.74","-4,101,928.06","-28,867,661.99","35,182,634.89","21,553,060.44","47,872,872.09","32,759,104.51","-19,868,796.58","-59,221,156.86"
购建固定资产、无形资产和其他长期资产支付的现金,"14,030,603.13","2,929,518.92","22,596,355.23","1,023,965.41","2,178,599.02","3,984,987.63","13,944,942.88","4,994,869.44","51,003,248.75","66,252,799.64","78,172,843.16","11,041,864.64","29,293,415.43","46,176,759.17","62,473,384.99","9,735,703.77","15,855,351.62"
期初现金及现金等价物余额,"70,188,639.75","97,558,622.76","138,110,164.17","116,201,595.42","116,201,595.42","117,607,133.36","116,201,595.42","133,013,021.11","133,013,021.11","133,013,021.11","133,013,021.11","104,145,359.12","104,145,359.12","105,145,359.12","104,145,359.12","137,579,412.32","137,579,412.33"
投资支付的现金,,,,,,"73,600,000.00","161,300,000.00","31,650,000.00","9,150,000.00","12,950,000.00","27,750,000.00",,"4,300,000.00",,"14,430,000.00","37,210,500.00","18,000,000.00"
期末现金及现金等价物余额,"97,558,622.76","138,110,164.17","116,201,595.42","107,057,450.45","304,249,711.46","248,865,541.67","133,013,021.11","101,797,046.15","151,149,430.85","128,911,093.05","104,145,359.12","139,327,994.01","125,698,419.56","153,018,231.21","136,904,463.63","117,710,615.74","78,358,255.47"
