科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
销售商品、提供劳务收到的现金,"612,500.00","1,205,000.00","1,887,500.00","3,780,000.00","462,500.00","2,499,000.00","3,328,500.00","4,984,500.00","1,160,000.00","2,121,000.00","3,185,000.00","4,425,400.00","1,608,400.00","2,731,800.00","3,685,480.00","5,046,380.00","1,547,900.00","2,693,800.00","3,839,700.00","5,223,100.00","1,428,400.00","2,751,800.00","3,925,200.00","5,333,600.00","1,612,400.00","2,810,800.00","4,009,200.00","5,410,922.00","1,465,900.00","5,328,855.67"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,,,,,,231.06,231.06,,855.52,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"18,331.00","311,886.50","1,316,173.50","150,000.00","745,000.00","15,000.00","15,000.00","1,209.72",,,,"1,107,486.20",,"10,000.00","10,000.00",,"22,530.00","22,530.00","22,530.00","150,000.36",,,"69,884.00",,,"73,045.00","1,412,272.00","6,008,126.49","500,000.00","5,215,966.98"
投资活动现金流出小计,,,,"415,000.00",,,,,,,,,,,,,,,,,,,,"13,360.00",,,,,,"84,980,575.36"
经营活动现金流入小计,"630,831.00","1,516,886.50","3,203,673.50","3,930,000.00","1,207,500.00","2,514,000.00","3,343,500.00","4,985,709.72","1,160,000.00","2,121,000.00","3,185,000.00","5,532,886.20","1,608,400.00","2,741,800.00","3,695,480.00","5,046,380.00","1,570,430.00","2,716,330.00","3,862,230.00","5,373,100.36","1,428,400.00","2,751,800.00","3,995,084.00","5,333,600.00","1,612,400.00","2,884,076.06","5,421,703.06","11,419,048.49","1,966,755.52","10,544,822.65"
投资活动产生的现金流量净额,,,,"-415,000.00",,,,,,,,,,,,,,,,,,,,"-13,360.00",,,,,,"-22,283,421.47"
购买商品、接受劳务支付的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,352,239.60"
吸收投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"246,671.56","778,282.80","1,060,638.44","983,559.22","432,245.07","954,707.81","1,150,278.39","1,701,480.47","334,175.18","692,854.36","1,046,261.74","914,882.09","305,236.88","584,304.42","876,736.31","1,134,598.80","582,975.48","849,120.69","1,146,391.74","1,463,212.72","620,863.31","1,044,802.62","1,494,008.25","1,896,532.94","670,472.57","1,099,864.17","1,595,431.95","2,113,967.62","739,801.66","1,750,623.71"
取得借款收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
