科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"28,353,355.16","36,992,298.70","37,328,881.09","319,727,281.04","249,927,423.86","241,140,422.48","242,635,062.75","250,655,330.78","205,137,932.01","211,350,801.14","210,593,944.01","176,361,399.63","142,108,591.34","151,313,686.02","136,408,137.97","153,484,295.69","134,830,504.20","112,948,515.04","112,313,530.95","84,848,242.03","115,764,326.63","122,801,108.48","69,262,623.85","75,533,482.15","70,179,314.82","1,038,731,791.81","957,231,815.04","610,814,616.99"
短期借款,,"20,000,000.00","40,000,000.00","40,000,000.00",,,,"4,100,000.00",,,"19,482,642.75","14,322,459.26",,"30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00",,,,,,,,,"571,269,312.00","434,436,400.00","345,235,900.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"11,980,000.00","18,312,252.85","16,210,391.90","15,788,778.72","25,481,988.72","22,042,778.21","29,067,432.00","31,444,422.00","44,195,661.96","30,203,733.87","39,716,670.59","30,632,994.73","7,595,194.00","5,315,850.00","25,848,042.00","15,257,199.65","9,194,600.00","9,360,000.00","17,458,644.80","18,477,594.55","17,989,448.42","26,269,085.20","25,340,239.56","24,456,169.38","22,288,900.27","103,002,487.26","88,075,264.45","89,002,472.64"
应付票据,"2,600,000.00","7,020,000.00","1,872,000.00",,,"7,814,000.00",,,"4,089,865.00","7,525,665.82","17,361,411.48","21,005,991.68","13,649,370.18","9,170,210.11","12,274,863.44","11,290,684.90","11,230,874.87","15,411,672.53","10,885,457.75","12,745,669.37","13,668,336.48","9,712,988.60","16,289,869.20","8,867,420.05","6,366,718.00","343,174,278.93","270,358,838.50","366,330,670.94"
应收账款,"16,919,694.29","24,763,445.91","33,320,542.36","53,596,849.16","61,454,723.62","67,824,017.24","43,559,309.32","47,056,909.34","33,128,903.75","36,649,440.68","32,324,765.46","55,666,686.50","51,451,330.76","59,803,363.39","62,427,903.63","49,006,947.03","56,439,025.41","61,046,887.60","75,360,429.23","73,995,613.53","74,339,648.69","53,294,800.33","55,876,004.39","37,831,127.88","56,866,246.46","898,812,566.01","1,012,565,848.29","870,973,731.69"
应付账款,"13,257,918.76","15,818,888.03","17,145,295.90","12,509,136.96","9,976,893.48","9,673,930.56","7,887,722.84","8,467,018.63","8,995,544.96","17,074,441.12","17,280,075.09","14,027,046.86","17,687,857.57","13,004,078.72","9,633,830.77","10,723,127.77","12,007,255.52","9,668,251.87","11,287,594.71","7,982,726.76","14,517,566.61","12,776,169.77","11,232,938.33","13,175,016.77","11,382,562.07","1,149,731,695.61","1,403,617,952.28","986,918,620.77"
预付款项,"1,134,476.08","12,457,258.89","5,003,592.55","777,174.78","6,690,187.14","7,138,276.07","510,390.37","4,827,869.63","4,630,225.29","12,607,420.04","348,169.21","704,907.71","1,562,937.89","2,179,014.01","661,717.63","862,526.66","971,371.82","846,877.07","627,030.34","1,175,198.23","1,157,810.67","7,252,836.55","11,102,174.94","11,257,679.70","10,989,906.22","248,996,028.86","73,635,133.27","49,157,047.10"
预收款项,"16,696,593.00","17,242,496.37","20,317,915.70","8,607,341.61","5,218,919.63","5,343,510.69","4,274,192.96","5,824,568.51","8,181,017.28","8,030,205.29","9,913,653.62","8,906,512.69","8,751,429.78","12,821,700.17","12,978,932.65","14,602,738.13","24,391,861.85","16,484,021.90","21,258,812.67","29,285,486.49","10,954,112.01","19,130,351.29","9,967,849.39","15,507,080.39","12,730,528.17","27,366,840.23","22,047,679.31","8,430,468.39"
