科目,2011年度,2012年度,2013年1-9月,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"2,868,197,869.74","3,181,941,441.64","2,437,444,921.76","3,200,741,102.97","1,347,935,971.30","2,262,570,605.18","3,219,789,781.42","383,103,388.28","1,062,037,548.57","1,948,034,231.69","3,361,146,797.20","662,644,454.88","1,694,946,416.40","2,456,144,536.69","3,565,504,918.63","1,033,233,214.41","2,109,648,147.93","3,033,296,718.84","4,452,848,661.31","945,605,089.55","2,178,067,949.10"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"1,577,171.92","4,888,570.89","285,499.48","285,499.48","11,065,102.46","16,612,360.95","16,612,360.95","5,736,768.63","5,736,768.63","6,622,161.63","6,622,161.63","1,029,294.65","1,029,294.65","3,878,239.42","3,888,017.80","1,554,115.00","1,566,679.24","2,482,339.86","2,526,230.13","43,970.77","389,892.05"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"150,059,817.01","62,009,059.11","66,222,242.52","79,267,691.10","88,853,535.84","144,793,962.92","140,979,697.05","30,627,486.05","62,348,350.68","115,961,391.43","132,963,136.86","36,242,049.15","62,488,036.01","108,557,496.54","163,564,334.17","30,927,708.56","84,070,831.50","117,557,597.58","123,970,568.29","44,690,200.62","87,794,662.94"
投资活动现金流出小计,"311,185,139.87","182,792,299.53","113,203,977.50","120,381,637.08","15,006,690.98","323,943,430.28","344,713,160.27","245,100,554.44","1,085,143,816.63","1,391,402,056.93","1,777,767,442.70","554,662,811.35","1,006,954,524.22","1,254,954,490.17","1,467,836,724.17","208,917,870.00","661,182,341.94","1,148,523,788.34","1,814,616,385.27","3,641,412.66","557,711,236.94"
经营活动现金流入小计,"3,019,834,858.67","3,248,839,071.64","2,503,952,663.76","3,280,294,293.55","1,447,854,609.60","2,423,976,929.05","3,377,381,839.42","419,467,642.96","1,130,122,667.88","2,070,617,784.75","3,500,732,095.69","699,915,798.68","1,758,463,747.06","2,568,580,272.65","3,732,957,270.60","1,065,715,037.97","2,195,285,658.67","3,153,336,656.28","4,579,345,459.73","990,339,260.94","2,266,252,504.09"
投资活动产生的现金流量净额,"-297,863,139.87","-182,694,799.53","-113,203,977.50","-120,346,637.08","-15,006,140.98","-323,942,430.28","-344,713,160.27","-245,100,104.44","-701,728,242.55","-705,183,552.14","-701,893,746.13","134,309,737.97","135,782,528.87","88,447,167.17","144,091,987.96","447,984,100.27","-4,279,846.67","-36,905,389.65","-47,578,528.50","-3,640,864.54","-100,533,104.93"
购买商品、接受劳务支付的现金,"2,498,145,352.94","2,435,775,303.93","2,089,855,598.13","2,446,574,258.21","1,362,014,944.18","1,928,899,809.54","2,740,252,196.09","795,354,121.10","1,377,045,659.79","1,934,742,001.27","2,601,257,325.27","631,031,597.18","1,253,013,031.17","1,833,492,574.78","2,662,090,327.37","1,135,809,875.93","1,722,017,897.05","2,639,684,913.10","3,562,896,656.23","1,127,849,749.04","2,360,571,466.28"
吸收投资收到的现金,"503,470,000.00",,,,,,"1,449,373,204.70",,,,,,,,,,,,,,
支付给职工以及为职工支付的现金,"161,769,372.12","198,401,201.95","183,151,674.48","239,369,499.09","168,434,259.32","233,465,685.81","301,832,653.35","118,313,546.81","192,826,842.14","266,732,880.38","339,009,774.56","118,668,024.12","199,613,255.71","277,356,215.74","356,972,662.64","120,820,780.15","201,961,725.59","281,548,639.44","342,665,544.78","124,509,938.48","190,790,956.24"
取得借款收到的现金,"269,500,000.00","101,500,000.00","41,500,000.00","41,500,000.00","227,000,000.00","519,000,000.00","632,000,000.00","359,000,000.00","501,000,000.00","785,000,000.00","1,085,000,000.00","304,000,000.00","464,000,000.00","514,000,000.00","654,000,000.00","410,000,000.00","576,000,000.00","576,000,000.00","726,000,000.00","260,000,000.00","370,000,000.00"
支付的各项税费,"140,129,280.46","220,969,804.29","165,300,168.58","219,928,191.31","104,679,552.55","183,112,287.62","247,593,688.11","22,133,231.36","98,749,336.28","151,297,236.25","203,228,162.33","70,122,400.81","102,929,780.19","130,291,655.05","174,743,395.45","38,716,705.26","109,737,459.25","207,440,479.95","223,829,423.03","20,264,731.23","69,589,988.44"
收到其他与筹资活动有关的现金,"17,560,000.00",,"15,000,000.00","15,000,000.00",,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"195,521,335.47","259,212,655.40","152,738,754.26","260,171,097.25","135,015,946.92","208,098,899.85","257,607,633.67","93,902,819.70","168,014,744.51","257,750,045.37","328,132,902.33","98,169,843.65","151,920,246.44","251,571,670.16","325,933,162.39","86,606,556.92","233,035,409.98","291,580,656.06","333,900,904.93","105,362,677.31","113,923,098.99"
筹资活动现金流入小计,"790,530,000.00","101,500,000.00","56,500,000.00","56,500,000.00","227,000,000.00","519,000,000.00","2,081,373,204.70","359,000,000.00","501,000,000.00","785,000,000.00","1,085,000,000.00","304,000,000.00","464,000,000.00","514,000,000.00","654,000,000.00","410,000,000.00","576,000,000.00","576,000,000.00","726,000,000.00","260,000,000.00","370,000,000.00"
经营活动现金流出小计,"2,995,565,340.99","3,114,358,965.57","2,591,046,195.45","3,166,043,045.86","1,770,144,702.97","2,553,576,682.82","3,547,286,171.22","1,029,703,718.97","1,836,636,582.72","2,610,522,163.27","3,471,628,164.49","917,991,865.76","1,707,476,313.51","2,492,712,115.73","3,519,739,547.85","1,381,953,918.26","2,266,752,491.87","3,420,254,688.55","4,463,292,528.97","1,377,987,096.06","2,734,875,509.95"
偿还债务支付的现金,"102,000,000.00","49,238,000.00","50,325,000.00","76,325,000.00","16,225,000.00","78,737,500.00","235,737,500.00","142,512,500.00","297,532,500.00","716,355,000.00","1,400,199,500.00","332,000,000.00","476,300,000.00","500,300,000.00","719,300,000.00","400,000,000.00","575,000,000.00","590,000,000.00","746,000,000.00","10,500,000.00","420,500,000.00"
经营活动产生的现金流量净额,"24,269,517.68","134,480,106.07","-87,093,531.69","114,251,247.69","-322,290,093.37","-129,599,753.77","-169,904,331.80","-610,236,076.01","-706,513,914.84","-539,904,378.52","29,103,931.20","-218,076,067.08","50,987,433.55","75,868,156.92","213,217,722.75","-316,238,880.29","-71,466,833.20","-266,918,032.27","116,052,930.76","-387,647,835.12","-468,623,005.86"
分配股利、利润或偿还利息支付的现金,"24,413,060.17","30,281,535.88","28,526,647.21","31,738,732.41","15,610,715.82","29,889,101.19","42,319,342.65","14,201,085.39","143,904,479.56","159,039,278.14","172,963,214.01","6,742,611.97","12,461,492.06","133,267,506.69","139,149,268.32","5,172,007.00","10,206,215.81","15,192,091.39","21,519,486.01","8,505,662.34","17,011,253.33"
收回投资收到的现金,,,,,,,,,"380,000,000.00","680,000,000.00","1,060,000,000.00","680,000,000.00","1,130,000,000.00","1,330,000,000.00","1,580,000,000.00","650,000,000.00","650,000,000.00","1,100,000,000.00","1,750,000,000.00",,"450,000,000.00"
支付其他与筹资活动有关的现金,"2,588,414.60","6,816.00",,,,,,"1,250,000.00","1,635,000.00","1,635,000.00","1,635,000.00",,,,,,,,"65,000.00",,
取得投资收益收到的现金,,,,,,,,,"3,339,178.08","6,172,054.79","15,806,246.57","8,962,849.32","12,725,178.09","13,382,712.34","16,034,767.13","6,897,260.27","6,897,260.27","11,613,013.69","17,032,191.77",,"7,041,095.89"
筹资活动现金流出小计,"129,001,474.77","79,526,351.88","78,851,647.21","108,063,732.41","31,835,715.82","108,626,601.19","278,056,842.65","157,963,585.39","443,071,979.56","877,029,278.14","1,574,797,714.01","338,742,611.97","488,761,492.06","633,567,506.69","858,449,268.32","405,172,007.00","585,206,215.81","605,192,091.39","767,584,486.01","19,005,662.34","437,511,253.33"
