科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"31,552,018.39","47,604,261.93","129,580,626.85","35,358,531.87","397,248,483.02","374,228,262.41","320,894,182.19","258,460,157.18","176,597,525.67","269,572,772.39","290,413,609.63","173,874,801.34","228,762,959.07","399,475,927.35","127,834,333.79","162,048,511.01","202,871,990.47","666,937,126.46","558,855,741.69","808,592,953.76","822,079,958.90","1,470,862,746.81","1,047,811,223.64","1,131,792,184.04","1,774,640,005.69","2,887,891,764.65","2,007,821,694.45","1,663,967,633.40","385,232,627.16","926,706,806.35","877,545,386.57"
短期借款,"5,000,000.00","40,000,000.00","120,000,000.00","130,000,000.00","183,000,000.00","143,000,000.00","143,000,000.00","193,000,000.00","265,000,000.00","325,000,000.00","392,300,000.00","502,300,000.00","467,300,000.00","477,300,000.00","447,450,000.00","446,450,000.00","481,300,000.00","649,750,000.00","923,215,084.88","1,201,396,594.88","1,287,036,716.24","1,591,239,749.89","1,498,310,451.47","1,755,576,369.56","1,983,456,884.90","1,774,735,174.77","1,715,340,158.48","1,879,237,233.00","2,262,552,700.00","2,471,852,700.00","2,421,900,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"200,000.00",,"2,000,000.00","2,000,000.00","300,000.00","1,800,000.00","4,600,000.00","1,600,000.00",,"1,271,600.00","2,610,000.00","1,800,000.00","600,000.00","1,500,000.00","1,150,000.00","1,000,000.00","4,450,000.00","2,102,058.16","1,602,058.16","90,000.00","90,000.00","16,997,478.89","16,528,233.96","3,898,000.80","2,168,000.00","1,408,000.00","920,000.00","2,120,000.00","4,102,365.90","1,184,962.71","300,000.00"
应付票据,,,,,,,,,,,,,"13,514,197.80","50,934,065.14","89,924,176.38","51,869,509.04","148,865,370.00","238,771,939.86","260,380,342.06","230,528,822.66","300,384,171.36","330,408,430.74","463,036,385.79","628,185,653.47","869,994,126.11","1,063,474,476.35","1,472,983,705.46","1,118,955,415.87",,"236,676,919.82",
应收账款,"126,327,725.08","278,171,237.75","451,678,693.04","583,107,092.23","786,678,159.29","754,267,770.15","703,682,023.08","831,081,207.14","965,505,314.30","1,077,578,808.34","1,433,353,000.99","1,932,208,469.23","2,109,187,261.89","2,002,130,228.88","1,990,867,636.65","2,336,855,563.26","2,446,128,495.56","2,440,168,719.76","2,296,766,892.35","2,651,823,254.25","3,144,596,255.43","3,387,283,186.44","3,172,846,880.46","5,212,314,569.32","6,810,912,646.93","5,421,396,117.15","5,330,809,348.87","5,716,580,654.81","5,044,328,542.95","4,110,805,489.71","3,967,639,851.09"
应付账款,"88,041,304.90","132,679,739.07","228,443,336.98","263,231,143.92","345,154,016.95","326,803,960.08","252,678,529.06","362,796,853.23","357,244,187.62","431,191,564.32","478,076,749.92","698,789,864.06","754,305,724.94","852,245,283.89","615,658,357.01","886,505,709.12","972,439,452.55","1,039,576,378.84","613,965,276.88","1,045,167,638.77","1,162,316,469.72","1,310,493,689.47","849,566,262.60","1,833,218,749.24","2,377,357,243.22","2,785,970,349.46","1,689,487,230.33","2,102,441,160.63",,"3,030,590,052.56",
预付款项,"3,248,386.61","2,708,510.44","1,644,095.11","9,491,748.33","9,099,439.50","4,617,781.24","5,675,526.02","16,545,102.42","11,601,433.65","10,397,176.42","13,189,360.03","15,537,964.38","18,086,062.82","8,695,106.78","14,272,937.32","25,231,840.88","27,121,428.75","26,978,217.98","37,397,475.72","69,457,002.98","87,685,594.10","42,256,013.92","132,536,355.15","123,210,013.95","149,179,607.44","39,183,922.95","94,327,734.51","77,290,219.87","84,378,709.63","53,581,764.71","111,023,364.98"
预收款项,"38,912,831.96","4,568,200.00","65,857.00","16,108,904.86","16,015,481.65","1,169,242.80","2,265,109.88","15,357,702.00","1,755,367.70","1,866,006.00","1,354,175.00","361,102.00","6,515,462.19","12,142,134.57","17,426,520.03","28,477,908.66","17,010,679.08","5,837,006.40","18,085,068.41","14,319,126.16","21,080,185.46","41,302,845.39","23,516,777.23","20,865,812.95","32,716,327.53","70,179,618.19","24,206,137.66","103,095,128.54","154,091,852.59","156,465,393.48","88,811,534.65"
