科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"5,832,910,891.44","6,119,279,058.70","6,626,571,044.14","3,413,056,289.56","7,555,718,315.39","1,869,812,833.34","3,418,286,034.02","5,187,117,159.20","7,176,656,093.57","1,668,985,067.63","3,967,531,606.79","5,511,703,616.06","8,557,006,660.55","1,839,258,212.57","4,163,457,489.98","6,027,626,978.83","10,160,707,138.72","2,062,140,359.63","4,921,705,893.62","7,141,349,796.40","10,827,201,774.03","2,233,728,822.54","5,187,022,796.63","7,333,895,234.52","11,399,196,240.88","2,368,024,173.10","5,685,235,870.07","7,882,052,986.15","11,894,621,194.69","2,369,699,630.66","5,759,019,336.70"
取得子公司及其他营业单位支付的现金净额,,,"817,557.27",,,"7,248,980.87","83,293,581.46","83,293,581.46","75,760,064.80","10,288,971.92",,,,,,,"1,357,717,403.73",,,,"36,460,257.59",,,,,,,,,,
收到的税费返还,"50,687,392.95","25,897,991.19","152,217,625.53","6,819,378.82","73,500,723.48","21,413,078.90","30,039,916.66","72,591,784.18","134,959,374.57",,"1,664,171.69","2,138,647.96","9,219,460.51","28,639,511.93","92,561,466.12","123,154,479.23","192,388,704.94","43,925,361.99","45,094,199.91","101,732,996.28","97,465,875.73","674,176.59","1,010,282.62","47,096,897.99","51,648,733.55","1,257,731.17","17,432,046.79","47,514,786.38","70,452,990.54","47,870,915.00","49,164,086.59"
支付其他与投资活动有关的现金,"14,764,895.87",,"58,692,694.96",,,,,,,,,,,,,,"221,305.00",,,,"2,333,974.70",,,,"26,000,000.00",,,,"9,766,437.34","25,215,018.46",
收到其他与经营活动有关的现金,"230,069,538.07","229,083,667.47","193,054,701.24","118,416,218.74","305,111,799.98","14,681,735.43","204,810,097.08","212,010,453.07","368,166,706.88","85,381,968.86","155,847,801.82","578,052,562.34","452,405,332.22","190,582,367.50","105,994,555.23","210,182,647.22","450,608,465.52","111,302,231.76","155,272,933.97","170,372,095.36","590,638,321.18","56,953,623.81","114,070,892.39","144,879,041.00","444,117,859.65","87,697,690.19","134,999,318.34","170,689,745.15","450,448,117.95","19,273,350.23","112,742,075.78"
投资活动现金流出小计,"762,951,821.73","1,922,827,849.51","2,539,443,655.23","562,175,633.70","1,415,340,254.83","107,414,212.95","1,791,709,887.71","2,397,209,912.34","4,137,718,289.65","1,297,674,951.44","2,012,367,756.38","3,724,216,805.01","6,395,293,475.45","2,413,812,910.21","4,044,720,872.95","5,113,973,258.39","5,932,605,268.05","412,769,326.91","931,439,157.59","1,854,831,073.04","3,526,667,367.88","1,701,142,090.32","3,088,731,990.46","4,139,220,105.50","6,206,754,249.03","1,175,229,516.81","2,435,859,185.92","3,562,701,262.04","5,568,900,861.07","1,706,675,416.47","2,445,342,471.09"
经营活动现金流入小计,"6,113,667,822.46","6,374,260,717.36","6,971,843,370.91","3,538,291,887.12","7,934,330,838.85","1,905,907,647.67","3,653,136,047.76","5,471,719,396.45","7,679,782,175.02","1,754,367,036.49","4,125,043,580.30","6,091,894,826.36","9,018,631,453.28","2,058,480,092.00","4,362,013,511.33","6,360,964,105.28","10,803,704,309.18","2,217,367,953.38","5,122,073,027.50","7,413,454,888.04","11,515,305,970.94","2,291,356,622.94","5,302,103,971.64","7,525,871,173.51","11,894,962,834.08","2,456,979,594.46","5,837,667,235.20","8,100,257,517.68","12,415,522,303.18","2,436,843,895.89","5,920,925,499.07"
投资活动产生的现金流量净额,"-329,904,722.45","-553,530,598.79","-1,396,343,819.95","-142,522,632.73","-464,750,798.60","-58,105,011.77","-1,712,135,287.44","-2,187,077,160.68","-1,955,751,008.68","-483,215,421.13","-283,184,486.26","-676,032,468.85","-2,102,408,021.69","-83,641,738.08","-890,805,619.61","-175,566,930.79","-1,409,932,896.97","323,066,850.26","37,870,852.01","-376,937,453.98","-1,430,450,631.32","-342,656,519.76","-1,326,877,079.64","-1,577,698,901.94","-2,322,398,345.14","729,379,217.17","188,506,858.53","279,183,658.85","698,333,086.74","-826,071,556.41","1,742,345.07"
购买商品、接受劳务支付的现金,"3,778,880,354.78","3,827,605,345.73","4,256,929,069.81","2,192,109,710.47","5,013,540,243.65","1,166,782,931.73","2,019,864,399.46","3,356,460,443.95","4,402,749,373.96","1,055,490,948.91","2,326,316,506.49","3,802,639,833.84","5,347,431,966.71","1,264,116,326.36","2,676,509,938.58","4,487,126,930.25","6,367,832,513.68","1,639,556,581.14","3,162,449,807.98","4,851,233,373.39","6,407,273,697.90","1,388,578,461.44","2,865,840,482.11","4,538,018,386.45","6,624,150,063.04","1,483,988,259.79","3,240,783,734.21","5,112,236,003.79","7,313,256,531.07","1,545,470,215.16","3,340,843,374.88"
吸收投资收到的现金,"546,460,000.00","97,000,000.00","86,503,260.56","8,848,000.00","4,390,790,779.94","8,847,258.69","25,292,088.49","23,522,176.49","29,699,845.35","775,525.58","3,586,311.37","6,036,311.37","12,375,000.00",,"2,940,000.00","3,430,000.00","14,792,785.66",,"2,000,000.00","2,000,000.00","5,324,800.00","5,456,800.00","5,456,800.00","5,456,800.00","9,200,000.00",,,,,,"4,900,000.00"
支付给职工以及为职工支付的现金,"693,368,722.30","721,803,688.20","861,581,956.01","395,904,100.89","960,002,151.14","289,944,002.32","481,299,159.20","715,405,918.07","1,057,589,088.00","332,073,161.67","536,462,520.87","802,997,196.47","1,171,778,498.37","370,397,563.52","616,626,379.74","924,118,180.01","1,547,145,032.74","406,913,252.80","686,091,987.78","1,025,168,706.01","1,607,341,785.71","415,201,752.56","773,281,352.89","1,122,972,887.38","1,761,617,215.24","419,861,645.22","805,563,085.54","1,164,397,138.49","1,795,533,859.77","490,637,686.33","757,901,780.78"
