科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
处置固定资产、无形资产和其他长期资产收回的现金净额,,"45,000.00","392,399.91",,"15,935.00",,"10,000.00","40,000.00","95,000.00","14,800.00","14,800.00","49,800.00","49,800.00",,,
筹资活动产生的现金流量净额,"57,207,753.07","48,946,555.32","-66,743,965.44","-163,371,644.86","-208,602,975.42","995,114,130.76","932,314,175.27","851,979,722.41","892,864,911.89","30,357,781.71","25,292,296.47","115,113,026.77","187,005,634.94","59,267,868.52","62,940,706.39","99,809,413.58"
处置子公司及其他营业单位收到的现金净额,,,,,"810,201.99",,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,"59,335.42","1,239,756.09",-425.84,"-1,533.27","-2,494.93"
收到其他与投资活动有关的现金,,,"69,000,000.00","191,390,000.00","251,000,000.00","70,000,000.00","370,000,000.00","743,000,000.00","1,248,000,000.00","522,500,000.00","792,500,000.00","1,075,061,909.73","1,450,152,938.14","331,914,821.37","802,752,079.12","1,160,733,540.37"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"45,000.00","69,677,072.17","192,218,211.55","252,820,446.48","70,386,798.57","371,490,572.49","746,948,462.90","1,259,893,110.26","524,938,583.56","799,461,268.49","1,084,250,898.73","1,461,971,077.78","333,980,974.79","807,869,656.46","1,167,857,407.99"
五、现金及现金等价物净增加额,"41,785,422.90","40,082,318.94","13,692,496.38","-69,661,339.99","-36,652,452.01","967,041,192.64","593,128,983.36","211,873,352.95","171,708,541.49","282,325,081.78","281,563,710.03","181,130,444.69","142,139,533.64","-38,621,875.34","-49,092,473.27","250,680,867.78"
购建固定资产、无形资产和其他长期资产支付的现金,"24,379,870.87","100,112,667.90","34,311,160.53","28,643,796.58","48,137,578.57","13,406,451.06","18,427,131.55","42,672,790.94","58,004,505.77","29,692,116.67","35,729,053.32","58,152,596.46","124,263,091.89","35,911,806.25","70,124,839.97","98,012,967.96"
期初现金及现金等价物余额,"43,392,205.82","85,177,628.72","125,259,947.66","138,952,444.04","138,952,444.04","102,299,992.03","102,299,992.03","102,299,992.03","102,299,992.03","274,008,533.52","274,008,533.52","274,008,533.52","274,008,533.52","416,148,067.16","416,148,067.16","416,148,067.16"
投资支付的现金,"55,346,485.81","16,612,347.20",,,,,,,,,,,"4,244,585.11",,,
期末现金及现金等价物余额,"85,177,628.72","125,259,947.66","138,952,444.04","69,291,104.05","102,299,992.03","1,069,341,184.67","695,428,975.39","314,173,344.98","274,008,533.52","556,333,615.30","555,572,243.55","455,138,978.21","416,148,067.16","377,526,191.82","367,055,593.89","666,828,934.94"
