科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"150,965,481.78","190,395,635.83","254,594,875.49","46,060,482.07","119,793,118.17","170,291,684.67","233,917,725.97","61,857,314.02","133,373,766.59","212,611,751.73","289,636,852.10","87,239,608.78","177,138,877.90","264,200,701.40","357,302,682.44","91,155,008.81","170,400,214.51","264,599,537.44","365,157,861.21","99,665,564.65","181,279,367.89","288,610,073.15","415,723,449.88","191,531,794.68","417,549,294.78","643,438,850.57","944,117,737.91","260,277,207.45","533,687,129.80","801,714,902.20","1,135,014,006.46","270,724,349.24"
二、营业利润,"26,555,293.78","36,793,801.94","41,865,775.62","4,610,283.48","19,373,342.53","21,470,024.33","19,137,234.43","35,409.61","2,031,787.42","5,450,273.08","-2,638,189.03","1,489,858.58","4,989,966.52","4,093,872.77","-14,363,045.12","-2,042,036.40","-7,628,550.58","-8,049,259.39","-9,269,320.76","2,345,614.66","-3,778,327.25","-1,619,371.62","15,603,930.96","10,857,399.69","38,537,693.30","66,446,972.78","91,884,405.68","19,845,065.37","45,760,792.22","72,288,569.26","69,319,549.55","17,192,220.70"
减:营业成本,"103,784,241.35","131,248,291.04","181,773,954.32","32,947,999.04","81,935,531.95","120,406,473.21","173,895,793.05","50,543,513.55","104,590,869.04","164,529,171.89","221,823,734.65","63,380,830.68","126,431,607.31","185,070,433.27","258,744,798.60","67,343,962.89","123,505,042.70","191,993,174.76","262,504,525.14","69,790,993.35","126,443,730.70","200,696,512.96","281,618,690.22","134,861,140.82","291,639,897.84","447,222,520.93","664,433,989.97","185,433,805.69","386,415,278.75","579,873,456.20","818,504,385.41","204,091,540.28"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"926,656.33","1,123,488.30","1,280,801.64","298,950.43","891,152.83","959,947.48","1,066,228.85","113,172.59","461,261.79","445,735.79","845,158.31","368,598.83","993,637.37","1,484,085.80","2,039,083.55","394,082.74","760,192.89","1,474,896.01","1,823,675.19","544,105.64","861,881.44","1,520,018.92","3,264,078.77","1,860,867.22","4,013,175.18","5,694,717.33","7,902,333.36","1,804,290.92","3,505,370.73","5,347,027.60","7,429,572.90","2,223,039.86"
营业外收入,"5,780,930.41","4,005,729.71","5,680,837.96","1,805,256.67","3,837,334.07","7,994,542.16","15,626,788.06","4,941,628.66","6,464,570.98","8,468,404.52","15,625,184.58","2,474,784.79","4,133,392.08","9,453,610.72","21,851,188.34","3,023,861.77","9,321,148.59","13,774,188.98","18,708,143.95","2,761,588.71","11,035,477.26","15,599,111.94","19,741,300.32","2,793,285.52","3,191,290.00","5,382,599.53","2,414,040.00","262,883.89","411,453.91","705,894.81","738,859.16","321,786.22"
销售费用,"3,205,510.97","4,480,357.95","5,366,507.30","1,385,247.09","2,661,243.06","4,282,094.04","6,899,952.90","1,738,962.59","3,869,305.76","6,996,744.16","9,611,339.89","3,251,994.76","6,585,682.14","9,982,976.89","13,229,730.60","4,708,734.17","10,819,459.02","15,075,385.75","19,695,881.57","6,435,659.49","11,014,805.33","16,334,805.39","23,549,066.34","9,722,613.96","20,120,684.43","32,001,824.08","50,838,235.10","14,167,327.14","27,335,931.56","39,356,075.04","62,438,756.06","12,412,213.95"
减:营业外支出,"554,184.59",,"51,898.00",,,"63,191.96","63,191.96","1,757.98","1,757.98","111,957.98","321,285.87",,"149,252.99","149,252.99","151,759.30","203,491.89","223,536.42","238,697.85","610,358.29",,"21,137.91","31,911.84","1,034,911.84","3,917.45","254,228.20","300,084.03","1,678,594.14","1,307,889.90","1,604,109.33","1,737,699.05","1,097,996.04","17,606.65"
管理费用,"14,517,531.15","15,695,448.32","23,308,439.98","5,870,821.91","13,277,230.77","21,558,486.75","34,364,582.44","10,578,401.69","22,369,153.90","35,168,732.75","55,953,297.73","17,070,502.50","36,046,031.16","61,033,641.36","81,548,710.52","19,479,247.53","40,108,022.16","61,014,113.98","74,634,572.63","19,474,990.52","43,237,956.40","64,869,777.28","72,172,114.28","25,859,543.41","52,702,601.48","82,451,696.92","120,564,508.56","31,141,378.49","63,864,376.57","45,129,562.68","62,524,942.96","13,009,471.56"
其中:非流动资产处置净损失,,,"51,440.00",,,,"63,191.96",,,,"202,014.76",,"99,481.36","99,481.36","101,794.62",,"204,105.03","218,162.26","277,865.30",,"21,137.91","31,911.84","31,911.84","3,917.45","3,917.45","23,388.27",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
