科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"265,241,747.97","376,185,532.99","182,329,471.95","346,097,272.93","187,656,943.95","270,107,397.05","357,450,453.42","69,388,195.85","173,157,323.17","292,766,878.91","446,208,549.69","61,889,870.03","173,325,313.64","265,405,433.93","392,349,051.54","76,541,149.46","185,538,011.55","289,118,277.40","442,630,277.02","83,585,570.65","227,224,393.47","375,769,477.22","646,651,348.13","107,696,466.99","270,775,000.58","435,417,131.69","576,605,862.53","96,735,893.24","249,067,078.69","397,707,237.60","500,808,563.55","73,551,211.56","205,475,602.66","321,065,287.92","467,468,469.06","114,312,920.30","276,024,354.58"
二、营业利润,"45,948,449.60","57,952,501.97","28,578,359.07","54,397,134.30","26,277,843.52","32,970,271.44","33,197,798.63","4,124,136.51","15,302,427.95","4,064,183.48","3,952,005.34","2,916,065.66","7,432,315.30","8,218,293.25","7,516,315.94","3,524,101.76","10,283,676.79","14,209,453.44","16,696,416.55","7,513,723.91","13,750,933.95","18,815,534.05","33,705,860.80","10,374,384.23","19,531,484.14","27,870,073.14","19,352,594.21","6,410,557.77","5,513,255.46","8,675,533.56","8,296,356.40","4,546,149.49","30,193,552.45","58,920,317.92","86,409,382.81","17,542,638.09","18,697,227.99"
减:营业成本,"186,789,279.89","252,238,755.32","120,093,169.21","234,384,957.90","134,689,857.55","194,781,346.97","262,970,880.54","54,107,499.38","132,147,874.94","238,241,393.72","367,380,457.45","48,970,743.69","139,069,070.49","213,511,998.22","321,717,220.70","54,202,433.88","140,566,558.56","219,216,873.25","334,775,641.60","56,715,118.29","172,562,917.87","284,896,290.96","504,284,837.68","77,860,095.93","194,913,898.93","313,092,900.65","418,062,684.18","66,172,495.15","186,471,999.06","303,298,427.19","379,202,891.67","56,261,980.36","136,049,982.69","200,285,982.73","286,712,830.98","76,552,659.31","211,336,833.50"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"57,489.95","827,153.66","397,728.93","894,844.71","373,999.64","377,923.90","377,923.90",,"113,546.30","117,545.31","640,091.42","6,139.55","76,316.82","104,954.87","445,843.23","213,174.12","237,018.09","295,982.36","567,386.45","87,577.12","198,326.38","557,837.42","1,912,505.45","133,555.57","441,933.43","936,316.60","2,195,185.83","401,465.29","555,960.93","637,019.90","1,125,004.85","585,698.43","1,211,921.05","1,603,823.37","3,244,482.03","474,856.59","652,705.50"
营业外收入,"1,610,000.00","1,833,035.00","1,705,100.00","2,525,350.00","121,500.00","1,993,569.95","2,219,819.95","95,155.01","245,055.02","2,348,825.29","2,582,575.30","83,750.01","242,755.02","326,505.03","464,865.36","150,839.95","233,500.02","317,250.03","5,404,029.30","84,170.01","191,490.02","2,374,229.76","3,916,614.91","178,568.19","1,820,242.93","2,141,891.80","4,974,574.25","2,901,768.50","4,052,149.09","5,172,891.85","9,079,070.00","3,105,925.56","1,997,599.38","2,013,307.08","22,737.72",0.10,"400,389.82"
销售费用,"22,108,658.94","36,077,695.42","19,123,543.14","31,920,023.06","12,337,436.31","21,284,056.66","25,515,980.85","3,800,857.96","10,622,166.13","16,103,187.59","25,280,281.49","4,267,473.99","9,691,623.81","16,757,110.39","24,035,643.97","9,551,610.64","9,983,075.03","14,934,460.49","27,230,443.34","5,338,286.54","12,416,224.53","20,861,399.26","38,060,025.12","4,004,728.21","13,116,792.47","23,237,070.65","45,869,501.69","6,834,394.24","13,760,443.19","18,408,090.94","24,368,051.29","1,916,193.39","10,152,104.53","12,197,773.16","19,178,747.14","2,740,044.22","8,581,493.34"
减:营业外支出,"67,640.00","799,121.36","1,573,570.39","1,605,990.78","35,000.00","35,000.00","35,000.00","3,000.00","194,250.00","199,550.00","170,050.00",,"4,000.00","4,000.00","32,632.41","6,709.74","6,709.74","15,071.65","18,571.65",,,"416,057.39","496,375.85","31,596.41","128,027.14","128,406.44","141,520.29","29,965.53","31,748.69","33,192.14","189,535.13",,,"510,911.56",0.06,,
管理费用,"9,020,608.67","18,896,534.40","9,186,656.30","15,995,649.52","7,565,424.44","13,613,665.17","26,938,995.35","5,962,973.79","11,929,409.70","17,781,726.75","26,923,019.77","6,124,112.12","13,710,432.26","20,521,192.69","29,036,958.50","6,329,216.90","14,805,621.93","22,326,221.58","34,355,403.39","8,189,303.93","15,959,268.05","29,512,883.31","40,138,150.16","8,829,578.47","20,408,383.65","34,650,121.98","45,044,496.54","11,190,617.53","24,429,969.48","38,733,369.52","52,595,983.02","8,163,294.14","19,166,679.33","31,151,730.89","51,405,770.11","14,117,264.64","34,094,019.62"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,,,,"8,361.91",,,,,,,,,,,,"188,999.96",,,,,,
