科目,2014年度,2015年度,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"517,532,343.40","401,256,183.79","732,882,683.58","180,522,778.16","280,973,789.28","425,255,590.16","502,623,220.58","234,262,419.62"
取得子公司及其他营业单位支付的现金净额,,,,,"3,999,791.00","108,264,350.43","3,999,792.00",
收到的税费返还,"59,000.00","1,360,656.83",,,,,,
支付其他与投资活动有关的现金,,,"1,000,000.00",,,,"104,264,559.43",
收到其他与经营活动有关的现金,"22,454,713.03","59,270,266.40","126,113,257.32","5,648,936.31","12,318,659.69","84,477,921.04","137,655,834.29","11,193,296.59"
投资活动现金流出小计,"8,751,851.42","6,108,645.86","7,400,517.45","5,447,882.58","27,189,677.68","292,737,594.77","344,003,420.88","20,737,850.04"
经营活动现金流入小计,"540,046,056.43","461,887,107.02","858,995,940.90","186,171,714.47","293,292,448.97","509,733,511.20","640,279,054.87","245,455,716.21"
投资活动产生的现金流量净额,"-8,446,922.24","-6,017,569.65","-6,754,097.39","-5,444,882.58","-27,186,677.68","-292,714,329.77","-343,980,155.88","19,304,429.82"
购买商品、接受劳务支付的现金,"422,020,624.00","423,528,179.75","490,712,756.60","254,318,055.90","366,212,433.07","517,423,505.45","585,868,200.04","185,829,759.46"
吸收投资收到的现金,"35,000,000.00","1,000,000.00",,"581,473,109.17","581,473,109.17","581,473,109.17","570,186,100.00","1,500,000.00"
支付给职工以及为职工支付的现金,"76,506,535.28","68,130,034.41","64,577,843.12","20,917,163.42","37,271,515.97","55,703,831.76","78,847,118.19","34,069,201.54"
取得借款收到的现金,"217,500,000.00","266,791,353.33","200,500,000.00","127,296,176.20","127,296,176.20","206,870,348.70","268,646,902.31","239,996,498.93"
支付的各项税费,"49,595,297.28","40,079,361.60","46,442,846.48","27,963,842.95","42,160,755.05","53,007,588.93","61,942,664.69","13,600,978.55"
收到其他与筹资活动有关的现金,"40,000,000.00",,,,,,,
支付其他与经营活动有关的现金,"43,042,548.64","143,357,003.55","128,150,819.67","29,130,880.95","56,713,901.17","85,659,489.43","142,086,359.08","111,100,757.96"
筹资活动现金流入小计,"292,500,000.00","402,041,353.33","200,500,000.00","708,769,285.37","708,769,285.37","788,343,457.87","838,833,002.31","241,496,498.93"
经营活动现金流出小计,"591,165,005.20","675,094,579.31","729,884,265.87","332,329,943.22","502,358,605.26","711,794,415.57","868,744,342.00","344,600,697.51"
偿还债务支付的现金,"167,450,000.00","124,800,000.00","280,500,000.00","70,000,000.00","72,500,000.00","157,500,000.00","157,987,865.21","185,666,045.00"
经营活动产生的现金流量净额,"-51,118,948.77","-213,207,472.29","129,111,675.03","-146,158,228.75","-209,066,156.29","-202,060,904.37","-228,465,287.13","-99,144,981.30"
分配股利、利润或偿还利息支付的现金,"9,925,258.59","20,199,937.50","33,988,121.92","3,141,667.16","6,153,470.92","9,054,715.45","24,680,875.07","4,002,611.87"
收回投资收到的现金,,,,,,,,"40,000,000.00"
支付其他与筹资活动有关的现金,"1,938,543.72","43,894,988.56","6,865,295.24","253,911.60","4,916,000.00","4,922,583.41","4,797,583.41","12,490,082.28"
取得投资收益收到的现金,,,,,,,,"42,279.86"
筹资活动现金流出小计,"179,313,802.31","188,894,926.06","321,353,417.16","73,395,578.76","83,569,470.92","171,477,298.86","187,466,323.69","202,158,739.15"
处置固定资产、无形资产和其他长期资产收回的现金净额,"304,929.18","91,076.21","646,420.06","3,000.00","3,000.00","23,265.00","23,265.00",
筹资活动产生的现金流量净额,"113,186,197.69","213,146,427.27","-120,853,417.16","635,373,706.61","625,199,814.45","616,866,159.01","651,366,678.62","39,337,759.78"
处置子公司及其他营业单位收到的现金净额,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,
投资活动现金流入小计,"304,929.18","91,076.21","646,420.06","3,000.00","3,000.00","23,265.00","23,265.00","40,042,279.86"
五、现金及现金等价物净增加额,"53,620,326.68","-6,078,614.67","1,504,160.48","483,770,595.28","388,946,980.48","122,090,924.87","78,921,235.61","-40,502,791.70"
购建固定资产、无形资产和其他长期资产支付的现金,"8,751,851.42","6,108,645.86","6,400,517.45","5,447,882.58","23,189,886.68","184,473,244.34","195,739,069.45","18,737,850.04"
期初现金及现金等价物余额,"97,685,914.70","151,306,241.38","145,227,626.71","146,731,787.19","146,731,787.19","146,731,787.19","146,731,787.19","225,653,022.80"
投资支付的现金,,,,,,,"40,000,000.00","2,000,000.00"
期末现金及现金等价物余额,"151,306,241.38","145,227,626.71","146,731,787.19","630,502,382.47","535,678,767.67","268,822,712.06","225,653,022.80","185,150,231.10"
