科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"111,928,156.79","131,555,733.17","136,304,093.34","73,723,350.79","120,536,256.79","164,312,073.33","33,278,403.47","74,034,538.49","126,917,998.16","188,241,367.22","42,633,829.70","106,317,020.98","195,408,700.64","281,098,095.23","56,327,381.07","143,063,097.01","237,268,513.45","330,858,390.06","60,659,509.50","157,948,305.60","241,793,652.26","336,973,093.52","58,621,299.33","147,887,751.63","248,465,262.39","390,165,274.53","81,097,480.50","183,321,457.54","291,806,927.52","448,337,435.51","82,865,431.25","199,821,194.44","372,440,093.98"
二、营业利润,"20,177,391.42","22,988,066.71","30,335,244.25","18,866,441.23","30,843,159.98","34,491,012.87","4,012,237.06","10,322,298.98","19,234,655.70","27,652,295.73","5,023,603.99","13,351,957.16","25,437,237.58","28,968,730.95","4,809,454.73","17,403,790.49","35,341,740.35","41,209,060.80","4,145,178.76","20,069,614.24","29,561,566.27","29,313,711.06","4,452,375.52","14,033,390.35","18,614,101.14","14,102,125.25","639,406.83","7,191,149.98","17,430,285.16","21,658,849.50","3,576,269.60","13,549,348.53","54,053,764.17"
减:营业成本,"67,106,386.84","72,744,084.19","68,494,331.42","34,666,373.51","55,859,534.68","76,226,825.73","15,916,504.43","36,233,969.19","62,001,921.36","90,850,396.32","20,340,819.59","49,909,858.41","97,376,014.49","142,229,718.92","27,111,477.66","69,684,556.18","120,856,556.49","165,669,810.92","28,746,938.55","78,878,795.72","121,740,611.37","175,581,221.53","29,551,857.20","80,465,926.09","131,206,203.57","199,293,954.60","39,314,837.87","86,903,909.67","138,528,307.41","215,428,265.47","40,099,102.45","95,853,053.15","177,167,074.55"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"102,191.54","197,104.24","533,262.22","292,498.42","401,455.52","695,367.10","220,778.51","698,137.38","1,241,492.25","1,923,289.38","377,438.64","1,148,013.24","1,994,218.67","2,795,024.50","526,493.51","1,228,254.45","2,069,100.22","2,845,890.56","641,957.50","1,485,273.43","2,212,913.24","3,122,227.01","553,400.59","1,298,588.11","2,126,818.83","4,046,326.69","839,523.56","2,071,533.52","3,268,162.89","7,033,634.45","1,211,817.88","2,958,339.54","5,133,505.41"
营业外收入,"40,332.66","733,746.00","961,750.07","131,865.29","133,865.14","1,068,037.35","1,069,107.97","1,092,262.97","1,116,537.97","1,300,995.89","56,000.00","2,068,100.00","2,165,255.50","3,106,217.21","675,176.28","1,502,734.42","2,347,009.01","3,111,881.64","443,933.31","843,451.44","1,875,018.99","2,847,653.48","578,941.22","1,163,444.73","3,417,182.20","7,570,660.63","602,358.22","4,341,898.16","6,178,689.21","12,923,107.33","966,362.38","1,715,763.16","2,554,301.75"
销售费用,"12,919,546.17","17,693,052.80","19,554,283.83","11,272,642.66","18,119,775.89","28,995,698.50","7,558,781.69","14,351,971.28","25,216,231.07","40,752,263.49","8,974,411.18","25,437,880.58","42,444,576.21","62,674,352.05","11,895,427.50","29,476,389.53","42,327,834.64","62,352,610.62","13,777,016.92","26,941,302.80","43,018,361.54","60,959,961.28","10,497,184.02","26,917,849.51","49,443,509.03","77,063,098.35","20,610,432.16","43,799,212.93","68,203,148.68","92,537,915.45","18,860,649.83","44,169,677.53","68,916,340.83"
减:营业外支出,"21,598.84","255,804.09","44,227.83","1,238.21","7,352.12","17,338.50",657.00,"4,379.10","41,748.15","65,231.95","10,337.13","24,451.50","26,966.84","124,084.12","1,682.60","40,301.82","224,555.59","253,052.14","13,383.70","80,896.70","109,271.70","123,200.48","3,028.75","119,220.65","231,656.75","249,581.70","16,211.73","41,477.57","514,639.49","560,118.16","44,221.02","225,379.37","298,172.23"
管理费用,"11,903,905.52","17,953,855.85","19,492,274.59","9,689,001.26","16,021,217.06","24,918,402.65","5,974,597.29","14,410,350.36","22,629,823.08","32,314,969.57","7,380,359.83","17,344,873.96","30,374,213.86","47,696,224.48","11,718,859.64","24,474,359.20","40,347,067.18","62,089,097.79","12,813,675.80","29,785,728.49","44,845,551.15","66,856,621.60","13,287,488.72","25,399,072.43","45,888,619.94","69,944,754.98","19,353,402.89","42,940,393.88","60,884,666.08","82,673,688.91","20,023,645.03","42,685,726.81","64,364,350.31"
其中:非流动资产处置净损失,"13,537.99","48,134.16","12,001.54",414.90,"5,340.33","16,095.19",,"1,816.00","6,928.15","29,174.95","10,337.13","10,677.33","12,956.03","109,196.26",510.00,"1,531.70","14,391.50","15,671.70","10,360.39","27,365.81","46,339.25","51,522.53",964.75,"112,240.19","112,240.19","115,917.29","5,027.19","9,422.37","475,247.30","476,721.74",930.42,930.42,"8,619.61"
