科目,2012-12-31,2013-12-31,2014-12-31,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"27,990,495.28","30,982,172.55","71,441,825.94","52,581,168.91","94,275,290.38","286,186,990.61","136,819,533.21","54,045,639.80","107,270,926.58","119,487,666.58","85,873,350.07","55,784,003.64","120,367,492.16","36,039,190.24","41,262,599.47","52,836,590.05","63,922,255.28","58,226,312.46"
短期借款,"13,500,000.00",,,,,,,,"10,000,000.00","5,000,000.00","5,000,000.00",,,,,"23,000,000.00","26,500,000.00","62,102,797.75"
交易性金融资产,,,,,,"48,500,000.00","176,600,000.00","215,700,000.00",,"155,900,000.00",,,,,,"87,800,974.00",,
交易性金融负债,,,,,,,,,,,,,,,,,,
应收票据,"2,343,286.40","10,639,314.27","12,471,311.77","18,102,856.23","26,379,653.47","16,393,198.43","17,286,502.99","20,092,787.31","15,592,199.59","23,057,158.40","28,858,359.72","36,614,657.61","25,376,725.81","17,162,009.43","42,612,322.55","51,260,191.96","45,056,570.27","77,620,119.21"
应付票据,"5,000,000.00","24,071,160.28","25,650,000.00","33,809,726.27","33,109,747.63","22,751,214.96","33,698,157.75","36,464,474.57","36,831,547.85","34,774,856.51","25,986,278.19","24,807,497.03","24,126,652.03","24,964,314.16","42,337,047.53",,"47,801,637.19",
应收账款,"54,157,594.49","81,767,524.38","82,594,088.90","81,343,898.75","79,580,057.65","88,099,430.90","100,400,044.48","90,345,051.43","112,585,623.81","109,439,341.40","126,932,826.89","111,757,768.98","120,864,476.28","141,321,419.60","149,069,276.23","152,977,784.99","158,706,123.07","197,700,220.82"
应付账款,"20,364,802.00","18,340,253.06","14,232,829.87","18,724,909.15","13,307,002.85","16,089,805.23","17,805,835.07","18,591,895.96","22,866,974.40","19,634,663.66","20,073,010.87","24,349,073.47","33,132,541.90","51,103,431.89","45,012,463.70",,"48,223,826.21",
预付款项,"2,420,732.53","1,570,405.81","1,725,346.11","1,255,154.10","996,078.72","871,183.34","4,854,680.02","3,667,176.27","2,709,585.56","33,296,440.04","8,883,141.22","3,884,182.34","4,942,090.61","4,870,122.75","4,088,101.91","3,811,794.18","6,454,222.81","21,421,110.93"
预收款项,"2,998,919.41","2,343,922.29","3,546,286.35","2,176,294.32","2,568,234.28","2,536,107.13","1,770,396.98","1,532,211.67","2,026,070.74","2,138,817.11","2,802,235.98","3,009,092.33","2,696,573.89","3,940,936.16","4,832,720.35","7,795,008.62","3,394,877.72","5,131,746.62"
其他应收款,"1,222,970.44","927,857.70","1,289,065.32","2,489,031.66","2,072,769.39","2,572,180.39","2,345,944.16","1,982,148.50","2,969,350.33","2,996,028.29","4,480,159.86","3,938,249.67","7,169,814.72","7,750,207.18","5,865,762.50","5,821,975.11","20,730,651.73","15,894,286.50"
应付职工薪酬,"955,575.00","1,167,642.56","1,322,160.66","1,307,142.64","1,301,585.79","1,301,585.79","1,430,099.22","1,430,099.22","1,955,853.06","1,805,586.44","1,705,242.46","1,651,718.01","2,368,594.03","2,140,681.61","2,218,288.48","2,241,444.90","2,676,635.47","2,188,208.82"
应收关联公司款,,,,,,,,,,,,,,,,,,
应交税费,"2,954,075.40","5,617,610.04","3,321,182.39","3,943,610.23","7,215,574.17","5,033,630.42","2,788,318.66","3,682,504.25","5,774,538.31","4,601,363.18","7,186,440.92","4,190,647.75","4,650,278.04","3,510,347.57","5,671,391.23","5,293,910.04","6,804,636.86","8,715,159.24"
应收利息,,,,,,,,,,,,,,,,,,
应付利息,"28,122.20",,,,,,,,,,"118,750.00","79,166.67",,,"475,000.00",,"1,166,018.36","1,576,454.52"
应收股利,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,
存货,"39,536,358.72","33,272,022.05","25,546,102.56","37,029,943.71","23,819,775.41","25,335,534.95","25,629,332.18","33,151,840.25","41,885,417.82","49,967,880.61","54,213,091.42","56,000,389.94","62,678,593.16","76,160,724.56","71,783,231.64","101,699,995.55","106,405,088.61","98,046,914.79"
其他应付款,"227,541.01","49,093.55","131,766.00","536,394.00","2,746,935.34","1,986,982.10","468,356.86","1,933,728.63","2,351,043.59","1,516,157.97","1,731,194.44","1,912,975.22","1,547,969.92","1,882,728.77","1,427,177.75","30,623,673.93","21,814,273.70","55,847,362.24"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,"16,320,000.00","16,320,000.00"
