科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"381,893,743.21","342,859,323.88","407,591,978.18","203,433,119.95","356,641,120.32","501,965,498.29","99,368,702.74","294,019,600.96","495,979,550.68","657,293,676.26","130,990,981.94","357,673,908.23","599,537,836.68","840,478,182.26","145,328,541.74","406,225,161.96","717,674,472.16","1,000,567,231.94","183,528,838.43","501,406,041.02","862,727,865.00","1,305,075,557.39","212,945,765.43","668,795,580.74","1,025,562,114.76","1,507,033,047.45","227,346,513.87","1,028,529,610.90","1,868,489,892.38","2,726,567,846.40","606,227,028.99","1,622,660,131.39","2,579,874,109.07"
二、营业利润,"76,092,923.36","59,896,712.16","63,252,365.63","29,659,169.04","65,124,495.29","85,130,821.40","13,143,552.30","58,413,675.03","104,217,715.48","124,819,388.60","12,090,806.49","57,303,225.90","115,797,640.28","137,325,601.12","12,272,400.42","57,706,939.83","122,071,389.57","163,278,911.02","10,351,373.63","73,581,412.06","145,162,720.89","182,805,034.75","3,615,756.65","64,809,365.38","128,892,579.68","148,343,026.73","2,367,153.46","77,558,457.94","158,001,479.98","165,859,988.27","19,819,601.30","139,450,812.28","216,243,025.04"
减:营业成本,"244,719,210.31","211,295,338.60","243,384,016.90","120,615,839.73","206,842,562.07","292,307,050.27","61,240,589.68","175,308,013.39","291,297,276.14","393,113,728.45","77,081,230.75","215,925,875.77","351,651,842.10","498,150,414.50","85,670,384.40","240,909,049.89","427,552,876.32","593,172,606.98","115,619,306.09","305,511,347.14","517,813,577.39","789,666,576.29","130,887,906.55","428,670,631.50","636,970,058.05","964,812,868.44","140,287,194.55","751,103,405.66","1,375,025,354.29","2,032,597,899.24","465,944,086.16","1,238,549,141.58","1,970,587,867.94"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,080,789.75","1,036,994.76","1,287,633.22","618,763.77","986,093.31","1,524,976.16","213,204.50","1,142,925.63","1,481,421.30","2,240,363.55","511,467.27","1,412,028.13","2,591,734.90","3,864,146.47","465,029.96","1,530,498.71","2,967,209.61","4,523,943.18","406,095.07","1,826,867.19","3,128,308.00","5,872,618.80","420,800.62","3,310,486.25","5,894,878.34","9,545,909.96","1,790,181.68","2,286,221.48","5,615,559.17","15,836,365.56","431,295.51","5,004,760.84","8,590,879.60"
营业外收入,"10,737,134.61","9,907,210.23","11,720,356.93","8,136,796.19","8,347,507.15","10,240,230.04","110,665.76","4,231,338.34","10,924,333.46","12,586,359.25","1,629,935.17","11,699,283.19","13,624,369.20","23,987,108.77","4,902,737.27","20,513,971.82","27,179,938.04","39,680,921.04","7,500,683.93","19,959,822.73","29,567,365.52","45,290,301.92","15,035,739.53","33,615,318.85","51,310,522.94","67,847,223.74","17,731,943.40","37,571,047.17","44,649,864.82","60,286,984.19","17,358,238.99","729,552.40","1,182,181.89"
销售费用,"22,620,732.41","30,126,134.93","34,139,313.01","17,307,353.33","26,947,669.72","37,445,122.27","9,721,021.54","23,199,028.32","39,417,716.17","55,400,494.32","17,333,104.77","34,167,590.58","52,552,191.45","79,035,669.65","18,882,878.82","40,824,329.58","63,707,457.32","95,778,379.12","22,088,443.35","45,038,004.47","75,439,302.96","122,016,961.45","28,263,087.99","64,668,637.27","94,926,540.98","131,475,647.44","26,470,886.44","65,732,800.24","111,635,907.65","163,102,142.87","41,650,365.22","89,091,722.44","152,927,180.59"
减:营业外支出,"1,182,583.64","1,745,517.37","223,390.72","510,344.87","510,344.87","657,953.35","50,060.00","100,275.08","1,020,389.30","2,225,095.82",,"4,044.17","9,044.17","1,389,100.07",,"440,156.37","938,958.93","2,053,498.93","1,028,942.59","1,156,741.16","1,669,856.16","1,439,090.93","67,946.00","498,402.85","552,590.74","1,756,986.99","91,717.18","212,077.62","2,893,237.50","3,598,537.10","191,631.89","568,816.59","771,249.16"
管理费用,"35,767,074.94","41,236,218.62","61,689,398.51","32,696,254.72","54,133,297.74","81,356,829.54","20,907,915.35","44,872,095.36","72,234,890.33","98,904,900.17","29,090,086.30","55,905,950.39","87,375,193.56","132,414,150.01","32,691,790.67","70,887,912.58","106,999,879.39","149,754,773.05","36,255,705.53","77,430,447.71","126,910,142.34","206,712,929.57","50,418,650.61","99,509,485.27","156,031,316.82","249,614,404.70","55,385,651.54","120,514,786.82","200,235,407.39","305,789,880.97","68,349,684.89","146,238,476.02","237,427,322.61"
其中:非流动资产处置净损失,,"47,225.12","103,390.72","10,344.87",,"33,025.53",,,,,,,,,,,,"43,498.93",,,,"817,807.18",,"214,711.85","263,566.10","1,466,662.35",,"48,767.18","65,190.39","111,696.82",,"347,356.21","408,844.08"
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"-456,188.21","-779,000.68","2,725,459.93","2,096,887.79","2,168,150.62","2,777,338.92","-5,544,296.68","-10,941,871.53","-15,068,745.19","-19,369,267.77","-5,031,240.01","-8,828,469.68","-13,310,658.76","-16,405,853.46","-3,038,983.27","-5,420,572.62","-9,729,613.53","-12,139,226.15","-1,967,714.87","-3,857,374.46","-6,869,319.51","-6,303,316.72","-1,099,271.34","-1,575,739.29","-3,464,352.22","-1,841,778.31","1,950,422.54","8,383,245.33","15,768,677.23","21,374,937.14","8,759,074.23","18,432,150.27","33,881,564.53"
三、利润总额,"85,647,474.33","68,058,405.02","74,749,331.84","37,285,620.36","72,961,657.57","94,713,098.09","13,204,158.06","62,544,738.29","114,121,659.64","135,180,652.03","13,720,741.66","68,998,464.92","129,412,965.31","159,923,609.82","17,175,137.69","77,780,755.28","148,312,368.68","200,906,333.13","16,823,114.97","92,384,493.63","173,060,230.25","226,656,245.74","18,583,550.18","97,926,281.38","179,650,511.88","214,433,263.48","20,007,379.68","114,917,427.49","199,758,107.30","222,548,435.36","36,986,208.40","139,611,548.09","216,653,957.77"
资产减值损失,"2,081,200.65","-437,074.51","1,129,790.98","456,851.57","456,851.57","1,441,359.73","-313,283.95","2,043,734.76","2,417,276.45","2,202,068.94","-84,473.64","1,787,707.14","2,903,893.15","8,182,395.92","-800,098.75","2,769,073.16","8,406,911.38","11,357,931.90","1,806,024.58","5,113,690.97","6,329,826.07","7,904,281.22","1,638,035.32","12,060,601.25","11,451,409.71","12,453,309.59","415,564.66","7,643,169.15","7,409,686.16","29,362,592.14","2,626,597.50","15,713,557.22","13,429,090.57"
