科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"354,325,609.57","511,150,174.89","388,527,816.32","375,359,325.54","804,256,116.45","729,962,912.39","662,970,244.66","622,208,640.86","613,545,403.04","1,130,852,519.04","1,074,317,865.68","1,044,240,047.90","942,476,403.25","863,738,133.55","928,392,397.83","1,053,685,107.63","1,076,132,345.77","891,530,420.47","949,304,942.36","1,172,855,900.31","1,331,392,170.16","1,339,682,129.84","1,675,880,255.09","1,618,742,533.33","1,649,694,020.96","1,724,667,399.79","1,864,428,730.99","1,565,641,868.37","1,749,255,146.70","2,341,871,737.78"
短期借款,"716,127,640.00","640,900,000.00","503,500,000.00","859,900,000.00","807,300,000.00","839,300,000.00","877,400,000.00","901,400,000.00","889,900,000.00","1,691,700,000.00","1,659,900,000.00","1,661,400,000.00","1,725,200,000.00","1,660,050,000.00","2,173,050,000.00","2,505,150,000.00","2,643,150,000.00","2,493,300,000.00","3,061,900,000.00","3,124,000,000.00","3,540,990,000.00","3,426,550,000.00","3,881,820,000.00","3,921,820,000.00","4,151,610,000.00","3,726,620,000.00","4,533,680,000.00","3,980,560,000.00","4,193,900,000.00","3,919,426,675.20"
交易性金融资产,"1,159,165.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"4,057,425.00","9,017,043.65","5,300,000.00","1,600,000.00","2,086,901.20","36,978,170.00","19,468,170.00","6,396,510.40","4,855,894.60","5,554,957.00","12,027,844.60","15,350,000.00","5,004,244.65","7,681,593.69","14,636,000.69","11,279,631.00","14,120,000.00","18,771,750.00","24,200,437.29","18,668,475.00","4,584,601.00","16,157,695.00","15,642,681.99","21,558,863.19","21,238,747.45","54,062,350.66","45,286,150.64","33,766,101.10","182,448,367.90","159,046,648.18"
应付票据,"42,800,000.00","58,200,000.00","163,791,979.00","112,590,000.00","101,514,296.00","123,424,296.00","94,142,200.00","89,872,200.00","117,006,077.00","318,371,652.48","342,375,575.48","239,767,571.00","321,995,267.00","350,111,157.95","357,047,481.95","391,325,752.48","372,276,735.75","331,340,643.27","477,611,918.81","528,830,858.81","499,308,429.05","494,797,182.13","506,607,455.60","604,245,532.52","442,252,738.80","356,816,926.60","318,377,638.60","285,332,866.00","396,405,968.60","448,683,228.01"
应收账款,"671,913,069.39","619,756,139.96","782,164,325.66","960,980,665.78","886,341,990.06","1,250,036,383.20","1,261,695,245.89","1,156,897,507.15","1,237,694,861.85","2,179,771,794.22","1,962,811,886.45","2,142,324,888.22","2,282,695,192.23","3,088,136,091.91","2,903,686,013.05","3,228,071,560.47","3,006,126,909.57","3,637,492,827.39","3,572,001,522.37","3,362,178,343.30","3,399,053,499.45","3,785,849,094.08","3,062,472,947.79","3,890,448,209.03","3,744,523,231.32","3,974,361,502.28","3,150,988,933.95","3,564,816,626.38","3,527,642,796.44","3,296,680,781.96"
应付账款,"805,083,192.90","831,805,049.04","1,079,785,973.31","863,717,604.53","1,003,007,415.71","1,170,525,866.36","1,030,748,852.52","999,033,130.96","1,126,263,720.70","2,019,646,827.00","1,624,470,794.35","1,566,890,200.81","1,661,728,391.66","2,450,377,743.48","1,998,284,107.73","2,128,371,161.87","2,112,413,311.67","3,069,095,684.49","2,456,216,008.35","2,608,173,679.98","2,553,854,283.30","3,592,770,341.54","2,666,555,417.61","3,433,717,236.25","3,545,943,448.43","4,405,601,810.85","3,128,966,138.34","3,590,566,815.93","3,606,976,784.94","4,619,941,521.87"
预付款项,"415,058,476.07","212,390,625.28","221,221,018.30","246,557,663.12","303,524,677.74","274,352,058.52","448,306,402.94","410,372,742.91","492,137,531.33","572,726,892.86","857,887,077.91","712,581,242.69","766,986,438.51","535,441,211.40","723,444,911.46","554,226,606.03","578,296,447.35","344,575,096.29","654,650,535.98","548,758,364.88","467,001,770.78","328,831,695.35","655,986,672.28","444,435,924.58","619,833,053.27","511,588,762.87","720,287,339.65","748,460,605.05","664,370,694.39","394,047,751.87"
预收款项,"558,366,208.45","445,415,537.30","399,981,802.32","456,228,855.47","536,782,662.24","437,668,994.71","745,226,630.02","648,764,316.18","731,439,518.39","802,025,396.60","1,442,966,785.42","1,216,636,558.95","1,375,904,770.83","907,100,620.89","1,277,678,730.91","975,318,665.95","1,157,933,137.46","753,654,994.72","1,013,394,852.95","900,377,261.89","849,635,473.49","751,261,385.95","1,058,820,960.06","378,103,077.15","529,529,088.39","243,703,966.31","419,151,193.28","370,524,685.18","300,477,835.00","302,698,173.94"
