科目,2009年度,2010年度,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"360,860,636.16","656,019,004.69","859,371,453.07","130,508,638.41","265,629,908.99","415,332,610.26","572,209,501.74","143,971,085.24","340,416,230.31","507,562,046.69","709,361,286.30","217,907,553.62","375,144,029.58","543,140,145.72","751,753,561.99","164,327,383.52","328,662,407.13","524,255,011.85","831,907,777.04","221,252,232.31","505,362,988.10","770,323,751.31","1,218,324,326.42","350,708,148.76","695,671,521.07","1,104,462,518.54","1,537,185,035.47","453,086,736.27","1,045,434,882.82"
取得子公司及其他营业单位支付的现金净额,"18,280,529.01",,,,,,,,"122,117,113.19",,"163,973,813.19",,,,,,,,"-42,911,213.57",,,,"489,420,988.40",,,,,,"-95,356,287.71"
收到的税费返还,"38,078,527.06","59,592,381.34","85,920,373.96","21,133,201.75","33,483,338.80","51,389,535.31","64,024,966.12","13,439,569.08","30,297,079.80","46,297,727.21","58,129,121.71","32,357,985.69","46,345,065.17","60,121,436.21","72,457,003.55","16,772,484.29","33,177,411.05","46,708,599.58","62,461,419.59","15,014,016.71","24,705,323.55","40,138,744.96","59,835,761.92","19,052,650.05","36,257,638.05","59,584,500.75","73,586,752.51","31,698,025.88","51,553,778.37"
支付其他与投资活动有关的现金,,,,,,,,,"50,000,000.00","270,000,000.00",,"50,000,000.00","175,000,000.00","368,302,700.00",,"288,100,000.00","441,100,000.00","649,149,619.76",,"150,002,208.00",,"5,108.00","500,000.00","90,000.00","90,000.00","90,000.00",,,"97,420.00"
收到其他与经营活动有关的现金,"17,287,876.61","3,061,283.36","6,339,114.80","5,893,783.90","5,923,654.74","8,893,278.03","16,809,291.63","15,498,402.18","17,293,099.45","27,524,301.63","29,791,392.70","233,131.53","1,882,136.27","6,401,954.98","6,741,902.91","14,948,173.87","14,582,996.76","26,330,495.20","22,466,525.59","17,702,818.06","6,829,549.40","81,419,392.65","37,402,246.31","44,141,912.16","23,435,291.32","78,482,370.53","25,967,715.27","15,181,731.11","44,708,678.70"
投资活动现金流出小计,"44,850,080.06","16,055,267.17","17,725,129.09","1,415,185.05","2,035,150.62","18,742,042.55","71,963,558.00","36,804,447.35","253,236,515.82","582,984,161.12","688,529,668.84","76,556,610.05","217,070,482.45","435,894,265.83","708,795,907.90","299,280,893.24","472,850,162.70","699,767,177.00","1,003,630,827.46","290,033,144.92","625,611,047.87","606,449,295.46","1,501,007,266.25","497,748,648.02","679,822,853.48","1,059,954,059.69","2,235,596,209.56","167,868,363.31","508,778,601.86"
经营活动现金流入小计,"416,227,039.83","718,672,669.39","951,630,941.83","157,535,624.06","305,036,902.53","475,615,423.60","653,043,759.49","172,909,056.50","388,006,409.56","581,384,075.53","797,281,800.71","250,498,670.84","423,371,231.02","609,663,536.91","830,952,468.45","196,048,041.68","376,422,814.94","597,294,106.63","916,835,722.22","253,969,067.08","536,897,861.05","891,881,888.92","1,315,562,334.65","413,902,710.97","755,364,450.44","1,242,529,389.82","1,636,739,503.25","499,966,493.26","1,141,697,339.89"
投资活动产生的现金流量净额,"-44,805,080.06","-16,055,267.17","-17,723,969.09","-1,415,185.05","-2,035,150.62","-18,742,042.55","-71,963,558.00","-36,643,447.35","-253,008,015.82","-502,044,427.52","-399,421,978.36","-76,556,610.05","-9,445,989.36","-126,502,373.10","-132,456,424.44","-9,429,203.68","-26,579,722.60","-68,787,228.91","-12,205,017.78","-77,134,607.08","-256,455,852.91","-145,631,783.85","-549,654,589.46","-284,607,327.79","-306,687,529.49","-460,717,338.15","-1,127,644,078.84","96,365,273.67","34,260,853.85"
购买商品、接受劳务支付的现金,"398,725,434.10","619,990,269.71","741,685,123.76","131,870,447.01","264,519,314.85","421,724,720.33","519,877,887.20","165,025,325.35","346,279,759.45","523,932,786.12","697,851,429.46","142,647,677.26","339,982,791.22","492,983,949.35","610,062,279.49","148,246,462.68","291,280,592.43","443,936,010.59","605,207,031.98","153,232,155.36","347,292,170.53","516,485,379.12","687,953,301.43","280,907,613.96","476,786,539.93","697,474,111.92","742,587,601.79","208,249,005.64","478,276,130.08"
吸收投资收到的现金,"60,007,885.43",,,,"639,362,893.27","639,362,893.27","649,710,000.00",,,,,,,,,,,"111,661,199.67","68,749,986.10",,,"4,350.00","385,624,992.57","13,438,261.84","13,970,074.59","14,184,724.94","13,781,638.76",,
支付给职工以及为职工支付的现金,"8,347,986.51","11,813,455.57","18,238,329.55","6,357,886.23","12,154,570.87","20,257,642.58","26,826,951.82","8,330,024.24","16,812,944.69","27,763,364.95","37,744,549.53","16,540,608.84","27,526,805.60","38,625,247.08","54,397,481.23","19,113,785.97","33,798,890.43","50,025,423.73","75,469,325.49","28,733,052.82","51,625,784.34","71,793,297.90","107,944,179.09","42,983,125.30","78,773,438.84","116,798,476.27","151,267,064.11","51,283,862.30","100,415,394.25"
取得借款收到的现金,"238,063,171.65","329,887,125.90","232,711,080.77","36,804,207.16","57,275,166.92","57,275,166.92","57,275,166.92",,"112,427,984.35","158,166,814.56","253,624,751.53","37,136,860.10","142,177,421.14","260,276,347.65","365,315,385.97","103,181,816.35","221,206,441.88","343,604,803.88","378,953,553.88","235,509,875.71","472,287,304.07","552,399,013.25","823,244,840.39","156,965,843.40","499,984,754.63","1,167,644,601.89","1,281,855,676.24","155,306,670.00","341,343,016.00"
支付的各项税费,"7,401,790.11","12,762,671.48","28,343,433.74","6,927,964.80","14,727,766.84","22,860,766.93","28,913,290.27","5,376,397.07","15,362,198.99","26,020,459.62","33,602,078.80","8,908,495.01","23,775,781.48","35,200,720.59","44,088,143.63","11,556,172.33","24,226,976.09","35,720,428.13","60,503,464.93","18,363,472.92","45,805,565.04","77,830,067.49","113,696,198.39","38,977,958.06","90,056,693.56","135,830,115.43","190,987,436.71","52,927,971.43","122,167,642.57"
收到其他与筹资活动有关的现金,"471,500.00",,,,"10,347,106.73","10,347,106.73",,"404,161.51","11,701,863.17","15,370,804.57",,"392,257.83","464,583.10","468,764.04","500,000.00","305,148.06",,,"19,600,000.00",,"8,000,000.00","60,000.00","15,977,556.83",,,,"26,870,000.00",,
支付其他与经营活动有关的现金,"28,353,838.60","17,089,639.88","24,537,812.40","9,285,484.73","16,158,957.05","25,997,742.39","32,890,396.60","13,176,541.59","20,621,416.56","34,984,837.57","48,686,272.15","15,209,723.80","32,245,684.77","51,432,221.98","70,402,924.55","17,794,205.84","29,217,508.06","92,469,271.05","108,968,245.78","17,764,639.48","61,499,503.98","107,570,073.71","209,687,441.58","105,181,977.36","169,698,951.40","291,830,483.33","342,961,987.46","111,255,485.45","265,584,257.79"
筹资活动现金流入小计,"298,542,557.08","329,887,125.90","232,711,080.77","36,804,207.16","706,985,166.92","706,985,166.92","706,985,166.92","404,161.51","124,129,847.52","173,537,619.13","253,624,751.53","37,529,117.93","142,642,004.24","260,745,111.69","365,815,385.97","103,486,964.41","221,206,441.88","455,266,003.55","467,303,539.98","235,509,875.71","480,287,304.07","552,463,363.25","1,224,847,389.79","170,404,105.24","513,954,829.22","1,181,829,326.83","1,322,507,315.00","155,306,670.00","341,343,016.00"
经营活动现金流出小计,"442,829,049.32","661,656,036.64","812,804,699.45","154,441,782.77","307,560,609.61","490,840,872.23","608,508,525.89","191,908,288.25","399,076,319.69","612,701,448.26","817,884,329.94","183,306,504.91","423,531,063.07","618,242,139.00","778,950,828.90","196,710,626.82","378,523,967.01","622,151,133.50","850,148,068.18","218,093,320.58","506,223,023.89","773,678,818.22","1,119,281,120.49","468,050,674.68","815,315,623.73","1,241,933,186.95","1,427,804,090.07","423,716,324.82","966,443,424.69"
偿还债务支付的现金,"198,919,126.53","308,230,765.22","269,135,996.27","72,729,961.15","113,080,926.67","141,491,425.24","141,605,417.49","1,800,000.00","37,611,416.77","92,992,505.57","208,082,828.28","50,650,250.24","100,031,780.10","183,483,252.41","313,733,033.92","74,058,658.77","158,971,763.22","260,256,256.80","334,177,290.84","66,636,187.26","224,731,128.66","283,939,131.22","325,419,821.62","135,618,972.91","415,577,721.94","605,137,913.05","758,242,236.57","85,770,518.00","379,697,416.89"
经营活动产生的现金流量净额,"-26,602,009.49","57,016,632.75","138,826,242.38","3,093,841.29","-2,523,707.08","-15,225,448.63","44,535,233.60","-18,999,231.75","-11,069,910.13","-31,317,372.73","-20,602,529.23","67,192,165.93","-159,832.05","-8,578,602.09","52,001,639.55","-662,585.14","-2,101,152.07","-24,857,026.87","66,687,654.04","35,875,746.50","30,674,837.16","118,203,070.70","196,281,214.16","-54,147,963.71","-59,951,173.29","596,202.87","208,935,413.18","76,250,168.44","175,253,915.20"
