科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"6,367,311.59","14,090,286.46","17,008,227.63","58,594,019.33","37,471,270.54","364,876,060.83","342,336,701.68","312,828,053.14","281,698,495.42","281,223,272.07","266,915,124.05","254,261,613.71","241,519,321.95","229,935,566.22","208,744,357.28","215,279,225.90","184,858,833.42","189,821,639.57","146,280,468.90","130,925,624.10","117,646,423.66","116,552,739.25","141,110,351.11","99,930,435.65","89,301,493.57","66,648,313.72","43,403,548.94","65,821,191.60","68,081,650.25"
短期借款,"13,000,000.00","10,000,000.00","10,500,000.00","29,000,000.00","29,000,000.00","29,000,000.00","24,800,000.00","24,800,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","20,000,000.00","40,000,000.00","51,000,000.00","51,000,000.00","23,000,000.00","16,000,000.00","15,000,000.00","18,000,000.00","28,000,000.00","33,000,000.00","35,000,000.00","32,000,000.00","22,000,000.00","40,000,000.00","23,000,000.00","43,000,000.00","43,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,"11,000,000.00","24,000,000.00","11,000,000.00","35,000,000.00","5,000,000.00","28,640,000.00","7,000,000.00","17,400,000.00","11,500,000.00",,"11,000,000.00"
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"7,555,024.10","10,943,314.42","22,698,364.05","26,394,216.80","14,430,855.00","24,595,800.00","16,872,936.60","18,231,788.00","23,976,562.00","32,083,492.80","22,357,627.40","23,132,538.18","26,613,365.00","23,875,413.06","33,776,606.50","43,483,552.36","32,345,980.98","25,399,674.64","40,175,998.58","38,642,125.43","30,418,872.07","44,261,124.63","52,589,117.63","30,448,964.63","17,114,048.86","46,787,620.00","55,072,945.00","69,157,917.56","44,513,000.00"
应付票据,"4,000,000.00",,,"3,110,000.00","2,260,000.00","10,298,000.00","4,138,000.00","4,155,000.00","7,144,600.00","4,089,600.00","3,429,000.00","6,369,000.00","5,700,000.00","4,450,000.00","3,932,900.00","3,302,900.00","3,550,000.00","4,800,000.00","7,450,000.00","10,580,000.00","7,130,000.00","10,985,000.00","16,604,764.00","18,463,764.00","14,374,000.00","14,615,558.00","19,916,537.77","25,776,180.37","25,054,926.21"
应收账款,"32,785,622.53","38,323,672.15","44,204,027.14","45,854,664.53","73,087,673.08","79,774,706.53","96,325,075.38","140,204,659.73","155,048,883.95","137,730,186.30","142,010,757.45","172,594,305.94","181,543,417.06","173,176,909.91","186,892,722.69","192,795,739.19","205,602,214.40","223,696,250.72","217,949,162.46","221,707,439.91","239,760,955.38","228,996,552.14","210,463,025.89","233,232,254.80","235,286,315.62","241,748,414.65","229,828,655.92","232,915,727.12","233,812,038.81"
应付账款,"8,327,987.84","14,822,033.95","18,713,195.71","23,954,386.77","26,188,103.98","21,318,954.21","25,297,698.42","33,759,512.07","45,625,536.25","41,992,983.16","36,962,397.78","40,444,885.50","38,126,372.82","28,377,119.44","20,264,604.79","24,164,814.86","27,295,238.37","35,881,480.78","27,503,901.84","33,931,123.58","49,350,426.90","41,346,920.57","26,553,584.14","35,166,122.18","63,210,033.75","81,678,387.57","74,766,430.97","51,910,153.80","55,571,308.55"
预付款项,"12,609,897.12","13,333,696.34","25,717,602.48","23,095,420.10","37,216,697.43","15,615,694.49","17,940,756.95","34,539,912.45","41,388,467.44","17,037,840.66","37,238,562.02","30,091,641.87","28,862,610.05","45,694,779.93","42,895,808.85","34,518,535.03","39,219,632.98","16,724,155.79","16,454,634.48","24,604,797.52","25,766,506.11","18,824,630.07","16,252,652.86","18,768,214.49","26,347,356.78","26,446,731.27","36,242,226.40","30,539,929.76","35,093,494.20"
预收款项,"93,697,176.69","111,260,454.19","105,753,269.04","109,726,203.53","105,593,058.86","102,163,784.06","90,882,185.09","102,085,980.16","99,881,420.29","91,398,244.75","89,813,222.17","98,578,538.56","112,244,156.22","100,950,202.65","98,548,587.74","107,944,305.59","101,812,240.65","116,760,495.21","140,499,598.04","138,938,209.35","129,888,737.07","134,653,999.76","162,434,275.72","169,111,784.43","133,397,793.66","140,598,542.48","130,088,531.07","145,944,792.25","184,069,840.23"
其他应收款,"8,847,004.75","13,191,425.34","5,110,941.06","4,005,773.17","5,860,462.87","3,647,870.79","15,172,909.09","4,053,003.55","5,611,979.78","4,338,013.61","4,261,157.16","5,612,093.62","7,766,985.16","8,140,024.15","7,690,257.68","5,045,927.47","6,286,927.41","7,711,401.62","9,884,354.03","11,648,535.59","10,336,027.98","9,540,608.52","9,656,661.08","10,638,266.84","10,235,903.39","10,569,499.51","12,572,045.63","10,111,868.75","8,401,899.96"
应付职工薪酬,"1,756,206.44","968,236.40","739,465.01","1,016,305.56","1,775,844.78","1,453,660.93","2,267,926.71","4,032,612.91","4,582,404.44","2,702,022.44","2,829,445.37","3,332,494.19","4,136,637.00","1,526,958.05","4,122,799.98","3,131,914.12","4,086,542.36","8,328,582.57","2,090,348.15","3,587,663.53","4,736,761.69","8,350,925.05","2,946,550.64","3,864,871.64","5,374,313.94","6,567,030.96","3,536,692.99","2,538,921.60","1,988,020.20"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
