科目,2012年度,2013年度,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"79,486,963.97","102,912,688.89","199,591,020.59",,"72,880,929.05","88,470,617.80","183,613,514.42","28,705,541.30","86,939,134.68","151,040,812.57","286,666,466.19","121,216,762.46","322,062,104.63","449,532,352.77","616,877,143.38","97,468,019.67","230,728,931.45","410,486,211.56","635,654,213.46","228,567,948.55"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"59,149.68","59,149.68","-17,541,527.75",,,,"97,600,000.00",,,,,
收到的税费返还,"10,784,121.63","7,791,318.92","8,156,953.09",,"5,599,014.42","7,910,680.29","8,658,202.15","3,353,612.92","3,448,221.46","4,296,224.20","7,164,265.46","1,420,440.26","2,986,378.67","4,711,613.95","5,276,248.10","915,553.16","1,642,959.19","2,629,354.53","2,685,969.40","597,280.53"
支付其他与投资活动有关的现金,,,,,,,"70,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,,,,,,
收到其他与经营活动有关的现金,"8,059,578.00","3,819,679.26","17,956,635.26",,"4,603,633.13","6,892,284.73","10,187,844.21","1,118,248.89","5,623,911.78","16,500,904.64","9,779,976.85","17,989,973.04","30,983,144.68","38,442,780.72","37,647,746.57","10,596,977.91","8,806,131.13","18,337,637.65","92,388,615.57","16,185,422.11"
投资活动现金流出小计,"11,429,171.28","25,046,847.41","42,857,296.30",,"8,913,173.03","65,929,884.53","116,786,596.09","21,556,960.22","19,857,164.03","88,783,034.83","106,566,646.05","35,180,752.13","105,857,832.30","281,113,029.88","452,231,201.70","150,822,504.32","284,597,073.44","353,753,649.12","517,228,232.51","112,960,169.37"
经营活动现金流入小计,"98,330,663.60","114,523,687.07","225,704,608.94",,"83,083,576.60","103,273,582.82","202,459,560.78","33,177,403.11","96,011,267.92","171,837,941.41","303,610,708.50","140,627,175.76","356,031,627.98","492,686,747.44","659,801,138.05","108,980,550.74","241,178,021.77","431,453,203.74","730,728,798.43","245,350,651.19"
投资活动产生的现金流量净额,"-11,429,171.28","-25,046,847.41","-43,060,848.63","-4,619,300.00","-8,763,173.03","-65,579,884.53","-81,143,883.76","13,694,272.66","25,474,616.79","39,526,013.07","-61,234,865.23","-35,180,752.13","-105,857,832.30","-276,709,524.88","-447,831,850.95","-150,822,504.32","-284,343,184.11","-353,498,009.79","-516,800,580.25","-112,960,169.37"
购买商品、接受劳务支付的现金,"73,519,951.10","57,956,473.64","157,101,030.27",,"77,849,801.97","97,898,445.62","130,866,627.80","30,987,500.27","63,265,309.08","119,450,642.01","167,931,907.01","73,404,142.61","193,277,553.28","258,793,312.05","358,420,273.36","77,751,629.03","156,220,478.24","277,522,183.65","424,574,439.63","95,302,131.10"
吸收投资收到的现金,"2,100,000.00",,"10,000,000.00",,"275,210,000.00","275,210,000.00","275,210,000.00",,"500,000.00","500,000.00","500,000.00",,"16,000,000.00","83,906,685.00","368,906,685.00","21,022,401.69","20,683,551.34","44,026,774.36","51,511,711.93","1,215,790,754.90"
支付给职工以及为职工支付的现金,"10,843,755.20","12,361,677.58","12,603,344.49",,"7,443,125.19","11,177,192.72","14,963,151.18","5,032,420.99","9,954,378.00","26,376,681.05","57,234,513.44","30,828,323.89","64,262,181.25","96,084,593.81","129,294,000.36","60,569,028.93","91,506,871.39","132,726,131.08","178,877,382.97","51,292,518.37"
取得借款收到的现金,"26,000,000.00","33,000,000.00","75,000,000.00",,"32,347,000.00","35,179,720.00","35,179,720.00",,"11,100,000.00","11,100,000.00","95,353,333.33","159,868,150.00","247,092,158.46","374,621,093.05","1,144,514,208.33","30,972,014.39","52,398,960.19","72,650,777.71","97,150,777.71","1,600,000.00"
支付的各项税费,"12,133,998.45","18,873,733.92","17,875,047.18",,"16,781,748.68","21,499,994.62","25,929,852.24","6,777,719.12","9,205,564.59","13,760,253.06","16,906,925.78","18,590,701.19","24,207,647.92","34,999,192.65","37,765,132.04","6,180,429.75","15,747,283.06","29,585,337.93","38,807,161.55","17,470,842.32"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,"4,000,000.00",,,,"9,887,400.86",
支付其他与经营活动有关的现金,"11,539,469.95","11,401,974.34","8,452,247.00",,"3,609,791.98","6,497,674.87","10,347,911.85","3,778,337.54","6,801,232.32","21,650,051.53","28,881,783.89","26,579,994.23","42,842,128.16","69,161,771.51","58,009,263.52","14,097,468.84","39,909,860.49","52,882,223.43","60,416,606.46","24,547,302.33"
筹资活动现金流入小计,"28,100,000.00","33,000,000.00","85,000,000.00",,"307,557,000.00","310,389,720.00","310,389,720.00",,"11,600,000.00","11,600,000.00","95,853,333.33","159,868,150.00","263,092,158.46","458,527,778.05","1,517,420,893.33","51,994,416.08","73,082,511.53","116,677,552.07","158,549,890.50","1,217,390,754.90"
经营活动现金流出小计,"108,037,174.70","100,593,859.48","196,031,668.94",,"105,684,467.82","137,073,307.83","182,107,543.07","46,575,977.92","89,226,483.99","181,237,627.65","270,955,130.12","149,403,161.92","324,589,510.61","459,038,870.02","583,488,669.28","158,598,556.55","303,384,493.18","492,715,876.09","702,675,590.61","188,612,794.12"
偿还债务支付的现金,"10,556,617.77","26,614,461.60","33,667,580.09",,"28,925,992.64","64,459,512.82","67,186,096.57","8,910,496.35","11,621,739.34","27,946,321.97","28,364,660.84","107,723,017.00","136,879,996.86","165,755,528.94","215,631,286.39","34,604,019.57","98,598,299.90","155,633,008.19","193,432,689.91","55,109,465.62"
经营活动产生的现金流量净额,"-9,706,511.10","13,929,827.59","29,672,940.00","-25,302,600.00","-22,600,891.22","-33,799,725.01","20,352,017.71","-13,398,574.81","6,784,783.93","-9,399,686.24","32,655,578.38","-8,775,986.16","31,442,117.37","33,647,877.42","76,312,468.77","-49,618,005.81","-62,206,471.41","-61,262,672.35","28,053,207.82","56,737,857.07"
分配股利、利润或偿还利息支付的现金,"1,829,294.15","2,069,257.06","2,943,691.69",,"13,911,433.75","15,411,293.34","16,254,189.74","38,109.70","9,553,771.72","10,225,749.14","11,828,750.93","1,958,580.58","4,401,132.99","42,877,188.01","24,763,229.91","6,272,279.38","17,546,281.30","28,379,643.89","70,256,228.08","2,746,970.41"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,"2,420,080.04","7,336,595.04","6,594,595.04",,,"11,257,400.00","26,203,256.78","2,056,186.62",,,"8,530,321.19","1,868,025.60","3,636,627.25",,"7,093,005.84",
取得投资收益收到的现金,,,,,,,"292,712.33","251,232.88","331,780.82","331,780.82","331,780.82",,,,,,,,,
筹资活动现金流出小计,"12,385,911.92","28,683,718.66","36,611,271.78",,"45,257,506.43","87,207,401.20","90,034,881.35","8,948,606.05","21,175,511.06","49,429,471.11","66,396,668.55","111,737,784.20","141,281,129.85","208,632,716.95","248,924,837.49","42,744,324.55","119,781,208.45","184,012,652.08","270,781,923.83","57,856,436.03"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,"150,000.00","350,000.00","350,000.00",,,,,,,"4,403,505.00","4,399,350.75",,"253,889.33","255,639.33","427,652.26",
筹资活动产生的现金流量净额,"15,714,088.08","4,316,281.34","48,388,728.22","-9,952,900.00","262,299,493.57","223,182,318.80","220,354,838.65","-8,948,606.05","-9,575,511.06","-37,829,471.11","29,456,664.78","48,130,365.80","121,811,028.61","249,895,061.10","1,268,496,055.84","9,250,091.53","-46,698,696.92","-67,335,100.01","-112,232,033.33","1,159,534,318.87"
处置子公司及其他营业单位收到的现金净额,,,"-203,552.33",,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,"605,014.45","-941,978.39","93,884.31","5,473,572.38","7,088,262.54","2,986,981.56","-7,286,624.64","-11,237,979.71","-1,955,896.39","-5,925,174.74","-8,155,276.58"
收到其他与投资活动有关的现金,,,,,,,"35,000,000.00","35,000,000.00","45,000,000.00","127,977,267.08","45,000,000.00",,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,"-203,552.33",,"150,000.00","350,000.00","35,642,712.33","35,251,232.88","45,331,780.82","128,309,047.90","45,331,780.82",,,"4,403,505.00","4,399,350.75",,"253,889.33","255,639.33","427,652.26",
五、现金及现金等价物净增加额,"-5,421,594.30","-6,800,738.48","35,000,819.59","-39,874,800.00","230,935,429.32","123,802,709.26","159,562,972.60","-8,652,908.20","22,683,889.66","-7,098,129.83","-64,600.46","4,267,511.82","52,868,886.06","13,921,676.18","899,963,655.22","-198,477,043.24","-404,486,332.15","-484,051,678.54","-606,904,580.50","1,095,156,729.99"
购建固定资产、无形资产和其他长期资产支付的现金,"11,429,171.28","25,046,847.41","42,857,296.30",,"8,913,173.03","30,929,884.53","46,786,596.09","11,556,960.22","9,798,014.35","64,973,885.15","95,158,173.80","35,180,752.13","92,157,832.30","126,349,263.38","161,097,121.63","115,822,504.32","224,597,073.44","293,753,649.12","432,829,049.77","109,910,169.37"
期初现金及现金等价物余额,"34,360,556.73","28,938,962.43","22,138,223.95",,"57,139,043.54","57,139,043.54","57,139,043.54","216,702,016.14","216,702,016.14","216,702,016.14","216,702,016.14","216,637,415.68","216,637,415.68","216,637,415.68","216,637,415.68","1,116,601,070.90","1,116,601,070.90","1,116,601,070.90","1,116,601,070.90","533,072,927.85"
投资支付的现金,,,,,,"35,000,000.00",,,,"13,750,000.00","18,950,000.00",,"13,700,000.00","154,763,766.50","193,534,080.07","35,000,000.00","60,000,000.00","60,000,000.00","84,399,182.74","3,050,000.00"
期末现金及现金等价物余额,"28,938,962.43","22,138,223.95","57,139,043.54","17,264,200.00","288,074,472.86","180,941,752.80","216,702,016.14","208,049,107.94","239,385,905.80","209,603,886.31","216,637,415.68","220,904,927.50","269,506,301.74","230,559,091.86","1,116,601,070.90","918,124,027.66","712,114,738.75","632,549,392.36","509,696,490.40","1,628,229,657.84"
