科目,2007-12-31,2008-12-31,2009-06-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2015-12-31
货币资金,"1,894,999,962.70","3,439,128,697.22","2,661,887,663.06","3,284,109,150.95","3,984,200,453.69","3,601,707,562.90","3,070,150,522.56","3,757,477,159.13","2,672,166,935.18","2,941,050,071.26","2,437,422,177.51","2,725,766,519.41","2,210,643,552.97","2,115,632,189.84","2,141,957,184.60","1,957,045,943.90","2,865,349,668.32","2,305,911,974.02","1,220,889,605.63","890,664,906.52","597,878,242.23","890,890,398.82"
短期借款,"1,600,000,000.00","2,309,200,000.00","2,827,133,706.24","2,865,133,706.24","2,377,133,706.24","2,403,000,000.00","1,923,000,000.00","1,609,000,000.00","1,185,000,000.00","1,994,200,000.00","2,238,500,000.00","2,546,500,000.00","3,518,500,000.00","4,123,644,000.00","4,269,138,007.69","4,407,064,352.11","5,481,210,000.00","5,554,298,088.78","5,424,180,513.08","5,786,414,903.30","5,881,783,501.90","6,277,520,313.46"
交易性金融资产,,,,,,,,"2,581,623.49","2,581,623.49","572,754.00","478,820.67",,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,"699,930,848.09","699,930,848.09","702,344,395.92","1,199,832,288.10","1,932,120.20","1,608,775.24","354,233.54","354,233.54",,,"374,398.67"
应收票据,"532,059,946.00","566,026,212.24","621,789,672.08","740,860,281.42","869,556,824.22","1,104,188,723.75","1,071,466,603.21","1,508,765,380.84","1,048,377,856.46","671,827,789.51","697,872,151.40","1,514,950,380.59","1,394,379,310.37","933,619,045.13","989,666,221.18","859,949,966.82","864,950,559.27","995,894,568.32","878,702,105.71","735,072,755.16","505,046,882.94","226,530,811.37"
应付票据,"967,903,391.80","1,482,536,981.42","1,317,178,860.13","1,585,369,508.83","1,717,646,675.19","1,513,545,415.84","1,505,030,874.96","1,780,019,331.16","1,517,982,154.71","1,111,738,055.15","1,233,541,385.42","1,374,977,616.84","1,209,863,832.84","1,179,613,041.08","1,074,931,973.03","901,856,769.75","1,089,673,634.37","1,131,072,125.18","850,746,506.59","764,393,553.54","844,726,897.79","16,506,590.00"
应收账款,"910,059,285.89","2,040,396,415.83","2,786,748,851.54","2,893,586,338.50","3,380,094,585.44","3,172,947,729.06","3,154,764,771.68","2,605,939,569.75","2,747,516,311.05","3,368,171,359.19","4,031,105,406.99","3,708,470,002.40","3,848,142,646.36","3,689,852,977.76","3,811,606,761.21","3,569,719,630.51","4,196,642,336.96","4,105,287,120.76","4,152,197,595.24","3,689,828,435.66","3,537,121,263.95","2,516,625,707.16"
应付账款,"1,223,093,287.52","2,739,961,507.61","2,558,785,294.23","2,567,349,761.42","2,442,148,837.23","2,504,335,394.43","2,369,148,701.83","2,409,428,367.96","2,405,239,929.03","2,507,264,597.35","2,775,633,836.44","3,033,854,949.82","2,830,550,302.87","2,918,816,025.34","2,827,575,744.08","2,874,842,198.35","2,629,464,131.32","2,681,438,923.49","2,808,303,535.47","3,027,765,665.18","2,984,028,959.06","2,736,516,005.23"
预付款项,"299,170,763.19","571,770,861.04","790,024,680.90","820,713,134.76","779,035,720.92","686,872,068.95","584,193,257.37","541,277,674.85","733,366,432.00","796,360,331.07","843,218,332.85","660,626,764.58","761,063,429.76","732,323,115.49","709,517,867.02","320,551,753.33","355,841,842.80","296,176,933.81","349,523,503.00","193,801,803.50","305,114,518.22","260,864,104.39"
预收款项,"2,277,649,612.78","2,381,982,232.22","1,779,724,528.87","2,266,930,184.24","2,472,416,650.90","2,472,928,983.88","2,482,763,812.21","2,155,436,219.64","2,109,611,519.42","1,939,981,291.86","1,761,347,563.40","1,271,093,359.03","1,633,110,911.65","1,157,725,370.47","1,284,882,550.32","1,220,756,464.82","1,372,005,862.27","1,032,465,979.44","1,070,764,027.38","1,279,888,419.02","1,452,178,860.69","1,148,856,825.60"
其他应收款,"27,653,139.47","41,080,000.64","21,359,815.98","45,271,381.18","31,381,525.29","64,019,768.97","92,938,884.01","37,688,756.38","34,198,054.79","34,242,817.89","49,580,290.03","24,368,343.08","29,862,835.47","42,086,887.03","41,804,642.78","65,185,357.81","25,288,863.63","39,175,502.03","51,113,673.68","38,214,519.92","117,871,301.70","145,073,555.06"
应付职工薪酬,"71,043,794.91","76,959,777.18","92,341,685.35","52,966,901.24","81,243,272.68","90,800,538.72","88,256,687.10","65,672,901.65","64,484,470.17","79,892,511.69","81,134,081.24","57,633,963.21","60,287,542.59","76,445,394.63","127,314,350.43","65,625,196.31","64,614,718.45","78,422,132.74","85,698,526.93","350,858,152.71","148,542,169.35","561,547,954.27"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-3,777,582.29","-43,192,165.78","77,201,309.81","161,864,598.73","-7,795,459.13","-33,119,364.23","-39,825,198.05","82,344,544.77","-16,426,131.65","-56,268,248.17","1,323,328.58","-20,070,857.95","-208,543,064.03","-252,148,125.83","-290,637,510.55","-319,683,914.05","-292,445,025.94","-291,441,703.98","-51,665,187.63","-116,552,826.64","-156,516,321.61","3,480,723.14"
应收利息,,,,,,,,,,,,,,,,,,,,,,
应付利息,,"12,600,000.00","37,800,000.00","12,600,000.00","25,200,000.00","37,800,000.00","50,400,000.00","12,600,000.00","25,200,000.00","37,800,000.00","50,400,000.00","21,996,256.83","12,600,000.00","37,800,000.00","50,400,000.00","20,627,777.78","20,627,777.78","56,452,777.78","50,400,000.00","9,464,927.85","14,734,927.85","211,698,596.07"
应收股利,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,
存货,"2,902,455,214.89","4,346,800,393.97","4,209,262,152.08","4,047,989,998.28","4,207,774,089.83","4,484,550,725.70","4,949,408,354.35","5,043,501,593.08","5,454,479,987.26","5,414,040,304.36","5,694,856,937.40","5,333,885,373.85","5,978,011,330.86","6,131,119,590.87","6,187,453,874.89","5,306,250,684.44","5,128,255,784.34","4,704,327,415.37","4,826,280,516.62","4,457,784,088.05","4,801,509,468.63","1,706,224,843.47"
其他应付款,"74,386,257.91","73,901,870.50","205,554,199.21","137,871,500.97","133,346,808.13","162,912,745.09","144,098,734.24","305,737,692.33","402,113,749.03","425,395,271.15","461,678,456.15","390,780,879.09","372,019,685.60","376,652,642.53","426,245,408.37","122,211,274.97","104,188,153.42","160,190,959.98","160,476,869.93","194,282,091.85","257,607,984.42","542,833,951.70"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,"160,374,208.80","431,164,425.28","289,831,900.00","587,828,200.00","386,828,200.00","549,563,165.00","521,797,035.00","803,281,290.00","731,640,000.00","1,012,112,500.00","1,850,000,000.00","1,579,000,000.00","1,481,000,000.00","1,328,500,000.00","948,500,000.00","958,810,000.00","1,002,670,000.00","1,477,290,000.00","1,878,570,000.00","2,294,660,000.00","1,915,800,000.00","157,509,706.02"
其他流动资产,,,,,,,,,,,,,,"6,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00","9,000,000.00","24,708,465.23","18,973,758.88","346,617,615.46"
其他流动负债,,,,"7,328,644.44",,,,"3,995,311.11","3,621,632.15","2,934,938.63","2,248,245.11","4,936,536.63","4,405,290.36","4,936,536.63","4,936,536.63","503,536,857.16","503,536,857.16","504,836,857.16","5,091,651.68","3,864,199.18","3,864,199.18","45,454,414.24"
流动资产合计,"6,566,398,312.14","11,005,202,580.94","11,091,072,835.64","11,832,530,285.09","13,252,043,199.39","13,114,286,579.33","12,922,922,393.18","13,497,231,757.52","12,692,687,200.23","13,226,265,427.28","13,754,534,116.85","13,968,067,383.91","14,222,103,105.79","13,650,633,806.12","13,891,006,551.68","12,087,703,336.81","13,445,329,055.32","12,455,773,514.31","11,487,706,999.88","10,030,074,974.04","9,883,515,436.55","6,092,827,035.73"
流动负债合计,"6,370,672,971.43","9,465,114,628.43","9,185,551,483.84","10,245,243,006.11","9,628,168,691.24","9,701,766,878.73","9,044,670,647.29","9,227,515,658.62","8,428,467,322.86","9,055,050,917.66","10,455,806,896.34","10,960,633,551.59","11,613,725,349.97","11,654,329,280.77","11,923,119,348.10","10,757,579,097.40","11,977,154,884.07","12,385,380,374.11","12,282,920,676.97","13,595,039,085.99","13,346,751,178.63","11,702,299,478.40"
可供出售金融资产,"8,399,397.41","1,648,066.93","3,057,539.72","4,988,384.89","4,807,230.08","2,916,150.60","4,122,376.53","3,870,527.16","4,179,815.86","3,737,974.86","2,549,422.57","2,284,317.97","2,527,330.52","2,942,661.06","2,598,025.08","2,986,765.96","3,623,096.20","5,014,895.35","4,170,979.04","4,316,786.57","4,816,066.97","8,569,289.25"
长期借款,"1,410,005,800.00","2,056,267,100.00","2,905,814,700.00","3,144,352,500.00","2,980,526,850.00","3,089,618,535.00","3,690,322,265.00","4,165,742,460.00","4,483,859,500.00","4,729,087,000.00","4,051,305,785.88","4,610,059,728.66","4,442,301,028.66","4,195,801,028.66","4,786,801,028.66","4,707,331,028.66","5,151,331,028.66","4,425,571,028.66","4,326,201,028.66","3,714,671,028.66","3,723,151,028.66","173,004,890.98"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,
应付债券,,"788,782,400.00","789,963,200.00","791,144,000.00","791,734,400.00","792,324,800.00","792,915,200.00","793,505,600.00","794,096,000.00","794,686,400.00","795,276,800.00","795,867,200.00","795,867,200.00","797,048,000.00","797,638,400.00","798,228,800.00","798,228,800.00","799,409,600.00","800,000,000.00","310,000,000.00","310,000,000.00",
长期应收款,,,,,,,,,,,,,,,,,,,,,,
长期应付款,"6,329,368.80","282,763,138.03","282,787,410.33","262,980,000.00","259,380,000.00","262,980,000.00","262,980,000.00","262,980,000.00","262,980,000.00","262,980,000.00","262,980,000.00","262,980,000.00","262,980,000.00","262,980,000.00","262,980,000.00",,,,"442,675.00",,"360,000,000.00","193,210,293.98"
长期股权投资,"50,191,345.21","737,340.95","719,061.17","771,869.58","771,869.58","796,278.90","762,678.90","766,404.86","766,404.86","389,233.50","389,233.50","6,768,805.66","6,768,805.66","6,620,773.57","6,620,773.57","44,402,644.81","44,402,644.81","46,061,609.96","6,818,880.20","7,041,427.12","7,041,427.12","6,377,249.12"
专项应付款,,"170,000,000.00","330,000,000.00","383,900,000.00","357,210,000.00","362,898,100.00","458,176,100.00","621,537,100.00","613,021,100.00","618,578,990.00","603,885,490.00","651,785,490.00","651,785,490.00","652,729,490.00","652,825,490.00","442,675.00","442,675.00","442,675.00","57,963,200.00","93,085.00","93,085.00",
投资性房地产,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,"59,724,400.00","59,338,900.00","58,965,300.00",,"179,170,840.90","167,709,493.98","644,950,386.19"
固定资产,"2,126,958,532.78","2,727,786,216.40","2,942,466,319.22","3,645,200,304.00","3,555,163,133.03","3,600,314,021.82","3,584,569,534.34","3,963,228,854.60","3,904,954,559.19","3,960,013,509.59","3,997,171,085.84","5,699,997,904.85","5,597,238,363.84","5,508,411,006.72","5,410,579,742.75","5,650,704,779.07","5,569,290,698.40","5,460,855,053.78","5,448,371,514.29","6,959,461,025.45","7,015,773,598.38","5,775,782,244.46"
