科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"76,144,731.62","231,432,080.90","118,142,525.59","169,408,007.83","245,385,159.34","53,404,674.47","112,406,945.12","168,603,594.62","270,641,089.15","61,410,079.24","143,275,709.31","217,281,214.76","308,155,764.44","45,254,343.32","119,158,222.01","174,384,190.11","239,485,326.84","44,259,629.44","102,694,331.56","154,689,366.05","199,237,231.17","44,712,801.93","112,067,241.47","165,977,859.03","227,110,985.95","58,261,049.90","131,178,966.95","213,523,930.16","281,201,673.39","65,842,777.24","144,359,696.97","219,954,333.17","285,313,973.86","67,139,080.58","164,928,550.32","227,634,458.66","316,755,704.95","168,331,281.50","309,407,427.04","499,721,616.67","719,768,014.69","156,437,780.99","319,509,566.79","456,615,291.30","629,961,363.77","153,536,972.37"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,"6,270,532.46","6,508,567.04","6,508,567.04","6,555,651.80","4,268,939.86","4,268,939.86","4,268,939.86","4,676,895.06",,,,,,,,,,,"249,822.66","167,125.21",,,,,"306,066.75","306,066.75","323,281.41","323,281.41",,,,,"40,863.94","261,562.97","261,562.97","261,562.97",,,,"198,773.35",,,,,
支付其他与投资活动有关的现金,,,,,"4,200,000.00",,,,,,,,,,,,,,,,,,,,,"7,982.50",,,,,,,,,,,,"210,000.00",,"470,000.00",,,,,,
收到其他与经营活动有关的现金,"6,328,248.95","19,146,333.02","4,541,885.24","6,323,982.57","12,480,249.93","4,786,091.28","10,198,122.76","14,547,809.53","24,198,419.78","5,138,712.21","8,506,366.71","13,572,908.25","24,475,682.15","7,080,937.64","9,636,896.07","13,216,246.82","25,810,937.65","2,036,175.07","6,338,294.98","9,031,313.13","11,656,762.77","10,458,466.36","12,174,118.48","15,014,802.39","22,741,737.47","2,539,589.26","5,657,161.79","8,976,337.53","12,856,624.74","6,183,245.32","8,426,192.89","13,840,055.81","16,067,697.58","7,881,685.13","9,314,594.66","12,793,519.30","15,944,525.97","6,917,893.53","8,313,948.72","12,361,940.31","20,942,355.45","60,141,006.31","65,027,463.88","56,520,426.63","26,399,365.12","1,026,723.04"
投资活动现金流出小计,"11,130,492.63","27,456,173.67","24,879,447.61","51,455,772.11","60,171,806.41","30,920,985.57","43,762,377.10","58,482,859.92","81,989,900.05","10,619,864.40","25,579,137.56","41,032,715.90","61,674,022.00","5,977,080.87","14,174,854.12","18,617,937.61","20,571,839.50","3,165,193.69","8,630,350.89","11,823,859.33","13,999,818.64","11,431,009.61","13,343,461.70","16,774,464.42","19,177,357.85","1,737,561.10","2,963,007.82","5,208,047.80","7,850,178.60","1,371,606.00","5,274,515.84","10,871,043.40","19,039,023.67","2,316,175.05","5,866,445.05","10,879,654.03","14,441,367.30","8,944,957.60","27,013,478.23","50,543,516.63","132,182,239.03","6,415,778.37","39,183,004.41","71,754,993.03","116,537,371.23","26,196,020.60"
经营活动现金流入小计,"82,472,980.57","256,848,946.38","129,192,977.87","182,240,557.44","264,421,061.07","62,459,705.61","126,874,007.74","187,420,344.01","299,516,403.99","66,548,791.45","151,782,076.02","230,854,123.01","332,631,446.59","52,335,280.96","128,795,118.08","187,600,436.93","265,296,264.49","46,295,804.51","109,032,626.54","163,970,501.84","211,061,119.15","55,171,268.29","124,241,359.95","180,992,661.42","249,852,723.42","61,106,705.91","137,142,195.49","222,823,549.10","294,381,579.54","72,026,022.56","152,785,889.86","233,794,388.98","301,381,671.44","75,061,629.65","174,504,707.95","240,689,540.93","332,961,793.89","175,249,175.03","317,721,375.76","512,083,556.98","740,909,143.49","216,578,787.30","384,537,030.67","513,135,717.93","656,360,728.89","154,563,695.41"
投资活动产生的现金流量净额,"-10,440,963.19","-26,276,951.92","-22,785,742.61","-48,835,149.50","-57,333,351.80","-30,917,585.57","-32,423,953.54","-46,951,636.36","-70,121,876.49","-8,515,019.11","-20,668,292.27","-22,351,870.61","-42,723,976.71","-5,977,080.87","-11,223,654.12","-15,438,137.61","-15,963,239.50","-3,165,193.69","-8,467,134.06","-9,409,642.50","-11,585,601.81","-11,431,009.61","-9,589,438.85","-12,670,441.57","39,191,665.00","-1,482,461.10","-1,887,449.07","-3,664,689.05","-6,108,947.61","-1,247,906.00","-4,747,575.86","-7,909,044.83","-10,880,400.75","-2,026,175.05","-4,946,854.08","-9,299,163.06","-9,849,717.30","-8,613,797.60","-25,870,718.23","-47,530,756.63","-106,174,965.28","-6,108,618.37","-34,513,564.41","-64,010,850.03","-105,833,151.23","-25,396,020.60"
购买商品、接受劳务支付的现金,"50,837,239.09","113,169,302.25","81,439,352.71","103,668,439.51","137,257,725.72","22,454,906.30","49,190,083.51","87,296,319.02","124,801,947.74","36,280,834.02","77,668,063.61","117,921,954.02","165,935,854.19","35,214,749.58","74,446,691.02","100,909,953.43","137,604,962.24","31,515,719.50","72,899,470.82","95,366,632.29","115,143,531.42","30,044,723.31","49,675,816.21","68,704,579.53","96,568,558.67","28,475,138.98","72,132,038.87","102,764,392.19","142,288,248.06","40,016,327.12","69,657,962.77","96,038,634.86","136,952,515.59","30,955,949.09","67,530,915.14","102,033,968.21","140,886,306.33","62,218,585.29","137,674,365.43","215,190,651.27","290,214,133.14","70,641,242.34","153,768,730.83","212,072,039.67","274,635,813.47","75,708,465.26"
吸收投资收到的现金,,,,"195,240,000.00","195,240,000.00",,,,,,"3,600,000.00","3,600,000.00","3,600,000.00",,,,,,,,,,,,,,,,,,,,,,,,,"108,999,993.92","108,299,993.92","107,059,993.92","107,059,993.92",,,,,
