科目,2007年度,2008年1-6月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"63,925,939,000.00","36,243,198,000.00","69,900,834,000.00","11,565,532,000.00","31,132,006,000.00","46,693,792,000.00","68,811,272,000.00","10,978,553,000.00","30,026,377,000.00","46,487,163,000.00","69,849,414,000.00","11,078,858,000.00","31,406,234,000.00","43,162,304,000.00","72,841,686,000.00","11,668,381,000.00","36,201,164,000.00","47,097,314,000.00","88,021,993,000.00","15,440,385,000.00","40,740,659,000.00","58,567,375,000.00","86,476,913,000.00","17,753,054,000.00","41,576,123,000.00","55,483,974,000.00","90,232,074,000.00","16,365,191,000.00","40,032,527,000.00","56,519,639,000.00","90,255,984,000.00","15,468,845,000.00","40,468,646,000.00","56,801,302,000.00","93,445,362,000.00","14,622,110,000.00","35,460,824,000.00","58,675,046,000.00","85,310,299,000.00"
取得子公司及其他营业单位支付的现金净额,"151,830,000.00",,,"126,944,000.00","166,760,000.00","410,224,000.00","360,237,000.00",,,,,,,,,"354,157,000.00","367,814,000.00","938,874,000.00","365,449,000.00",,,,"47,373,000.00",,,,,,,"371,393,000.00",,,,,"1,181,961,000.00",,"105,559,000.00","105,559,000.00","77,927,000.00"
收到的税费返还,"285,640,000.00","318,364,000.00","770,588,000.00","250,941,000.00","508,761,000.00","711,961,000.00","994,924,000.00","237,751,000.00","446,658,000.00","566,313,000.00","863,770,000.00","315,167,000.00","502,876,000.00","1,088,286,000.00","1,375,204,000.00","611,260,000.00","864,064,000.00","1,330,776,000.00","1,379,922,000.00","288,402,000.00","451,761,000.00","534,724,000.00","732,238,000.00","102,513,000.00","326,035,000.00","536,091,000.00","437,006,000.00","60,683,000.00","111,312,000.00","167,065,000.00","196,666,000.00","64,739,000.00","77,787,000.00","148,320,000.00","223,094,000.00","78,766,000.00","95,685,000.00","213,946,000.00","155,720,000.00"
支付其他与投资活动有关的现金,"1,471,242,000.00","840,098,000.00","1,108,621,000.00","116,659,000.00","2,832,816,000.00","1,181,163,000.00","896,657,000.00","53,814,000.00","693,445,000.00","863,917,000.00","2,942,066,000.00","23,822,000.00","858,032,000.00","2,811,425,000.00","1,386,567,000.00","1,292,063,000.00","581,885,000.00","1,567,266,000.00","3,503,951,000.00",,"2,085,714,000.00","3,038,741,000.00","7,213,815,000.00","52,653,000.00","673,984,000.00","1,540,851,000.00","3,809,227,000.00","725,354,000.00","8,683,055,000.00","8,870,625,000.00","8,658,092,000.00","5,651,568,000.00","7,518,781,000.00","144,250,000.00","12,322,965,000.00","848,115,000.00","936,218,000.00","2,445,381,000.00","2,335,799,000.00"
收到其他与经营活动有关的现金,"456,807,000.00","197,948,000.00","442,957,000.00","484,513,000.00","195,274,000.00","252,173,000.00","733,463,000.00","684,723,000.00","601,788,000.00","1,027,362,000.00","1,047,792,000.00","558,625,000.00","269,507,000.00","712,483,000.00","849,615,000.00","825,854,000.00","313,489,000.00","726,132,000.00","1,655,112,000.00","1,349,490,000.00","723,553,000.00","1,021,862,000.00","1,239,982,000.00","1,232,380,000.00","367,214,000.00","1,018,043,000.00","1,173,076,000.00","1,096,205,000.00","540,342,000.00","752,973,000.00","1,917,229,000.00","1,294,838,000.00","256,635,000.00","1,045,962,000.00","1,867,075,000.00","1,098,849,000.00","459,681,000.00","1,426,275,000.00","1,690,674,000.00"
投资活动现金流出小计,"5,387,306,000.00","4,779,410,000.00","7,086,059,000.00","1,411,985,000.00","4,018,168,000.00","2,973,962,000.00","4,836,095,000.00","479,338,000.00","1,802,257,000.00","2,679,126,000.00","6,678,378,000.00","1,225,823,000.00","2,918,625,000.00","4,444,386,000.00","4,985,491,000.00","2,170,440,000.00","2,673,874,000.00","5,142,740,000.00","7,325,916,000.00","790,083,000.00","3,929,616,000.00","5,566,361,000.00","10,379,000,000.00","389,201,000.00","1,288,148,000.00","3,937,647,000.00","12,544,815,000.00","5,181,747,000.00","9,500,499,000.00","11,200,861,000.00","12,520,212,000.00","6,061,580,000.00","8,899,728,000.00","2,209,319,000.00","17,596,148,000.00","1,493,986,000.00","4,550,481,000.00","4,678,576,000.00","16,773,307,000.00"
经营活动现金流入小计,"64,668,386,000.00","36,759,510,000.00","71,114,379,000.00","12,300,986,000.00","31,836,041,000.00","47,657,926,000.00","70,539,659,000.00","11,901,027,000.00","31,074,823,000.00","48,080,838,000.00","71,760,976,000.00","11,952,650,000.00","32,178,617,000.00","44,963,073,000.00","75,066,505,000.00","13,105,495,000.00","37,378,717,000.00","49,154,222,000.00","91,057,027,000.00","17,078,277,000.00","41,915,973,000.00","60,123,961,000.00","88,449,133,000.00","19,087,947,000.00","42,269,372,000.00","57,038,108,000.00","91,842,156,000.00","17,522,079,000.00","40,684,181,000.00","57,439,677,000.00","92,369,879,000.00","16,828,422,000.00","40,803,068,000.00","57,995,584,000.00","95,535,531,000.00","15,799,725,000.00","36,016,190,000.00","60,315,267,000.00","87,156,693,000.00"
投资活动产生的现金流量净额,"-343,235,000.00","-1,353,311,000.00","-2,605,969,000.00","-603,847,000.00","-1,446,216,000.00","-1,240,940,000.00","-2,173,012,000.00","1,678,722,000.00","1,052,587,000.00","-114,894,000.00","-4,376,647,000.00","855,591,000.00","526,226,000.00","-1,656,906,000.00","-739,836,000.00","864,550,000.00","258,025,000.00","-536,694,000.00","-2,796,022,000.00","2,562,528,000.00","1,568,142,000.00","81,485,000.00","-5,311,308,000.00","2,807,185,000.00","4,806,557,000.00","4,679,415,000.00","-3,422,976,000.00","-526,041,000.00","-2,797,353,000.00","4,154,818,000.00","-2,888,725,000.00","245,012,000.00","-5,038,918,000.00","1,594,570,000.00","-10,694,073,000.00","4,280,760,000.00","948,532,000.00","-840,053,000.00","-4,327,427,000.00"
购买商品、接受劳务支付的现金,"50,713,218,000.00","31,447,302,000.00","57,465,322,000.00","10,508,815,000.00","24,036,431,000.00","36,420,361,000.00","51,695,249,000.00","10,897,867,000.00","24,031,536,000.00","35,812,776,000.00","53,968,445,000.00","11,914,644,000.00","29,020,339,000.00","37,425,447,000.00","60,638,669,000.00","13,428,603,000.00","30,184,793,000.00","38,592,676,000.00","66,048,994,000.00","15,059,926,000.00","31,807,389,000.00","45,100,910,000.00","62,900,833,000.00","16,443,138,000.00","35,382,026,000.00","47,198,388,000.00","69,892,333,000.00","15,733,065,000.00","33,576,078,000.00","45,923,056,000.00","67,685,040,000.00","14,934,443,000.00","31,124,827,000.00","45,122,349,000.00","68,285,028,000.00","17,422,640,000.00","34,097,817,000.00","53,361,666,000.00","74,025,483,000.00"
吸收投资收到的现金,"82,778,000.00",,"62,569,000.00",,,"6,695,000.00","6,695,000.00",,"2,182,750,000.00","2,894,750,000.00","3,239,034,000.00","200,000.00",,"54,823,000.00","579,817,000.00","500,000,000.00","633,398,000.00","715,687,000.00","773,342,000.00",,,,,,,,"53,375,000.00",,"78,000,000.00","108,000,000.00","132,000,000.00","48,000,000.00","239,694,000.00","321,194,000.00","363,477,000.00",,,"286,897,000.00","3,286,897,000.00"
