科目,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"4,327,524,267.74","5,837,129,898.01","1,729,510,845.79","3,427,749,127.21","5,152,715,180.66","5,960,553,258.41","494,144,516.15","1,833,214,646.93","3,524,537,727.23","4,586,369,806.68","1,506,554,539.95","3,328,967,956.64","5,143,705,565.36","7,062,859,478.30","1,839,152,277.76","3,732,644,877.37","5,661,327,167.22","7,333,285,943.68","2,178,530,268.71","4,281,715,960.02","6,465,392,044.01","8,573,880,679.96","2,073,506,520.40","4,374,409,097.24","6,455,888,051.87","8,616,010,087.54","1,927,114,945.88","4,132,736,738.33","6,101,329,103.02","8,526,371,828.72","2,330,653,653.93","4,855,363,747.71","7,584,181,619.98","9,553,045,594.70","2,158,140,494.08","4,901,028,133.37","7,698,589,496.05","10,164,995,152.11","2,621,450,669.45","5,224,486,970.15","8,131,169,033.82","10,206,051,860.84","1,984,813,481.38"
二、营业利润,"2,746,507,190.53","3,531,411,132.61","1,052,614,958.11","2,076,846,265.85","3,121,489,754.60","3,325,071,314.47","123,974,833.61","263,885,186.18","549,957,947.12","679,482,286.55","297,690,947.99","549,338,784.16","690,191,480.81","996,736,912.88","222,900,831.40","476,067,283.19","675,640,000.48","866,692,089.52","209,979,385.61","370,920,420.01","467,720,781.37","572,041,764.95","91,235,831.78","154,079,282.23","181,671,549.75","272,642,055.92","34,067,500.35","146,536,238.77","247,121,486.53","188,042,917.99","2,391,377.55","-5,494,079.34","-35,116,437.01","-10,363,466.43","-102,192,951.18","-115,164,695.58","-42,815,468.92","57,411,992.95","3,909,406.97","5,983,862.26","43,302,801.91","146,175,224.98","94,929,312.21"
减:营业成本,"1,075,935,853.42","1,497,335,030.47","414,297,811.29","829,047,785.35","1,310,318,688.81","1,815,354,076.41","328,135,777.87","1,485,488,719.59","2,821,555,313.19","3,705,702,271.41","1,153,364,542.24","2,641,433,405.17","4,234,143,979.89","5,737,495,644.58","1,535,336,610.76","3,084,725,974.71","4,725,664,510.11","6,101,792,527.07","1,906,477,081.38","3,711,153,675.92","5,709,088,907.46","7,578,435,950.58","1,894,671,142.52","4,028,741,452.73","5,963,800,350.48","7,916,002,969.89","1,810,658,253.96","3,781,186,392.28","5,516,435,198.60","7,789,745,383.06","2,225,786,089.49","4,642,577,624.01","7,321,101,407.28","9,139,252,693.86","2,118,132,649.73","4,793,483,694.10","7,483,427,466.95","9,693,155,029.14","2,473,604,039.79","4,916,846,195.07","7,612,574,509.86","9,424,552,458.14","1,698,178,457.73"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"301,021,522.42","470,465,233.78","180,280,957.45","325,146,270.97","518,894,094.26","596,385,824.30","19,933,070.21","35,616,699.78","65,760,959.47","78,365,504.23","19,750,338.39","52,050,664.71","86,704,912.61","113,404,858.59","30,229,069.30","61,223,635.02","88,249,594.75","106,622,028.66","20,355,379.14","44,106,004.85","62,720,891.06","82,825,268.79","14,655,503.87","26,147,811.35","37,169,651.19","50,216,848.52","10,105,977.59","37,122,011.51","69,118,647.17","80,078,261.18","8,869,410.73","19,770,581.74","29,864,302.21","39,616,647.78","35,020,492.97","73,081,640.78","105,325,003.59","172,983,715.22","64,568,861.98","128,093,826.63","203,977,071.73","291,626,446.52","94,260,673.06"
营业外收入,"487,572.60","1,124,389.24","6,146.36","107,267.06","1,238,097.06","2,066,016.74","23,500.00","1,849,300.00","1,893,861.00","16,567,032.58","207,014.00","3,430,540.75","3,635,580.75","10,092,481.68","332,870.00","2,983,024.19","3,374,380.16","5,142,399.24","1,042,786.99","1,579,449.09","4,391,048.74","65,333,771.68","1,933,331.75","3,301,986.51","7,386,465.04","27,285,067.18","1,111,004.98","2,955,680.99","7,096,191.05","98,533,120.56","8,268,007.85","22,037,485.04","41,050,703.68","50,197,185.24","5,104,441.67","8,774,075.93","12,806,037.96","25,347,692.68","4,484,744.83","10,808,280.26","15,402,442.16","233,546.55","3,810.01"
销售费用,"42,127,197.41","58,473,226.18","9,573,852.87","23,617,983.18","37,296,473.27","52,793,741.72","5,903,954.11","15,344,107.21","25,083,155.17","36,172,091.92","12,230,715.68","19,145,111.88","25,971,385.96","42,015,229.29","9,102,092.37","21,251,138.48","29,635,667.97","37,906,547.98","7,738,007.24","16,293,172.67","23,803,084.36","35,730,921.57","8,516,078.90","17,474,401.27","26,669,136.74","38,673,852.24","10,065,034.63","21,265,876.30","34,307,395.29","52,610,800.39","11,355,667.70","23,143,035.88","34,353,853.37","46,352,644.67","8,988,451.86","20,968,010.37","34,327,640.77","50,327,625.69","12,855,311.32","28,100,277.44","43,912,054.21","65,544,088.54","12,280,451.43"
减:营业外支出,"377,648.54","930,401.17","931,567.70","7,526,995.88","7,700,966.00","8,412,966.52",,"17,900.79","42,035.59","14,739,798.32",370.10,"400,671.22","870,545.33","4,678,492.92","49,239.70","408,532.74","704,032.74","15,453,189.01","41,785.63","661,117.61","4,668,191.47","4,639,087.88","1,343,244.30","1,294,683.39","1,487,782.09","18,387,540.87","406,404.30","792,272.83","1,178,772.83","16,353,401.43","62,740.45","701,960.35","1,091,182.82","1,857,554.74","392,786.79","1,238,151.96","2,398,771.27","2,097,668.20","961,687.45","1,174,601.32","2,301,829.46","12,048,067.37","254,651.17"
管理费用,"126,150,156.05","231,281,104.37","54,627,926.72","152,693,383.24","228,633,808.34","322,891,110.20","53,442,444.39","124,843,207.05","190,925,119.90","258,909,360.15","60,297,477.99","124,898,636.24","184,767,971.93","277,364,448.42","68,848,974.68","137,958,612.63","217,092,009.86","308,616,392.03","71,840,558.37","190,522,413.03","275,505,154.40","413,087,675.04","92,544,384.02","187,156,666.60","280,254,330.19","394,984,394.84","94,031,010.65","206,398,080.41","319,610,935.47","415,622,056.49","92,427,701.06","177,049,931.36","237,513,038.02","302,691,999.40","103,530,184.25","194,516,555.61","209,472,322.03","307,172,734.80","66,981,886.69","135,071,864.97","219,633,875.51","298,287,868.11","89,971,268.73"
其中:非流动资产处置净损失,,,,"1,153,939.93","1,153,939.91","1,354,081.13",,,,,,"9,611.34","450,459.72","9,611.34",,,,,,,,,,,"25,988.70","17,879,601.27",,,,"15,160,228.60",,,,"24,420.25","2,786.79","2,786.79","2,786.79","197,388.79","791,198.28","791,198.28","1,109,282.42",,
