科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"154,115,479.16","312,362,099.35","654,460,269.90","169,763,768.21","340,999,733.80","525,049,516.94","710,643,498.06","178,879,542.16","370,812,139.47","561,729,547.34","752,837,891.04","190,448,205.25","386,784,101.56","590,858,289.11","800,254,101.67","201,511,776.60","395,256,154.60","607,168,600.31","849,541,305.82","210,067,518.95","435,431,832.40","660,727,024.20","899,921,627.10","227,848,001.10","458,943,328.01","683,520,362.73","929,999,895.88","215,464,473.20","446,692,870.57","679,671,872.70","1,315,685,093.55","332,589,477.62","679,637,719.34","1,017,370,910.30","1,788,768,424.23","416,532,622.59","821,737,636.63","1,228,778,394.02","1,687,902,571.51","370,133,795.77","788,213,174.38","1,166,900,374.81"
二、营业利润,"15,100,130.87","35,648,466.25","70,032,512.27","19,161,065.51","39,576,583.58","62,326,076.37","73,371,965.90","20,200,860.87","43,380,565.98","61,343,614.09","84,490,493.25","21,669,157.14","42,861,495.72","64,936,461.56","87,303,582.56","25,320,590.23","54,794,667.41","84,881,128.71","99,016,035.81","25,879,211.29","57,677,827.55","92,769,890.35","131,614,419.57","30,158,372.81","71,984,757.11","106,525,861.62","146,164,249.15","34,948,984.54","74,298,727.67","112,524,275.83","218,878,506.87","58,011,963.13","131,980,563.52","180,362,267.25","279,630,524.07","69,049,540.94","153,935,190.77","224,863,754.12","300,521,691.75","51,505,051.95","131,372,090.43","184,470,930.05"
减:营业成本,"102,406,928.13","210,612,283.30","436,778,730.67","116,534,882.78","231,697,977.86","357,029,985.10","484,698,381.22","118,250,830.01","244,344,483.48","375,775,942.02","502,284,019.00","128,842,470.02","260,184,399.50","399,075,388.71","536,487,742.28","127,418,456.76","246,980,588.27","373,745,873.09","532,763,551.84","128,972,006.39","265,230,235.23","399,424,947.46","542,776,150.78","137,601,233.28","270,412,213.42","408,769,219.49","550,122,632.04","127,220,075.38","267,525,606.81","403,794,377.38","830,730,994.39","215,451,104.25","436,425,045.66","661,185,865.16","1,182,147,044.45","269,900,550.69","521,447,093.16","774,814,258.21","1,058,904,526.69","233,757,842.50","492,585,888.17","717,770,975.34"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,626,220.03","5,435,800.79","12,147,518.16","2,845,204.94","5,994,261.05","9,811,799.59","12,780,759.77","6,271,249.31","12,381,029.91","18,325,931.40","25,318,475.69","5,947,682.93","12,597,641.62","19,108,977.43","26,837,285.98","7,285,384.61","14,231,182.60","22,445,260.18","31,262,661.06","7,841,778.89","15,466,228.44","23,567,973.09","32,353,409.71","8,016,739.02","15,616,775.17","20,985,056.91","24,943,770.04","3,419,267.06","7,140,392.90","9,563,375.43","19,066,624.14","1,812,429.30","3,591,749.82","5,783,668.53","10,167,876.45","1,572,004.00","2,347,446.88","3,086,889.18","8,066,588.88","946,010.75","1,730,207.07","3,329,772.62"
营业外收入,"4,227,945.52","6,644,466.32","13,015,431.30","2,409,023.36","4,846,992.85","7,399,758.14","17,184,158.30","2,419,203.92","3,353,955.83","7,370,804.21","12,859,369.09","779,748.21","2,463,169.42","4,497,405.32","7,588,815.70","1,663,161.24","3,503,999.85","22,307,997.15","25,096,199.87","1,703,304.21","3,451,452.42","5,179,671.53","8,835,847.98","2,290,155.96","4,482,980.64","6,626,882.33","12,714,145.58","2,146,425.83","2,888,607.76","3,472,528.39","4,800,061.52","695,228.80","2,285,427.43","15,655,635.01","21,715,007.70","1,098,708.45","3,526,212.10","5,150,630.03","8,214,444.01","1,572,132.51","1,340,807.26","3,651,872.06"
销售费用,"5,678,420.69","12,216,682.83","27,468,807.36","6,309,907.25","15,294,805.85","22,484,726.17","32,441,535.93","8,483,152.02","20,342,524.90","28,400,938.06","38,031,050.50","9,189,782.68","21,928,188.12","32,396,866.18","49,039,795.26","11,077,298.25","25,017,956.74","40,041,123.89","60,363,076.70","14,838,441.11","35,033,494.30","53,248,802.60","67,572,704.41","17,380,928.85","34,985,886.05","48,849,981.63","73,709,767.75","15,649,548.63","33,606,557.51","58,592,892.11","84,271,361.73","18,883,503.46","30,612,480.09","46,776,844.97","132,818,754.18","34,771,265.57","58,433,101.94","87,960,888.97","134,965,947.75","30,909,406.65","60,242,012.75","94,375,884.78"
减:营业外支出,,"42,701.26","2,225,569.58",236.57,236.57,"23,536.57","189,221.44","28,200.00","31,510.56","55,441.69","598,723.81",607.80,"48,096.08","78,096.08","109,170.41","19,050.68","35,850.68","56,907.76","199,212.49","13,750.00","13,750.00","13,812.00","15,966.78",380.00,"438,084.15","615,885.85","1,992,486.50","102,655.16","1,114,615.95","1,516,906.99","1,072,409.16","99,671.48","157,435.85","157,436.40","14,776,557.15","24,009.89","89,913.88","188,915.68","941,353.89","3,271.42","335,639.50","321,313.99"
管理费用,"19,292,898.44","39,052,918.55","82,800,280.32","18,080,911.07","35,448,649.77","55,431,774.99","85,849,765.90","21,782,695.55","44,560,398.87","69,524,925.71","94,196,158.24","24,113,946.32","48,381,773.33","75,367,183.71","100,634,591.89","29,970,003.79","54,238,481.45","84,402,665.83","122,911,342.47","29,411,026.61","61,652,501.45","92,615,501.65","126,347,396.60","33,749,693.41","66,534,799.68","98,641,850.26","136,523,025.31","32,829,733.19","65,301,346.63","96,752,921.43","171,793,731.12","41,159,634.03","89,021,260.85","133,461,826.07","203,285,925.12","50,957,160.20","105,116,714.52","157,769,749.86","220,263,888.73","53,048,925.37","108,896,726.52","175,816,687.37"
其中:非流动资产处置净损失,,"-40,055.55","1,934,945.20",,"-6,000.00",,"154,422.10",,,,60.68,,,,,,,,"98,864.60",,,,,,"8,243.82","8,243.82","92,826.51",,,,"331,888.94",,,,"14,011,739.23",,"40,181.45","40,181.45","77,177.61",,"1,669.58","1,988.78"
