科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月
销售商品、提供劳务收到的现金,"175,985,197.81","494,159,033.82","847,903,370.17","1,120,518,225.61","236,583,267.08","651,868,564.86","955,153,513.85","1,327,349,598.00","211,259,151.83","782,587,491.85","1,248,220,685.07","1,784,950,535.59","326,270,223.53","965,339,148.00","1,729,902,452.09"
取得子公司及其他营业单位支付的现金净额,,,,"-1,091.58",,,,,,"7,660,146.84","7,660,146.84","7,683,219.02",,"170,095,211.91","170,095,211.91"
收到的税费返还,"7,371,180.53","20,857,026.16","44,867,135.62","86,067,471.85","8,489,488.30","34,422,028.82","73,088,156.12","106,030,069.85","11,962,439.17","26,540,975.73","58,891,609.99","106,604,750.93","34,396,240.07","59,861,985.44","63,786,169.15"
支付其他与投资活动有关的现金,,,,,,"2,983,496.15",,,,,"102,123.30",,,,
收到其他与经营活动有关的现金,"19,135,600.73","32,635,243.03","6,501,128.14","5,520,622.66","397,441.37","4,757,425.64","16,712,237.97","3,881,179.68","7,986,863.95","5,562,950.60","8,897,185.17","7,286,615.59","1,851,739.81","7,595,459.46","11,510,123.77"
投资活动现金流出小计,"6,423,341.51","18,464,942.35","25,078,778.81","34,238,409.99","7,280,806.28","21,274,722.92","31,941,774.13","39,063,674.63","7,685,177.52","24,738,547.07","34,390,563.22","113,175,831.22","131,651,091.78","589,358,330.62","788,914,424.53"
经营活动现金流入小计,"202,491,979.07","547,651,303.01","899,271,633.93","1,212,106,320.12","245,470,196.75","691,048,019.32","1,044,953,907.94","1,437,260,847.53","231,208,454.95","814,691,418.18","1,316,009,480.23","1,898,841,902.11","362,518,203.41","1,032,796,592.90","1,805,198,745.01"
投资活动产生的现金流量净额,"-5,373,281.51","-11,716,684.90","-18,118,281.36","-15,271,334.85","-1,895,877.92","-3,349,923.99","-12,907,409.41","19,287,007.98","3,493,851.02","-9,266,446.08","-2,046,841.43","-76,396,245.47","-131,651,091.78","-571,229,879.25","-768,918,059.16"
购买商品、接受劳务支付的现金,"136,483,101.58","392,892,350.39","612,110,502.45","844,922,135.85","198,871,671.46","459,943,513.15","741,844,741.01","1,028,096,364.91","147,998,707.36","464,694,531.01","848,040,825.01","1,224,221,016.83","336,784,688.33","842,185,529.75","1,499,973,794.91"
吸收投资收到的现金,,,,,,,,,,,,,,,"1,390,500.00"
支付给职工以及为职工支付的现金,"20,577,074.40","38,391,798.73","60,842,221.61","79,885,852.83","23,461,635.15","41,610,253.88","60,551,354.59","85,011,475.19","26,294,597.70","50,752,251.85","75,845,595.42","113,535,302.93","36,147,961.07","70,412,049.78","102,578,861.99"
取得借款收到的现金,"163,000,000.00","265,000,000.00","424,599,401.47","544,599,401.47","147,305,000.00","284,000,000.00","479,500,000.00","660,000,000.00","186,000,000.00","216,000,000.00","354,000,000.00","514,000,000.00","330,000,000.00","774,100,000.00","1,262,100,000.00"
支付的各项税费,"10,408,444.55","36,325,579.36","63,055,797.30","101,614,720.47","14,537,649.66","57,126,760.71","79,976,614.27","117,220,829.92","14,717,177.81","80,652,583.21","125,653,868.84","187,173,156.92","32,479,182.31","69,540,020.89","124,451,052.06"
收到其他与筹资活动有关的现金,,,"89,400,000.00","98,000,000.00","48,538,720.00","10,580,000.00","10,580,000.00","79,434,720.00","161,089,700.00","161,089,700.00","66,000,000.00","68,733,087.32",,"100,000,000.00","150,000,000.00"
支付其他与经营活动有关的现金,"34,542,337.44","50,753,335.73","52,307,680.24","48,816,470.57","17,066,383.28","34,159,049.45","66,176,780.21","62,811,941.23","21,561,359.61","33,350,196.41","55,303,439.68","67,305,828.74","17,343,876.00","63,230,708.07","86,903,618.75"
筹资活动现金流入小计,"163,000,000.00","265,000,000.00","513,999,401.47","642,599,401.47","195,843,720.00","294,580,000.00","490,080,000.00","739,434,720.00","347,089,700.00","377,089,700.00","420,000,000.00","582,733,087.32","330,000,000.00","874,100,000.00","1,413,490,500.00"
经营活动现金流出小计,"202,010,957.97","518,363,064.21","788,316,201.60","1,075,239,179.72","253,937,339.55","592,839,577.19","948,549,490.08","1,293,140,611.25","210,571,842.48","629,449,562.48","1,104,843,728.95","1,592,235,305.42","422,755,707.71","1,045,368,308.49","1,813,907,327.71"
偿还债务支付的现金,"152,700,000.00","260,700,000.00","468,460,000.00","620,559,401.47","160,000,000.00","265,000,000.00","478,500,000.00","668,000,000.00","216,000,000.00","363,400,000.00","382,900,000.00","540,400,000.00","186,500,000.00","292,800,000.00","634,800,000.00"
经营活动产生的现金流量净额,"481,021.10","29,288,238.80","110,955,432.33","136,867,140.40","-8,467,142.80","98,208,442.13","96,404,417.86","144,120,236.28","20,636,612.47","185,241,855.70","211,165,751.28","306,606,596.69","-60,237,504.30","-12,571,715.59","-8,708,582.70"
分配股利、利润或偿还利息支付的现金,"21,855,934.75","39,473,883.30","56,461,229.33","70,465,696.98","13,776,459.52","38,658,936.02","52,799,722.68","67,225,465.86","9,361,971.64","30,046,670.97","43,079,344.24","54,473,675.98","9,564,015.89","41,940,796.76","67,645,587.93"
收回投资收到的现金,,,,,,"11,916,185.37","11,916,185.37","11,916,185.37",,"424,539.45","424,539.45","8,252,188.59",,,
支付其他与筹资活动有关的现金,"443,600.00","443,600.00","11,506,701.27","20,493,250.23","2,000,000.00",,"14,540,000.00","138,000,000.00",,,"910,300.00","40,000,000.00",,"9,600,000.00","55,000,000.00"
取得投资收益收到的现金,,,,"5,924.00",,,,,,,"5,050.00","5,050.00",,,"4,040.00"
筹资活动现金流出小计,"174,999,534.75","300,617,483.30","536,427,930.60","711,518,348.68","175,776,459.52","303,658,936.02","545,839,722.68","873,225,465.86","225,361,971.64","393,446,670.97","426,889,644.24","634,873,675.98","196,064,015.89","344,340,796.76","757,445,587.93"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,050,060.00","6,748,257.45","6,866,257.45","18,961,151.14","5,384,928.36","6,008,613.56","7,091,877.98","46,434,497.24","11,179,028.54","15,047,561.54","24,114,132.34","28,522,347.16",,"17,759,880.21","19,623,754.21"
筹资活动产生的现金流量净额,"-11,999,534.75","-35,617,483.30","-22,428,529.13","-68,918,947.21","20,067,260.48","-9,078,936.02","-55,759,722.68","-133,790,745.86","121,727,728.36","-16,356,970.97","-6,889,644.24","-52,140,588.66","133,935,984.11","529,759,203.24","656,044,912.07"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,"7,800,000.00",,,,
四、汇率变动对现金的影响,,,,,,,,,,,,-68.46,,-398.98,
收到其他与投资活动有关的现金,,,"94,240.00",,,,"26,301.37",,,,,,,"368,571.16","368,571.16"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,050,060.00","6,748,257.45","6,960,497.45","18,967,075.14","5,384,928.36","17,924,798.93","19,034,364.72","58,350,682.61","11,179,028.54","15,472,100.99","32,343,721.79","36,779,585.75",,"18,128,451.37","19,996,365.37"
五、现金及现金等价物净增加额,"-16,891,795.16","-18,045,929.40","70,408,621.84","52,676,858.34","9,704,239.76","85,779,582.12","27,737,285.77","29,616,498.40","145,858,191.85","159,618,438.65","202,229,265.61","178,069,694.10","-57,952,611.97","-54,042,790.58","-121,581,729.79"
购建固定资产、无形资产和其他长期资产支付的现金,"1,423,341.51","7,285,935.20","15,077,771.66","22,950,301.57","7,280,806.28","18,291,226.77","31,941,774.13","39,063,674.63","7,685,177.52","17,078,400.23","26,628,293.08","105,492,612.20","111,651,091.78","419,263,118.71","618,819,212.62"
期初现金及现金等价物余额,"91,315,392.28","91,315,392.28","91,315,392.28","91,315,392.28","143,992,250.62","143,992,250.62","143,992,250.62","143,992,250.62","173,608,749.02","173,608,749.02","173,608,749.02","173,608,749.02","351,678,443.12","351,678,443.12","351,678,443.12"
投资支付的现金,"5,000,000.00","11,179,007.15","10,001,007.15","11,289,200.00",,,,,,,,,"20,000,000.00",,
期末现金及现金等价物余额,"74,423,597.12","73,269,462.88","161,724,014.12","143,992,250.62","153,696,490.38","229,771,832.74","171,729,536.39","173,608,749.02","319,466,940.87","333,227,187.67","375,838,014.63","351,678,443.12","293,725,831.15","297,635,652.54","230,096,713.33"
