科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"100,381,513.48","141,635,171.04","119,050,615.15","115,436,621.57","152,204,464.40","45,809,391.60","87,341,117.04","132,327,524.74","192,687,079.15","121,173,129.56","232,668,587.20","424,625,568.21","492,334,360.63","119,361,114.03","243,523,228.23","385,286,392.54","586,204,085.21","176,035,819.34","374,110,295.93","609,554,222.21","987,231,853.63","237,981,925.56"
取得子公司及其他营业单位支付的现金净额,"31,275,354.62",,,,,,,,,,,,"196,750,000.92",,,,"43,672,007.01",,,,"56,351.64",
收到的税费返还,,,,,,,,,,,"134,781.97",,"2,682,279.60","1,453,077.69","1,852,060.00","1,852,060.00","3,845,438.83","750,103.77","2,370,673.75","2,656,015.51","3,855,170.94","385,895.64"
支付其他与投资活动有关的现金,,,,,,,,,"59,950,000.00",,"125,462,432.42","161,926,154.40","2,100,000.00","78,130,000.00","85,100,000.00","83,100,000.00","14,500,000.00","53,156,026.54","13,116,026.54","17,361,738.64","31,191,738.64",
收到其他与经营活动有关的现金,"2,132,755.46","1,340,328.59","4,441,134.42","2,150,949.02","3,225,232.56","4,189,211.69","7,528,910.63","9,390,734.09","11,462,237.21","5,024,912.44","16,385,229.09","25,906,342.23","10,392,482.84","11,127,781.45","11,871,405.41","13,525,880.18","12,128,395.61","22,924,323.37","19,499,464.29","30,582,682.60","35,860,414.55","20,636,609.64"
投资活动现金流出小计,"51,901,374.94","14,763,963.21","9,486,472.54","6,788,078.68","16,992,402.97","4,205,090.27","4,322,600.39","12,637,745.26","80,228,974.79","4,129,879.88","303,798,111.78","361,953,827.71","219,980,813.90","79,148,410.95","89,639,948.04","88,923,129.22","88,923,594.22","64,574,443.39","42,220,941.74","51,059,560.97","94,700,696.64","6,062,133.52"
经营活动现金流入小计,"102,514,268.94","142,975,499.63","123,491,749.57","117,587,570.59","155,429,696.96","49,998,603.29","94,870,027.67","141,718,258.83","204,149,316.36","126,198,042.00","249,188,598.26","450,531,910.44","505,409,123.07","131,941,973.17","257,246,693.64","400,664,332.72","602,177,919.65","199,710,246.48","395,980,433.97","642,792,920.32","1,026,947,439.12","259,004,430.84"
投资活动产生的现金流量净额,"-49,514,226.63","-14,727,125.68","-9,414,471.11","-6,780,273.87","-16,977,503.10","-4,197,997.90","-4,312,332.03","-12,627,476.90","-49,746,979.10","36,322,311.90","-223,424,275.62","-274,072,277.21","-209,790,479.37","-77,823,532.73","-86,534,299.59","-84,992,024.81","-63,443,359.63","-63,681,711.02","-33,579,207.67","-47,205,308.05","-54,416,528.14","57,688,198.74"
购买商品、接受劳务支付的现金,"46,486,727.77","58,541,861.71","44,349,448.52","71,314,396.36","91,744,973.73","33,984,484.73","60,025,238.03","74,337,196.72","65,284,769.80","88,326,993.47","136,948,060.60","275,366,517.45","307,771,390.88","83,605,429.95","180,153,029.17","281,693,833.38","417,379,876.35","144,524,845.07","315,186,337.35","498,140,352.87","784,579,470.06","202,151,149.33"
吸收投资收到的现金,"73,386,666.68",,,,,"145,400,000.00","131,964,795.40","131,964,795.40","145,400,000.00",,"285,118,703.83","287,782,423.83","289,049,923.87",,,"1,170,000.00","59,659,437.52","3,000,000.00","3,000,000.00","3,000,000.00","8,500,000.00",
