科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"51,873,141.52","98,360,833.88","196,527,812.80","13,471,067.32","29,287,425.32","54,037,832.11","197,099,842.79","21,506,614.44","62,429,536.75","127,955,371.05","247,656,511.81","84,181,194.14","128,337,705.62","227,365,190.01","395,700,112.51","78,101,863.50","274,216,687.25","477,007,815.07","747,074,452.03","161,112,001.19","376,207,284.73","577,813,439.05","1,038,110,769.90","245,969,699.27","536,927,949.92","901,782,482.39","1,697,932,435.07","402,077,110.89","970,584,985.32","1,595,085,391.22","2,576,458,218.40"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,"61,030,858.84","61,030,858.84","88,410,344.17",,,,,,,"206,256,045.27","203,538,272.52",,"15,207,399.78","15,207,399.78","15,267,851.75"
收到的税费返还,"11,965.81","449,196.60","1,831,205.15","1,098,365.24","1,113,838.20","1,113,838.20","1,340,499.33","57,435.90","276,179.51","285,718.83","350,984.11","94,958.21","454,989.54","952,711.29","1,172,491.04","3,644,610.14","2,737,106.85","3,478,166.04","6,892,469.58","1,832,735.72","2,833,721.24","4,357,708.38","8,196,458.34","1,201,252.91","2,964,937.26","5,012,367.14","8,084,982.50","2,527,049.99","4,094,464.84","8,469,890.87","14,634,489.05"
支付其他与投资活动有关的现金,,,,,,,"60,000,000.00",,,,,,,,,,,,"9,380,000.00","135,000,000.00",,"195,660.37","10,861,626.40",,,,,,,,
收到其他与经营活动有关的现金,"1,497,964.13","1,264,508.23","4,662,578.53","4,000.00","159,700.00","2,529,700.00","6,156,592.52","430,400.00","472,072.00","1,247,069.00","6,690,197.46","56,318.86","1,687,463.86","4,079,878.37","8,380,014.71","401,000.00","1,279,060.00","3,005,175.73","7,457,469.98","1,216,500.00","2,811,275.94","4,718,596.05","11,766,249.89","336,955.60","11,388,273.26","18,760,738.85","29,268,898.75","913,752.68","153,543,464.57","154,507,237.41","21,163,530.07"
投资活动现金流出小计,"1,758,990.60","26,535,221.38","14,549,282.34","3,111,890.87","5,183,953.10","7,362,062.79","86,795,707.29","9,593,212.39","13,517,380.99","19,445,046.92","40,244,281.40","26,461,550.92","42,106,003.58","56,970,785.59","68,494,041.69","13,066,529.50","85,238,877.43","99,086,822.16","144,039,702.39","137,725,840.76","620,969,287.05","899,029,337.92","1,777,778,351.80","511,688,753.97","962,282,717.00","2,137,828,315.10","3,145,365,134.73","1,299,075,887.96","2,839,993,479.67","3,801,629,654.12","4,746,537,383.36"
经营活动现金流入小计,"53,383,071.46","100,074,538.71","203,021,596.48","14,573,432.56","30,560,963.52","57,681,370.31","204,596,934.64","21,994,450.34","63,177,788.26","129,488,158.88","254,697,693.38","84,332,471.21","130,480,159.02","232,397,779.67","405,252,618.26","82,147,473.64","278,232,854.10","483,491,156.84","761,424,391.59","164,161,236.91","381,852,281.91","586,889,743.48","1,058,073,478.13","247,507,907.78","551,281,160.44","925,555,588.38","1,735,286,316.32","405,517,913.56","1,128,222,914.73","1,758,062,519.50","2,612,256,237.52"
投资活动产生的现金流量净额,"-1,715,755.69","-26,357,512.00","-14,292,425.88","-2,839,206.93","-4,541,201.79","-6,209,842.60","-84,857,861.05","-5,122,334.79","-8,085,919.31","-7,729,791.90","-25,298,527.08","-24,445,138.49","-38,559,574.12","-50,310,234.34","-3,900,375.26","-10,571,344.67","-66,256,927.54","-77,652,469.73","-133,692,624.38","-121,239,710.65","-225,866,992.85","-217,381,726.55","-287,098,188.27","-193,726,542.15","-156,569,542.86","-1,030,128,866.75","-1,133,748,181.29","72,591,975.22","48,857,139.58","102,175,521.23","115,314,782.91"
购买商品、接受劳务支付的现金,"49,373,862.51","60,889,186.19","115,927,826.98","17,053,317.06","33,168,547.24","60,658,378.87","153,751,903.17","22,494,074.85","47,504,185.10","119,567,619.80","168,745,282.95","80,720,851.16","119,589,250.86","176,623,879.62","300,167,291.44","72,427,202.94","204,081,869.21","342,696,501.46","494,411,102.12","120,213,582.01","233,474,233.45","352,530,009.06","573,524,979.15","192,851,582.79","397,841,617.94","723,451,042.98","1,209,834,925.79","419,150,465.34","887,230,479.24","1,356,548,323.49","1,953,213,775.25"
吸收投资收到的现金,"15,000,000.00","33,000,000.00",,,"449,080,792.45","449,080,792.45","449,080,792.45","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","2,698,609.10","2,698,609.10","2,698,609.10","2,698,609.10",,"160,320,000.00","160,320,000.00","160,320,000.00",,"122,952,116.00","122,952,116.00","122,952,116.00",,,"1,089,101,800.00","1,089,561,790.00","1,030,010.00","1,030,010.00","23,950,010.00","21,434,145.00"
