科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"1,194,236,060.27","1,260,106,043.69","1,026,272,356.98","613,001,224.93","317,606,006.56","1,217,714,877.35","176,633,586.82","495,376,734.44","719,566,857.00","817,894,239.97","218,493,131.39","360,828,763.57","603,415,502.80","879,165,674.05","213,499,920.97","522,744,008.42","730,348,738.65","1,068,494,651.32","217,979,396.55"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,"50,610,551.65","37,733,414.04",,,"9,000,000.00",,
收到的税费返还,,,,,,,,,"2,009,250.89",,"482,616.69","682,983.20","813,481.90",,"384,404.42",,"3,909,714.52","78,561.48",
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,"500,000.00",,
收到其他与经营活动有关的现金,"43,229,288.56","12,387,148.09","13,511,707.62","10,565,017.97","53,792.93","16,663,887.87","7,365,712.85","9,936,830.99","12,764,860.46","47,230,744.54","14,266,126.72","1,000,570.02","76,003,271.72","5,414,704.64","148,258,006.58","8,136,887.50","159,449,097.40","8,855,570.00","26,511,542.28"
投资活动现金流出小计,"65,341,687.50","49,098,176.93","59,152,071.63","68,631,178.50","22,038,438.11","101,723,302.68","8,445,734.94","20,406,443.72","83,017,235.26","153,720,567.84","21,436,370.50","27,646,444.43","123,612,409.90","156,021,722.16","8,855,798.64","49,638,162.84","126,379,248.39","133,614,365.06","15,377,334.03"
经营活动现金流入小计,"1,237,465,348.83","1,272,493,191.78","1,039,784,064.60","623,566,242.90","317,659,799.49","1,234,378,765.22","183,999,299.67","505,313,565.43","734,537,968.35","865,493,984.51","233,252,374.80","362,512,316.79","680,232,256.42","885,200,046.23","362,142,331.97","530,880,895.92","893,707,550.57","1,078,264,282.80","244,490,938.83"
投资活动产生的现金流量净额,"-65,341,687.50","-49,074,297.93","-59,055,991.63","-68,598,548.16","-22,038,438.11","-101,723,302.68","-8,445,734.94","-20,406,443.72","-83,017,235.26","-52,729,827.84","-21,436,370.50","-27,646,444.43","-123,587,380.30","-115,482,247.16","-8,855,436.96","-18,540,829.65","-40,839,235.29","-7,864,802.43","-15,366,314.03"
购买商品、接受劳务支付的现金,"1,124,247,114.90","1,014,271,784.78","1,014,666,836.46","521,189,990.14","278,593,093.68","1,095,027,549.14","268,845,322.48","520,906,571.91","649,711,887.08","720,068,095.19","147,596,039.14","278,804,081.71","556,281,337.09","734,187,302.57","275,122,343.23","486,317,515.38","697,020,488.33","945,511,677.77","160,541,649.42"
吸收投资收到的现金,,"300,000.00",,"250,000.00",,"261,900,000.00",,,,,,,"190,000,000.00","177,234,022.39",,,,,
支付给职工以及为职工支付的现金,"22,297,678.12","27,857,449.55","26,696,550.54","15,369,170.68","8,398,954.06","32,358,438.24","8,022,921.04","18,211,757.94","26,656,130.08","37,148,646.33","9,663,324.88","19,839,923.24","30,506,780.91","39,925,904.48","12,792,045.22","24,874,012.96","35,392,494.39","48,864,559.09","11,901,830.55"
取得借款收到的现金,"406,000,000.00","340,000,000.00","580,000,000.00","293,950,731.31","113,444,414.68","644,175,647.38","178,216,766.78","393,402,030.43","477,676,044.86","712,438,427.42","217,973,799.08","383,253,970.61","420,000,000.00","616,148,880.18","211,909,902.76","400,881,397.36","490,881,397.36","615,739,803.41","226,000,000.00"
