科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"314,903,815.86","439,120,734.94","266,506,809.34","447,210,272.00","606,450,103.45","175,417,350.49","370,263,407.58","629,510,217.63","864,877,450.64","260,603,620.94","583,661,336.31","966,750,963.50","1,310,624,472.34","354,554,855.84","742,695,520.38","1,219,477,299.55","1,640,130,450.79","413,376,683.19","901,272,535.21","1,507,624,857.27","1,984,967,287.31","519,346,097.93","1,116,223,215.47","1,838,352,650.45","2,402,047,616.93","651,965,444.15","1,454,107,192.97","2,441,812,172.68","3,165,580,471.34","915,094,225.02","1,919,660,615.12","3,082,767,208.89","4,000,401,671.18","1,197,462,613.44","2,590,057,396.31","4,382,404,124.76","5,962,845,559.96","1,746,635,512.33","3,779,813,361.42"
二、营业利润,"49,335,804.81","72,513,633.54","55,554,314.05","94,060,142.32","123,409,190.60","35,643,003.44","72,833,446.31","125,555,498.53","170,972,905.74","51,425,289.91","113,888,303.14","189,732,878.76","242,274,197.99","66,496,843.47","117,158,320.44","191,108,021.30","252,404,988.39","66,780,601.34","140,137,294.91","259,419,483.03","320,414,533.87","90,497,417.62","200,741,968.00","354,063,208.94","429,350,766.46","120,745,029.82","281,858,271.65","498,112,954.97","600,670,606.60","163,604,093.30","357,431,544.68","608,472,894.42","700,501,800.70","209,964,230.22","501,795,330.29","906,520,018.78","1,111,262,296.14","331,533,954.94","770,099,211.69"
减:营业成本,"137,797,144.20","195,722,212.16","112,345,682.73","189,436,198.23","260,202,946.36","76,308,285.41","159,945,095.26","270,787,018.90","377,343,481.44","114,343,391.47","258,816,239.11","427,321,720.50","585,427,219.00","191,271,935.43","412,745,170.17","670,816,331.81","902,499,754.07","225,023,902.54","495,018,685.47","812,021,777.85","1,073,975,747.31","291,304,158.66","613,133,211.25","982,547,919.50","1,323,205,901.61","364,690,983.30","776,305,993.24","1,271,558,871.30","1,690,659,317.84","498,839,857.63","1,024,382,979.94","1,623,148,804.44","2,155,808,524.32","669,902,169.67","1,373,867,940.56","2,258,839,294.69","3,203,073,078.98","966,573,233.77","1,978,471,967.73"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"11,599,416.05","15,864,555.43","12,329,138.74","16,191,108.94","8,417,682.90","52,172.50","277,861.65","406,998.00","677,281.92","121,541.90","362,043.20","572,498.40","887,434.82","271,671.85","653,834.14","968,996.10","1,358,086.20","271,413.23","1,217,543.84","2,165,276.58","2,770,331.61","417,611.46","1,306,391.29","1,997,917.46","3,297,998.46","615,450.63","1,628,321.19","2,367,266.02","3,451,118.41","624,547.22","2,086,124.79","3,152,133.23","6,548,284.80","2,372,610.92","5,310,357.58","8,255,182.77","13,453,397.64","2,267,411.93","5,533,690.67"
营业外收入,"312,995.42","1,380,916.56","1,397,994.58","1,629,644.18","1,979,551.92","4,302,386.98","5,786,835.65","8,624,326.40","11,622,267.79","1,051,919.13","2,897,564.62","4,159,190.28","3,126,331.06","2,007,308.59","2,969,306.22","3,101,328.38","3,853,577.72","1,976,428.21","2,535,667.82","2,989,185.35","4,526,802.81","582,050.90","6,298,852.84","7,320,515.45","8,159,643.52","186,468.30","1,309,080.57","2,118,472.28","4,824,210.77","876,372.79","12,946,885.51","17,331,145.96","29,306,922.41","2,016,635.82","5,842,992.95","12,006,374.79","4,767,622.51","1,037,640.41","3,003,730.97"
销售费用,"28,502,647.97","45,928,064.02","27,552,100.82","49,083,605.04","72,444,505.69","14,207,372.29","38,945,890.02","78,416,410.19","104,243,290.94","32,303,576.70","67,730,700.76","116,766,576.67","161,291,094.91","33,761,003.78","85,632,583.03","141,507,648.55","197,804,266.68","39,211,393.20","100,528,972.46","169,320,812.71","229,195,808.78","50,044,118.82","123,050,703.77","207,812,952.66","272,781,663.29","69,151,287.91","189,387,681.38","349,293,082.10","404,908,883.86","113,340,480.11","247,959,006.49","388,038,457.82","512,239,108.17","134,324,132.78","342,568,666.76","558,732,388.54","774,031,867.71","155,756,603.22","461,936,776.63"
减:营业外支出,"1,779,700.71","882,715.24","216,842.98","460,398.09","1,073,667.52","320,039.90","1,466,679.29","3,141,633.09","3,921,946.55","1,736,526.99","3,572,003.46","4,519,773.73","5,538,303.93","1,749,324.36","2,867,487.35","7,266,955.63","9,845,906.62","2,304,802.11","6,234,430.99","15,520,060.01","20,041,951.05","2,885,652.35","10,010,878.74","14,975,636.09","30,423,640.25","4,765,673.15","11,738,169.23","26,856,050.77","55,327,369.62","7,264,856.99","21,161,801.48","34,182,023.73","45,591,553.91","8,654,774.09","25,023,889.09","46,884,040.13","88,935,078.16","11,093,525.83","60,338,850.78"
管理费用,"84,081,690.58","102,155,101.61","55,590,183.74","93,554,786.02","136,478,164.08","49,924,509.44","97,463,021.35","153,111,148.93","216,314,316.68","61,668,151.47","139,845,639.94","228,617,712.28","325,955,354.65","62,194,016.29","125,069,308.07","212,807,052.83","284,406,242.10","81,464,599.74","161,427,060.06","259,088,925.83","346,866,933.72","88,292,975.84","182,427,810.42","292,520,980.27","380,620,362.76","95,477,816.04","200,248,777.46","322,511,793.77","465,970,306.95","137,901,245.16","284,552,461.51","451,238,857.36","627,251,487.50","184,049,550.95","358,662,881.59","592,385,132.03","845,935,970.50","275,553,837.21","536,028,133.40"
其中:非流动资产处置净损失,"1,232,636.15","46,072.38","26,731.31","26,731.31","308,150.48","7,691.34","22,237.97","907,203.07",,"45,815.80","59,418.97","46,673.50","702,665.58","198,355.25","216,797.25","460,731.60","549,850.03","56,778.02","224,550.23","549,850.03","374,448.50","27,312.09","97,809.06","210,541.65","1,068,337.84","288,286.32","501,717.87","651,106.98","2,083,409.86","2,083,409.86","950,350.60","1,271,500.37","2,556,663.03","46,031.15","265,448.28","411,035.47",,,
