科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"613,951,385.64","641,130,949.27","645,085,652.51","346,806,481.77","542,395,724.20","746,942,300.79","205,444,116.94","424,108,333.41","636,888,276.16","879,970,906.37","264,573,193.57","539,036,223.06","864,878,260.93","1,226,554,673.79","333,248,963.86","718,152,132.63","1,112,664,951.56","1,473,174,515.27"
二、营业利润,"58,904,387.00","62,633,437.68","69,277,137.57","27,215,241.98","39,741,871.88","49,238,173.63","25,136,562.37","54,789,584.67","79,010,847.48","107,667,194.23","38,476,804.51","80,280,643.39","127,531,054.22","176,800,742.15","42,589,955.41","76,606,543.64","114,516,713.98","116,454,912.98"
减:营业成本,"494,377,677.21","496,463,586.29","506,346,715.16","277,449,226.93","434,892,889.53","599,241,342.95","158,276,612.70","324,647,493.98","488,703,707.54","670,399,379.83","195,075,535.08","397,739,167.76","644,510,130.07","918,246,649.73","254,075,631.89","561,881,579.66","871,570,795.87","1,171,461,775.20"
加:补贴收入,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,226,838.06","2,720,945.27","2,557,406.19","1,026,684.20","1,710,842.49","2,540,936.61","1,036,186.85","2,010,336.32","2,747,829.40","3,946,853.89","1,274,322.96","2,309,023.12","3,864,430.60","6,411,512.53","2,578,367.95","5,488,584.21","8,041,798.54","11,548,679.88"
营业外收入,"1,755,610.52","1,760,195.80","1,647,721.22","716,147.57","1,648,694.72","2,506,976.56","422,423.52","1,041,927.80","2,998,811.21","4,129,809.11","598,739.39","2,525,813.16","5,190,233.69","6,692,106.89","3,286,816.51","6,547,359.66","7,511,624.26","5,887,942.86"
销售费用,"22,872,967.48","36,892,657.53","28,788,715.61","14,986,702.77","25,322,319.55","37,321,052.97","11,733,453.83","22,969,223.69","35,494,257.40","52,370,960.10","12,354,992.81","27,838,061.01","43,668,229.21","63,441,591.58","16,408,904.67","34,392,167.61","51,957,987.12","75,136,779.40"
减:营业外支出,"613,960.81","498,173.09","613,770.31","433,656.24","759,786.95","955,224.90","497,267.78","1,119,161.93","3,068,819.36","5,235,757.73","183,864.95","620,760.77","1,133,178.63","2,511,026.83","48,883.33","59,811.63","239,811.63","6,170,517.23"
管理费用,"26,267,032.17","34,484,634.93","34,669,841.53","16,030,253.40","27,294,104.83","43,617,592.08","8,439,749.55","19,697,606.77","35,455,146.12","56,849,910.06","17,370,932.70","35,695,811.06","49,900,495.22","71,160,764.18","15,027,445.16","33,457,403.49","53,091,328.25","85,932,204.07"
其中:非流动资产处置净损失,,41.41,,"85,651.94","85,651.94","85,651.94",,,"1,090,893.62","2,332,355.62",,"220,101.17","220,101.17","1,467,838.35",,,,
堪探费用,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,
财务费用,"9,853,726.54","6,488,434.90","9,721,138.72","5,162,357.61","8,459,710.62","10,591,334.66","-426,579.73","-840,873.92","-8,331,049.14","-12,634,875.61","381,661.79","-4,593,601.17","-6,089,887.37","-10,553,332.84","347,332.16","3,720,885.49","12,124,728.28","19,404,264.52"
三、利润总额,"60,046,036.71","63,895,460.39","70,311,088.48","27,497,733.31","40,630,779.65","50,789,925.29","25,061,718.11","54,712,350.54","78,940,839.33","106,561,245.61","38,891,678.95","82,185,695.78","131,588,109.28","180,981,822.21","45,827,888.59","83,094,091.67","121,788,526.61","116,172,338.61"
资产减值损失,"-500,048.42","1,355,986.91","1,238,287.73","1,211,334.88","1,686,105.30","1,801,685.67","1,158,581.09","2,255,789.34","4,322,493.83","1,841,334.25","199,314.40","339,488.57","1,540,969.73","2,432,689.28","1,193,326.62","1,662,549.15","1,270,648.12","427,487.18"
减:所得税,"9,859,217.29","10,166,766.00","11,479,821.36","4,377,238.94","6,617,981.25","8,733,875.93","6,244,166.06","13,669,759.84","19,521,843.76","21,539,506.23","7,008,128.21","14,028,949.33","23,136,564.36","31,614,601.69","8,663,538.79","14,013,303.13","21,694,131.85","25,099,691.92"
