科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"799,501,117.11","899,556,513.14","717,443,741.57","389,870,958.16",,"852,074,917.44","204,545,983.65","445,071,834.29","634,881,162.30","846,666,568.94","266,354,197.86","545,835,051.52","890,593,802.34","1,157,640,343.94","279,694,854.01"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,"2,724,345.96",,,,"58,820,112.37",
收到的税费返还,"1,360,136.67","2,986,437.00","3,183,325.56","376,626.41",,"4,197,751.08","226,126.66","476,621.58","718,392.71","344,086.74","187,004.44","380,192.21","1,840,888.99","2,239,605.57","1,203,125.33"
支付其他与投资活动有关的现金,"28,000.00",,,,,,,,,,,"200,000.00","200,000.00",,
收到其他与经营活动有关的现金,"16,411,811.01","18,107,151.83","51,329,588.30","16,978,890.17",,"21,985,146.10","3,258,140.74","20,716,316.77","28,757,047.57","31,091,867.27","1,441,790.17","28,729,745.58","58,477,708.39","62,539,982.66","17,578,870.17"
投资活动现金流出小计,"77,823,716.99","43,787,619.21","32,143,308.82","35,203,999.29",,"59,066,822.30","49,770,758.44","66,167,949.47","88,064,770.33","243,577,682.76","113,017,006.56","355,568,596.95","402,057,266.92","480,708,077.23","76,001,823.67"
经营活动现金流入小计,"817,273,064.79","920,650,101.97","771,956,655.43","407,226,474.74",,"878,257,814.62","208,030,251.05","466,264,772.64","664,356,602.58","878,102,522.95","267,982,992.47","574,944,989.31","950,912,399.72","1,222,419,932.17","298,476,849.51"
投资活动产生的现金流量净额,"-74,020,150.07","-43,373,652.01","-31,905,456.22","-35,119,463.54","-40,713,100.00","-58,899,573.61","-49,770,758.44","-66,167,949.47","-86,835,026.39","-139,110,575.84","-29,443,225.48","-119,119,853.61","-132,127,321.67","-141,541,405.67","-29,801,164.26"
购买商品、接受劳务支付的现金,"412,984,690.84","564,173,621.50","454,648,952.67","159,704,780.31",,"387,428,319.85","145,107,458.26","285,741,120.74","462,499,819.57","495,929,561.60","167,670,900.50","375,580,637.74","559,661,840.97","694,985,708.81","181,592,168.25"
吸收投资收到的现金,,,,,,"477,000,000.00",,,,,,"11,000,000.00","1,500,000.00","1,558,824.00",
支付给职工以及为职工支付的现金,"77,932,814.88","87,049,223.81","100,621,117.41","60,763,305.64",,"117,480,859.39","46,719,231.65","74,103,055.68","104,952,960.98","130,846,430.45","47,052,382.35","85,783,424.35","125,482,963.60","168,460,757.98","50,431,702.29"
取得借款收到的现金,"307,000,000.00","330,000,000.00","327,800,000.00","100,000,000.00",,"200,000,000.00",,"12,000,000.00","57,000,000.00","57,000,000.00","47,500,000.00","97,500,000.00","117,500,000.00","157,500,000.00","20,000,000.00"
支付的各项税费,"97,244,960.76","85,925,967.22","92,313,126.92","54,735,529.33",,"105,498,781.67","16,686,669.17","39,153,019.99","60,846,865.06","76,520,567.68","24,717,080.63","58,436,914.98","88,614,392.97","116,916,043.72","26,541,039.77"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"63,672,392.84","74,990,533.34","53,273,614.89","41,626,362.54",,"81,868,904.48","15,503,592.91","42,890,000.82","33,212,601.20","74,463,251.79","18,037,903.62","36,553,160.43","82,942,434.58","135,878,097.70","7,654,952.32"
筹资活动现金流入小计,"307,000,000.00","330,000,000.00","327,800,000.00","100,000,000.00",,"677,000,000.00",,"12,000,000.00","57,000,000.00","57,000,000.00","47,500,000.00","108,500,000.00","119,000,000.00","159,058,824.00","20,000,000.00"
经营活动现金流出小计,"651,834,859.32","812,139,345.87","700,856,811.89","316,829,977.82",,"692,276,865.39","224,016,951.99","441,887,197.23","661,512,246.81","777,759,811.52","257,478,267.10","556,354,137.50","856,701,632.12","1,116,240,608.21","266,219,862.63"
偿还债务支付的现金,"314,000,000.00","352,000,000.00","331,000,000.00","78,000,000.00",,"237,800,000.00","115,000,000.00","115,000,000.00","150,000,000.00","150,000,000.00","12,000,000.00","16,000,000.00","86,510,237.34","141,000,000.00",
经营活动产生的现金流量净额,"165,438,205.47","108,510,756.10","71,099,843.54","90,396,496.92","142,748,700.00","185,980,949.23","-15,986,700.94","24,377,575.41","2,844,355.77","100,342,711.43","10,504,725.37","18,590,851.81","94,210,767.60","106,179,323.96","32,256,986.88"
分配股利、利润或偿还利息支付的现金,"43,564,370.02","50,923,908.84","55,637,205.02","48,451,510.09",,"53,788,624.82","630,849.08","51,519,725.62","52,153,496.46","52,821,614.17","907,865.55","44,589,290.31","60,228,228.42","58,146,515.66","3,159,561.82"
收回投资收到的现金,,,,,,,,,,"99,000,000.00","77,000,000.00","225,000,000.00","255,000,000.00","314,350,000.00","45,000,000.00"
支付其他与筹资活动有关的现金,"84,000.00",,,,,"34,000,000.00","9,300,000.00","9,300,000.00","9,300,000.00",,,,,,
取得投资收益收到的现金,,,,,,,,,"1,229,743.94","1,537,070.36","6,573,781.08","9,366,640.34","10,296,966.25","13,586,501.76","1,012,183.41"
筹资活动现金流出小计,"357,648,370.02","402,923,908.84","386,637,205.02","126,451,510.09",,"325,588,624.82","124,930,849.08","175,819,725.62","211,453,496.46","202,821,614.17","12,907,865.55","60,589,290.31","146,738,465.76","199,146,515.66","3,159,561.82"
处置固定资产、无形资产和其他长期资产收回的现金净额,"3,803,566.92","413,967.20","237,852.60","84,535.75",,"167,248.69",,,,"180,036.56",,"82,103.00","132,979.00","215,469.80","188,476.00"
筹资活动产生的现金流量净额,"-50,648,370.02","-72,923,908.84","-58,837,205.02","-26,451,510.09","-48,554,300.00","351,411,375.18","-124,930,849.08","-163,819,725.62","-154,453,496.46","-145,821,614.17","34,592,134.45","47,910,709.69","-27,738,465.76","-40,087,691.66","16,840,438.18"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-1,370,642.83","1,930,826.54","8,201,961.17","2,220,311.32",,"6,954,639.87","-948,197.70","-2,886,634.79","-5,922,267.62","-7,820,114.66","-2,124,811.88","16,300.93","1,883,012.45","1,574,610.58","-902,705.86"
收到其他与投资活动有关的现金,,,,,,,,,,"3,750,000.00",,"2,000,000.00","4,500,000.00","11,014,700.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,
投资活动现金流入小计,"3,803,566.92","413,967.20","237,852.60","84,535.75",,"167,248.69",,,"1,229,743.94","104,467,106.92","83,573,781.08","236,448,743.34","269,929,945.25","339,166,671.56","46,200,659.41"
五、现金及现金等价物净增加额,"39,399,042.55","-5,855,978.21","-11,440,856.53","31,045,834.61","56,304,200.00","485,447,390.67","-191,636,506.16","-208,496,734.47","-244,366,434.70","-192,409,593.24","13,528,822.46","-52,601,991.18","-63,772,007.38","-73,875,162.79","18,393,554.94"
购建固定资产、无形资产和其他长期资产支付的现金,"62,045,716.99","43,787,619.21","32,143,308.82","35,203,999.29",,"59,066,822.30","45,733,758.44","53,130,949.47","75,027,770.33","131,540,682.76","26,017,006.56","45,028,596.95","58,557,266.92","81,537,964.86","31,001,823.67"
期初现金及现金等价物余额,"88,237,310.14","127,636,352.69","121,780,374.48","110,339,517.95",,"110,339,517.95","596,099,562.66","596,099,562.66","596,099,562.66","596,099,562.66","388,294,599.53","407,170,737.28","407,170,737.28","403,689,969.42","329,814,806.63"
投资支付的现金,"15,750,000.00",,,,,,"4,037,000.00","13,037,000.00","13,037,000.00","109,312,654.04","87,000,000.00","310,340,000.00","343,300,000.00","340,350,000.00","45,000,000.00"
期末现金及现金等价物余额,"127,636,352.69","121,780,374.48","110,339,517.95","141,385,352.56",,"595,786,908.62","404,463,056.50","387,602,828.19","351,733,127.96","403,689,969.42","401,823,421.99","354,568,746.10","343,398,729.90","329,814,806.63","348,208,361.57"
