科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"54,085,485.56","84,896,556.02","150,029,551.24","137,447,827.67","124,192,951.68","496,913,128.77","420,918,288.81","374,823,086.34","404,376,431.55","379,016,269.29","277,097,402.52","222,059,098.98","190,402,049.79","233,436,322.87","220,425,749.90","160,102,341.64","149,003,425.37","204,950,790.80","143,581,935.95","160,466,939.88","136,393,017.76","180,746,534.41","169,886,856.72","143,540,435.33","173,156,984.33","69,546,581.50","204,771,384.00","159,108,437.81","100,635,372.81","102,959,487.47"
短期借款,"3,750,000.00","19,000,000.00","17,186,535.48","28,500,000.00","23,500,000.00","16,000,000.00",,"25,000,000.00","55,000,000.00",,,"30,000,000.00","30,000,000.00","50,000,000.00","50,000,000.00","50,000,000.00","30,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,"1,200,000.00","1,200,000.00","1,000,000.00","1,000,000.00",,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"300,000.00","2,614,174.00","1,897,845.00","6,291,174.99","2,984,455.99","2,370,000.00","8,000,840.00","1,223,000.00","1,177,063.50","17,943,013.50","1,417,691.99","1,033,999.99","2,076,011.00","7,277,470.99","3,856,813.46","6,298,331.61","3,288,400.00","3,464,500.00","9,872,714.62","7,793,698.62","32,991,000.00","21,342,435.09","8,426,436.30","11,814,136.80","16,039,272.53","15,758,686.38","3,308,698.47","4,206,065.61","13,155,954.80","20,844,694.85"
应付票据,,"13,670,543.04","8,030,658.48","7,721,855.00","9,784,246.00","13,021,102.16","5,819,870.16","6,257,080.00","20,538,800.50","32,747,593.00","40,431,900.60","15,964,843.00","33,876,490.39","39,033,432.71","39,914,702.00","21,113,339.00","22,276,428.82","32,231,029.53","11,140,616.55","11,821,807.40","29,124,175.27","28,226,221.98","19,869,392.01","11,297,578.45","24,065,758.25","32,242,051.40","14,669,395.09","12,196,378.66","22,144,059.57","24,370,325.20"
应收账款,"64,251,750.80","99,866,058.38","96,147,868.60","119,720,834.88","174,963,208.24","212,864,067.75","138,420,170.33","167,010,090.19","202,913,005.10","178,984,453.34","192,621,609.91","223,491,926.27","239,301,621.33","185,343,842.02","153,752,470.75","136,238,749.78","134,675,144.72","138,082,496.75","131,709,727.97","112,425,940.30","122,401,590.96","142,930,379.60","111,161,618.42","97,847,100.10","86,774,822.45","129,816,324.69","95,968,047.27","96,087,149.90","78,660,083.23","110,706,821.49"
应付账款,"54,146,253.41","51,935,693.57","71,521,232.84","60,606,175.60","83,356,059.07","47,945,701.94","35,628,325.70","44,251,797.60","49,487,733.68","34,644,384.12","31,388,794.47","25,706,763.23","26,151,494.33","18,109,684.81","29,657,177.22","36,277,410.87","41,486,847.75","63,802,491.87","59,962,160.59","53,709,056.73","60,142,249.89","54,127,183.36","40,118,692.20","32,877,821.57","25,264,173.35","65,193,017.35","45,711,478.26","44,800,077.18","41,557,836.77","66,423,615.03"
预付款项,"3,479,009.56","3,179,382.82","2,524,256.16","1,006,525.97","6,261,296.60","9,542,387.72","11,172,947.13","5,049,798.78","12,594,988.03","24,743,135.46","55,550,221.03","31,636,778.46","36,178,424.73","59,895,023.80","73,239,376.65","66,993,168.48","47,327,137.51","34,215,009.80","37,184,961.22","37,101,484.18","63,075,576.00","20,247,323.71","44,642,063.31","27,378,148.91","51,042,928.93","25,109,919.62","22,240,557.56","18,810,501.35","33,569,346.56","22,967,045.48"
预收款项,"1,691,703.60","16,396,343.80","1,000,930.74","2,433,468.69","1,413,988.13","7,611,613.64","2,890,299.43","2,514,710.27","2,871,046.21","27,670,825.88","4,432,291.71","7,501,150.60","12,297,691.57","24,400,794.11","61,347,142.60","72,808,383.70","65,079,661.79","90,899,153.02","121,213,886.33","110,130,316.81","119,410,877.86","60,952,088.56","67,081,690.69","81,266,444.51","134,454,194.83","64,048,732.09","63,002,739.13","77,209,359.65","88,437,055.01","85,419,673.96"
其他应收款,"2,697,398.67","5,237,053.00","4,452,543.50","5,611,028.13","8,798,388.07","5,171,229.84","10,131,939.93","12,454,804.40","15,596,385.82","9,474,809.02","10,906,467.96","13,867,261.65","13,376,446.19","9,203,274.16","10,253,328.13","12,716,584.69","13,576,885.77","11,137,953.78","11,981,919.06","12,156,667.21","12,294,355.54","16,531,964.27","11,293,426.80","16,136,595.65","15,832,970.27","48,442,639.90","8,629,461.53","12,850,532.20","10,189,249.60","6,079,509.07"
应付职工薪酬,"2,466,717.90","1,517,356.01","3,094,340.28","2,028,321.59","2,194,413.35","8,695,929.63","2,836,865.08","2,738,693.40","3,106,942.57","8,808,495.86",,"3,573,819.57","2,601,550.66","7,566,450.89","6,092,867.19","5,974,788.05","5,271,416.19","13,293,125.15","11,759,980.60","5,071,063.88","4,255,174.08","7,084,292.12","2,693,156.92","2,577,214.91","2,417,842.16","5,992,390.73","2,483,636.98","1,772,528.96","1,712,618.44","7,081,351.57"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-94,068.68","1,056,336.51","6,351,703.29","10,129,022.86","15,241,869.14","2,234,294.72","-2,598,398.08","5,056,459.78","13,059,945.66","4,351,644.25","-6,849,213.74","119,360.88","4,777,971.71","11,879,625.67","3,231,910.07","-2,135,747.66","-2,716,230.27","12,023,448.58","-2,981,783.16","-4,740,263.22","-774,932.58","4,207,831.98","660,463.21","-3,932,310.29","792,231.49","1,251,482.11","-1,098,352.55","554,626.74","-1,994,254.44","2,400,452.05"
应收利息,,,,,,"483,176.67","2,782,943.41","412,099.81","905,434.79",,,,,,,,,,,,,,,,,,,,,
